英雄ID,英雄名称,英雄星级,攻击系数,防御系数,生命系数,速度系数,雕文插槽,攻击百分比,生命百分比,最大等级,升星材料,额外材料,被动1名称,被动1,被动1描述,被动2名称,被动2,被动2描述,被动3名称,被动3,被动3描述,怒气名称,怒气,怒气描述
11086,巴德,12,3.51,1,8.14,1.6,2,140,200,285,"[{""a"":""item"",""t"":""2004"",""n"":15000}]","[{""sxhero"":1,""num"":1},{""samezhongzu"":1,""star"":6,""num"":1},{""star"":9,""num"":1}]",不死亡灵3,"""1108a111"",""1108a121""",被动效果：人类领主转化为的亡灵生物，身体强度大幅增加，生命增加42%，破防增加36%,狂暴意志3,"""1108a214"",""1108a224""",被动效果：站得住才有输出！每次普攻提升自己17.2%破防13.6%暴击,伤痛咆哮3,"""1108a314""",被动效果：自身生命低于50%，亡灵领主将伤痛转化为力量，提升自己攻击101%，持续3回合（只触发一次）,死寂重斩3,1108a012,怒气技能：对敌方生命最少的目标造成256%攻击伤害，降低其33%的攻击2回合并有77%的概率造成524%攻击额外伤害
11086,巴德,13,3.51,1,8.14,1.6,3,210,300,300,"[{""a"":""item"",""t"":""2004"",""n"":20000}]","[{""sxhero"":1,""num"":2},{""star"":10,""num"":1}]",不死亡灵3,"""1108a111"",""1108a121""",被动效果：人类领主转化为的亡灵生物，身体强度大幅增加，生命增加42%，破防增加36%,狂暴意志3,"""1108a214"",""1108a224""",被动效果：站得住才有输出！每次普攻提升自己17.2%破防13.6%暴击,伤痛咆哮3,"""1108a314""",被动效果：自身生命低于50%，亡灵领主将伤痛转化为力量，提升自己攻击101%，持续3回合（只触发一次）,死寂重斩3,1108a012,怒气技能：对敌方生命最少的目标造成256%攻击伤害，降低其33%的攻击2回合并有77%的概率造成524%攻击额外伤害
12026,死誓,7,2.49,1,3.52,1.6,0,0,0,165,"[{""a"":""item"",""t"":""2004"",""n"":2000}]","[{""samezhongzu"":1,""star"":5,""num"":4}]",死亡火焰3,"""1202a114""",被动效果：普攻有100%概率施放点燃灵魂的火焰，使目标燃烧，每回合造成24%攻击的伤害，直至敌方英雄死亡,冥火斗篷2,"""12026214""",被动效果：穿有用冥火制造的斗篷，受到攻击时100%概率使目标燃烧，每回合造成15%攻击的伤害，直至敌方英雄死亡,无烬燃烧2,"""12026314""",被动效果：英雄死亡时创造出不会熄灭的火焰，可使所有敌人燃烧，每回合造成25%攻击伤害，直至敌方英雄死亡,死亡尖叫2,12026012,怒气技能：对敌方随机4名目标造成100%攻击伤害，每回合额外造成30%攻击的伤害，直至敌方英雄死亡
12026,死誓,8,2.78,1,4.84,1.6,0,0,0,185,"[{""a"":""item"",""t"":""2004"",""n"":3000}]","[{""samezhongzu"":1,""star"":6,""num"":1},{""samezhongzu"":1,""star"":5,""num"":3}]",死亡火焰3,"""1202a114""",被动效果：普攻有100%概率施放点燃灵魂的火焰，使目标燃烧，每回合造成24%攻击的伤害，直至敌方英雄死亡,火焰护罩3,"""1202a214""",被动效果：穿有用冥火制造的斗篷，受到攻击时100%概率使目标燃烧，每回合造成22%攻击的伤害，直至敌方英雄死亡,无烬燃烧2,"""12026314""",被动效果：英雄死亡时创造出不会熄灭的火焰，可使所有敌人燃烧，每回合造成25%攻击伤害，直至敌方英雄死亡,死亡尖叫2,12026012,怒气技能：对敌方随机4名目标造成100%攻击伤害，每回合额外造成30%攻击的伤害，直至敌方英雄死亡
12026,死誓,9,3.07,1,6.16,1.6,0,0,0,205,"[{""a"":""item"",""t"":""2004"",""n"":4000}]","[{""sxhero"":1,""num"":1},{""samezhongzu"":1,""star"":6,""num"":1},{""samezhongzu"":1,""star"":5,""num"":2}]",死亡火焰3,"""1202a114""",被动效果：普攻有100%概率施放点燃灵魂的火焰，使目标燃烧，每回合造成24%攻击的伤害，直至敌方英雄死亡,火焰护罩3,"""1202a214""",被动效果：穿有用冥火制造的斗篷，受到攻击时100%概率使目标燃烧，每回合造成22%攻击的伤害，直至敌方英雄死亡,无烬燃烧3,"""1202a314""",被动效果：英雄死亡时创造出不会熄灭的火焰，可使所有敌人燃烧，每回合造成33%攻击伤害，直至敌方英雄死亡,死亡尖叫2,12026012,怒气技能：对敌方随机4名目标造成100%攻击伤害，每回合额外造成30%攻击的伤害，直至敌方英雄死亡
12036,艾丹,7,2.49,1,3.52,1.6,0,0,0,165,"[{""a"":""item"",""t"":""2004"",""n"":2000}]","[{""samezhongzu"":1,""star"":5,""num"":4}]",亡灵意志3,"""1203a114"",""1203a124""",被动效果：我方英雄死亡时，产生亡灵的意志，提升自己28%破防和20%攻击,疯狂之力2,"""12036211"",""12036221"",""12036231""",被动效果：拥有狂暴之心，破防增加32%，生命增加24%，攻击增加24%,死亡波动2,"""12036314""",被动效果：英雄死亡时，血衣骨法发出死亡波动，使全体敌方每回合受到28%攻击灼烧伤害，持续3回合,暗影射线2,12036012,怒气技能：对敌方全体造成92%攻击的伤害并有78%概率使战士目标禁魔2回合
12036,艾丹,8,2.78,1,4.84,1.6,0,0,0,185,"[{""a"":""item"",""t"":""2004"",""n"":3000}]","[{""samezhongzu"":1,""star"":6,""num"":1},{""samezhongzu"":1,""star"":5,""num"":3}]",亡灵意志3,"""1203a114"",""1203a124""",被动效果：我方英雄死亡时，产生亡灵的意志，提升自己28%破防和20%攻击,狂暴之心3,"""1203a211"",""1203a221"",""1203a231""",被动效果：拥有狂暴之心，破防增加32%，生命增加33%，攻击增加33%,死亡波动2,"""12036314""",被动效果：英雄死亡时，血衣骨法发出死亡波动，使全体敌方每回合受到28%攻击灼烧伤害，持续3回合,暗影射线2,12036012,怒气技能：对敌方全体造成92%攻击的伤害并有78%概率使战士目标禁魔2回合
12036,艾丹,9,3.07,1,6.16,1.6,0,0,0,205,"[{""a"":""item"",""t"":""2004"",""n"":4000}]","[{""sxhero"":1,""num"":1},{""samezhongzu"":1,""star"":6,""num"":1},{""samezhongzu"":1,""star"":5,""num"":2}]",亡灵意志3,"""1203a114"",""1203a124""",被动效果：我方英雄死亡时，产生亡灵的意志，提升自己28%破防和20%攻击,狂暴之心3,"""1203a211"",""1203a221"",""1203a231""",被动效果：拥有狂暴之心，破防增加32%，生命增加33%，攻击增加33%,死亡波动3,"""1203a314""",被动效果：英雄死亡时，血衣骨法发出死亡波动使全体敌方每回合受到50%攻击灼烧伤害，持续3回合,暗影射线2,12036012,怒气技能：对敌方全体造成92%攻击的伤害并有78%概率使战士目标禁魔2回合
12036,艾丹,10,3.51,1,8.14,1.6,0,0,0,255,"[{""a"":""item"",""t"":""2004"",""n"":10000}]","[{""sxhero"":1,""num"":2},{""samezhongzu"":1,""star"":6,""num"":1},{""star"":9,""num"":1}]",亡灵意志3,"""1203a114"",""1203a124""",被动效果：我方英雄死亡时，产生亡灵的意志，提升自己28%破防和20%攻击,狂暴之心3,"""1203a211"",""1203a221"",""1203a231""",被动效果：拥有狂暴之心，破防增加32%，生命增加33%，攻击增加33%,死亡波动3,"""1203a314""",被动效果：英雄死亡时，血衣骨法发出死亡波动使全体敌方每回合受到50%攻击灼烧伤害，持续3回合,暗影射线3,1203a012,怒气技能：对敌方全体造成125%攻击伤害并有100%概率使战士类目标禁魔2回合，增加自己33%攻击3回合
12036,艾丹,11,3.51,1,8.14,1.6,1,70,100,270,"[{""a"":""item"",""t"":""2004"",""n"":10000}]","[{""sxhero"":1,""num"":1},{""star"":9,""num"":1}]",亡灵意志3,"""1203a114"",""1203a124""",被动效果：我方英雄死亡时，产生亡灵的意志，提升自己28%破防和20%攻击,狂暴之心3,"""1203a211"",""1203a221"",""1203a231""",被动效果：拥有狂暴之心，破防增加32%，生命增加33%，攻击增加33%,死亡波动3,"""1203a314""",被动效果：英雄死亡时，血衣骨法发出死亡波动使全体敌方每回合受到50%攻击灼烧伤害，持续3回合,暗影射线3,1203a012,怒气技能：对敌方全体造成125%攻击伤害并有100%概率使战士类目标禁魔2回合，增加自己33%攻击3回合
12036,艾丹,12,3.51,1,8.14,1.6,2,140,200,285,"[{""a"":""item"",""t"":""2004"",""n"":15000}]","[{""sxhero"":1,""num"":1},{""samezhongzu"":1,""star"":6,""num"":1},{""star"":9,""num"":1}]",亡灵意志3,"""1203a114"",""1203a124""",被动效果：我方英雄死亡时，产生亡灵的意志，提升自己28%破防和20%攻击,狂暴之心3,"""1203a211"",""1203a221"",""1203a231""",被动效果：拥有狂暴之心，破防增加32%，生命增加33%，攻击增加33%,死亡波动3,"""1203a314""",被动效果：英雄死亡时，血衣骨法发出死亡波动使全体敌方每回合受到50%攻击灼烧伤害，持续3回合,暗影射线3,1203a012,怒气技能：对敌方全体造成125%攻击伤害并有100%概率使战士类目标禁魔2回合，增加自己33%攻击3回合
12036,艾丹,13,3.51,1,8.14,1.6,3,210,300,300,"[{""a"":""item"",""t"":""2004"",""n"":20000}]","[{""sxhero"":1,""num"":2},{""star"":10,""num"":1}]",亡灵意志3,"""1203a114"",""1203a124""",被动效果：我方英雄死亡时，产生亡灵的意志，提升自己28%破防和20%攻击,狂暴之心3,"""1203a211"",""1203a221"",""1203a231""",被动效果：拥有狂暴之心，破防增加32%，生命增加33%，攻击增加33%,死亡波动3,"""1203a314""",被动效果：英雄死亡时，血衣骨法发出死亡波动使全体敌方每回合受到50%攻击灼烧伤害，持续3回合,暗影射线3,1203a012,怒气技能：对敌方全体造成125%攻击伤害并有100%概率使战士类目标禁魔2回合，增加自己33%攻击3回合
13036,格伦,7,2.49,1,3.52,1.6,0,0,0,165,"[{""a"":""item"",""t"":""2004"",""n"":2000}]","[{""samezhongzu"":1,""star"":5,""num"":4}]",不死亡灵3,"""1303a111"",""1303a121""",被动效果：使用了自己调制的混合药剂，使生命增加36%，命中增加40%,神秘解放2,"""13036214""",被动效果：自身生命低于30%时，解放神秘的力量，提升自己攻击88%，持续3回合（只能触发一次）,疗伤2,"""13036314""",被动效果：凋零法师领悟到了魔法的真谛，普攻有100%概率使随机1名友军恢复88%自身攻击的等量生命,凋零冲击2,13036012,怒气技能：对敌方前排造成147%攻击伤害并有40%的概率冰冻2回合，使生命最少的友军恢复180%攻击的等量生命
13036,格伦,8,2.78,1,4.84,1.6,0,0,0,185,"[{""a"":""item"",""t"":""2004"",""n"":3000}]","[{""samezhongzu"":1,""star"":6,""num"":1},{""samezhongzu"":1,""star"":5,""num"":3}]",不死亡灵3,"""1303a111"",""1303a121""",被动效果：使用了自己调制的混合药剂，使生命增加36%，命中增加40%,神秘解放3,"""1303a214""",被动效果：自身生命低于30%时，解放神秘的力量，提升自己122%攻击，持续3回合（只能触发一次）,疗伤2,"""13036314""",被动效果：凋零法师领悟到了魔法的真谛，普攻有100%概率使随机1名友军恢复88%自身攻击的等量生命,凋零冲击2,13036012,怒气技能：对敌方前排造成147%攻击伤害并有40%的概率冰冻2回合，使生命最少的友军恢复180%攻击的等量生命
13036,格伦,9,3.07,1,6.16,1.6,0,0,0,205,"[{""a"":""item"",""t"":""2004"",""n"":4000}]","[{""sxhero"":1,""num"":1},{""samezhongzu"":1,""star"":6,""num"":1},{""samezhongzu"":1,""star"":5,""num"":2}]",不死亡灵3,"""1303a111"",""1303a121""",被动效果：使用了自己调制的混合药剂，使生命增加36%，命中增加40%,神秘解放3,"""1303a214""",被动效果：自身生命低于30%时，解放神秘的力量，提升自己122%攻击，持续3回合（只能触发一次）,恢复3,"""1303a314""",被动效果：凋零法师领悟到了魔法的真谛，普攻有100%概率使随机1名友军恢复144%自身攻击的等量生命,凋零冲击2,13036012,怒气技能：对敌方前排造成147%攻击伤害并有40%的概率冰冻2回合，使生命最少的友军恢复180%攻击的等量生命
13046,卡尔玛,7,2.49,1,3.52,1.6,0,0,0,165,"[{""a"":""item"",""t"":""2004"",""n"":2000}]","[{""samezhongzu"":1,""star"":5,""num"":4}]",集中之力3,"""1304a114""",被动效果：就算是亡魂，也有不喜欢杀戮的存在，医者将普通攻击变为攻击前排敌人，效果为102%的攻击伤害，并减少目标22%格挡3回合,命中打击2,"""13046211"",""13046221""",被动效果：身为医者，能准确的激发自身的潜力，使得自身命中增加35%，攻击增加36%,伤痛咆哮2,"""13046314""",完全激发了自身的潜力，自身生命低于50%，提升自己攻击78.8%，持续3回合（只触发一次）,石化能量2,13046012,怒气技能：对敌方后排造成140%攻击伤害并有35%概率使目标石化2回合
13046,卡尔玛,8,2.78,1,4.84,1.6,0,0,0,185,"[{""a"":""item"",""t"":""2004"",""n"":3000}]","[{""samezhongzu"":1,""star"":6,""num"":1},{""samezhongzu"":1,""star"":5,""num"":3}]",集中之力3,"""1304a114""",被动效果：就算是亡魂，也有不喜欢杀戮的存在，医者将普通攻击变为攻击前排敌人，效果为102%的攻击伤害，并减少目标22%格挡3回合,命中打击3,"""1304a211"",""1304a221""",被动效果：身为医者，能准确的激发自身的潜力，使得自身命中增加45%，攻击增加46%,伤痛咆哮2,"""13046314""",完全激发了自身的潜力，自身生命低于50%，提升自己攻击78.8%，持续3回合（只触发一次）,石化能量2,13046012,怒气技能：对敌方后排造成140%攻击伤害并有35%概率使目标石化2回合
13046,卡尔玛,9,3.07,1,6.16,1.6,0,0,0,205,"[{""a"":""item"",""t"":""2004"",""n"":4000}]","[{""sxhero"":1,""num"":1},{""samezhongzu"":1,""star"":6,""num"":1},{""samezhongzu"":1,""star"":5,""num"":2}]",集中之力3,"""1304a114""",被动效果：就算是亡魂，也有不喜欢杀戮的存在，医者将普通攻击变为攻击前排敌人，效果为102%的攻击伤害，并减少目标22%格挡3回合,命中打击3,"""1304a211"",""1304a221""",被动效果：身为医者，能准确的激发自身的潜力，使得自身命中增加45%，攻击增加46%,伤痛咆哮3,"""1304a314""",完全激发了自身的潜力，自身生命低于50%，提升自己101%攻击，持续3回合（只触发一次）,石化能量2,13046012,怒气技能：对敌方后排造成140%攻击伤害并有35%概率使目标石化2回合
13046,卡尔玛,10,3.51,1,8.14,1.6,0,0,0,255,"[{""a"":""item"",""t"":""2004"",""n"":10000}]","[{""sxhero"":1,""num"":2},{""samezhongzu"":1,""star"":6,""num"":1},{""star"":9,""num"":1}]",集中之力3,"""1304a114""",被动效果：就算是亡魂，也有不喜欢杀戮的存在，医者将普通攻击变为攻击前排敌人，效果为102%的攻击伤害，并减少目标22%格挡3回合,命中打击3,"""1304a211"",""1304a221""",被动效果：身为医者，能准确的激发自身的潜力，使得自身命中增加45%，攻击增加46%,伤痛咆哮3,"""1304a314""",完全激发了自身的潜力，自身生命低于50%，提升自己101%攻击，持续3回合（只触发一次）,石化能量3,1304a012,怒气技能：对敌方后排造成155%攻击伤害并有35%概率使目标石化2回合，增加队友33%命中3回合
13046,卡尔玛,11,3.51,1,8.14,1.6,1,70,100,270,"[{""a"":""item"",""t"":""2004"",""n"":10000}]","[{""sxhero"":1,""num"":1},{""star"":9,""num"":1}]",集中之力3,"""1304a114""",被动效果：就算是亡魂，也有不喜欢杀戮的存在，医者将普通攻击变为攻击前排敌人，效果为102%的攻击伤害，并减少目标22%格挡3回合,命中打击3,"""1304a211"",""1304a221""",被动效果：身为医者，能准确的激发自身的潜力，使得自身命中增加45%，攻击增加46%,伤痛咆哮3,"""1304a314""",完全激发了自身的潜力，自身生命低于50%，提升自己101%攻击，持续3回合（只触发一次）,石化能量3,1304a012,怒气技能：对敌方后排造成155%攻击伤害并有35%概率使目标石化2回合，增加队友33%命中3回合
13046,卡尔玛,12,3.51,1,8.14,1.6,2,140,200,285,"[{""a"":""item"",""t"":""2004"",""n"":15000}]","[{""sxhero"":1,""num"":1},{""samezhongzu"":1,""star"":6,""num"":1},{""star"":9,""num"":1}]",集中之力3,"""1304a114""",被动效果：就算是亡魂，也有不喜欢杀戮的存在，医者将普通攻击变为攻击前排敌人，效果为102%的攻击伤害，并减少目标22%格挡3回合,命中打击3,"""1304a211"",""1304a221""",被动效果：身为医者，能准确的激发自身的潜力，使得自身命中增加45%，攻击增加46%,伤痛咆哮3,"""1304a314""",完全激发了自身的潜力，自身生命低于50%，提升自己101%攻击，持续3回合（只触发一次）,石化能量3,1304a012,怒气技能：对敌方后排造成155%攻击伤害并有35%概率使目标石化2回合，增加队友33%命中3回合
13046,卡尔玛,13,3.51,1,8.14,1.6,3,210,300,300,"[{""a"":""item"",""t"":""2004"",""n"":20000}]","[{""sxhero"":1,""num"":2},{""star"":10,""num"":1}]",集中之力3,"""1304a114""",被动效果：就算是亡魂，也有不喜欢杀戮的存在，医者将普通攻击变为攻击前排敌人，效果为102%的攻击伤害，并减少目标22%格挡3回合,命中打击3,"""1304a211"",""1304a221""",被动效果：身为医者，能准确的激发自身的潜力，使得自身命中增加45%，攻击增加46%,伤痛咆哮3,"""1304a314""",完全激发了自身的潜力，自身生命低于50%，提升自己101%攻击，持续3回合（只触发一次）,石化能量3,1304a012,怒气技能：对敌方后排造成155%攻击伤害并有35%概率使目标石化2回合，增加队友33%命中3回合
14026,敛骨者,7,2.49,1,3.52,1.6,0,0,0,165,"[{""a"":""item"",""t"":""2004"",""n"":2000}]","[{""samezhongzu"":1,""star"":5,""num"":4}]",穿透3,"""1402a111"",""1402a121""",被动效果：手中武器极其锋利，提升收割者80%，及12%的生命,狂暴2,"""14026214""",被动效果：敌方的死亡使得自己变得狂暴，提升自己暴击24%,越战越勇2,"""14026314""",被动效果：对于力量掌握到了极致，每次普攻提升自己22.2%暴击伤害,暗影之袭2,14026012,怒气技能：对敌方随机2名后排目标造成195%攻击伤害并增加自身24%破防2回合
14026,敛骨者,8,2.78,1,4.84,1.6,0,0,0,185,"[{""a"":""item"",""t"":""2004"",""n"":3000}]","[{""samezhongzu"":1,""star"":6,""num"":1},{""samezhongzu"":1,""star"":5,""num"":3}]",穿透3,"""1402a111"",""1402a121""",被动效果：手中武器极其锋利，提升收割者80%，及12%的生命,死亡献祭3,"""1402a214""",被动效果：敌方的死亡使得自己变得狂暴，提升自己暴击33%,越战越勇2,"""14026314""",被动效果：对于力量掌握到了极致，每次普攻提升自己22.2%暴击伤害,暗影之袭2,14026012,怒气技能：对敌方随机2名后排目标造成195%攻击伤害并增加自身24%破防2回合
14026,敛骨者,9,3.07,1,6.16,1.6,0,0,0,205,"[{""a"":""item"",""t"":""2004"",""n"":4000}]","[{""sxhero"":1,""num"":1},{""samezhongzu"":1,""star"":6,""num"":1},{""samezhongzu"":1,""star"":5,""num"":2}]",穿透3,"""1402a111"",""1402a121""",被动效果：手中武器极其锋利，提升收割者80%，及12%的生命,死亡献祭3,"""1402a214""",被动效果：敌方的死亡使得自己变得狂暴，提升自己暴击33%,越战越勇3,"""1402a314""",被动效果：对于力量掌握到了极致，每次普攻提升自己33%暴击伤害,暗影之袭2,14026012,怒气技能：对敌方随机2名后排目标造成195%攻击伤害并增加自身24%破防2回合
