类型,造型id,造型图标,造型名称,造型描述,条件类型,开启条件,顺序,过期时间,跳转,颜色,激活奖励属性
head,13036,13036.png,凋零法师,凋零法师,1,"""hero"",13036",124,0,,5,
head,13045,13045.png,亡魂医者,亡魂医者,1,"""hero"",13045",125,0,,4,
head,13046,13046.png,亡魂医者,亡魂医者,1,"""hero"",13046",126,0,,5,
head,14013,14013.png,食尸鬼,食尸鬼,1,"""hero"",14013",127,0,,2,
head,14024,14024.png,暗影收割者,暗影收割者,1,"""hero"",14024",128,0,,3,
head,14025,14025.png,暗影收割者,暗影收割者,1,"""hero"",14025",129,0,,4,
head,14026,14026.png,暗影收割者,暗影收割者,1,"""hero"",14026",130,0,,5,
head,14035,14035.png,死亡刺客,死亡刺客,1,"""hero"",14035",131,0,,4,
head,14036,14036.png,死亡刺客,死亡刺客,1,"""hero"",14036",132,0,,5,
head,14045,14045.png,幽冥狼王,幽冥狼王,1,"""hero"",14045",133,0,,4,
head,14046,14046.png,幽冥狼王,幽冥狼王,1,"""hero"",14046",134,0,,5,
head,15014,15014.png,鲜血女王,鲜血女王,1,"""hero"",15014",135,0,,3,
head,15015,15015.png,鲜血女王,鲜血女王,1,"""hero"",15015",136,0,,4,
head,15024,15024.png,地穴领主,地穴领主,1,"""hero"",15024",137,0,,3,
head,15025,15025.png,地穴领主,地穴领主,1,"""hero"",15025",138,0,,4,
head,15035,15035.png,暗影猎手,暗影猎手,1,"""hero"",15035",139,0,,4,
head,15036,15036.png,暗影猎手,暗影猎手,1,"""hero"",15036",140,0,,5,
head,21014,21014.png,山丘领主,山丘领主,1,"""hero"",21014",141,0,,3,
head,21015,21015.png,山丘领主,山丘领主,1,"""hero"",21015",142,0,,4,
head,21024,21024.png,山岩巨人,山岩巨人,1,"""hero"",21024",143,0,,3,
head,21025,21025.png,山岩巨人,山岩巨人,1,"""hero"",21025",144,0,,4,
head,21034,21034.png,奥丁战神,奥丁战神,1,"""hero"",21034",145,0,,3,
head,21035,21035.png,奥丁战神,奥丁战神,1,"""hero"",21035",146,0,,4,
head,21036,21036.png,奥丁战神,奥丁战神,1,"""hero"",21036",147,0,,5,
head,21045,21045.png,暴风领主,暴风领主,1,"""hero"",21045",148,0,,4,
head,21046,21046.png,暴风领主,暴风领主,1,"""hero"",21046",149,0,,5,
head,22012,22012.png,虚灵飞龙,虚灵飞龙,1,"""hero"",22012",150,0,,1,
head,22024,22024.png,火焰凤凰,火焰凤凰,1,"""hero"",22024",151,0,,3,
head,22025,22025.png,火焰凤凰,火焰凤凰,1,"""hero"",22025",152,0,,4,
head,22034,22034.png,寒冰法师,寒冰法师,1,"""hero"",22034",153,0,,3,
head,22035,22035.png,寒冰法师,寒冰法师,1,"""hero"",22035",154,0,,4,
head,22036,22036.png,寒冰法师,寒冰法师,1,"""hero"",22036",155,0,,5,
head,22045,22045.png,守望法师,守望法师,1,"""hero"",22045",156,0,,4,
head,22046,22046.png,守望法师,守望法师,1,"""hero"",22046",157,0,,5,
head,22055,22055.png,冰蓝巨龙,冰蓝巨龙,1,"""hero"",22055",158,0,,4,
head,22056,22056.png,冰蓝巨龙,冰蓝巨龙,1,"""hero"",22056",159,0,,5,
head,23013,23013.png,木精灵,木精灵,1,"""hero"",23013",160,0,,2,
head,23023,23023.png,灵魂祭祀,灵魂祭祀,1,"""hero"",23023",161,0,,2,
head,23035,23035.png,奥赛隆,奥赛隆,1,"""hero"",23035",162,0,,4,
head,23036,23036.png,奥赛隆,奥赛隆,1,"""hero"",23036",163,0,,5,
head,24013,24013.png,虚灵贤者,虚灵贤者,1,"""hero"",24013",164,0,,2,
head,24024,24024.png,虚空刺客,虚空刺客,1,"""hero"",24024",165,0,,3,
head,24025,24025.png,虚空刺客,虚空刺客,1,"""hero"",24025",166,0,,4,
head,24026,24026.png,虚空刺客,虚空刺客,1,"""hero"",24026",167,0,,5,
head,24035,24035.png,虚灵杀手蟹,虚灵杀手蟹,1,"""hero"",24035",168,0,,4,
head,24036,24036.png,虚灵杀手蟹,虚灵杀手蟹,1,"""hero"",24036",169,0,,5,
head,25011,25011.png,皇家狮鹫,皇家狮鹫,1,"""hero"",25011",170,0,,0,
head,25023,25023.png,火焰元素,火焰元素,1,"""hero"",25023",171,0,,2,
head,25033,25033.png,水滴元素,水滴元素,1,"""hero"",25033",172,0,,2,
head,25044,25044.png,探险家,探险家,1,"""hero"",25044",173,0,,3,
head,25045,25045.png,探险家,探险家,1,"""hero"",25045",174,0,,4,
head,25054,25054.png,虚灵狼,虚灵狼,1,"""hero"",25054",175,0,,3,
head,25055,25055.png,虚灵狼,虚灵狼,1,"""hero"",25055",176,0,,4,
head,25065,25065.png,风领主,风领主,1,"""hero"",25065",177,0,,4,
head,25066,25066.png,风领主,风领主,1,"""hero"",25066",178,0,,5,
head,25075,25075.png,奥秘管理员,奥秘管理员,1,"""hero"",25075",179,0,,4,
head,25076,25076.png,奥秘管理员,奥秘管理员,1,"""hero"",25076",180,0,,5,
head,31012,31012.png,暗影行者,暗影行者,1,"""hero"",31012",181,0,,1,
head,31023,31023.png,邪能石魔,邪能石魔,1,"""hero"",31023",182,0,,2,
head,31033,31033.png,双头地狱犬,双头地狱犬,1,"""hero"",31033",183,0,,2,
head,31044,31044.png,魔王格莱斯顿,魔王格莱斯顿,1,"""hero"",31044",184,0,,3,
head,31045,31045.png,魔王格莱斯顿,魔王格莱斯顿,1,"""hero"",31045",185,0,,4,
head,31054,31054.png,深渊机甲,深渊机甲,1,"""hero"",31054",186,0,,3,
head,31055,31055.png,深渊机甲,深渊机甲,1,"""hero"",31055",187,0,,4,
head,31064,31064.png,颤栗魔王,颤栗魔王,1,"""hero"",31064",188,0,,3,
head,31065,31065.png,颤栗魔王,颤栗魔王,1,"""hero"",31065",189,0,,4,
head,31075,31075.png,理查兹领主,理查兹领主,1,"""hero"",31075",190,0,,4,
head,31076,31076.png,理查兹领主,理查兹领主,1,"""hero"",31076",191,0,,5,
head,31085,31085.png,毁灭巨龙,毁灭巨龙,1,"""hero"",31085",192,0,,4,
head,31086,31086.png,毁灭巨龙,毁灭巨龙,1,"""hero"",31086",193,0,,5,
head,31095,31095.png,黑锋骑士,黑锋骑士,1,"""hero"",31095",194,0,,4,
head,31096,31096.png,黑锋骑士,黑锋骑士,1,"""hero"",31096",195,0,,5,
head,32011,32011.png,火焰小鬼,火焰小鬼,1,"""hero"",32011",196,0,,0,
head,32023,32023.png,地狱守卫者,地狱守卫者,1,"""hero"",32023",197,0,,2,
head,32034,32034.png,逐日法师,逐日法师,1,"""hero"",32034",198,0,,3,
head,32035,32035.png,逐日法师,逐日法师,1,"""hero"",32035",199,0,,4,
head,32036,32036.png,逐日法师,逐日法师,1,"""hero"",32036",200,0,,5,
head,32044,32044.png,毁灭之主,毁灭之主,1,"""hero"",32044",201,0,,3,
head,32045,32045.png,毁灭之主,毁灭之主,1,"""hero"",32045",202,0,,4,
head,32046,32046.png,毁灭之主,毁灭之主,1,"""hero"",32046",203,0,,5,
head,32055,32055.png,火焰魔王,火焰魔王,1,"""hero"",32055",204,0,,4,
head,32056,32056.png,火焰魔王,火焰魔王,1,"""hero"",32056",205,0,,5,
head,33014,33014.png,魅影女妖,魅影女妖,1,"""hero"",33014",206,0,,3,
head,33015,33015.png,魅影女妖,魅影女妖,1,"""hero"",33015",207,0,,4,
head,33024,33024.png,邪灵术士,邪灵术士,1,"""hero"",33024",208,0,,3,
head,33025,33025.png,邪灵术士,邪灵术士,1,"""hero"",33025",209,0,,4,
head,33026,33026.png,邪灵术士,邪灵术士,1,"""hero"",33026",210,0,,5,
head,34014,34014.png,莎拉夫人,莎拉夫人,1,"""hero"",34014",211,0,,3,
head,34015,34015.png,莎拉夫人,莎拉夫人,1,"""hero"",34015",212,0,,4,
head,34025,34025.png,恶魔刺客,恶魔刺客,1,"""hero"",34025",213,0,,4,
head,34026,34026.png,恶魔刺客,恶魔刺客,1,"""hero"",34026",214,0,,5,
head,35013,35013.png,独眼魔,独眼魔,1,"""hero"",35013",215,0,,2,
head,35023,35023.png,火焰守卫,火焰守卫,1,"""hero"",35023",216,0,,2,
head,35035,35035.png,深渊猎手,深渊猎手,1,"""hero"",35035",217,0,,4,
head,35036,35036.png,深渊猎手,深渊猎手,1,"""hero"",35036",218,0,,5,
head,35045,35045.png,黑暗阿西卡,黑暗阿西卡,1,"""hero"",35045",219,0,,4,
head,35046,35046.png,黑暗阿西卡,黑暗阿西卡,1,"""hero"",35046",220,0,,5,
head,41013,41013.png,豺狼人战士,豺狼人战士,1,"""hero"",41013",221,0,,2,
head,41023,41023.png,半人马护卫,半人马护卫,1,"""hero"",41023",222,0,,2,
head,41034,41034.png,武僧,武僧,1,"""hero"",41034",223,0,,3,
head,41035,41035.png,武僧,武僧,1,"""hero"",41035",224,0,,4,
head,41044,41044.png,岩石祖母,岩石祖母,1,"""hero"",41044",225,0,,3,
head,41045,41045.png,岩石祖母,岩石祖母,1,"""hero"",41045",226,0,,4,
head,41055,41055.png,火焰女王,火焰女王,1,"""hero"",41055",227,0,,4,
head,41056,41056.png,火焰女王,火焰女王,1,"""hero"",41056",228,0,,5,
head,41065,41065.png,牛头人酋长,牛头人酋长,1,"""hero"",41065",229,0,,4,
head,41066,41066.png,牛头人酋长,牛头人酋长,1,"""hero"",41066",230,0,,5,
head,42015,42015.png,元素萨满,元素萨满,1,"""hero"",42015",231,0,,4,
head,42016,42016.png,元素萨满,元素萨满,1,"""hero"",42016",232,0,,5,
head,43012,43012.png,鱼人先知,鱼人先知,1,"""hero"",43012",233,0,,1,
head,43023,43023.png,深林贤者,深林贤者,1,"""hero"",43023",234,0,,2,
head,43034,43034.png,自然贤者,自然贤者,1,"""hero"",43034",235,0,,3,
head,43035,43035.png,自然贤者,自然贤者,1,"""hero"",43035",236,0,,4,
head,43044,43044.png,月之女神,月之女神,1,"""hero"",43044",237,0,,3,
head,43045,43045.png,月之女神,月之女神,1,"""hero"",43045",238,0,,4,
head,43046,43046.png,月之女神,月之女神,1,"""hero"",43046",239,0,,5,
head,43054,43054.png,深林之神,深林之神,1,"""hero"",43054",240,0,,3,
head,43055,43055.png,深林之神,深林之神,1,"""hero"",43055",241,0,,4,
head,43056,43056.png,深林之神,深林之神,1,"""hero"",43056",242,0,,5,
head,43065,43065.png,卡琳娜,卡琳娜,1,"""hero"",43065",243,0,,4,
head,43066,43066.png,卡琳娜,卡琳娜,1,"""hero"",43066",244,0,,5,
head,44011,44011.png,海妖战士,海妖战士,1,"""hero"",44011",245,0,,0,
head,44024,44024.png,豹骑士凯伦,豹骑士凯伦,1,"""hero"",44024",246,0,,3,
head,44025,44025.png,豹骑士凯伦,豹骑士凯伦,1,"""hero"",44025",247,0,,4,
head,44034,44034.png,影袭刺客,影袭刺客,1,"""hero"",44034",248,0,,3,
head,44035,44035.png,影袭刺客,影袭刺客,1,"""hero"",44035",249,0,,4,
head,44036,44036.png,影袭刺客,影袭刺客,1,"""hero"",44036",250,0,,5,
head,44045,44045.png,僧侣,僧侣,1,"""hero"",44045",251,0,,4,
head,44046,44046.png,僧侣,僧侣,1,"""hero"",44046",252,0,,5,
head,45013,45013.png,咕咕鸟,咕咕鸟,1,"""hero"",45013",253,0,,2,
head,45023,45023.png,皇家狮鹫,皇家狮鹫,1,"""hero"",45023",254,0,,2,
head,45034,45034.png,维拉妮卡,维拉妮卡,1,"""hero"",45034",255,0,,3,
head,45035,45035.png,维拉妮卡,维拉妮卡,1,"""hero"",45035",256,0,,4,
head,45045,45045.png,森林猎手,森林猎手,1,"""hero"",45045",257,0,,4,
head,45046,45046.png,森林猎手,森林猎手,1,"""hero"",45046",258,0,,5,
head,45055,45055.png,风语者,风语者,1,"""hero"",45055",259,0,,4,
head,45056,45056.png,风语者,风语者,1,"""hero"",45056",260,0,,5,
head,51015,51015.png,食人魔领袖,食人魔领袖,1,"""hero"",51015",261,0,,4,
head,51016,51016.png,食人魔领袖,食人魔领袖,1,"""hero"",51016",262,0,,5,
head,52013,52013.png,暗影渡鸦,暗影渡鸦,1,"""hero"",52013",263,0,,2,
head,52024,52024.png,美杜莎女王,美杜莎女王,1,"""hero"",52024",264,0,,3,
head,52025,52025.png,美杜莎女王,美杜莎女王,1,"""hero"",52025",265,0,,4,
head,52034,52034.png,黑暗主教,黑暗主教,1,"""hero"",52034",266,0,,3,
head,52035,52035.png,黑暗主教,黑暗主教,1,"""hero"",52035",267,0,,4,
head,52045,52045.png,帕米尔隆,帕米尔隆,1,"""hero"",52045",268,0,,4,
head,52046,52046.png,帕米尔隆,帕米尔隆,1,"""hero"",52046",269,0,,5,
head,53014,53014.png,暗影巫医,暗影巫医,1,"""hero"",53014",270,0,,3,
head,53015,53015.png,暗影巫医,暗影巫医,1,"""hero"",53015",271,0,,4,
head,53016,53016.png,暗影巫医,暗影巫医,1,"""hero"",53016",272,0,,5,
head,61014,61014.png,守卫阿帕尔,守卫阿帕尔,1,"""hero"",61014",273,0,,3,
head,61015,61015.png,守卫阿帕尔,守卫阿帕尔,1,"""hero"",61015",274,0,,4,
head,61025,61025.png,光之大领主,光之大领主,1,"""hero"",61025",275,0,,4,
head,61026,61026.png,光之大领主,光之大领主,1,"""hero"",61026",276,0,,5,
head,62014,62014.png,血色圣使,血色圣使,1,"""hero"",62014",277,0,,3,
head,62015,62015.png,血色圣使,血色圣使,1,"""hero"",62015",278,0,,4,
head,62016,62016.png,血色圣使,血色圣使,1,"""hero"",62016",279,0,,5,
head,63014,63014.png,神圣之灵,神圣之灵,1,"""hero"",63014",280,0,,3,
head,63015,63015.png,神圣之灵,神圣之灵,1,"""hero"",63015",281,0,,4,
head,63025,63025.png,圣光先知,圣光先知,1,"""hero"",63025",282,0,,4,
head,63026,63026.png,圣光先知,圣光先知,1,"""hero"",63026",283,0,,5,
head,64013,64013.png,光之元素,光之元素,1,"""hero"",64013",284,0,,2,
head,tongyu1,tongyu1.png,统御功能专属,统御功能专属,1,"""hero"",""tongyu1""",50,0,,0,
head,tongyu2,tongyu2.png,统御功能专属,统御功能专属,1,"""hero"",""tongyu2""",51,0,,1,
head,tongyu3,tongyu3.png,统御功能专属,统御功能专属,1,"""hero"",""tongyu3""",52,0,,2,
head,tongyu4,tongyu4.png,统御功能专属,统御功能专属,1,"""hero"",""tongyu4""",53,0,,3,
head,tongyu5,tongyu5.png,统御功能专属,统御功能专属,1,"""hero"",""tongyu5""",54,0,,4,
head,tongyu6,tongyu6.png,统御功能专属,统御功能专属,1,"""hero"",""tongyu6""",55,0,,5,
