道具ID,是否叠加,道具名称,道具类型,描述类型,背包分类,道具品质,途径,道具图标,小图标,道具星级,种族,道具描述,特殊字段,掉落组,使用等级,合成数量,合成指定英雄ID
23013,1,木精灵,4,1,3,2,,23013,,3,2,集齐20个碎片可召唤这名英雄,,"""23013""",,20,23013
23023,1,灵魂祭祀,4,1,3,2,,23023,,3,2,集齐20个碎片可召唤这名英雄,,"""23023""",,20,23023
23035,1,奥赛隆,4,1,3,4,,23035,,5,2,集齐50个碎片可召唤这名英雄,,"""23035""",,50,23035
23036,1,奥赛隆,4,1,3,5,,23036,,6,2,集齐100个碎片可召唤这名英雄,,"""23036""",,100,23036
24013,1,虚灵贤者,4,1,3,2,,24013,,3,2,集齐20个碎片可召唤这名英雄,,"""24013""",,20,24013
24024,1,虚空刺客,4,1,3,3,,24024,,4,2,集齐30个碎片可召唤这名英雄,,"""24024""",,30,24024
24025,1,虚空刺客,4,1,3,4,,24025,,5,2,集齐50个碎片可召唤这名英雄,,"""24025""",,50,24025
24026,1,虚空刺客,4,1,3,5,,24026,,6,2,集齐100个碎片可召唤这名英雄,,"""24026""",,100,24026
24035,1,虚灵杀手蟹,4,1,3,4,,24035,,5,2,集齐50个碎片可召唤这名英雄,,"""24035""",,50,24035
24036,1,虚灵杀手蟹,4,1,3,5,,24036,,6,2,集齐100个碎片可召唤这名英雄,,"""24036""",,100,24036
25011,1,鹰身女妖,4,1,3,0,,25011,,1,2,集齐5个碎片可召唤这名英雄,,"""25011""",,5,25011
25023,1,火焰元素,4,1,3,2,,25023,,3,2,集齐20个碎片可召唤这名英雄,,"""25023""",,20,25023
25033,1,水滴元素,4,1,3,2,,25033,,3,2,集齐20个碎片可召唤这名英雄,,"""25033""",,20,25033
25044,1,探险家,4,1,3,3,,25044,,4,2,集齐30个碎片可召唤这名英雄,,"""25044""",,30,25044
25045,1,探险家,4,1,3,4,,25045,,5,2,集齐50个碎片可召唤这名英雄,,"""25045""",,50,25045
25054,1,虚灵狼,4,1,3,3,,25054,,4,2,集齐30个碎片可召唤这名英雄,,"""25054""",,30,25054
25055,1,虚灵狼,4,1,3,4,,25055,,5,2,集齐50个碎片可召唤这名英雄,,"""25055""",,50,25055
25065,1,风领主,4,1,3,4,,25065,,5,2,集齐50个碎片可召唤这名英雄,,"""25065""",,50,25065
25066,1,风领主,4,1,3,5,,25066,,6,2,集齐100个碎片可召唤这名英雄,,"""25066""",,100,25066
25075,1,奥秘管理员,4,1,3,4,,25075,,5,2,集齐50个碎片可召唤这名英雄,,"""25075""",,50,25075
25076,1,奥秘管理员,4,1,3,5,,25076,,6,2,集齐100个碎片可召唤这名英雄,,"""25076""",,100,25076
31012,1,暗影行者,4,1,3,1,,31012,,2,3,集齐10个碎片可召唤这名英雄,,"""31012""",,10,31012
31023,1,邪能石魔,4,1,3,2,,31023,,3,3,集齐20个碎片可召唤这名英雄,,"""31023""",,20,31023
31033,1,双头地狱犬,4,1,3,2,,31033,,3,3,集齐20个碎片可召唤这名英雄,,"""31033""",,20,31033
31044,1,魔王格莱斯顿,4,1,3,3,,31044,,4,3,集齐30个碎片可召唤这名英雄,,"""31044""",,30,31044
31045,1,魔王格莱斯顿,4,1,3,4,,31045,,5,3,集齐50个碎片可召唤这名英雄,,"""31045""",,50,31045
31054,1,深渊机甲,4,1,3,3,,31054,,4,3,集齐30个碎片可召唤这名英雄,,"""31054""",,30,31054
31055,1,深渊机甲,4,1,3,4,,31055,,5,3,集齐50个碎片可召唤这名英雄,,"""31055""",,50,31055
31064,1,颤栗魔王,4,1,3,3,,31064,,4,3,集齐30个碎片可召唤这名英雄,,"""31064""",,30,31064
31065,1,颤栗魔王,4,1,3,4,,31065,,5,3,集齐50个碎片可召唤这名英雄,,"""31065""",,50,31065
31075,1,理查兹领主,4,1,3,4,,31075,,5,3,集齐50个碎片可召唤这名英雄,,"""31075""",,50,31075
31076,1,理查兹领主,4,1,3,5,,31076,,6,3,集齐100个碎片可召唤这名英雄,,"""31076""",,100,31076
31085,1,毁灭巨龙,4,1,3,4,,31085,,5,3,集齐50个碎片可召唤这名英雄,,"""31085""",,50,31085
31086,1,毁灭巨龙,4,1,3,5,,31086,,6,3,集齐100个碎片可召唤这名英雄,,"""31086""",,100,31086
31095,1,黑锋骑士,4,1,3,4,,31095,,5,3,集齐50个碎片可召唤这名英雄,,"""31095""",,50,31095
32011,1,火焰小鬼,4,1,3,0,,32011,,1,3,集齐5个碎片可召唤这名英雄,,"""32011""",,5,32011
32023,1,地狱守卫者,4,1,3,2,,32023,,3,3,集齐20个碎片可召唤这名英雄,,"""32023""",,20,32023
32034,1,逐日法师,4,1,3,3,,32034,,4,3,集齐30个碎片可召唤这名英雄,,"""32034""",,30,32034
32035,1,逐日法师,4,1,3,4,,32035,,5,3,集齐50个碎片可召唤这名英雄,,"""32035""",,50,32035
32036,1,逐日法师,4,1,3,5,,32036,,6,3,集齐100个碎片可召唤这名英雄,,"""32036""",,100,32036
32044,1,毁灭之主,4,1,3,3,,32044,,4,3,集齐30个碎片可召唤这名英雄,,"""32044""",,30,32044
32045,1,毁灭之主,4,1,3,4,,32045,,5,3,集齐50个碎片可召唤这名英雄,,"""32045""",,50,32045
32046,1,毁灭之主,4,1,3,5,,32046,,6,3,集齐100个碎片可召唤这名英雄,,"""32046""",,100,32046
32055,1,火焰魔王,4,1,3,4,,32055,,5,3,集齐50个碎片可召唤这名英雄,,"""32055""",,50,32055
32056,1,火焰魔王,4,1,3,5,,32056,,6,3,集齐100个碎片可召唤这名英雄,,"""32056""",,100,32056
33014,1,魅影女妖,4,1,3,3,,33014,,4,3,集齐30个碎片可召唤这名英雄,,"""33014""",,30,33014
33015,1,魅影女妖,4,1,3,4,,33015,,5,3,集齐50个碎片可召唤这名英雄,,"""33015""",,50,33015
33024,1,邪灵术士,4,1,3,3,,33024,,4,3,集齐30个碎片可召唤这名英雄,,"""33024""",,30,33024
33025,1,邪灵术士,4,1,3,4,,33025,,5,3,集齐50个碎片可召唤这名英雄,,"""33025""",,50,33025
33026,1,邪灵术士,4,1,3,5,,33026,,6,3,集齐100个碎片可召唤这名英雄,,"""33026""",,100,33026
34014,1,莎拉夫人,4,1,3,3,,34014,,4,3,集齐30个碎片可召唤这名英雄,,"""34014""",,30,34014
34015,1,莎拉夫人,4,1,3,4,,34015,,5,3,集齐50个碎片可召唤这名英雄,,"""34015""",,50,34015
34025,1,恶魔刺客,4,1,3,4,,34025,,5,3,集齐50个碎片可召唤这名英雄,,"""34025""",,50,34025
34026,1,恶魔刺客,4,1,3,5,,34026,,6,3,集齐100个碎片可召唤这名英雄,,"""34026""",,100,34026
35013,1,独眼魔,4,1,3,2,,35013,,3,3,集齐20个碎片可召唤这名英雄,,"""35013""",,20,35013
35023,1,火焰守卫,4,1,3,2,,35023,,3,3,集齐20个碎片可召唤这名英雄,,"""35023""",,20,35023
35035,1,深渊猎手,4,1,3,4,,35035,,5,3,集齐50个碎片可召唤这名英雄,,"""35035""",,50,35035
35036,1,深渊猎手,4,1,3,5,,35036,,6,3,集齐100个碎片可召唤这名英雄,,"""35036""",,100,35036
35045,1,黑暗阿西卡,4,1,3,4,,35045,,5,3,集齐50个碎片可召唤这名英雄,,"""35045""",,50,35045
35046,1,黑暗阿西卡,4,1,3,5,,35046,,6,3,集齐100个碎片可召唤这名英雄,,"""35046""",,100,35046
41013,1,豺狼人战士,4,1,3,2,,41013,,3,4,集齐20个碎片可召唤这名英雄,,"""41013""",,20,41013
41023,1,半人马护卫,4,1,3,2,,41023,,3,4,集齐20个碎片可召唤这名英雄,,"""41023""",,20,41023
41034,1,武僧,4,1,3,3,,41034,,4,4,集齐30个碎片可召唤这名英雄,,"""41034""",,30,41034
41035,1,武僧,4,1,3,4,,41035,,5,4,集齐50个碎片可召唤这名英雄,,"""41035""",,50,41035
41044,1,岩石祖母,4,1,3,3,,41044,,4,4,集齐30个碎片可召唤这名英雄,,"""41044""",,30,41044
41045,1,岩石祖母,4,1,3,4,,41045,,5,4,集齐50个碎片可召唤这名英雄,,"""41045""",,50,41045
41055,1,火焰女王,4,1,3,4,,41055,,5,4,集齐50个碎片可召唤这名英雄,,"""41055""",,50,41055
41056,1,火焰女王,4,1,3,5,,41056,,6,4,集齐100个碎片可召唤这名英雄,,"""41056""",,100,41056
41065,1,牛头人酋长,4,1,3,4,,41065,,5,4,集齐50个碎片可召唤这名英雄,,"""41065""",,50,41065
41066,1,牛头人酋长,4,1,3,5,,41066,,6,4,集齐100个碎片可召唤这名英雄,,"""41066""",,100,41066
42015,1,元素萨满,4,1,3,4,,42015,,5,4,集齐50个碎片可召唤这名英雄,,"""42015""",,50,42015
42016,1,元素萨满,4,1,3,5,,42016,,6,4,集齐100个碎片可召唤这名英雄,,"""42016""",,100,42016
43012,1,鱼人先知,4,1,3,1,,43012,,2,4,集齐10个碎片可召唤这名英雄,,"""43012""",,10,43012
43023,1,深林贤者,4,1,3,2,,43023,,3,4,集齐20个碎片可召唤这名英雄,,"""43023""",,20,43023
43034,1,自然贤者,4,1,3,3,,43034,,4,4,集齐30个碎片可召唤这名英雄,,"""43034""",,30,43034
43035,1,自然贤者,4,1,3,4,,43035,,5,4,集齐50个碎片可召唤这名英雄,,"""43035""",,50,43035
43044,1,月之女神,4,1,3,3,,43044,,4,4,集齐30个碎片可召唤这名英雄,,"""43044""",,30,43044
43045,1,月之女神,4,1,3,4,,43045,,5,4,集齐50个碎片可召唤这名英雄,,"""43045""",,50,43045
43046,1,月之女神,4,1,3,5,,43046,,6,4,集齐100个碎片可召唤这名英雄,,"""43046""",,100,43046
43054,1,深林之神,4,1,3,3,,43054,,4,4,集齐30个碎片可召唤这名英雄,,"""43054""",,30,43054
43055,1,深林之神,4,1,3,4,,43055,,5,4,集齐50个碎片可召唤这名英雄,,"""43055""",,50,43055
43056,1,深林之神,4,1,3,5,,43056,,6,4,集齐100个碎片可召唤这名英雄,,"""43056""",,100,43056
43065,1,卡琳娜,4,1,3,4,,43065,,5,4,集齐50个碎片可召唤这名英雄,,"""43066""",,50,43065
44011,1,海妖战士,4,1,3,0,,44011,,1,4,集齐5个碎片可召唤这名英雄,,"""44011""",,5,44011
44024,1,恐龙骑士凯伦,4,1,3,3,,44024,,4,4,集齐30个碎片可召唤这名英雄,,"""44024""",,30,44024
44025,1,恐龙骑士凯伦,4,1,3,4,,44025,,5,4,集齐50个碎片可召唤这名英雄,,"""44025""",,50,44025
44034,1,影袭刺客,4,1,3,3,,44034,,4,4,集齐30个碎片可召唤这名英雄,,"""44034""",,30,44034
44035,1,影袭刺客,4,1,3,4,,44035,,5,4,集齐50个碎片可召唤这名英雄,,"""44035""",,50,44035
