成长编号,英雄名称,初始星级,生命成长,攻击成长,防御成长,速度成长,基础生命,基础攻击,基础防御,基础速度,,,,,
25066,冰闪,6,189.6,16.1,6.6,2,1899,162,67,214,,,,,
25075,美树,5,80.4,15.7,6.1,2,808,158,62,199,,,,,
25076,美树,6,154,23,6.3,2,1544,231,64,214,,,,,
31012,强森,2,26.7,3.6,5.2,2,268,37,53,145,,,,,
31023,深渊守卫,3,39.9,4.7,5.4,2,403,48,55,164,,,,,
31033,烈焰红唇,3,31.1,5.6,5.7,2,313,57,58,164,,,,,
31044,坦纳,4,63,6.6,5.6,2,635,67,57,183,,,,,
31045,坦纳,5,90.9,8.6,5.8,2,910,87,59,202,,,,,
31054,雷蒙盖顿,4,49.1,7.9,5.9,2,495,80,60,185,,,,,
31055,雷蒙盖顿,5,70.8,10.2,6.1,2,709,103,62,204,,,,,
31064,伊姆拉图斯,4,49.1,7.9,5.9,2,493,80,60,185,,,,,
31065,伊姆拉图斯,5,70.8,10.2,6.1,2,713,103,62,204,,,,,
31075,巴洛克领主,5,111.9,10.6,5.8,2,1120,107,59,203,,,,,
31076,巴洛克领主,6,205.9,14.8,6,2,2064,149,61,221,,,,,
31085,古斯塔,5,69.6,16.8,5.8,2,697,169,59,205,,,,,
31086,古斯塔,6,128.1,23.5,6,2,1285,236,61,223,,,,,
31095,丹特里安,5,87.1,12.6,6.1,2,873,127,62,203,,,,,
31096,丹特里安,6,200.3,17.6,6.3,2,1605,178,64,220,,,,,
32011,火焰之子,1,14,5.1,4.8,2,143,52,49,108,,,,,
32023,狂暴兽,3,31.1,5.6,5.7,2,315,57,58,146,,,,,
32034,毁灭者,4,39,11.1,5.4,2,392,112,55,165,,,,,
32035,毁灭者,5,44.9,14.6,5.6,2,453,147,57,183,,,,,
32036,毁灭者,6,127.4,25.1,5.8,2,1276,252,59,203,,,,,
32044,阿勒里亚,4,39,11.1,5.4,2,391,112,55,167,,,,,
32045,阿勒里亚,5,56.2,14.6,5.6,2,565,147,57,184,,,,,
32046,阿勒里亚,6,112.1,21,5.8,2,1122,211,59,201,,,,,
32055,玛格丽特,5,69.2,17.8,5.6,2,693,179,57,188,,,,,
32056,玛格丽特,6,127.4,26.5,5.8,2,1277,266,59,205,,,,,
33014,罗格,4,39,11.1,5.4,2,392,112,55,156,,,,,
33015,罗格,5,44.9,14.5,5.6,2,453,146,57,175,,,,,
33024,诺玛,4,42.2,9.8,5.6,2,426,99,57,156,,,,,
33025,诺玛,5,60.9,12.8,5.8,2,614,129,59,173,,,,,
33026,诺玛,6,137.9,22,6.1,2,1381,221,62,194,,,,,
34014,阿卡莎,4,39.2,10.5,5.6,2,397,106,57,192,,,,,
34015,阿卡莎,5,56.6,13.6,5.8,2,569,137,59,213,,,,,
34025,克里姆,5,69.2,17.8,5.6,2,697,179,57,215,,,,,
34026,克里姆,6,137.4,25,5.8,2,1379,251,59,232,,,,,
35013,魅魔,3,24.7,8,5.2,2,251,81,53,155,,,,,
35023,米尔科,3,28.8,6.6,5.4,2,289,67,55,155,,,,,
35035,女王,5,98.5,14.7,5.8,2,987,148,59,193,,,,,
35036,女王,6,167.8,20.5,6.1,2,1683,206,62,212,,,,,
35045,肥姆,5,80.7,14.7,5.8,2,811,148,59,195,,,,,
35046,肥姆,6,148.5,20.5,6.1,2,1486,206,62,212,,,,,
41013,安多米尔,3,28.8,6.6,5.4,2,289,67,55,164,,,,,
41023,弗雷,3,53,3.9,5.7,2,531,40,58,164,,,,,
41034,酋长,4,83.6,5.5,5.9,2,841,56,60,183,,,,,
41035,酋长,5,83.8,8,6.1,2,841,81,62,202,,,,,
41044,卡加斯,4,57.9,6.6,5.9,2,584,67,60,185,,,,,
41045,卡加斯,5,83.6,8.6,6.1,2,838,87,62,202,,,,,
41055,屠龙者,5,148.4,9.2,6.1,2,1489,93,62,203,,,,,
41056,屠龙者,6,273.2,13.9,6.3,2,2734,140,64,221,,,,,
41065,格鲁,5,102.8,10.6,6.1,2,1031,107,62,207,,,,,
41066,格鲁,6,189.3,17.8,6.3,2,1896,179,64,225,,,,,
42015,星光,5,79.8,15.7,5.6,2,801,158,57,186,,,,,
42016,星光,6,146.8,22,5.8,2,1472,221,59,203,,,,,
43012,树精,2,35.4,3,5.5,2,358,31,56,118,,,,,
43023,蓝萨满,3,31.1,6.1,5.4,2,312,62,55,137,,,,,
43034,树精长老,4,49.1,8.5,5.6,2,495,86,57,156,,,,,
43035,树精长老,5,70.8,11.1,5.8,2,711,112,59,175,,,,,
43044,泰勒,4,44.9,9.8,5.4,2,453,99,55,158,,,,,
43045,泰勒,5,64.8,12.8,5.6,2,651,129,57,173,,,,,
43046,泰勒,6,128.1,18.6,5.8,2,1285,187,59,192,,,,,
43054,泽基斯,4,49.1,8.5,5.6,2,492,86,57,158,,,,,
43055,泽基斯,5,70.8,11.1,5.8,2,711,112,59,177,,,,,
43056,泽基斯,6,160.3,19.1,6.1,2,1608,192,62,194,,,,,
43065,罗萨,5,85,15.7,5.6,2,860,160,56,200,,,,,
43066,罗萨,6,152.2,22,5.8,2,1550,225,59,206,,,,,
44011,贝拉,1,16.3,4.2,5.1,2,165,43,52,135,,,,,
44024,猎头者,4,45.5,9.2,5.6,2,460,93,57,192,,,,,
44025,猎头者,5,65.6,11.9,5.8,2,660,120,59,211,,,,,
44034,灰眼,4,45.5,9.2,5.6,2,458,93,57,194,,,,,
44035,灰眼,5,65.6,11.9,5.8,2,658,120,59,213,,,,,
44036,灰眼,6,148.5,20.5,6.1,2,1489,206,62,230,,,,,
44045,无面者,5,82.7,14.7,5.8,2,828,148,59,213,,,,,
44046,无面者,6,158.5,20.5,6.1,2,1590,206,62,230,,,,,
45013,希维尔,3,33.6,5.6,5.4,2,340,57,55,155,,,,,
45023,密林队长,3,33.6,5.6,5.4,2,337,57,55,155,,,,,
45034,风行者,4,53,7.9,5.6,2,531,80,57,191,,,,,
45035,风行者,5,61.1,10.2,5.8,2,613,103,59,209,,,,,
45045,恶魔猎手,5,94.1,12.6,5.8,2,946,127,59,217,,,,,
45046,恶魔猎手,6,173.2,19.6,6.1,2,1734,197,62,235,,,,,
45055,马拉萨,5,94.1,12.6,5.8,2,943,127,59,197,,,,,
45056,马拉萨,6,184.3,20.1,6.1,2,1845,202,62,214,,,,,
51015,不眠者,5,92,10.1,6.1,2,923,102,62,207,,,,,
51016,不眠者,6,204,18.2,6.3,2,2043,183,64,225,,,,,
52013,阿斯布幽灵,3,26.5,7.6,5.2,2,267,77,53,146,,,,,
52024,暗黑的方德拉,4,45.5,9.2,5.6,2,458,93,57,167,,,,,
52025,暗黑的方德拉,5,52.4,11.9,5.8,2,525,120,59,186,,,,,
52034,洛根,4,41.8,10.5,5.4,2,423,106,55,169,,,,,
52035,洛根,5,49.2,14,5.6,2,495,141,57,187,,,,,
52045,黑暗阿辛多,5,74.3,16.8,5.6,2,744,169,57,189,,,,,
52046,黑暗阿辛多,6,136.7,23.5,5.8,2,1372,236,59,206,,,,,
53014,黑暗之灵,4,52.7,9.5,5.4,2,529,96,55,167,,,,,
53015,黑暗之灵,5,78.8,10.6,5.6,2,789,107,57,187,,,,,
53016,黑暗之灵,6,152.1,22.4,5.8,2,1523,225,59,203,,,,,
61014,费根,4,74.9,5.9,5.8,2,754,60,59,187,,,,,
61015,费根,5,86.3,8,6.1,2,867,81,62,206,,,,,
61025,阿斯莫德,5,102,12.2,6.1,2,1023,123,62,207,,,,,
61026,阿斯莫德,6,232,22.5,6.3,2,2325,226,64,227,,,,,
62014,神圣之灵,4,41.8,10.5,5.4,2,421,106,55,167,,,,,
62015,神圣之灵,5,60.3,13.6,5.6,2,604,137,57,187,,,,,
62016,神圣之灵,6,152.1,22.4,5.8,2,1523,225,59,203,,,,,
63014,门徒,4,41.8,10.5,5.4,2,422,106,55,158,,,,,
63015,门徒,5,48.3,13.6,5.6,2,486,137,57,177,,,,,
63025,基尔克,5,110.2,11.8,6.1,2,1104,119,62,179,,,,,
63026,基尔克,6,202.3,21.1,6.3,2,2025,212,64,194,,,,,
64013,圣童,3,26.7,7,5.4,2,268,71,55,173,,,,,
