活动开启天数,所属标签,活动id,活动标题,奖励,活动最大进度,活动条件,活动类型,领奖消耗,消耗折扣,领奖vip限制
3,2,7,自由竞技场积分达到1600分,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""2007"",""n"":2}",1600,,15,,10,0
3,3,8,拥有6个等级60以上的英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""2014"",""n"":2}",6,60,16,,10,0
3,3,9,拥有6个等级80以上的英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""2014"",""n"":2}",6,80,16,,10,0
3,3,10,拥有6个等级100以上的英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""2014"",""n"":2}",6,100,16,,10,0
3,3,11,拥有1个等级120以上的英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""2014"",""n"":4}",1,120,16,,10,0
3,3,12,拥有3个等级120以上的英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""2014"",""n"":4}",3,120,16,,10,0
3,4,13,全民半价,"{""a"":""item"",""t"":""2017"",""n"":2000}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":2000}",5,0
3,4,14,VIP3半价,"{""a"":""item"",""t"":""2018"",""n"":600}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":3600}",5,3
4,1,1,今日登录可领取,"{""a"":""attr"",""t"":""rmbmoney"",""n"":250},{""a"":""item"",""t"":""2014"",""n"":5}",1,,1,,10,0
4,1,2,开服累计充值1000元,"{""a"":""attr"",""t"":""rmbmoney"",""n"":2500},{""a"":""item"",""t"":""2011"",""n"":1}",1000,,2,,10,0
4,2,3,完成20个绿色品质以上悬赏任务,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""2014"",""n"":2}",20,1,17,,10,0
4,2,4,完成30个绿色品质以上悬赏任务,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""2014"",""n"":2}",30,1,17,,10,0
4,2,5,完成10个蓝色品质以上悬赏任务,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""2014"",""n"":2}",10,2,17,,10,0
4,2,6,完成10个紫色品质以上悬赏任务,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""2014"",""n"":4}",10,3,17,,10,0
4,2,7,完成10个橙色品质以上悬赏任务,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""2014"",""n"":4}",10,4,17,,10,0
4,3,8,刷新10次悬赏任务,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""2005"",""n"":100}",10,,18,,10,0
4,3,9,刷新20次悬赏任务,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""2005"",""n"":100}",20,,18,,10,0
4,3,10,刷新30次悬赏任务,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""2005"",""n"":100}",30,,18,,10,0
4,3,11,刷新50次悬赏任务,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""2005"",""n"":200}",50,,18,,10,0
4,3,12,刷新80次悬赏任务,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""2005"",""n"":200}",80,,18,,10,0
4,4,13,全民半价,"{""a"":""item"",""t"":""2022"",""n"":500}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":1500}",5,0
4,4,14,VIP4半价,"{""a"":""item"",""t"":""2021"",""n"":250}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":3000}",5,4
5,1,1,今日登录可领取,"{""a"":""attr"",""t"":""rmbmoney"",""n"":300},{""a"":""equip"",""t"":""1041"",""n"":1}",1,,1,,10,0
5,1,2,开服累计充值2000元,"{""a"":""attr"",""t"":""rmbmoney"",""n"":5000},{""a"":""item"",""t"":""2005"",""n"":5000}",2000,,2,,10,0
5,2,3,十字军远征通关第7关,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""4002"",""n"":10}",7,,19,,10,0
5,2,4,十字军远征通关第9关,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""4002"",""n"":10}",9,,19,,10,0
5,2,5,十字军远征通关第11关,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""4002"",""n"":10}",11,,19,,10,0
5,2,6,十字军远征通关第13关,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""4002"",""n"":15}",13,,19,,10,0
5,2,7,十字军远征通关第15关,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""4002"",""n"":15}",15,,19,,10,0
5,3,8,获得1个5星英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""4002"",""n"":10}",1,5,20,,10,0
5,3,9,获得3个5星英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""4002"",""n"":10}",3,5,20,,10,0
5,3,10,获得5个5星英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""4002"",""n"":10}",5,5,20,,10,0
5,3,11,获得1个6星英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""4002"",""n"":15}",1,6,20,,10,0
5,3,12,获得2个6星英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""4002"",""n"":15}",2,6,20,,10,0
5,4,13,全民半价,"{""a"":""item"",""t"":""2002"",""n"":6000}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":2000}",5,0
5,4,14,全民半价,"{""a"":""item"",""t"":""2005"",""n"":3000}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":3000}",5,0
6,1,1,今日登录可领取,"{""a"":""attr"",""t"":""rmbmoney"",""n"":350},{""a"":""item"",""t"":""2007"",""n"":5}",1,,1,,10,0
6,1,2,开服累计充值3000元,"{""a"":""attr"",""t"":""rmbmoney"",""n"":7500},{""a"":""item"",""t"":""2012"",""n"":400}",3000,,2,,10,0
6,2,3,6个英雄宝石达到绿色1星,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""2007"",""n"":2}",6,3,21,,10,0
6,2,4,6个英雄宝石达到绿色2星,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""2007"",""n"":2}",6,4,21,,10,0
6,2,5,6个英雄宝石达到蓝色1星,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""2007"",""n"":2}",6,5,21,,10,0
6,2,6,6个英雄宝石达到蓝色3星,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""2007"",""n"":3}",6,7,21,,10,0
6,2,7,6个英雄宝石达到紫色2星,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""2007"",""n"":3}",6,9,21,,10,0
6,3,8,魔法转盘抽取40次,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""2005"",""n"":150}",40,,22,,10,0
6,3,9,魔法转盘抽取60次,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""2005"",""n"":150}",60,,22,,10,0
6,3,10,魔法转盘抽取80次,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""2005"",""n"":150}",80,,22,,10,0
6,3,11,魔法转盘抽取100次,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""2005"",""n"":300}",100,,22,,10,0
6,3,12,魔法转盘抽取120次,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""2005"",""n"":300}",120,,22,,10,0
6,4,13,全民半价,"{""a"":""item"",""t"":""2007"",""n"":80}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":4000}",5,0
6,4,14,VIP5半价,"{""a"":""item"",""t"":""3003"",""n"":50}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":7500}",5,5
7,1,1,今日登录可领取,"{""a"":""attr"",""t"":""rmbmoney"",""n"":400},{""a"":""item"",""t"":""63015"",""n"":50}",1,,1,,10,0
7,1,2,开服累计充值5000元,"{""a"":""attr"",""t"":""rmbmoney"",""n"":15000},{""a"":""item"",""t"":""63025"",""n"":50}",5000,,2,,10,0
7,2,3,融合祭坛合成1个5星英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""2012"",""n"":15}",1,5,23,,10,0
7,2,4,融合祭坛合成3个5星英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""2012"",""n"":15}",3,5,23,,10,0
7,2,5,融合祭坛合成1个6星英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""2012"",""n"":15}",1,6,23,,10,0
7,2,6,融合祭坛合成2个6星英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""2012"",""n"":20}",2,6,23,,10,0
7,2,7,融合祭坛合成3个6星英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""2012"",""n"":20}",3,6,23,,10,0
7,3,8,玩家等级达到40级,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""2012"",""n"":15}",40,,24,,10,0
7,3,9,玩家等级达到50级,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""2012"",""n"":15}",50,,24,,10,0
7,3,10,玩家等级达到60级,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""2012"",""n"":15}",60,,24,,10,0
7,3,11,玩家等级达到65级,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""2012"",""n"":20}",65,,24,,10,0
7,3,12,玩家等级达到70级,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""2012"",""n"":20}",70,,24,,10,0
7,4,13,全民半价,"{""a"":""item"",""t"":""61015"",""n"":50}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":5000}",5,0
7,4,14,VIP6半价,"{""a"":""item"",""t"":""63025"",""n"":50}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":12000}",5,6
