引导编号,引导组号,引导类型,是否跳组,触发条件,类型参数,依赖界面,可跳过引导,引导内容,配音,说明,是否遮罩,引导前执行,手指点击,后续引导触发条件,后续引导,后续触发条件说明,
260,6,3,0,,,,0,closeFightWithWin,,,0,,,closeFightOver,7_270,,
270,7,2,0,,1,frame:tanxian,0,战斗胜利，我们可以领取探险<font color=#fe6600>通关奖励</font>了。,xinshou110.mp3,文字泡同时引导点击通关奖励按钮,0,,G.frame.tanxian.nodes.btn_tgjl,tanxian_tgprize_showover,7_280,探险界面-通关奖励界面绘制成功后继续,
280,7,4,0,,,,0,,,点击领取第一个奖励,0,,G.frame.tanxian_tgprize.nodes._firstLQBtn,ajax_tanxian_recpassprize,7_290,探险界面-通关奖励界面-奖励显示弹窗绘制成功后继续,
290,7,4,1,,,,0,,,,0,,,jiangliShowOver,7_300,,
300,7,4,0,,,,0,,,关闭奖励界面,0,,G.frame.jiangli.nodes.btn_qr2,,7_310,,
310,7,4,0,,,,0,,,关闭通关奖励界面。,0,,G.frame.tanxian_tgprize.nodes.btn_guanbi,,8_320,,
320,8,2,0,,1,fun:mainview,0,太好了，得到了<font color=#fe6600>英雄碎片</font>，快去<font color=#fe6600>背包合成</font>他吧！,xinshou120.mp3,文字泡同时引导点击背包,0,,G.view.mainMenu.nodes.btn_beibao,beibaoShowOver,8_330,背包界面绘制成功后继续,
330,8,4,0,,,,0,,,点击碎片背包页签,0,,G.frame.beibao.nodes.page_3,beibaoChangeTypeOver,8_340,背包碎片切页绘制成功后继续,
340,8,2,0,,1,,0,<font color=#fe6600>英雄碎片</font>是<font color=#fe6600>召唤英雄</font>的重要途径，点击即可合成！,xinshou130.mp3,文字泡同时引导进行点击刚刚获得的英雄碎片进行合成,0,,G.frame.beibao._firstItem,iteminfoShowOver,8_350,背包-碎片分页-第一个物品的详情弹窗弹出后继续,
350,8,4,0,,,,0,,,点击合成按钮,0,,G.frame.iteminfo.nodes.btn_hecheng,ajax_item_use,8_360,背包-碎片分页-第一个物品的详情弹窗-合成弹窗绘制成功后继续,
360,8,4,1,,,,0,,,,0,,,jiangliShowOver,8_370,,
370,8,4,0,,,,0,,,点击领取按钮,0,,G.frame.jiangli.nodes.btn_qr2,,9_380,背包-碎片分页-第一个物品的详情弹窗-合成弹窗-奖励显示界面绘制成功后继续,
380,9,1,0,,,fun:mainview,0,我们需要<font color=#fe6600>升级英雄</font>获得更强大的力量去战胜灭世之龙！,xinshou140.mp3,文字泡同时引导点击英雄按钮,1,,,,9_390,英雄界面绘制成功后继续,
390,9,4,0,,,,0,,,,0,,G.view.mainMenu.nodes.btn_yingxiong,yingxiongOpenOver,9_400,,
400,9,4,0,,,,0,,,点击列表第一个英雄,0,,G.frame.yingxiong._firstItem,yingxiong_xxxxOpenOver,10_410,英雄界面-第一个英雄升级界面绘制成功后继续,
410,10,2,0,,1,fun:yingxiong_xxxx_panel1,0,<font color=#fe6600>升级英雄？</font>不错主意！<font color=#fe6600>金币</font>和<font color=#fe6600>经验</font>足够时，点击这里。,xinshou150.mp3,文字泡同时引导点击一次升级按钮,0,,G.frame.yingxiong_xxxx._panels.1.nodes.btn_up,hero_lvup_over,11_420,,
420,11,2,0,,1,fun:yingxiong_xxxx_panel1,0,变强了不少，再<font color=#fe6600>升级</font>一次吧。,,文字泡同时引导点击一次升级按钮,0,,G.frame.yingxiong_xxxx._panels.1.nodes.btn_up,hero_lvup_over,12_430,,
430,12,2,0,,1,fun:yingxiong_xxxx_panel1,0,干的漂亮，让我们再试一次<font color=#fe6600>升级</font>吧。,,文字泡同时引导点击一次升级按钮,0,,G.frame.yingxiong_xxxx._panels.1.nodes.btn_up,hero_lvup_over,13_440,,
440,13,2,0,,1,fun:yingxiong_xxxx_panel1,0,英雄已经远远超过之前了，让我们最后一次<font color=#fe6600>升级</font>吧。,,文字泡同时引导点击一次升级按钮,0,,G.frame.yingxiong_xxxx._panels.1.nodes.btn_up,hero_lvup_over,14_450,,
450,14,2,0,,1,fun:yingxiong_xxxx_panel1,0,每个英雄都有一个神装梦，现在为英雄穿戴些<font color=#fe6600>装备</font>吧！,xinshou170.mp3,文字泡同时引导点击装备页签,0,,G.frame.yingxiong_xxxx.topMenu.btns.menuBtn2,yingxiong_xxxxChangeTypeOver,15_460,英雄界面-第一个英雄强化界面绘制成功后继续,
460,15,4,0,,,fun:yingxiong_xxxx_panel2,0,,,点击一件穿戴按钮。,0,,G.frame.yingxiong_xxxx._panels.2.nodes.btn_1,ajax_hero_yjwear,15_470,,
470,15,4,1,,,,0,,,,0,,,yingxiong_zb_yjcd_over,15_480,,
480,15,2,0,,1,,0,虽然不算什么强大的装备，但总算凑活能用。,xinshou180.mp3,,0,,G.frame.yingxiong_xxxx._panels.2.nodes.btn_fanhui,,16_490,,
490,16,2,0,,1,fun:mainview,0,让我们继续探索森海山脉吧。,,文字泡同时引导点击探险按钮,0,,G.view.mainMenu.nodes.btn_tanxian,tanxianOpenOver,16_500,探险界面绘制成功后继续,
500,16,2,0,,1,,0,现在前往下一关！,,文字泡同时引导点击下一关,0,,G.frame.tanxian.nodes.btn_xyg,changeGuanqiaOver,17_510,探险界面绘制成功后继续,
510,17,1,0,,,frame:tanxian,0,在森海山脉<font color=#fe6600>挂机</font>可获得丰厚奖励，快看看都获取了什么！,xinshou200.mp3,文字泡同时引导点击获取按钮,1,,,,17_520,探险界面-探险挂机领取后的奖励显示界面绘制成功后继续,
520,17,4,0,,,,0,,,,0,,G.frame.tanxian.nodes.box,ajax_tanxian_recgjprize,17_530,,
530,17,4,1,,,,0,,,,0,,,jiangliShowOver,17_540,,
540,17,4,0,,,,0,,,关闭领取奖励界面,0,,G.frame.jiangli.nodes.btn_qr2,,18_550,,
550,18,2,0,,1,frame:tanxian,0,尊敬的勇者准备好新的战斗了么？,,文字泡同时引导点击挑战领主按钮,0,,G.frame.tanxian.nodes.btn_tzlz,yingxiong_zhongzu_xuanze_over,18_560,探险界面-英雄出战界面加载,
560,18,2,0,,1,,0,新英雄是个<font color=#fe6600>靠谱的坦克</font>哦，他能为其它英雄抵挡伤害！,xinshou210.mp3,文字泡同时引导点击英雄,0,,G.frame.yingxiong_fight.bottom._headUI.2,yingxiong_fight_playAniMove_over,18_570,英雄头像飞入动画结束后继续,
570,18,1,0,,,,0,有时候你可以像这样<font color=#fe6600>拖动英雄更换位置</font>，让出战阵容更合理。,,,1,,,,18_580,,
580,18,3,0,,,,0,moveHeroPos,,出现出战教学界面，交换成功后，进行下一步,0,,,moveHeroPosOver,18_590,,
590,18,4,0,,,,0,,,点击战斗按钮，战斗出来后进行下一步,0,,G.frame.yingxiong_fight.top.nodes.btn_kz,ajax_tanxian_fightboss,18_600,,
600,18,4,1,,,,0,,,,0,,,fightWin_showOver,18_610,,
610,18,3,0,,,,0,closeFightWithWin,,,0,,,closeFightOver,20_620,,
620,20,2,0,,1,frame:tanxian,0,现在可以前往下一个关卡了。,xinshou230.mp3,文字泡同时点击下一关,0,,G.frame.tanxian.nodes.btn_xyg,ajax_tanxian_changegjmap,20_630,,
630,20,4,1,,,,0,,,,0,,,changeGuanqiaOver,20_640,,
640,20,1,0,,,,0,要记得经常领取战利品来增强自己的实力哦，离线挂机每次<font color=#fe6600>最多累计8小时</font>！,xinshou240.mp3,,1,,,,21_650,,
650,21,2,0,,1,frame:tanxian,0,再次挑战深海山脉吧！,,文字泡同时点击挑战领主按钮,0,,G.frame.tanxian.nodes.btn_tzlz,yingxiong_zhongzu_xuanze_over,21_660,,
660,21,2,0,,1,,0,对战<font color=#fe6600>克制</font>的种族会有<font color=#fe6600>25%伤害的额外加成</font>哦！,xinshou250.mp3,文字泡同时点击战斗界面的帮助信息按钮,0,,G.frame.yingxiong_fight.top.nodes.btn_tishi,fight_zzkezhiOpenOver,21_670,,
670,21,4,0,,,,0,,,关闭帮助信息界面,0,,G.frame.fight_zzkezhi.nodes.txt_djgb,,21_680,,
680,21,4,0,,,,0,,,文字泡同时引导点击开战按钮，回到探险界面后触发后续引导,0,,G.frame.yingxiong_fight.top.nodes.btn_kz,ajax_tanxian_fightboss,21_690,,
690,21,4,1,,,,0,,,,0,,,fightWin_showOver,21_700,,
700,21,3,0,,,,0,closeFightWithWin,,,0,,,closeFightOver,22_710,,
710,22,1,0,,,frame:tanxian,0,听说你的英勇事迹后，村民给你送来了<font color=#fe6600>全村最好的武器</font>，快去领取吧！,xinshou260.mp3,文字泡同时点击主城按钮,1,,,,22_720,,
720,22,4,0,,,,0,,,,0,,G.view.mainMenu.nodes.btn_haoyou,zhucheng_aniOver,22_730,,
730,22,2,0,,1,,0,每隔一段时间就可以在这里领取一份奖励，不要忘记哦！,xinshou270.mp3,文字泡同时引导点击新手奖励,0,,G.view.mainView.nodes.xsjl_dh,zaixianjiangli_openOver,22_740,,
740,22,4,0,,,,0,,,引导点击领取按钮,0,,G.frame.zaixianjiangli._firstItem,ajax_onlineprize_open,22_750,,
750,22,4,1,,,,0,,,,0,,,jiangliShowOver,22_760,,
760,22,4,0,,,,0,,,关闭奖励界面,0,,G.frame.jiangli.nodes.btn_qr2,,22_770,,
770,22,4,0,,,,0,,,关闭新手奖励界面,0,,G.frame.zaixianjiangli.nodes.txt_djgb,,23_780,,
780,23,2,0,,1,fun:mainview,0,每天登录都有丰厚的<font color=#fe6600>签到奖励</font>可以领取。,xinshou280.mp3,文字泡同时引导点击精彩活动按钮,0,,G.view.mainView.nodes.btn_jchd,huodong_setContents_over,23_790,,
790,23,4,0,,,,0,,,点击签到按钮。,0,,G.frame.huodong._panels.nodes.btn_sign,ajax_sign_getprize,23_800,,
800,23,4,1,,,,0,,,,0,,,jiangliShowOver,23_810,,
810,23,4,0,,,,0,,,关闭领奖界面。,0,,G.frame.jiangli.nodes.btn_qr2,,23_820,,
820,23,4,0,,,,0,,,关闭活动界面。,0,,G.frame.huodong.nodes.btn_fh,,24_830,,
830,24,3,0,,btn_zhd,fun:mainview,0,scrollToBuild,,滑动到杂货铺附近,0,,,scrollToBuildOver,24_840,,
840,24,2,0,,1,,0,快看，<font color=#fe6600>杂货铺</font>又有好东西了。,,文字泡同时引导点击杂货店,0,,G.view.mainView.nodes.btn_zhd,zhahuodian_setContent_over,24_850,,
850,24,2,0,,1,,0,竟然有能在英雄祭坛进行先祖祭祀的<font color=#fe6600>先祖印记</font>，赶快买下来！,,文字泡同时点击购买这个先祖印记,0,,G.frame.zahuodian._firstItem,alert_open_over,24_860,,
860,24,4,0,,,,0,,,确定购买杂货铺物品,0,,G.frame.alert._okbtn,ajax_zahuopu_buy,24_870,,
870,24,4,1,,,,0,,,,0,,,jiangliShowOver,24_880,,
880,24,4,0,,,,0,,,关闭领奖界面。,0,,G.frame.jiangli.nodes.btn_qr2,,24_890,,
890,24,4,0,,,,0,,,点击返回按钮。,0,,G.frame.zahuodian.nodes.btn_guanbi,,25_900,,
900,25,3,0,,btn_yxjt,fun:mainview,0,scrollToBuild,,滑动到英雄祭坛附近,0,,,scrollToBuildOver,25_910,,
910,25,4,0,,,,0,,,点击英雄祭坛。,0,,G.view.mainView.nodes.btn_yxjt,choukaOpenOver,25_920,,
920,25,1,0,,,,0,在英雄祭坛，用<font color=#fe6600>先祖印记</font>进行<font color=#fe6600>先祖祭祀</font>吧。,xinshou310.mp3,文字泡同时引导点击高级召唤单抽按钮,1,,,,25_930,,
930,25,4,0,,,,0,,,,0,,G.frame.chouka.nodes.gjjs_btn_1,ajax_jitan_chouka,25_940,,
940,25,4,1,,,,0,,,,0,,,chouka_hdyx_one_over,25_950,,
950,25,4,0,,,,0,,,点击领取按钮。,0,,G.frame.chouka_hdyx.nodes.btn_qd,,25_960,,
960,25,4,0,,,,0,,,点击返回按钮。,0,,G.frame.chouka.nodes.btn_fh,,26_970,,
970,26,2,0,,1,fun:mainview,0,想要快速成长起来，我们要学会更快的探索大陆。,,文字泡同时引导点击探险,0,,G.view.mainMenu.nodes.btn_tanxian,tanxianOpenOver,26_980,,
980,26,2,0,,1,,0,<font color=#fe6600>快速探险</font>能迅速提升等级，并获得大量经验。,xinshou330.mp3,文字泡同时点击快速探险,0,,G.frame.tanxian.nodes.btn_kstx,tanxian_kstx_showover,26_990,,
990,26,4,0,,,,0,,,点击确定，关闭奖励领取界面后，触发后续引导,0,,G.frame.tanxian_kstx.nodes.btn_kstx,ajax_tanxian_fasttx,26_1000,,
1000,26,4,1,,,,0,,,,0,,,jiangliShowOver,26_1010,,
1010,26,4,0,,,,0,,,关闭领奖界面。,0,,G.frame.jiangli.nodes.btn_qr2,,27_1020,,
1020,27,1,0,,,frame:tanxian,0,希望你能尽快成长起来，再次创造你的英勇传说。,xinshou340.mp3,,1,,,,27_1030,,
1030,27,2,0,,1,,0,新的冒险等待着你哦，快去探险吧！,,文字泡同时引导点击下一关按钮,0,,G.frame.tanxian.nodes.btn_xyg,ajax_tanxian_changegjmap,28_1040,,
1040,28,1,0,,,frame:tanxian,0,尊敬的勇者，你还记得当初与你并肩作战的圣贤么，他们的<font color=#fe6600>神器</font>经历千年风霜已经力量枯竭。,xinshou350.mp3,,1,,,,28_1050,,
1050,28,1,0,,,,0,你的力量可以重新<font color=#fe6600>激活神器</font>上的屠龙之力，灭世巨龙即将苏醒，唯有你能<font color=#fe6600>跟随神器的指引</font>拯救我们。,xinshou360.mp3,,1,,,,28_1060,,
1060,28,3,0,,,,0,resumeshenqi,,,0,,,shenqianiover,28_1070,,
1070,28,4,0,,,,0,,,,0,,G.frame.tanxian.nodes.btn_sq,tulongzhiluOpenOver,28_1080,,
1080,28,2,0,,1,,0,跟随指引就能重新激活这5把先贤神器。,,,0,,G.frame.shenqi.nodes.btn_hmzr,shenqi_infoOpenOver,28_1090,,
1090,28,1,0,,,,0,神器上铭刻着先贤的意志，激活神器可以获得强大的<font color=#fe6600>神器属性和技能</font>加成。,xinshou370.mp3,,1,,,,28_1100,,
1100,28,1,0,,,,0,先尝试<font color=#fe6600>激活部分神器</font>的屠龙之力，我等待着你<font color=#fe6600>恢复往日的力量</font>！,xinshou380.mp3,,1,,,,28_1110,,
1110,28,4,0,,,,0,,,,0,,G.frame.shenqi_info.nodes.btnfirst,ajax_artifact_receive,28_1120,,
1120,28,4,1,,,,0,,,,0,,,jiangliShowOver,28_1130,,
1130,28,4,0,,,,0,,,,0,,G.frame.jiangli.nodes.btn_qr2,,28_1140,,
1140,28,1,0,,,,0,现在让我们跟随神器的引导前往<font color=#fe6600>森海山脉探险</font>，早日激活神器！,xinshou390.mp3,,1,,,,28_1150,,
1150,28,4,0,,,,0,,,,0,,G.frame.shenqi_info.nodes.btn_tanxian,tanxianOpenOver,28_1160,,
1160,28,1,0,,,,0,新的功能“魔法转盘”将在14级开启，勇者大人请<font color=#fe6600>挑战关卡</font>努力升级变强吧！,,,1,,,,28_1170,,
1170,28,4,0,,,,0,,,,0,,G.frame.tanxian.nodes.btn_tzlz,,,,
11001,110,2,1,guanqia:10,1,,0,随着探索的深入，对手会越来越强，不要忘记培养英雄哦！,,,0,,G.frame.fight_fail.nodes.btn,woyaobainqiangOpenOver,110_11002,,
11002,110,1,0,,,,0,培养英雄有多种方法，在前期我们要多升级、进阶英雄。,,,1,,,,110_11003,,
11003,110,4,0,,,,0,,,,0,,G.frame.woyaobianqiang.btn_on,yingxiongOpenOver,110_11004,,
11004,110,4,0,,,,0,,,,0,,G.frame.yingxiong._firstItem,yingxiong_xxxxOpenOver,110_11005,,
11005,110,2,0,,1,,0,点击这里，让我们再升级一下英雄吧！,,,0,,G.frame.yingxiong_xxxx._panels.1.nodes.btn_up,,,,
11401,114,1,1,lv:14,,,1,<font color=#fe6600>魔法转盘</font>开启了，快去让世界见证你的实力吧！,,,1,,,,114_11402,,
11402,114,4,0,,,,0,,,,0,,G.view.mainMenu.nodes.btn_haoyou,,114_11403,,
11403,114,3,0,,btn_xyc,,0,scrollToBuild,,,0,,,scrollToBuildOver,114_11404,,
11404,114,2,0,,1,,0,太好运了，我们竟然获得了3个转盘币。,,,0,,G.view.mainView.nodes.btn_xyc,xuyuanchiOpenOver,114_11405,,
11405,114,1,0,,,,0,消耗<font color=#fe6600>转盘币</font>就可抽奖获取丰厚奖励哦！,,,1,,,,114_11406,,
11406,114,4,0,,,,0,,,,0,,G.frame.xuyuanchi.nodes.btn_1,xuyuanchi_hdjl_one_over,114_11407,,
11407,114,1,0,,,,1,听说在<font color=#fe6600>杂货铺</font>可以获得大量<font color=#fe6600>折扣转盘币</font>，不要错过哦！,,,1,,,,,,
11801,118,1,1,lv:18,,,1,<font color=#fe6600>自由竞技场</font>开启了，快去让世界见证你的实力吧！,xinshou440.mp3,,1,,,,118_11802,,
11802,118,4,0,,,,0,,,,0,,G.view.mainMenu.nodes.btn_haoyou,,118_11803,,
11803,118,3,0,,btn_jjc,,0,scrollToBuild,,,0,,,scrollToBuildOver,118_11804,,
11804,118,1,0,,,,1,<font color=#fe6600>每周挑战</font>一定次数竞技场，可以获得<font color=#fe6600>丰厚奖励</font>！,xinshou450.mp3,,1,,,,118_11805,,
11805,118,4,0,,,,0,,,,0,,G.view.mainView.nodes.btn_jjc,jingjichangOpenOver,118_11806,,
11806,118,2,0,,1,,0,每周<font color=#fe6600>竞技排名</font>奖励还能收获<font color=#fe6600>丰厚荣誉</font>，兑换传说英雄哦！,xinshou460.mp3,,0,,G.frame.jingjichang.nodes.img_zyjj,jingjichang_freepkOpenOver,118_11807,,
11807,118,1,0,,,,1,现在就整备好你的阵容去挑战对手吧！挑战后千万别忘了领取<font color=#fe6600>周宝箱奖励</font>哦！,xinshou470.mp3,,1,,,,,,
12001,120,1,1,lv:20,,,1,<font color=#fe6600>每日试炼</font>开启了，挑战可以获得丰厚培养材料！,xinshou480.mp3,,1,,,,120_12002,,
12002,120,4,0,,,,0,,,,0,,G.view.mainMenu.nodes.btn_haoyou,,120_12003,,
12003,120,3,0,,btn_mrsl,,0,scrollToBuild,,,0,,,scrollToBuildOver,120_12004,,
12004,120,2,0,,1,,0,每日试炼每天都有免费次数，记得不要浪费了哦！,xinshou490.mp3,,0,,G.view.mainView.nodes.btn_mrsl,meirishilianOpenOver,120_12005,,
12005,120,1,0,,1,,1,提升贵族等级还能获得更多挑战次数，提升等级还能解锁无畏试炼，获取大量英雄哦！,xinshou500.mp3,,1,,,,,,
12101,121,1,1,lv:21,,,1,<font color=#fe6600>公会功能</font>开启了，加入公会可以获得大量<font color=#fe6600>公会贡献</font>，兑换<font color=#fe6600>传说英雄</font>哦！,xinshou510.mp3,,1,,,,121_12102,,
12102,121,4,0,,,,0,,,,0,,G.view.mainMenu.nodes.btn_gonghui,gonghui_ghphOpenOver,121_12103,,
12103,121,1,0,,,,1,现在就加入或创建一个公会吧！挑战<font color=#fe6600>公会副本、公会捐献获取大量贡献</font>，提升<font color=#fe6600>公会技能获得大量属性</font>加成，快和公会成员一同努力吧！,,,1,,,,,,
12401,124,1,1,lv:24,,,1,<font color=#fe6600>巨龙神殿</font>开启了，挑战巨龙神殿不仅可以获得大量<font color=#fe6600>英雄进阶材料</font>，通关还奖励<font color=#fe6600>传说英雄</font>，让我们现在就去看看吧！,,,1,,,,124_12402,,
12402,124,4,0,,,,0,,,,0,,G.view.mainMenu.nodes.btn_haoyou,,124_12403,,
12403,124,3,0,,btn_fst,,0,scrollToBuild,,,0,,,scrollToBuildOver,124_12404,,
12404,124,2,0,,1,,0,巨龙神殿每层都有强力的怪物守护者，击败他们获得奖励！,,,0,,G.view.mainView.nodes.btn_fst,dafashitaOpenOver,124_12405,,
12405,124,1,0,,,,1,每挑战<font color=#fe6600>10层的怪物守护者</font>，就能获得一份神秘奖励哦！,,,1,,,,,,
12501,125,1,1,lv:25,,,1,<font color=#fe6600>英雄绘卷功能</font>开启了，使用远古绘卷将很<font color=#fe6600>高概率获得传说英雄</font>！还能通过黑暗精华将不需要的<font color=#fe6600>英雄转换为其他英雄</font>哦！,,,1,,,,,,
12801,128,1,1,lv:28,,,1,<font color=#fe6600>悬赏任务</font>开启了，完成悬赏任务可以获得丰厚奖励！完成高难度悬赏任务还能获得大量<font color=#fe6600>传说英雄、传说道具</font>。 ,xinshou570.mp3,,1,,,,128_12802,,
12802,128,4,0,,,,0,,,,0,,G.view.mainMenu.nodes.btn_haoyou,,128_12803,,
12803,128,3,0,,btn_xsrw,,0,scrollToBuild,,,0,,,scrollToBuildOver,128_12804,,
12804,128,2,0,,1,,0,越高难度的悬赏，奖励越为丰厚，千万别错过！,,,0,,G.view.mainView.nodes.btn_xsrw,xuanshangrenwuOpenOver,128_12805,,
12805,128,1,0,,,,1,消耗悬赏积分即可接取悬赏任务，<font color=#fe6600>探险挂机</font>可以获得大量<font color=#fe6600>悬赏积分</font>，要记得领取哦！,xinshou580.mp3,,1,,,,,,
14001,140,1,1,lv:40,,,1,<font color=#fe6600>十字军远征</font>开启了，挑战远征可以获得大量金币还有声望，声望可以兑换丰厚奖励哦！ ,xinshou590.mp3,,1,,,,140_14002,,
14002,140,4,0,,,,0,,,,0,,G.view.mainMenu.nodes.btn_haoyou,,140_14003,,
14003,140,3,0,,btn_szjyz,,0,scrollToBuild,,,0,,,scrollToBuildOver,140_14004,,
14004,140,2,0,,1,,0,只有40级以上的强力英雄才能参与远征哦！,xinshou600.mp3,,0,,G.view.mainView.nodes.btn_szjyz,shizijunyuanzhengOpenOver,140_14005,,
14005,140,1,0,,,,1,每挑战3个远征的对手，就可以获得丰厚的远征军声望，试着战斗看看吧！,xinshou610.mp3,,1,,,,,,
15201,152,1,0,lv:52,,,1,守望者秘境开启了，现在就去挑战吧！,,,1,,,,152_15202,,
15202,152,4,0,,,,0,,,,0,,G.view.mainMenu.nodes.btn_haoyou,,152_15203,,
15203,152,3,0,,btn_dmj,fun:mainview,0,scrollToBuild,,移动到守望者秘境附近,0,,,scrollToBuildOver,152_15204,,
15204,152,2,0,,1,,0,挑战期间遇到地精商人可购买到超值商品哦！,,,0,,G.view.mainView.nodes.btn_dmj,shouwangzhemijingOpenOver,152_15205,,
15205,152,1,0,,,,1,选择本轮秘境挑战的5个强力英雄参加挑战吧！,,,1,,,,,,
