神器ID,神器等级,神器名字,神器编号,攻击加成,生命加成
2,33,落日神弓,2,1180,21545
2,34,落日神弓,2,1241,22742
2,35,落日神弓,2,1302,23939
2,36,落日神弓,2,1363,25136
2,37,落日神弓,2,1424,26333
2,38,落日神弓,2,1485,27530
2,39,落日神弓,2,1546,28727
2,40,落日神弓,2,1607,29924
2,41,落日神弓,2,1668,31121
2,42,落日神弓,2,1729,32318
2,43,落日神弓,2,1790,33515
2,44,落日神弓,2,1851,34712
2,45,落日神弓,2,1912,35909
2,46,落日神弓,2,1973,37106
2,47,落日神弓,2,2034,38303
2,48,落日神弓,2,2095,39500
2,49,落日神弓,2,2156,40697
2,50,落日神弓,2,2217,41894
2,51,落日神弓,2,2278,43091
2,52,落日神弓,2,2339,44288
2,53,落日神弓,2,2400,45485
2,54,落日神弓,2,2461,46682
2,55,落日神弓,2,2522,47879
2,56,落日神弓,2,2583,49076
2,57,落日神弓,2,2644,50273
2,58,落日神弓,2,2705,51470
2,59,落日神弓,2,2766,52667
2,60,落日神弓,2,2827,53864
2,61,落日神弓,2,2929,55859
2,62,落日神弓,2,3031,57854
2,63,落日神弓,2,3133,59849
2,64,落日神弓,2,3235,61844
2,65,落日神弓,2,3337,63839
2,66,落日神弓,2,3439,65834
2,67,落日神弓,2,3541,67829
2,68,落日神弓,2,3643,69824
2,69,落日神弓,2,3745,71819
2,70,落日神弓,2,3847,73814
2,71,落日神弓,2,3949,75809
2,72,落日神弓,2,4051,77804
2,73,落日神弓,2,4153,79799
2,74,落日神弓,2,4255,81794
2,75,落日神弓,2,4357,83789
2,76,落日神弓,2,4459,85784
2,77,落日神弓,2,4561,87779
2,78,落日神弓,2,4663,89774
2,79,落日神弓,2,4765,91769
2,80,落日神弓,2,4867,93764
2,81,落日神弓,2,4969,95759
2,82,落日神弓,2,5071,97754
2,83,落日神弓,2,5173,99749
2,84,落日神弓,2,5275,101744
2,85,落日神弓,2,5377,103739
2,86,落日神弓,2,5479,105734
2,87,落日神弓,2,5581,107729
2,88,落日神弓,2,5683,109724
2,89,落日神弓,2,5785,111719
2,90,落日神弓,2,5887,113714
2,91,落日神弓,2,6023,117305
2,92,落日神弓,2,6159,120896
2,93,落日神弓,2,6295,124487
2,94,落日神弓,2,6431,128078
2,95,落日神弓,2,6567,131669
2,96,落日神弓,2,6703,135260
2,97,落日神弓,2,6839,138851
2,98,落日神弓,2,6975,142442
2,99,落日神弓,2,7111,146033
2,100,落日神弓,2,7247,149624
2,101,落日神弓,2,7383,153215
2,102,落日神弓,2,7519,156806
2,103,落日神弓,2,7655,160397
2,104,落日神弓,2,7791,163988
2,105,落日神弓,2,7927,167579
2,106,落日神弓,2,8063,171170
2,107,落日神弓,2,8199,174761
2,108,落日神弓,2,8335,178352
2,109,落日神弓,2,8471,181943
2,110,落日神弓,2,8607,185534
2,111,落日神弓,2,8743,189125
2,112,落日神弓,2,8879,192716
2,113,落日神弓,2,9015,196307
2,114,落日神弓,2,9151,199898
2,115,落日神弓,2,9287,203489
2,116,落日神弓,2,9423,207080
2,117,落日神弓,2,9559,210671
2,118,落日神弓,2,9695,214262
2,119,落日神弓,2,9831,217853
2,120,落日神弓,2,9967,221444
3,1,神恩法阵,3,142,566
3,2,神恩法阵,3,170,1194
3,3,神恩法阵,3,198,1822
3,4,神恩法阵,3,226,2450
3,5,神恩法阵,3,254,3078
3,6,神恩法阵,3,282,3706
3,7,神恩法阵,3,310,4334
3,8,神恩法阵,3,338,4962
3,9,神恩法阵,3,366,5590
3,10,神恩法阵,3,394,6218
3,11,神恩法阵,3,422,6846
3,12,神恩法阵,3,450,7474
3,13,神恩法阵,3,478,8102
3,14,神恩法阵,3,506,8730
3,15,神恩法阵,3,534,9358
3,16,神恩法阵,3,562,9986
3,17,神恩法阵,3,590,10614
3,18,神恩法阵,3,618,11242
3,19,神恩法阵,3,646,11870
3,20,神恩法阵,3,674,12498
3,21,神恩法阵,3,702,13126
3,22,神恩法阵,3,730,13754
3,23,神恩法阵,3,758,14382
3,24,神恩法阵,3,786,15010
3,25,神恩法阵,3,814,15638
3,26,神恩法阵,3,842,16266
3,27,神恩法阵,3,870,16894
3,28,神恩法阵,3,898,17522
3,29,神恩法阵,3,926,18150
3,30,神恩法阵,3,954,18778
3,31,神恩法阵,3,1012,20031
3,32,神恩法阵,3,1070,21284
3,33,神恩法阵,3,1128,22537
3,34,神恩法阵,3,1186,23790
3,35,神恩法阵,3,1244,25043
3,36,神恩法阵,3,1302,26296
3,37,神恩法阵,3,1360,27549
3,38,神恩法阵,3,1418,28802
3,39,神恩法阵,3,1476,30055
3,40,神恩法阵,3,1534,31308
3,41,神恩法阵,3,1592,32561
3,42,神恩法阵,3,1650,33814
3,43,神恩法阵,3,1708,35067
3,44,神恩法阵,3,1766,36320
3,45,神恩法阵,3,1824,37573
3,46,神恩法阵,3,1882,38826
3,47,神恩法阵,3,1940,40079
3,48,神恩法阵,3,1998,41332
3,49,神恩法阵,3,2056,42585
3,50,神恩法阵,3,2114,43838
3,51,神恩法阵,3,2172,45091
3,52,神恩法阵,3,2230,46344
3,53,神恩法阵,3,2288,47597
3,54,神恩法阵,3,2346,48850
3,55,神恩法阵,3,2404,50103
3,56,神恩法阵,3,2462,51356
3,57,神恩法阵,3,2520,52609
3,58,神恩法阵,3,2578,53862
3,59,神恩法阵,3,2636,55115
3,60,神恩法阵,3,2694,56368
3,61,神恩法阵,3,2792,58456
3,62,神恩法阵,3,2890,60544
3,63,神恩法阵,3,2988,62632
3,64,神恩法阵,3,3086,64720
3,65,神恩法阵,3,3184,66808
3,66,神恩法阵,3,3282,68896
3,67,神恩法阵,3,3380,70984
3,68,神恩法阵,3,3478,73072
3,69,神恩法阵,3,3576,75160
3,70,神恩法阵,3,3674,77248
3,71,神恩法阵,3,3772,79336
3,72,神恩法阵,3,3870,81424
3,73,神恩法阵,3,3968,83512
3,74,神恩法阵,3,4066,85600
3,75,神恩法阵,3,4164,87688
3,76,神恩法阵,3,4262,89776
3,77,神恩法阵,3,4360,91864
3,78,神恩法阵,3,4458,93952
3,79,神恩法阵,3,4556,96040
3,80,神恩法阵,3,4654,98128
3,81,神恩法阵,3,4752,100216
3,82,神恩法阵,3,4850,102304
3,83,神恩法阵,3,4948,104392
3,84,神恩法阵,3,5046,106480
3,85,神恩法阵,3,5144,108568
3,86,神恩法阵,3,5242,110656
3,87,神恩法阵,3,5340,112744
3,88,神恩法阵,3,5438,114832
3,89,神恩法阵,3,5536,116920
3,90,神恩法阵,3,5634,119008
3,91,神恩法阵,3,5764,122767
3,92,神恩法阵,3,5894,126526
3,93,神恩法阵,3,6024,130285
3,94,神恩法阵,3,6154,134044
3,95,神恩法阵,3,6284,137803
3,96,神恩法阵,3,6414,141562
3,97,神恩法阵,3,6544,145321
3,98,神恩法阵,3,6674,149080
3,99,神恩法阵,3,6804,152839
3,100,神恩法阵,3,6934,156598
3,101,神恩法阵,3,7064,160357
3,102,神恩法阵,3,7194,164116
3,103,神恩法阵,3,7324,167875
3,104,神恩法阵,3,7454,171634
3,105,神恩法阵,3,7584,175393
3,106,神恩法阵,3,7714,179152
3,107,神恩法阵,3,7844,182911
3,108,神恩法阵,3,7974,186670
3,109,神恩法阵,3,8104,190429
3,110,神恩法阵,3,8234,194188
3,111,神恩法阵,3,8364,197947
3,112,神恩法阵,3,8494,201706
3,113,神恩法阵,3,8624,205465
3,114,神恩法阵,3,8754,209224
3,115,神恩法阵,3,8884,212983
3,116,神恩法阵,3,9014,216742
3,117,神恩法阵,3,9144,220501
3,118,神恩法阵,3,9274,224260
3,119,神恩法阵,3,9404,228019
3,120,神恩法阵,3,9534,231778
4,1,真王巨剑,4,206,804
4,2,真王巨剑,4,237,1348
4,3,真王巨剑,4,268,1892
4,4,真王巨剑,4,299,2436
4,5,真王巨剑,4,330,2980
4,6,真王巨剑,4,361,3524
4,7,真王巨剑,4,392,4068
4,8,真王巨剑,4,423,4612
4,9,真王巨剑,4,454,5156
4,10,真王巨剑,4,485,5700
4,11,真王巨剑,4,516,6244
4,12,真王巨剑,4,547,6788
4,13,真王巨剑,4,578,7332
4,14,真王巨剑,4,609,7876
4,15,真王巨剑,4,640,8420
4,16,真王巨剑,4,671,8964
4,17,真王巨剑,4,702,9508
4,18,真王巨剑,4,733,10052
4,19,真王巨剑,4,764,10596
4,20,真王巨剑,4,795,11140
4,21,真王巨剑,4,826,11684
4,22,真王巨剑,4,857,12228
4,23,真王巨剑,4,888,12772
4,24,真王巨剑,4,919,13316
4,25,真王巨剑,4,950,13860
4,26,真王巨剑,4,981,14404
4,27,真王巨剑,4,1012,14948
4,28,真王巨剑,4,1043,15492
4,29,真王巨剑,4,1074,16036
4,30,真王巨剑,4,1105,16580
4,31,真王巨剑,4,1171,17686
4,32,真王巨剑,4,1237,18792
4,33,真王巨剑,4,1303,19898
4,34,真王巨剑,4,1369,21004
4,35,真王巨剑,4,1435,22110
4,36,真王巨剑,4,1501,23216
4,37,真王巨剑,4,1567,24322
4,38,真王巨剑,4,1633,25428
4,39,真王巨剑,4,1699,26534
4,40,真王巨剑,4,1765,27640
4,41,真王巨剑,4,1831,28746
4,42,真王巨剑,4,1897,29852
4,43,真王巨剑,4,1963,30958
4,44,真王巨剑,4,2029,32064
4,45,真王巨剑,4,2095,33170
4,46,真王巨剑,4,2161,34276
4,47,真王巨剑,4,2227,35382
4,48,真王巨剑,4,2293,36488
4,49,真王巨剑,4,2359,37594
4,50,真王巨剑,4,2425,38700
4,51,真王巨剑,4,2491,39806
4,52,真王巨剑,4,2557,40912
4,53,真王巨剑,4,2623,42018
4,54,真王巨剑,4,2689,43124
4,55,真王巨剑,4,2755,44230
4,56,真王巨剑,4,2821,45336
4,57,真王巨剑,4,2887,46442
4,58,真王巨剑,4,2953,47548
4,59,真王巨剑,4,3019,48654
4,60,真王巨剑,4,3085,49760
4,61,真王巨剑,4,3196,51603
4,62,真王巨剑,4,3307,53446
4,63,真王巨剑,4,3418,55289
4,64,真王巨剑,4,3529,57132
4,65,真王巨剑,4,3640,58975
4,66,真王巨剑,4,3751,60818
4,67,真王巨剑,4,3862,62661
4,68,真王巨剑,4,3973,64504
4,69,真王巨剑,4,4084,66347
4,70,真王巨剑,4,4195,68190
4,71,真王巨剑,4,4306,70033
4,72,真王巨剑,4,4417,71876
4,73,真王巨剑,4,4528,73719
4,74,真王巨剑,4,4639,75562
4,75,真王巨剑,4,4750,77405
4,76,真王巨剑,4,4861,79248
4,77,真王巨剑,4,4972,81091
4,78,真王巨剑,4,5083,82934
4,79,真王巨剑,4,5194,84777
4,80,真王巨剑,4,5305,86620
4,81,真王巨剑,4,5416,88463
4,82,真王巨剑,4,5527,90306
4,83,真王巨剑,4,5638,92149
4,84,真王巨剑,4,5749,93992
4,85,真王巨剑,4,5860,95835
4,86,真王巨剑,4,5971,97678
4,87,真王巨剑,4,6082,99521
4,88,真王巨剑,4,6193,101364
4,89,真王巨剑,4,6304,103207
4,90,真王巨剑,4,6415,105050
4,91,真王巨剑,4,6563,108368
4,92,真王巨剑,4,6711,111686
4,93,真王巨剑,4,6859,115004
4,94,真王巨剑,4,7007,118322
4,95,真王巨剑,4,7155,121640
4,96,真王巨剑,4,7303,124958
4,97,真王巨剑,4,7451,128276
4,98,真王巨剑,4,7599,131594
4,99,真王巨剑,4,7747,134912
4,100,真王巨剑,4,7895,138230
4,101,真王巨剑,4,8043,141548
4,102,真王巨剑,4,8191,144866
4,103,真王巨剑,4,8339,148184
4,104,真王巨剑,4,8487,151502
4,105,真王巨剑,4,8635,154820
4,106,真王巨剑,4,8783,158138
4,107,真王巨剑,4,8931,161456
4,108,真王巨剑,4,9079,164774
4,109,真王巨剑,4,9227,168092
4,110,真王巨剑,4,9375,171410
4,111,真王巨剑,4,9523,174728
4,112,真王巨剑,4,9671,178046
4,113,真王巨剑,4,9819,181364
4,114,真王巨剑,4,9967,184682
4,115,真王巨剑,4,10115,188000
4,116,真王巨剑,4,10263,191318
4,117,真王巨剑,4,10411,194636
4,118,真王巨剑,4,10559,197954
4,119,真王巨剑,4,10707,201272
4,120,真王巨剑,4,10855,204590
5,1,噬龙长枪,5,293,1530
5,2,噬龙长枪,5,320,2067
5,3,噬龙长枪,5,347,2604
5,4,噬龙长枪,5,374,3141
5,5,噬龙长枪,5,401,3678
5,6,噬龙长枪,5,428,4215
5,7,噬龙长枪,5,455,4752
5,8,噬龙长枪,5,482,5289
5,9,噬龙长枪,5,509,5826
5,10,噬龙长枪,5,536,6363
5,11,噬龙长枪,5,563,6900
5,12,噬龙长枪,5,590,7437
5,13,噬龙长枪,5,617,7974
5,14,噬龙长枪,5,644,8511
5,15,噬龙长枪,5,671,9048
5,16,噬龙长枪,5,698,9585
5,17,噬龙长枪,5,725,10122
5,18,噬龙长枪,5,752,10659
5,19,噬龙长枪,5,779,11196
5,20,噬龙长枪,5,806,11733
5,21,噬龙长枪,5,833,12270
5,22,噬龙长枪,5,860,12807
5,23,噬龙长枪,5,887,13344
5,24,噬龙长枪,5,914,13881
5,25,噬龙长枪,5,941,14418
5,26,噬龙长枪,5,968,14955
5,27,噬龙长枪,5,995,15492
5,28,噬龙长枪,5,1022,16029
5,29,噬龙长枪,5,1049,16566
5,30,噬龙长枪,5,1076,17103
5,31,噬龙长枪,5,1140,18244
5,32,噬龙长枪,5,1204,19385
5,33,噬龙长枪,5,1268,20526
5,34,噬龙长枪,5,1332,21667
5,35,噬龙长枪,5,1396,22808
5,36,噬龙长枪,5,1460,23949
5,37,噬龙长枪,5,1524,25090
5,38,噬龙长枪,5,1588,26231
5,39,噬龙长枪,5,1652,27372
5,40,噬龙长枪,5,1716,28513
5,41,噬龙长枪,5,1780,29654
5,42,噬龙长枪,5,1844,30795
5,43,噬龙长枪,5,1908,31936
5,44,噬龙长枪,5,1972,33077
5,45,噬龙长枪,5,2036,34218
5,46,噬龙长枪,5,2100,35359
5,47,噬龙长枪,5,2164,36500
5,48,噬龙长枪,5,2228,37641
5,49,噬龙长枪,5,2292,38782
5,50,噬龙长枪,5,2356,39923
5,51,噬龙长枪,5,2420,41064
5,52,噬龙长枪,5,2484,42205
5,53,噬龙长枪,5,2548,43346
5,54,噬龙长枪,5,2612,44487
5,55,噬龙长枪,5,2676,45628
5,56,噬龙长枪,5,2740,46769
5,57,噬龙长枪,5,2804,47910
5,58,噬龙长枪,5,2868,49051
5,59,噬龙长枪,5,2932,50192
5,60,噬龙长枪,5,2996,51333
5,61,噬龙长枪,5,3103,53234
5,62,噬龙长枪,5,3210,55135
5,63,噬龙长枪,5,3317,57036
5,64,噬龙长枪,5,3424,58937
5,65,噬龙长枪,5,3531,60838
5,66,噬龙长枪,5,3638,62739
5,67,噬龙长枪,5,3745,64640
5,68,噬龙长枪,5,3852,66541
5,69,噬龙长枪,5,3959,68442
5,70,噬龙长枪,5,4066,70343
5,71,噬龙长枪,5,4173,72244
5,72,噬龙长枪,5,4280,74145
5,73,噬龙长枪,5,4387,76046
5,74,噬龙长枪,5,4494,77947
5,75,噬龙长枪,5,4601,79848
5,76,噬龙长枪,5,4708,81749
5,77,噬龙长枪,5,4815,83650
5,78,噬龙长枪,5,4922,85551
5,79,噬龙长枪,5,5029,87452
5,80,噬龙长枪,5,5136,89353
5,81,噬龙长枪,5,5243,91254
5,82,噬龙长枪,5,5350,93155
5,83,噬龙长枪,5,5457,95056
5,84,噬龙长枪,5,5564,96957
5,85,噬龙长枪,5,5671,98858
5,86,噬龙长枪,5,5778,100759
5,87,噬龙长枪,5,5885,102660
5,88,噬龙长枪,5,5992,104561
5,89,噬龙长枪,5,6099,106462
5,90,噬龙长枪,5,6206,108363
5,91,噬龙长枪,5,6349,111786
5,92,噬龙长枪,5,6492,115209
5,93,噬龙长枪,5,6635,118632
5,94,噬龙长枪,5,6778,122055
5,95,噬龙长枪,5,6921,125478
5,96,噬龙长枪,5,7064,128901
5,97,噬龙长枪,5,7207,132324
5,98,噬龙长枪,5,7350,135747
5,99,噬龙长枪,5,7493,139170
5,100,噬龙长枪,5,7636,142593
5,101,噬龙长枪,5,7779,146016
5,102,噬龙长枪,5,7922,149439
5,103,噬龙长枪,5,8065,152862
5,104,噬龙长枪,5,8208,156285
5,105,噬龙长枪,5,8351,159708
5,106,噬龙长枪,5,8494,163131
5,107,噬龙长枪,5,8637,166554
5,108,噬龙长枪,5,8780,169977
5,109,噬龙长枪,5,8923,173400
5,110,噬龙长枪,5,9066,176823
5,111,噬龙长枪,5,9209,180246
5,112,噬龙长枪,5,9352,183669
5,113,噬龙长枪,5,9495,187092
5,114,噬龙长枪,5,9638,190515
5,115,噬龙长枪,5,9781,193938
5,116,噬龙长枪,5,9924,197361
5,117,噬龙长枪,5,10067,200784
5,118,噬龙长枪,5,10210,204207
5,119,噬龙长枪,5,10353,207630
5,120,噬龙长枪,5,10496,211053
