英雄ID,英雄名称,放置名称,评论ID,英雄种族,品质星级,职业,品质,模型,头像,十星模型,十星头像,升星材料,成长编号,被动开启等级,普攻,怒气,怒气图标,怒气名称,怒气描述,被动1,被动1名称,被动1描述,被动1图标,被动2,被动2名称,被动2描述,被动2图标,被动3,被动3名称,被动3描述,被动3图标
11076,冰霜骨龙,主宰者,1107,1,6,1,5,11076,11076,1107a,1107a,11075,11076,"[2,4,6]",2,11076012,skillico_007,冰霜吐息2,怒气技能：对敌方后排造成自身攻击100%的伤害并恢复自身100%攻击的等量生命,"""11076111"",""11076121""",不死亡灵2,被动效果：冰霜巨龙转化为的亡灵生物，身体强度大幅增加，生命增加36%，命中增加20%,skillico_209,"""11076214""",血源祭祀2,被动效果：敌方英雄发生格挡时，吸收敌方生命，使自己恢复66%攻击的等量生命（受控不触发）,skillico_210,"""11076314""",源生之血2,被动效果：冰霜骨龙身体里流淌着原生之血，每次普攻恢复自己36%攻击等量生命,skillico_211
11085,亡灵领主,巴德,1108,1,5,1,4,11085,11085,,,,11085,"[3,5]",4,11085012,skillico_008,死寂重斩,怒气技能：对敌方生命最少的目标造成自身攻击180%的伤害并降低目标24.5%攻击2回合,"""11085111"",""11085121""",不死亡灵,被动效果：人类领主转化为的亡灵生物，身体强度大幅增加，生命增加24%，破防增加20%,skillico_209,"""11085214"",""11085224""",狂暴意志,被动效果：站得住才有输出！每次普攻提升自己8.8%破防和8.8%暴击,skillico_212,,,,
11086,亡灵领主,巴德,1108,1,6,1,5,11086,11086,1108a,1108a,11085,11086,"[2,4,6]",4,11086012,skillico_008,死寂重斩2,怒气技能：对敌方生命最少的目标造成自身攻击210%的伤害并降低其28.5%攻击2回合,"""11086111"",""11086121""",不死亡灵2,被动效果：人类领主转化为的亡灵生物，身体强度大幅增加，生命增加36%，破防增加28%,skillico_209,"""11086214"",""11086224""",狂暴意志2,被动效果：站得住才有输出！每次普攻提升自己11.1%破防11.1%暴击,skillico_212,"""11086314""",伤痛咆哮2,被动效果：自身生命低于50%，亡灵领主将伤痛转化为力量，提升自己攻击63.3%，持续3回合（只触发一次）,skillico_213
12013,噩梦女妖,雪莉,1201,1,3,2,2,12013,12013,,,,12013,[2],7,12013012,skillico_009,尖叫冲击,怒气技能：对后排敌人造成100%攻击的伤害,"""12013111"",""12013121""",巫妖转换,被动效果：巫妖转换后的身体，使得攻击提升18%，血量提升15%,skillico_001,,,,,,,,
12024,幽暗大法师,死誓,1202,1,4,2,3,12024,12024,,,,12024,"[2,4]",7,12024012,skillico_009,死亡尖叫,怒气技能：对敌方随机2名目标造成自身攻击145%的伤害，每回合额外造成自身攻击10%的伤害，直至目标死亡,"""12024114""",死亡火焰,被动效果：普攻有100%概率施放点燃灵魂的火焰，使目标燃烧，每回合造成8%攻击的伤害，直至敌方英雄死亡,skillico_216,"""12024214""",火焰护罩,被动效果：穿有用冥火制造的斗篷，受到攻击时100%概率使目标燃烧，每回合造成11%攻击的伤害，直至敌方英雄死亡,skillico_217,,,,
12025,幽暗大法师,死誓,1202,1,5,2,4,12025,12025,,,,12025,"[3,5]",7,12025012,skillico_009,死亡尖叫,怒气技能：对敌方随机3名目标造成120%攻击伤害，每回合额外造成20%攻击的伤害，直至敌方英雄死亡,"""12025114""",死亡火焰,被动效果：普攻有100%概率施放点燃灵魂的火焰，使目标燃烧，每回合造成16%攻击的伤害，直至敌方英雄死亡,skillico_216,"""12025214""",火焰护罩,被动效果：穿有用冥火制造的斗篷，受到攻击时100%概率使目标燃烧，每回合造成13%攻击的伤害，直至敌方英雄死亡,skillico_217,,,,
12026,幽暗大法师,死誓,1202,1,6,2,5,12026,12026,,,12025,12026,"[2,4,6]",7,12026012,skillico_009,死亡尖叫2,怒气技能：对敌方随机4名目标造成100%攻击伤害，每回合额外造成30%攻击的伤害，直至敌方英雄死亡,"""12026114""",死亡火焰2,被动效果：普攻有100%概率施放点燃灵魂的火焰，使目标燃烧，每回合造成22%攻击的伤害，直至敌方英雄死亡,skillico_216,"""12026214""",火焰护罩2,被动效果：穿有用冥火制造的斗篷，受到攻击时100%概率使目标燃烧，每回合造成15%攻击的伤害，直至敌方英雄死亡,skillico_217,"""12026314""",无烬燃烧2,被动效果：英雄死亡时创造出不会熄灭的火焰，可使所有敌人燃烧，每回合造成25%攻击伤害，直至敌方英雄死亡,skillico_218
12035,血衣骨法,艾丹,1203,1,5,2,4,12035,12035,,,,12035,"[3,5]",6,12035012,skillico_010,暗影射线,怒气技能：对敌方全体造成77%攻击的伤害并有78%概率使战士目标禁魔2回合,"""12035114"",""12035124""",亡灵意志,被动效果：我方英雄死亡时，产生亡灵的意志，提升自己15.7%破防和10.2%攻击,skillico_209,"""12035211"",""12035221"",""12035231""",狂暴之心,被动效果：拥有狂暴之心，破防增加32%，生命增加24%，攻击增加24%,skillico_219,,,,
12036,血衣骨法,艾丹,1203,1,6,2,5,12036,12036,1203a,1203a,12035,12036,"[2,4,6]",6,12036012,skillico_010,暗影射线2,怒气技能：对敌方全体造成92%攻击的伤害并有78%概率使战士目标禁魔2回合,"""12036114"",""12035124""",亡灵意志2,被动效果：我方英雄死亡时，产生亡灵的意志，提升自己19.5%破防和15%攻击,skillico_209,"""12036211"",""12036221"",""12036231""",狂暴之心2,被动效果：拥有狂暴之心，破防增加32%，生命增加24%，攻击增加24%,skillico_219,"""12036314""",死亡波动2,被动效果：英雄死亡时，血衣骨法发出死亡波动，使全体敌方每回合受到28%攻击灼烧伤害，持续3回合,skillico_220
13012,亡灵侍卫,马克娜,1301,1,2,3,1,13012,13012,,,,13012,[2],5,13012012,skillico_005,邪恶火焰,怒气技能：对所有敌人造成40%伤害,"""13012114""",献祭仪式,被动效果：释放怒气技能时摄取敌人生命之力，使我方所有英雄恢复35%攻击的生命,skillico_221,,,,,,,,
13023,黑暗牧师,暗黑牧师,1302,1,3,3,2,13023,13023,,,,13023,[2],6,13023012,skillico_010,神秘能量,怒气技能：对敌方前排造成120%攻击伤害，并回复我方前排英雄55%攻击的血量,"""13023114""",黑暗震击,被动效果：普攻有15%概率释放出黑暗震击，使目标眩晕，持续1回合,skillico_201,,,,,,,,
13034,凋零法师,格伦,1303,1,4,3,3,13034,13034,,,,13034,"[2,4]",6,13034012,skillico_011,凋零冲击,怒气技能：对敌方前排造成125%攻击伤害并有32%的概率冰冻2回合，使生命最少的友军恢复100%攻击的等量生命,"""13034111"",""13034121""",不死亡灵,被动效果：使用了自己调制的混合药剂，使生命增加18%，命中增加15%,skillico_209,"""13034214""",神秘解放,被动效果：自身生命低于30%时，解放神秘的力量，提升自己攻击55%，持续3回合（只能触发一次）,skillico_213,,,,
13035,凋零法师,格伦,1303,1,5,3,4,13035,13035,,,,13035,"[3,5]",6,13035012,skillico_011,凋零冲击,怒气技能：对敌方前排造成136%攻击伤害并有36%的概率冰冻2回合，使生命最少的友军恢复140%攻击的等量生命,"""13035111"",""13035121""",不死亡灵,被动效果：使用了自己调制的混合药剂，使生命增加24%，命中增加20%,skillico_209,"""13035214""",神秘解放,被动效果：自身生命低于30%时，解放神秘的力量，提升自己攻击66%，持续3回合（只能触发一次）,skillico_213,,,,
13036,凋零法师,格伦,1303,1,6,3,5,13036,13036,,,13035,13036,"[2,4,6]",6,13036012,skillico_011,凋零冲击2,怒气技能：对敌方前排造成147%攻击伤害并有40%的概率冰冻2回合，使生命最少的友军恢复180%攻击的等量生命,"""13036111"",""13036121""",不死亡灵2,被动效果：使用了自己调制的混合药剂，使生命增加32%，命中增加30%,skillico_209,"""13036214""",神秘解放2,被动效果：自身生命低于30%时，解放神秘的力量，提升自己攻击88%，持续3回合（只能触发一次）,skillico_213,"""13036314""",恢复2,被动效果：凋零法师领悟到了魔法的真谛，普攻有100%概率使随机1名友军恢复88%自身攻击的等量生命,skillico_223
13045,亡魂医者,卡尔玛,1304,1,5,3,4,13045,13045,,,,13045,"[2,3,5]",2,13045012,skillico_012,石化能量,怒气技能：对敌方后排造成115%攻击伤害并有20%概率使目标石化2回合,"""13045114""",集中之力,被动效果：就算是亡魂，也有不喜欢杀戮的存在，医者将普通攻击变为攻击前排敌人，效果为88%的攻击伤害，并减少目标12%格挡3回合,skillico_224,"""13045211"",""13045221""",命中打击,被动效果：身为医者，能准确的激发自身的潜力，使得自身命中增加25%，攻击增加24%,skillico_225,"""13045314""",伤痛咆哮,完全激发了自身的潜力，自身生命低于50%，提升自己攻击61.1%，持续3回合（只触发一次）,skillico_213
13046,亡魂医者,卡尔玛,1304,1,6,3,5,13046,13046,1304a,1304a,13045,13046,"[2,4,6]",2,13046012,skillico_012,石化能量2,怒气技能：对敌方后排造成140%攻击伤害并有35%概率使目标石化2回合,"""13046114""",集中之力2,被动效果：就算是亡魂，也有不喜欢杀戮的存在，医者将普通攻击变为攻击前排敌人，效果为99%的攻击伤害，并减少目标18%格挡3回合,skillico_224,"""13046211"",""13046221""",命中打击2,被动效果：身为医者，能准确的激发自身的潜力，使得自身命中增加35%，攻击增加36%,skillico_225,"""13046314""",伤痛咆哮2,完全激发了自身的潜力，自身生命低于50%，提升自己攻击78.8%，持续3回合（只触发一次）,skillico_213
14013,食尸鬼,毒舌,1401,1,3,4,2,14013,14013,,,,14013,[2],1,14013012,skillico_013,腐蚀重击,怒气技能：对敌方单体造成160%攻击伤害，并使敌人流血3回合，每回合造成45%攻击伤害,"""14013111""",啃噬,被动效果：生活在阴暗世界的食尸鬼，啃噬生命精华，攻击永久增加25%,skillico_213,,,,,,,,
14024,暗影收割者,敛骨者,1402,1,4,4,3,14024,14024,,,,14024,"[2,4]",7,14024012,skillico_014,黑暗之袭,怒气技能：对敌方随机1名后排目标造成202%攻击伤害并增加自身12%破防2回合,"""14024111""",穿透,被动效果：手中武器极其锋利，提升收割者40%的破防,skillico_205,"""14024214""",死亡献祭,被动效果：敌方的死亡使得自己变得狂暴，提升自己暴击12%,skillico_212,,,,
14025,暗影收割者,敛骨者,1402,1,5,4,4,14025,14025,,,,14025,"[3,5]",7,14025012,skillico_014,黑暗之袭,怒气技能：对敌方随机2名后排目标造成156%攻击伤害并增加自身24%破防2回合,"""14025111""",穿透,被动效果：手中武器极其锋利，提升收割者64%的破防,skillico_205,"""14025214""",死亡献祭,被动效果：敌方的死亡使得自己变得狂暴，提升自己暴击18%,skillico_212,,,,
14026,暗影收割者,敛骨者,1402,1,6,4,5,14026,14026,,,14025,14026,"[2,4,6]",7,14026012,skillico_014,黑暗之袭2,怒气技能：对敌方随机2名后排目标造成195%攻击伤害并增加自身24%破防2回合,"""14026111"",""14026121""",穿透2,被动效果：手中武器极其锋利，提升收割者64%的破防，及12%的生命,skillico_205,"""14026214""",死亡献祭2,被动效果：敌方的死亡使得自己变得狂暴，提升自己暴击24%,skillico_212,"""14026314""",越战越勇2,被动效果：对于力量掌握到了极致，每次普攻提升自己22.2%暴击伤害,skillico_226
14035,死亡刺客,鲁特兹,1403,1,5,4,4,14035,14035,,,,14035,"[3,5]",7,14035012,skillico_014,疾影突袭,怒气技能：对敌方随机3名目标造成120%攻击伤害，对法师类目标有75%概率眩晕2回合,"""14035111"",""14035121""",刺客之心,被动效果：拥有刺客之心，抛弃一切恐惧，破防增加32%，攻击增加24%,skillico_227,"""14035214""",集中击杀,被动效果：追杀弱小的猎物，普通攻击变成攻击敌方生命最少的英雄，伤害为101%攻击效果，并减少目标12%防御,skillico_228,,,,
14036,死亡刺客,鲁特兹,1403,1,6,4,5,14036,14036,1403a,1403a,14035,14036,"[2,4,6]",7,14036012,skillico_014,疾影突袭2,怒气技能：对敌方随机4名目标造成136%攻击伤害，对法师类目标有75%概率眩晕2回合,"""14036111"",""14036121"",""14036131""",刺客之心2,被动效果：拥有刺客之心，抛弃一切恐惧，破防增加36%，攻击增加24%，生命增加12%,skillico_227,"""14036214""",集中击杀2,被动效果：追杀弱小的猎物，普通攻击变成攻击敌方生命最少的英雄，伤害为111%攻击效果，并减少目标16%防御,skillico_228,"""14036314"",""14036324""",血腥狂舞2,被动效果：行走在死亡的边缘，自身生命低于80%，提升自己破防33%，并持续回复自己303%攻击的等量生命5回合（只触发一次）,skillico_229
14045,幽冥狼王,沃尔特,1404,1,5,4,4,14045,14045,,,,14045,"[2,3,5]",9,14045012,skillico_060,狼牙天冲,怒气技能：对随机1名后排敌人造成181%攻击伤害，每回合额外造成35%中毒伤害，持续6回合，并有35%概率眩晕目标2回合。,"""14045111"",""14045121"",""14045131"",""14045114""",毒刃锁定,被动技能：天生拥有狼之敏锐，破防增加11%，攻击增加19%，生命增加8.5%，对中毒目标伤害增加10.5%,skillico_304,"""14045214""",野性咆哮,被动效果：体内携带特殊的病毒，普攻有100%概率使目标中毒，每回合持续造成32.5%攻击伤害持续6回合。,skillico_305,"""14045314""",隐秘之毒,被动效果：损失的鲜血，要用敌人的鲜血偿还，当生命低于60%时，使敌方后排随机2名目标中毒，每回合造成80%的攻击伤害，持续4回合。（只触发1次）,skillico_306
14046,幽冥狼王,沃尔特,1404,1,6,4,5,14046,14046,1404a,1404a,14045,14046,"[2,4,6]",9,14046012,skillico_060,狼牙天冲2,怒气技能：对随机2名后排敌人造成192%攻击伤害，每回合额外造成45%中毒伤害，持续6回合，并有42.5%概率眩晕目标2回合。,"""14046111"",""14046121"",""14046131"",""14046114""",毒刃锁定2,被动技能：天生拥有狼之敏锐，破防增加16%，攻击增加29%，生命增加12.5%，对中毒目标伤害增加15.5%,skillico_304,"""14046214""",野性咆哮2,被动效果：体内携带特殊的病毒，普攻有100%概率使目标中毒，每回合持续造成42.5%攻击伤害持续6回合。,skillico_305,"""14046314""",隐秘之毒2,被动效果：损失的鲜血，要用敌人的鲜血偿还，当生命低于60%时，使敌方后排随机2名目标中毒，每回合造成130%的攻击伤害，持续4回合。（只触发1次）,skillico_306
15014,鲜血女王,巴博,1501,1,4,5,3,15014,15014,,,,15014,"[2,4]",2,15014012,skillico_015,血腥穿刺,怒气技能：对全体敌人造成50%攻击伤害，并使自己伤害增加30%，持续2回合,"""15014111""",血族,被动效果：攻击提升20%,skillico_231,"""15014214""",嗜血,被动效果：每当我方英雄死亡，英雄技能伤害提升15%,skillico_262,,,,
15015,鲜血女王,巴博,1501,1,5,5,4,15015,15015,,,,15015,"[3,5]",2,15015012,skillico_015,血腥穿刺,怒气技能：对全体敌人造成65%攻击伤害，并使自己伤害增加40%，持续2回合,"""15015111""",血族,被动效果：攻击提升20%,skillico_231,"""15014214""",嗜血,被动效果：每当我方英雄死亡，英雄技能伤害提升15%,skillico_262,,,,
15024,地穴领主,兰姆,1502,1,4,5,3,15024,15024,,,,15024,"[2,4]",5,15024012,skillico_016,地穴突袭,怒气技能：对敌方前排造成145%攻击伤害并有45%概率沉默目标1回合,"""15024114""",狩猎时间,被动效果：普攻有20%概率眩晕目标1回合,skillico_232,"""15024211"",""15024221""",甲壳,被动效果：破防提升15%，暴击提升15%,skillico_272,,,,
15025,地穴领主,兰姆,1502,1,5,5,4,15025,15025,,,,15025,"[3,5]",5,15025012,skillico_016,地穴突袭,怒气技能：对敌方前排造成155%攻击伤害并有25%概率沉默目标2回合,"""15025114""",狩猎时间,被动效果：普攻有20%概率眩晕目标1回合,skillico_232,"""15024211"",""15024221""",甲壳,被动效果：破防提升15%，暴击提升15%,skillico_272,,,,
15035,暗影猎手,菲尔德,1503,1,5,5,4,15035,15035,,,,15035,"[2,3,5]",8,15035012,skillico_017,致命箭雨,怒气技能：对敌方随机3名目标造成100%攻击伤害并有66%概率使刺客类目标眩晕2回合,"""15035114""",击晕,被动效果：敏锐的猎手，擅长找到敌人的弱点，普攻有36%概率使目标眩晕，持续1回合,skillico_234,"""15035214""",乘胜追击,被动效果：对眩晕的目标乘胜追击，增加55%的额外伤害,skillico_228,"""15035311"",""15035321""",射手之心,被动效果：天生猎手，专找弱点，破防增加32%，攻击增加22%,skillico_232
15036,暗影猎手,菲尔德,1503,1,6,5,5,15036,15036,1503a,1503a,15035,15036,"[2,4,6]",8,15036012,skillico_017,致命箭雨2,怒气技能：对敌方随机4名目标造成99%攻击伤害并有77%概率使刺客类目标眩晕2回合,"""15036114""",击晕2,被动效果：敏锐的猎手，擅长找到敌人的弱点，普攻有48%概率使目标眩晕，持续1回合,skillico_234,"""15036214""",乘胜追击2,被动效果：对眩晕的目标乘胜追击，增加77%的额外伤害,skillico_228,"""15036311"",""15036321""",射手之心2,被动效果：天生猎手，专找弱点，破防增加32%，攻击增加33%,skillico_232
21014,山丘领主,风暴战斧,2101,2,4,1,3,21014,21014,,,,21014,"[2,4]",5,21014012,skillico_018,重锤雷击,怒气技能：对随机3个目标造成140%攻击伤害，并使自己伤害减免提升10%持续2回合,"""21014111"",""21014121""",举起盾牌,被动效果：身披重甲，伤害减免增加10%，生命增加10%,skillico_205,"""21014214""",盾牌猛击,被动技能：普攻有40%概率眩晕目标1回合,skillico_230,,,,
21015,山丘领主,风暴战斧,2101,2,5,1,4,21015,21015,,,,21015,"[3,5]",5,21015012,skillico_018,重锤雷击,怒气技能：对随机3个目标造成150%攻击伤害，并使自己伤害减免提升15%持续2回合,"""21015111"",""21015121""",举起盾牌,被动效果：身披重甲，伤害减免增加10%，生命增加10%,skillico_205,"""21014214""",盾牌猛击,被动技能：普攻有40%概率眩晕目标1回合,skillico_230,,,,
21024,山岩巨人,钢铁斑比,2102,2,4,1,3,21024,21024,,,,21024,"[2,4]",3,21024012,skillico_019,巨岩打击,怒气技能：对敌方后排造成自身攻击110%的伤害，并使自己伤害减免提升10%持续2回合,"""21024111""",防御,被动效果：岩石组成的身躯，防御提升35%,skillico_202,"""21024214""",岩石防御,被动效果：普攻提升自身护甲20%，持续2回合,skillico_202,,,,
21025,山岩巨人,钢铁斑比,2102,2,5,1,4,21025,21025,,,,21025,"[3,5]",3,21025012,skillico_019,巨岩打击,怒气技能：对敌方后排造成自身攻击120%的伤害，并使自己伤害减免提升15%持续2回合,"""21025111""",防御,被动效果：岩石组成的身躯，防御提升55%,skillico_202,"""21025214""",岩石防御,被动效果：普攻提升自身护甲40%，持续2回合,skillico_202,,,,
21034,奥丁战神,克里斯蒂安,2103,2,4,1,3,21034,21034,,,,21034,"[2,4]",4,21034012,skillico_020,守护圣击,怒气技能：对敌方生命最少的目标造成180%攻击伤害并对刺客类目标造成53%攻击的额外伤害,"""21034111"",""21034121""",战斗血液,被动效果：战斗的热血使得自身攻击增加12%，生命增加14%,skillico_210,"""21034214""",魔法失效,被动效果：强大的战士不需要懂得魔法！普攻有22%概率使目标禁魔，持续2回合,skillico_222,,,,
21035,奥丁战神,克里斯蒂安,2103,2,5,1,4,21035,21035,,,,21035,"[3,5]",4,21035012,skillico_020,守护圣击,怒气技能：对敌方生命最少的目标造成200%攻击伤害并对刺客类目标造成83%攻击的额外伤害,"""21035111"",""21035121""",战斗血液,被动效果：战斗的热血使得自身攻击增加22%，生命增加24%,skillico_210,"""21035214""",魔法失效,被动效果：强大的战士不需要懂得魔法！普攻有33%概率使目标禁魔，持续2回合,skillico_222,,,,
21036,奥丁战神,克里斯蒂安,2103,2,6,1,5,21036,21036,,,21035,21036,"[2,4,6]",4,21036012,skillico_020,守护圣击2,怒气技能：对敌方生命最少的目标造成216%攻击伤害并对刺客类目标造成100%额外伤害,"""21036111"",""21036121""",战斗血液2,被动效果：战斗的热血使得自身攻击增加28%，生命增加32%,skillico_210,"""21036214""",魔法失效2,被动效果：强大的战士不需要懂得魔法！普攻有44%概率使目标禁魔，持续2回合,skillico_222,"""21036314""",钢铁身躯2,被动效果：想干掉我？没这么容易！自身生命低于50%，提高自己伤害减免24.5%，持续4回合（只触发一次）,skillico_235
21045,暴风领主,荣耀守卫,2104,2,5,1,4,21045,21045,,,,21045,"[3,5]",5,21045012,skillico_021,烈焰之剑,怒气技能：对敌方后排造成77%攻击伤害并有18%概率使目标眩晕2回合,"""21045111"",""21045121""",战斗血液,被动效果：身为守卫者，强大的意志使得自身防御增加33%，生命增加24%,skillico_210,"""21045214""",以牙还牙,被动效果：你打疼我了！受到暴击有100%概率发动一次反击，造成99%的攻击伤害,skillico_201,,,,
21046,暴风领主,荣耀守卫,2104,2,6,1,5,21046,21046,2104a,2104a,21045,21046,"[2,4,6]",5,21046012,skillico_021,烈焰之剑2,怒气技能：对敌方后排造成88%攻击伤害并有28%概率使目标眩晕2回合,"""21046111"",""21046121""",战斗血液2,被动效果：身为守卫者，强大的意志使得自身防御增加44%，生命增加32%,skillico_210,"""21046214""",以牙还牙2,被动效果：你打疼我了！受到暴击有100%概率发动一次反击，造成120%的攻击伤害,skillico_201,"""21046314""",守护圣光2,被动效果：我的领民由我守护！自身生命低于50%，提升友军防御62.1%，持续3回合（只触发一次）,skillico_202
22012,虚灵飞龙,灰袍法师,2201,2,2,2,1,22012,22012,,,,22012,[2],2,22012012,skillico_022,法力吸取,怒气技能：对随机1名敌人造成160%伤害，并有50%概率冰冻敌人1回合,"""22012111""",虚灵之力,被动效果：身体介于虚无与真实之间，生命永久提升25%,skillico_034,,,,,,,,
22024,火焰凤凰,时间法师,2202,2,4,2,3,22024,22024,,,,22024,"[2,4]",2,22024012,skillico_023,烈焰冲击,怒气技能：对随机3名敌人造成125%攻击伤害，并使自身攻击增加10%，持续2回合,"""22024111""",奥术智慧,被动效果：领会了奥术，自身攻击增加20%,skillico_236,"""22024214""",焚炎,被动效果：英雄死亡时使得全体敌人燃烧2回合，造成45%攻击伤害,skillico_237,,,,
22025,火焰凤凰,时间法师,2202,2,5,2,4,22025,22025,,,,22025,"[3,5]",2,22025012,skillico_023,烈焰冲击,怒气技能：对随机4名敌人造成125%攻击伤害，并使自身攻击增加20%，持续2回合,"""22025111""",奥术智慧,被动效果：领会了奥术，自身攻击增加20%,skillico_236,"""22024214""",焚炎,被动效果：英雄死亡时使得全体敌人燃烧2回合，造成45%攻击伤害,skillico_237,,,,
22034,寒冰法师,塞拉,2203,2,4,2,3,22034,22034,,,,22034,"[2,4]",5,22034012,skillico_017,冰冻箭雨,怒气技能：对敌方全体造成50%攻击伤害并有10%概率使目标冰冻2回合,"""22034111"",""22034121""",魔法师的意志,被动效果：拥有魔法师的意志，攻击增加24%，生命增加18%,skillico_236,"""22034214""",冰霜之力,被动效果：运用寒冰之力，普攻有12%概率使目标冰冻，持续1回合,skillico_214,,,,
22035,寒冰法师,塞拉,2203,2,5,2,4,22035,22035,,,,22035,"[3,5]",5,22035012,skillico_017,冰冻箭雨,怒气技能：对敌方全体造成57%攻击伤害并有16%概率使目标冰冻2回合,"""22035111"",""22035121""",魔法师的意志,被动效果：拥有魔法师的意志，攻击增加32%，生命增加28%,skillico_236,"""22035214""",冰霜之力,被动效果：运用寒冰之力，普攻有24%概率使目标冰冻，持续1回合,skillico_214,,,,
22036,寒冰法师,塞拉,2203,2,6,2,5,22036,22036,,,22035,22036,"[2,4,6]",5,22036012,skillico_017,冰冻箭雨2,怒气技能：对敌方全体造成69%攻击伤害并有24%概率使目标冰冻2回合,"""22036111"",""22036121""",魔法师的意志2,被动效果：拥有魔法师的意志，攻击增加32%，生命增加28%,skillico_236,"""22036214""",冰霜之力2,被动效果：运用寒冰之力，普攻有24%概率使目标冰冻，持续1回合,skillico_214,"""22036314""",冰冻诅咒2,被动效果：英雄死亡时诅咒敌方全体，有11.1%概率使所有敌人冰冻，持续2回合,skillico_238
