饰品ID,饰品名称,饰品品质,饰品星级,饰品图标,战力,升星饰品ID,升星经验,分解经验,饰品属性,饰品技能,技能描述,专属种族,专属属性,出售
1034,秘法魔石,0,4,shipin_103,1000,,40,140,"""atk"":308","""103414""",+10.7%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":844}"
1041,战争手鼓,0,1,shipin_104,500,1042,40,20,"""atk"":156","""104114""",+5.5%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":234}"
1042,战争手鼓,0,2,shipin_104,650,1043,40,60,"""atk"":207","""104214""",+7.2%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":400}"
1043,战争手鼓,0,3,shipin_104,800,1044,40,100,"""atk"":256","""104314""",+8.8%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":647}"
1044,战争手鼓,0,4,shipin_104,1000,,40,140,"""atk"":308","""104414""",+10.7%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":812}"
1051,飞龙之骨,0,1,shipin_105,500,1052,40,20,"""atk"":156","""105114""",+5.5%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":221}"
1052,飞龙之骨,0,2,shipin_105,650,1053,40,60,"""atk"":207","""105214""",+7.2%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":437}"
1053,飞龙之骨,0,3,shipin_105,800,1054,40,100,"""atk"":256","""105314""",+8.8%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":600}"
1054,飞龙之骨,0,4,shipin_105,1000,,40,140,"""atk"":308","""105414""",+10.7%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":835}"
1061,翼纹之石,0,1,shipin_101,500,1012,40,20,"""hp"":1014","""101114""",+5.5%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":215}"
1062,翼纹之石,0,2,shipin_101,650,1013,40,60,"""hp"":1345","""101214""",+7.2%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":432}"
1063,翼纹之石,0,3,shipin_101,800,1014,40,100,"""hp"":1664","""101314""",+8.8%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":620}"
1064,翼纹之石,0,4,shipin_101,1000,,40,140,"""hp"":2002","""101414""",+10.7%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":835}"
1071,鬼眼之戒,0,1,shipin_102,500,1022,40,20,"""hp"":1014","""102114""",+5.5%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":238}"
1072,鬼眼之戒,0,2,shipin_102,650,1023,40,60,"""hp"":1345","""102214""",+7.2%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":440}"
1073,鬼眼之戒,0,3,shipin_102,800,1024,40,100,"""hp"":1664","""102314""",+8.8%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":615}"
1074,鬼眼之戒,0,4,shipin_102,1000,,40,140,"""hp"":2002","""102414""",+10.7%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":831}"
1081,秘法魔石,0,1,shipin_103,500,1032,40,20,"""hp"":1014","""103114""",+5.5%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":219}"
1082,秘法魔石,0,2,shipin_103,650,1033,40,60,"""hp"":1345","""103214""",+7.2%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":438}"
1083,秘法魔石,0,3,shipin_103,800,1034,40,100,"""hp"":1664","""103314""",+8.8%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":608}"
1084,秘法魔石,0,4,shipin_103,1000,,40,140,"""hp"":2002","""103414""",+10.7%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":844}"
1091,战争手鼓,0,1,shipin_104,500,1042,40,20,"""hp"":1014","""104114""",+5.5%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":234}"
1092,战争手鼓,0,2,shipin_104,650,1043,40,60,"""hp"":1345","""104214""",+7.2%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":400}"
1093,战争手鼓,0,3,shipin_104,800,1044,40,100,"""hp"":1664","""104314""",+8.8%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":647}"
1094,战争手鼓,0,4,shipin_104,1000,,40,140,"""hp"":2002","""104414""",+10.7%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":812}"
1101,飞龙之骨,0,1,shipin_105,500,1052,40,20,"""hp"":1014","""105114""",+5.5%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":221}"
1102,飞龙之骨,0,2,shipin_105,650,1053,40,60,"""hp"":1345","""105214""",+7.2%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":437}"
1103,飞龙之骨,0,3,shipin_105,800,1054,40,100,"""hp"":1664","""105314""",+8.8%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":600}"
1104,飞龙之骨,0,4,shipin_105,1000,,40,140,"""hp"":2002","""105414""",+10.7%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":835}"
2011,奥术之书,1,1,shipin_201,800,2012,180,40,"""atk"":250","""201114""",+9.3%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":1752}"
2012,奥术之书,1,2,shipin_201,1000,2013,180,220,"""atk"":308","""201214""",+11.2%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":2543}"
2013,奥术之书,1,3,shipin_201,1200,2014,180,400,"""atk"":372","""201314""",+13.2%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":3361}"
2014,奥术之书,1,4,shipin_201,1500,,180,580,"""atk"":456","""201414""",+16%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":4107}"
2021,魔能之石,1,1,shipin_202,800,2022,180,40,"""atk"":250","""202114""",+9.3%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":1700}"
2022,魔能之石,1,2,shipin_202,1000,2023,180,220,"""atk"":308","""202214""",+11.2%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":2506}"
2023,魔能之石,1,3,shipin_202,1200,2024,180,400,"""atk"":372","""202314""",+13.2%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":3362}"
2024,魔能之石,1,4,shipin_202,1500,,180,580,"""atk"":456","""202414""",+16%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":4143}"
2031,邪能雕像,1,1,shipin_203,800,2032,180,40,"""atk"":250","""203114""",+9.3%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":1723}"
2032,邪能雕像,1,2,shipin_203,1000,2033,180,220,"""atk"":308","""203214""",+11.2%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":2560}"
2033,邪能雕像,1,3,shipin_203,1200,2034,180,400,"""atk"":372","""203314""",+13.2%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":3371}"
2034,邪能雕像,1,4,shipin_203,1500,,180,580,"""atk"":456","""203414""",+16%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":4151}"
2041,秘法水晶,1,1,shipin_204,800,2042,180,40,"""atk"":250","""204114""",+9.3%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":1732}"
2042,秘法水晶,1,2,shipin_204,1000,2043,180,220,"""atk"":308","""204214""",+11.2%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":2550}"
2043,秘法水晶,1,3,shipin_204,1200,2044,180,400,"""atk"":372","""204314""",+13.2%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":3305}"
2044,秘法水晶,1,4,shipin_204,1500,,180,580,"""atk"":456","""204414""",+16%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":4162}"
2051,精灵之眼,1,1,shipin_205,800,2052,180,40,"""atk"":250","""205114""",+9.3%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":1715}"
2052,精灵之眼,1,2,shipin_205,1000,2053,180,220,"""atk"":308","""205214""",+11.2%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":2584}"
2053,精灵之眼,1,3,shipin_205,1200,2054,180,400,"""atk"":372","""205314""",+13.2%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":3370}"
2054,精灵之眼,1,4,shipin_205,1500,,180,580,"""atk"":456","""205414""",+16%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":4175}"
2061,奥术之书,1,1,shipin_201,800,2062,180,40,"""hp"":1625","""201114""",+9.3%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":1752}"
2062,奥术之书,1,2,shipin_201,1000,2063,180,220,"""hp"":2002","""201214""",+11.2%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":2543}"
2063,奥术之书,1,3,shipin_201,1200,2064,180,400,"""hp"":2418","""201314""",+13.2%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":3361}"
2064,奥术之书,1,4,shipin_201,1500,,180,580,"""hp"":2964","""201414""",+16%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":4107}"
2071,魔能之石,1,1,shipin_202,800,2072,180,40,"""hp"":1625","""202114""",+9.3%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":1700}"
2072,魔能之石,1,2,shipin_202,1000,2073,180,220,"""hp"":2002","""202214""",+11.2%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":2506}"
2073,魔能之石,1,3,shipin_202,1200,2074,180,400,"""hp"":2418","""202314""",+13.2%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":3362}"
2074,魔能之石,1,4,shipin_202,1500,,180,580,"""hp"":2964","""202414""",+16%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":4143}"
2081,邪能雕像,1,1,shipin_203,800,2082,180,40,"""hp"":1625","""203114""",+9.3%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":1723}"
2082,邪能雕像,1,2,shipin_203,1000,2083,180,220,"""hp"":2002","""203214""",+11.2%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":2560}"
2083,邪能雕像,1,3,shipin_203,1200,2084,180,400,"""hp"":2418","""203314""",+13.2%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":3371}"
2084,邪能雕像,1,4,shipin_203,1500,,180,580,"""hp"":2964","""203414""",+16%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":4151}"
2091,秘法水晶,1,1,shipin_204,800,2092,180,40,"""hp"":1625","""204114""",+9.3%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":1732}"
2092,秘法水晶,1,2,shipin_204,1000,2093,180,220,"""hp"":2002","""204214""",+11.2%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":2550}"
2093,秘法水晶,1,3,shipin_204,1200,2094,180,400,"""hp"":2418","""204314""",+13.2%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":3305}"
2094,秘法水晶,1,4,shipin_204,1500,,180,580,"""hp"":2964","""204414""",+16%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":4162}"
2101,精灵之眼,1,1,shipin_205,800,2102,180,40,"""hp"":1625","""205114""",+9.3%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":1715}"
2102,精灵之眼,1,2,shipin_205,1000,2103,180,220,"""hp"":2002","""205214""",+11.2%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":2584}"
2103,精灵之眼,1,3,shipin_205,1200,2104,180,400,"""hp"":2418","""205314""",+13.2%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":3370}"
2104,精灵之眼,1,4,shipin_205,1500,,180,580,"""hp"":2964","""205414""",+16%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":4175}"
3011,奥术之泉水,2,1,shipin_301,1200,3012,560,150,"""atk"":380","""301114""",+13.5%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":31457}"
3012,奥术之泉水,2,2,shipin_301,1400,3013,560,710,"""atk"":430","""301214""",+15.7%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":41608}"
3013,奥术之泉水,2,3,shipin_301,1600,3014,560,1270,"""atk"":486","""301314""",+17.8%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":51012}"
3014,奥术之泉水,2,4,shipin_301,1800,3015,560,1830,"""atk"":548","""301414""",+19.6%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":61160}"
3015,奥术之泉水,2,5,shipin_301,2000,,560,2390,"""atk"":606","""301514""",+21.6%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":71775}"
3021,亡灵精华,2,1,shipin_302,1200,3022,560,150,"""atk"":380","""302114""",+13.5%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":31489}"
3022,亡灵精华,2,2,shipin_302,1400,3023,560,710,"""atk"":430","""302214""",+15.7%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":41407}"
3023,亡灵精华,2,3,shipin_302,1600,3024,560,1270,"""atk"":486","""302314""",+17.8%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":51465}"
3024,亡灵精华,2,4,shipin_302,1800,3025,560,1830,"""atk"":548","""302414""",+19.6%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":61522}"
3025,亡灵精华,2,5,shipin_302,2000,,560,2390,"""atk"":606","""302514""",+21.6%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":71798}"
3031,自然圣盾,2,1,shipin_303,1200,3032,560,150,"""atk"":380","""303114""",+13.5%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":31621}"
3032,自然圣盾,2,2,shipin_303,1400,3033,560,710,"""atk"":430","""303214""",+15.7%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":41897}"
3033,自然圣盾,2,3,shipin_303,1600,3034,560,1270,"""atk"":486","""303314""",+17.8%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":51252}"
3034,自然圣盾,2,4,shipin_303,1800,3035,560,1830,"""atk"":548","""303414""",+19.6%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":61077}"
3035,自然圣盾,2,5,shipin_303,2000,,560,2390,"""atk"":606","""303514""",+21.6%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":71865}"
3041,亡灵魔法书,2,1,shipin_304,1200,3042,560,150,"""atk"":380","""304114""",+13.5%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":31009}"
3042,亡灵魔法书,2,2,shipin_304,1400,3043,560,710,"""atk"":430","""304214""",+15.7%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":41452}"
3043,亡灵魔法书,2,3,shipin_304,1600,3044,560,1270,"""atk"":486","""304314""",+17.8%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":51183}"
3044,亡灵魔法书,2,4,shipin_304,1800,3045,560,1830,"""atk"":548","""304414""",+19.6%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":61863}"
3045,亡灵魔法书,2,5,shipin_304,2000,,560,2390,"""atk"":606","""304514""",+21.6%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":71558}"
3051,恶魔之种,2,1,shipin_305,1200,3052,560,150,"""atk"":380","""305114""",+13.5%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":31793}"
3052,恶魔之种,2,2,shipin_305,1400,3053,560,710,"""atk"":430","""305214""",+15.7%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":41735}"
3053,恶魔之种,2,3,shipin_305,1600,3054,560,1270,"""atk"":486","""305314""",+17.8%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":51729}"
3054,恶魔之种,2,4,shipin_305,1800,3055,560,1830,"""atk"":548","""305414""",+19.6%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":61660}"
3055,恶魔之种,2,5,shipin_305,2000,,560,2390,"""atk"":606","""305514""",+21.6%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":71821}"
3061,奥术之泉水,2,1,shipin_301,1200,3062,560,150,"""hp"":2470","""301114""",+13.5%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":31457}"
3062,奥术之泉水,2,2,shipin_301,1400,3063,560,710,"""hp"":2795","""301214""",+15.7%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":41608}"
3063,奥术之泉水,2,3,shipin_301,1600,3064,560,1270,"""hp"":3159","""301314""",+17.8%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":51012}"
3064,奥术之泉水,2,4,shipin_301,1800,3065,560,1830,"""hp"":3562","""301414""",+19.6%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":61160}"
3065,奥术之泉水,2,5,shipin_301,2000,,560,2390,"""hp"":3939","""301514""",+21.6%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":71775}"
3071,亡灵精华,2,1,shipin_302,1200,3072,560,150,"""hp"":2470","""302114""",+13.5%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":31489}"
3072,亡灵精华,2,2,shipin_302,1400,3073,560,710,"""hp"":2795","""302214""",+15.7%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":41407}"
3073,亡灵精华,2,3,shipin_302,1600,3074,560,1270,"""hp"":3159","""302314""",+17.8%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":51465}"
3074,亡灵精华,2,4,shipin_302,1800,3075,560,1830,"""hp"":3562","""302414""",+19.6%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":61522}"
3075,亡灵精华,2,5,shipin_302,2000,,560,2390,"""hp"":3939","""302514""",+21.6%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":71798}"
3081,自然圣盾,2,1,shipin_303,1200,3082,560,150,"""hp"":2470","""303114""",+13.5%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":31621}"
3082,自然圣盾,2,2,shipin_303,1400,3083,560,710,"""hp"":2795","""303214""",+15.7%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":41897}"
3083,自然圣盾,2,3,shipin_303,1600,3084,560,1270,"""hp"":3159","""303314""",+17.8%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":51252}"
3084,自然圣盾,2,4,shipin_303,1800,3085,560,1830,"""hp"":3562","""303414""",+19.6%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":61077}"
3085,自然圣盾,2,5,shipin_303,2000,,560,2390,"""hp"":3939","""303514""",+21.6%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":71865}"
3091,亡灵魔法书,2,1,shipin_304,1200,3092,560,150,"""hp"":2470","""304114""",+13.5%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":31009}"
3092,亡灵魔法书,2,2,shipin_304,1400,3093,560,710,"""hp"":2795","""304214""",+15.7%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":41452}"
3093,亡灵魔法书,2,3,shipin_304,1600,3094,560,1270,"""hp"":3159","""304314""",+17.8%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":51183}"
3094,亡灵魔法书,2,4,shipin_304,1800,3095,560,1830,"""hp"":3562","""304414""",+19.6%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":61863}"
3095,亡灵魔法书,2,5,shipin_304,2000,,560,2390,"""hp"":3939","""304514""",+21.6%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":71558}"
3101,恶魔之种,2,1,shipin_305,1200,3102,560,150,"""hp"":2470","""305114""",+13.5%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":31793}"
3102,恶魔之种,2,2,shipin_305,1400,3103,560,710,"""hp"":2795","""305214""",+15.7%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":41735}"
3103,恶魔之种,2,3,shipin_305,1600,3104,560,1270,"""hp"":3159","""305314""",+17.8%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":51729}"
3104,恶魔之种,2,4,shipin_305,1800,3105,560,1830,"""hp"":3562","""305414""",+19.6%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":61660}"
3105,恶魔之种,2,5,shipin_305,2000,,560,2390,"""hp"":3939","""305514""",+21.6%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":71821}"
4011,魔能星饰,3,1,shipin_401,1700,4012,1420,650,"""atk"":525","""401114""",+19.1%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":124773}"
4012,魔能星饰,3,2,shipin_401,1900,4013,1420,2070,"""atk"":582","""401214""",+21.2%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":182655}"
4013,魔能星饰,3,3,shipin_401,2200,4014,1420,3490,"""atk"":635","""401314""",+24.4%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":242056}"
4014,魔能星饰,3,4,shipin_401,2500,4015,1420,4910,"""atk"":713","""401414""",+27.3%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":302523}"
4015,魔能星饰,3,5,shipin_401,2800,,1420,6330,"""atk"":847","""401514""",+30%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":362557}"
4021,深渊巨口,3,1,shipin_402,1700,4022,1420,650,"""atk"":525","""402114""",+19.1%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":123958}"
4022,深渊巨口,3,2,shipin_402,1900,4023,1420,2070,"""atk"":582","""402214""",+21.2%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":183625}"
4023,深渊巨口,3,3,shipin_402,2200,4024,1420,3490,"""atk"":635","""402314""",+24.4%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":243253}"
4024,深渊巨口,3,4,shipin_402,2500,4025,1420,4910,"""atk"":713","""402414""",+27.3%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":302029}"
4025,深渊巨口,3,5,shipin_402,2800,,1420,6330,"""atk"":847","""402514""",+30%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":364940}"
4031,星辰秘术,3,1,shipin_403,1700,4032,1420,650,"""atk"":525","""403114""",+19.1%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":124904}"
4032,星辰秘术,3,2,shipin_403,1900,4033,1420,2070,"""atk"":582","""403214""",+21.2%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":182174}"
4033,星辰秘术,3,3,shipin_403,2200,4034,1420,3490,"""atk"":635","""403314""",+24.4%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":244417}"
4034,星辰秘术,3,4,shipin_403,2500,4035,1420,4910,"""atk"":713","""403414""",+27.3%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":302194}"
4035,星辰秘术,3,5,shipin_403,2800,,1420,6330,"""atk"":847","""403514""",+30%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":363497}"
4041,牛角血眼杖,3,1,shipin_404,1700,4042,1420,650,"""atk"":525","""404114""",+19.1%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":123647}"
4042,牛角血眼杖,3,2,shipin_404,1900,4043,1420,2070,"""atk"":582","""404214""",+21.2%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":182023}"
4043,牛角血眼杖,3,3,shipin_404,2200,4044,1420,3490,"""atk"":635","""404314""",+24.4%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":242017}"
4044,牛角血眼杖,3,4,shipin_404,2500,4045,1420,4910,"""atk"":713","""404414""",+27.3%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":303008}"
4045,牛角血眼杖,3,5,shipin_404,2800,,1420,6330,"""atk"":847","""404514""",+30%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":364163}"
