掉落组,掉落类型,掉落物品,掉落数量,权重
4009,hero,15035,1,547
4009,hero,21015,1,2203
4009,hero,21025,1,2203
4009,hero,21035,1,2644
4009,hero,21045,1,547
4009,hero,22025,1,2203
4009,hero,22035,1,2644
4009,hero,22045,1,547
4009,hero,22055,1,547
4009,hero,23035,1,547
4009,hero,24025,1,2644
4009,hero,24035,1,547
4009,hero,25045,1,2203
4009,hero,25055,1,2203
4009,hero,25065,1,547
4009,hero,25075,1,547
4009,hero,31045,1,2203
4009,hero,31055,1,2203
4009,hero,31065,1,2203
4009,hero,31075,1,547
4009,hero,31085,1,547
4009,hero,31095,1,547
4009,hero,32035,1,2644
4009,hero,32045,1,2644
4009,hero,32055,1,547
4009,hero,33015,1,2203
4009,hero,33025,1,2644
4009,hero,34015,1,2203
4009,hero,34025,1,547
4009,hero,35035,1,547
4009,hero,35045,1,547
4009,hero,41035,1,2203
4009,hero,41045,1,2203
4009,hero,41055,1,547
4009,hero,41065,1,547
4009,hero,42015,1,547
4009,hero,43035,1,2203
4009,hero,43045,1,2644
4009,hero,43055,1,2644
4009,hero,44025,1,2203
4009,hero,44035,1,2644
4009,hero,44045,1,547
4009,hero,45035,1,2203
4009,hero,45045,1,547
4009,hero,45055,1,547
4009,hero,51015,1,547
4009,hero,52025,1,2203
4009,hero,52035,1,2203
4009,hero,52045,1,547
4009,hero,53015,1,2644
4009,hero,61015,1,2203
4009,hero,61025,1,547
4009,hero,62015,1,2644
4009,hero,63015,1,2203
4009,hero,63025,1,547
4010,hero,11045,1,2203
4010,hero,11055,1,2203
4010,hero,11065,1,2203
4010,hero,11075,1,547
4010,hero,11085,1,547
4010,hero,12025,1,2644
4010,hero,12035,1,547
4010,hero,13035,1,2644
4010,hero,13045,1,547
4010,hero,14025,1,2644
4010,hero,14035,1,547
4010,hero,14045,1,200
4010,hero,15015,1,2203
4010,hero,15025,1,2203
4010,hero,15035,1,547
4011,hero,21015,1,2203
4011,hero,21025,1,2203
4011,hero,21035,1,2644
4011,hero,21045,1,547
4011,hero,22025,1,2203
4011,hero,22035,1,2644
4011,hero,22045,1,547
4011,hero,22055,1,547
4011,hero,23035,1,547
4011,hero,24025,1,2644
4011,hero,24035,1,547
4011,hero,25045,1,2203
4011,hero,25055,1,2203
4011,hero,25065,1,547
4011,hero,25075,1,547
4012,hero,31045,1,2203
4012,hero,31055,1,2203
4012,hero,31065,1,2203
4012,hero,31075,1,547
4012,hero,31085,1,547
4012,hero,31095,1,547
4012,hero,32035,1,2644
4012,hero,32045,1,2644
4012,hero,32055,1,547
4012,hero,33015,1,2203
4012,hero,33025,1,2644
4012,hero,34015,1,2203
4012,hero,34025,1,547
4012,hero,35035,1,547
4012,hero,35045,1,547
4013,hero,41035,1,2203
4013,hero,41045,1,2203
4013,hero,41055,1,547
4013,hero,41065,1,547
4013,hero,42015,1,547
4013,hero,43035,1,2203
4013,hero,43045,1,2644
4013,hero,43055,1,2644
4013,hero,43065,1,547
4013,hero,44025,1,2203
4013,hero,44035,1,2644
4013,hero,44045,1,547
4013,hero,45035,1,2203
4013,hero,45045,1,547
4013,hero,45055,1,547
4014,hero,51015,1,547
4014,hero,52025,1,2203
4014,hero,52035,1,2203
4014,hero,52045,1,547
4014,hero,53015,1,2644
4015,hero,61015,1,2203
4015,hero,61025,1,547
4015,hero,62015,1,2644
4015,hero,63015,1,2203
4015,hero,63025,1,547
4016,hero,11076,1,1
4016,hero,11086,1,1
4016,hero,12026,1,1
4016,hero,12036,1,1
4016,hero,13036,1,1
4016,hero,13046,1,1
4016,hero,14026,1,1
4016,hero,14036,1,1
4016,hero,15036,1,1
4016,hero,21036,1,1
4016,hero,21046,1,1
4016,hero,22036,1,1
4016,hero,22046,1,1
4016,hero,22056,1,1
4016,hero,23036,1,1
4016,hero,24026,1,1
4016,hero,24036,1,1
4016,hero,25066,1,1
4016,hero,25076,1,1
4016,hero,31076,1,1
4016,hero,31086,1,1
4016,hero,32036,1,1
4016,hero,32046,1,1
4016,hero,32056,1,1
4016,hero,33026,1,1
4016,hero,34026,1,1
4016,hero,35036,1,1
4016,hero,35046,1,1
4016,hero,41056,1,1
4016,hero,41066,1,1
4016,hero,42016,1,1
4016,hero,43046,1,1
4016,hero,43056,1,1
4016,hero,44036,1,1
4016,hero,44046,1,1
4016,hero,45046,1,1
4016,hero,45056,1,1
4016,hero,51016,1,1
4016,hero,52046,1,1
4016,hero,53016,1,1
4016,hero,61026,1,1
4016,hero,62016,1,1
4016,hero,63026,1,1
4017,hero,11076,1,1
4017,hero,11086,1,1
4017,hero,12026,1,1
4017,hero,12036,1,1
4017,hero,13036,1,1
4017,hero,13046,1,1
4017,hero,14026,1,1
4017,hero,14036,1,1
4017,hero,15036,1,1
4018,hero,21036,1,1
4018,hero,21046,1,1
4018,hero,22036,1,1
4018,hero,22046,1,1
4018,hero,22056,1,1
4018,hero,23036,1,1
4018,hero,24026,1,1
4018,hero,24036,1,1
4018,hero,25066,1,1
4018,hero,25076,1,1
4019,hero,31076,1,1
4019,hero,31086,1,1
4019,hero,32036,1,1
4019,hero,32046,1,1
4019,hero,32056,1,1
4019,hero,33026,1,1
4019,hero,34026,1,1
4019,hero,35036,1,1
4019,hero,35046,1,1
4020,hero,41056,1,1
4020,hero,41066,1,1
4020,hero,42016,1,1
4020,hero,43046,1,1
4020,hero,43056,1,1
4020,hero,44036,1,1
4020,hero,44046,1,1
4020,hero,45046,1,1
4020,hero,45056,1,1
4021,hero,51016,1,1
4021,hero,52046,1,1
4021,hero,53016,1,1
4022,hero,61026,1,1
4022,hero,62016,1,1
4022,hero,63026,1,1
4023,hero,52025,1,1
4023,hero,52035,1,1
4023,hero,53015,1,1
4023,hero,61015,1,1
4023,hero,62015,1,1
4023,hero,63015,1,1
11011,hero,11011,1,1
11023,hero,11023,1,1
11033,hero,11033,1,1
11044,hero,11044,1,1
11045,hero,11045,1,1
11054,hero,11054,1,1
11055,hero,11055,1,1
11064,hero,11064,1,1
11065,hero,11065,1,1
11075,hero,11075,1,1
11076,hero,11076,1,1
11085,hero,11085,1,1
11086,hero,11086,1,1
12013,hero,12013,1,1
12024,hero,12024,1,1
12025,hero,12025,1,1
12026,hero,12026,1,1
12035,hero,12035,1,1
12036,hero,12036,1,1
13012,hero,13012,1,1
13023,hero,13023,1,1
13034,hero,13034,1,1
13035,hero,13035,1,1
13036,hero,13036,1,1
13045,hero,13045,1,1
13046,hero,13046,1,1
14013,hero,14013,1,1
14024,hero,14024,1,1
14025,hero,14025,1,1
14026,hero,14026,1,1
14035,hero,14035,1,1
14036,hero,14036,1,1
14045,hero,14045,1,1
14046,hero,14046,1,1
15014,hero,15014,1,1
15015,hero,15015,1,1
15024,hero,15024,1,1
15025,hero,15025,1,1
15035,hero,15035,1,1
15036,hero,15036,1,1
21014,hero,21014,1,1
21015,hero,21015,1,1
21024,hero,21024,1,1
21025,hero,21025,1,1
21034,hero,21034,1,1
21035,hero,21035,1,1
21036,hero,21036,1,1
21045,hero,21045,1,1
21046,hero,21046,1,1
22012,hero,22012,1,1
22024,hero,22024,1,1
22025,hero,22025,1,1
22034,hero,22034,1,1
22035,hero,22035,1,1
22036,hero,22036,1,1
22045,hero,22045,1,1
22046,hero,22046,1,1
22055,hero,22055,1,1
22056,hero,22056,1,1
23013,hero,23013,1,1
23023,hero,23023,1,1
23035,hero,23035,1,1
23036,hero,23036,1,1
24013,hero,24013,1,1
24024,hero,24024,1,1
24025,hero,24025,1,1
24026,hero,24026,1,1
24035,hero,24035,1,1
24036,hero,24036,1,1
25011,hero,25011,1,1
25023,hero,25023,1,1
25033,hero,25033,1,1
25044,hero,25044,1,1
25045,hero,25045,1,1
25054,hero,25054,1,1
25055,hero,25055,1,1
25065,hero,25065,1,1
25066,hero,25066,1,1
25075,hero,25075,1,1
25076,hero,25076,1,1
31012,hero,31012,1,1
31023,hero,31023,1,1
31033,hero,31033,1,1
31044,hero,31044,1,1
31045,hero,31045,1,1
31054,hero,31054,1,1
31055,hero,31055,1,1
31064,hero,31064,1,1
31065,hero,31065,1,1
31075,hero,31075,1,1
31076,hero,31076,1,1
31085,hero,31085,1,1
31086,hero,31086,1,1
31095,hero,31095,1,1
32011,hero,32011,1,1
32023,hero,32023,1,1
32034,hero,32034,1,1
32035,hero,32035,1,1
32036,hero,32036,1,1
32044,hero,32044,1,1
32045,hero,32045,1,1
32046,hero,32046,1,1
32055,hero,32055,1,1
32056,hero,32056,1,1
33014,hero,33014,1,1
33015,hero,33015,1,1
33024,hero,33024,1,1
33025,hero,33025,1,1
33026,hero,33026,1,1
34014,hero,34014,1,1
34015,hero,34015,1,1
34025,hero,34025,1,1
34026,hero,34026,1,1
35013,hero,35013,1,1
35023,hero,35023,1,1
35035,hero,35035,1,1
35036,hero,35036,1,1
35045,hero,35045,1,1
35046,hero,35046,1,1
41013,hero,41013,1,1
41023,hero,41023,1,1
41034,hero,41034,1,1
41035,hero,41035,1,1
41044,hero,41044,1,1
41045,hero,41045,1,1
41055,hero,41055,1,1
41056,hero,41056,1,1
41065,hero,41065,1,1
41066,hero,41066,1,1
42015,hero,42015,1,1
42016,hero,42016,1,1
43012,hero,43012,1,1
43023,hero,43023,1,1
43034,hero,43034,1,1
43035,hero,43035,1,1
43044,hero,43044,1,1
43045,hero,43045,1,1
43046,hero,43046,1,1
43054,hero,43054,1,1
43055,hero,43055,1,1
43056,hero,43056,1,1
43065,hero,43065,1,1
44011,hero,44011,1,1
44024,hero,44024,1,1
44025,hero,44025,1,1
44034,hero,44034,1,1
44035,hero,44035,1,1
44036,hero,44036,1,1
44045,hero,44045,1,1
44046,hero,44046,1,1
45013,hero,45013,1,1
45023,hero,45023,1,1
45034,hero,45034,1,1
45035,hero,45035,1,1
45045,hero,45045,1,1
45046,hero,45046,1,1
45055,hero,45055,1,1
45056,hero,45056,1,1
51015,hero,51015,1,1
51016,hero,51016,1,1
52013,hero,52013,1,1
52024,hero,52024,1,1
52025,hero,52025,1,1
52034,hero,52034,1,1
52035,hero,52035,1,1
52045,hero,52045,1,1
52046,hero,52046,1,1
53014,hero,53014,1,1
53015,hero,53015,1,1
53016,hero,53016,1,1
61014,hero,61014,1,1
61015,hero,61015,1,1
61025,hero,61025,1,1
61026,hero,61026,1,1
62014,hero,62014,1,1
62015,hero,62015,1,1
62016,hero,62016,1,1
63014,hero,63014,1,1
63015,hero,63015,1,1
63025,hero,63025,1,1
63026,hero,63026,1,1
64013,hero,64013,1,1
100000,hero,11011,1,375200
100000,hero,25011,1,375200
100000,hero,32011,1,375200
100000,hero,44011,1,375200
100000,hero,13012,1,227800
100000,hero,22012,1,227800
100000,hero,31012,1,227800
100000,hero,43012,1,227800
100000,hero,11023,1,10360
100000,hero,11033,1,10360
100000,hero,12013,1,10360
100000,hero,13023,1,10360
100000,hero,14013,1,10360
100000,hero,23013,1,10360
100000,hero,23023,1,10360
100000,hero,24013,1,10360
100000,hero,25023,1,10360
100000,hero,25033,1,10360
100000,hero,31023,1,10360
100000,hero,31033,1,10360
100000,hero,32023,1,10360
100000,hero,35013,1,10360
100000,hero,35023,1,10360
100000,hero,41013,1,10360
100000,hero,41023,1,10360
100000,hero,43023,1,10360
100000,hero,45013,1,10360
100000,hero,45023,1,10360
100000,hero,52013,1,10360
100000,hero,64013,1,10360
100000,hero,11044,1,1020
100000,hero,11054,1,1020
100000,hero,11064,1,1020
100000,hero,12024,1,1020
100000,hero,13034,1,1020
100000,hero,14024,1,1020
100000,hero,15014,1,1020
100000,hero,15024,1,1020
100000,hero,21014,1,1020
100000,hero,21024,1,1020
100000,hero,21034,1,1020
100000,hero,22024,1,1020
100000,hero,22034,1,1020
100000,hero,24024,1,1020
100000,hero,25044,1,1020
100000,hero,25054,1,1020
100000,hero,31044,1,1020
100000,hero,31054,1,1020
100000,hero,31064,1,1020
100000,hero,32034,1,1020
100000,hero,32044,1,1020
100000,hero,33014,1,1020
100000,hero,33024,1,1020
100000,hero,34014,1,1020
100000,hero,41034,1,1020
100000,hero,41044,1,1020
100000,hero,43034,1,1020
100000,hero,43044,1,1020
100000,hero,43054,1,1020
100000,hero,44024,1,1020
100000,hero,44034,1,1020
100000,hero,45034,1,1020
100000,hero,52024,1,1020
100000,hero,52034,1,1020
100000,hero,53014,1,1020
100000,hero,61014,1,1020
100000,hero,62014,1,1020
100000,hero,63014,1,1020
100000,hero,11075,1,7
100000,hero,11085,1,7
100000,hero,12035,1,7
100000,hero,13045,1,7
100000,hero,14035,1,7
100000,hero,14045,1,7
100000,hero,15035,1,7
100000,hero,21045,1,7
100000,hero,22045,1,7
100000,hero,22055,1,7
100000,hero,23035,1,7
100000,hero,24035,1,7
100000,hero,25065,1,7
100000,hero,25075,1,7
100000,hero,31075,1,7
100000,hero,31085,1,7
100000,hero,31095,1,7
100000,hero,32055,1,7
100000,hero,34025,1,7
100000,hero,35035,1,7
100000,hero,35045,1,7
100000,hero,41055,1,7
100000,hero,41065,1,7
100000,hero,42015,1,7
100000,hero,43065,1,7
100000,hero,44045,1,7
100000,hero,45045,1,7
100000,hero,45055,1,7
100000,hero,51015,1,7
100000,hero,52045,1,7
100000,hero,61025,1,7
100000,hero,63025,1,7
100000,hero,12025,1,34
100000,hero,13035,1,34
100000,hero,14025,1,34
100000,hero,21035,1,34
100000,hero,22035,1,34
100000,hero,24025,1,34
100000,hero,32035,1,34
100000,hero,32045,1,34
100000,hero,33025,1,34
100000,hero,43045,1,34
100000,hero,43055,1,34
100000,hero,44035,1,34
100000,hero,53015,1,34
100000,hero,62015,1,34
100000,hero,11045,1,28
100000,hero,11055,1,28
100000,hero,11065,1,28
100000,hero,15015,1,28
100000,hero,15025,1,28
100000,hero,21015,1,28
100000,hero,21025,1,28
100000,hero,22025,1,28
100000,hero,25045,1,28
100000,hero,25055,1,28
100000,hero,31045,1,28
100000,hero,31055,1,28
100000,hero,31065,1,28
100000,hero,33015,1,28
100000,hero,34015,1,28
100000,hero,41035,1,28
100000,hero,41045,1,28
100000,hero,43035,1,28
100000,hero,44025,1,28
