技能id,技能类型,攻击动作,选敌类型,是否存活,位置,排序条件,选敌数量,释放概率,数据,检测条件,额外数据,描述
203413,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":150},+15%对辅助的伤害加成
204113,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":80},+8%对刺客的伤害加成
204213,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":100},+10%对刺客的伤害加成
204313,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":120},+12%对刺客的伤害加成
204413,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":150},+15%对刺客的伤害加成
205113,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":80},+8%对游侠的伤害加成
205213,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":100},+10%对游侠的伤害加成
205313,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":120},+12%对游侠的伤害加成
205413,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":150},+15%对游侠的伤害加成
301113,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":120},+12%对战士的伤害加成
301213,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":140},+14%对战士的伤害加成
301313,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":160},+16%对战士的伤害加成
301413,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":180},+18%对战士的伤害加成
301513,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":200},+20%对战士的伤害加成
302113,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":120},+12%对法师的伤害加成
302213,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":140},+14%对法师的伤害加成
302313,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":160},+16%对法师的伤害加成
302413,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":180},+18%对法师的伤害加成
302513,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":200},+20%对法师的伤害加成
303113,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":120},+12%对辅助的伤害加成
303213,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":140},+14%对辅助的伤害加成
303313,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":160},+16%对辅助的伤害加成
303413,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":180},+18%对辅助的伤害加成
303513,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":200},+20%对辅助的伤害加成
304113,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":120},+12%对刺客的伤害加成
304213,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":140},+14%对刺客的伤害加成
304313,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":160},+16%对刺客的伤害加成
304413,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":180},+18%对刺客的伤害加成
304513,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":200},+20%对刺客的伤害加成
305113,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":120},+12%对游侠的伤害加成
305213,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":140},+14%对游侠的伤害加成
305313,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":160},+16%对游侠的伤害加成
305413,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":180},+18%对游侠的伤害加成
305513,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":200},+20%对游侠的伤害加成
401113,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":170},+17%对战士的伤害加成
401213,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":190},+19%对战士的伤害加成
401313,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":220},+22%对战士的伤害加成
401413,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":250},+25%对战士的伤害加成
401513,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":280},+28%对战士的伤害加成
402113,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":170},+17%对法师的伤害加成
402213,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":190},+19%对法师的伤害加成
402313,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":220},+22%对法师的伤害加成
402413,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":250},+25%对法师的伤害加成
402513,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":280},+28%对法师的伤害加成
403113,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":170},+17%对辅助的伤害加成
403213,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":190},+19%对辅助的伤害加成
403313,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":220},+22%对辅助的伤害加成
403413,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":250},+25%对辅助的伤害加成
403513,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":280},+28%对辅助的伤害加成
404113,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":170},+17%对刺客的伤害加成
404213,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":190},+19%对刺客的伤害加成
404313,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":220},+22%对刺客的伤害加成
404413,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":250},+25%对刺客的伤害加成
404513,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":280},+28%对刺客的伤害加成
405113,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":170},+17%对游侠的伤害加成
405213,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":190},+19%对游侠的伤害加成
405313,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":220},+22%对游侠的伤害加成
405413,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":250},+25%对游侠的伤害加成
405513,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":280},+28%对游侠的伤害加成
501113,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":230},+23%对战士的伤害加成
501213,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":260},+26%对战士的伤害加成
501313,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":300},+30%对战士的伤害加成
501413,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":340},+34%对战士的伤害加成
501513,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":380},+38%对战士的伤害加成
501613,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":420},+42%对战士的伤害加成
502113,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":230},+23%对法师的伤害加成
502213,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":260},+26%对法师的伤害加成
502313,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":300},+30%对法师的伤害加成
502413,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":340},+34%对法师的伤害加成
502513,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":380},+38%对法师的伤害加成
502613,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":420},+42%对法师的伤害加成
503113,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":230},+23%对辅助的伤害加成
503213,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":260},+26%对辅助的伤害加成
503313,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":300},+30%对辅助的伤害加成
503413,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":340},+34%对辅助的伤害加成
503513,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":380},+38%对辅助的伤害加成
503613,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":420},+42%对辅助的伤害加成
504113,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":230},+23%对刺客的伤害加成
504213,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":260},+26%对刺客的伤害加成
504313,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":300},+30%对刺客的伤害加成
504413,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":340},+34%对刺客的伤害加成
504513,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":380},+38%对刺客的伤害加成
504613,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":420},+42%对刺客的伤害加成
505113,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":230},+23%对游侠的伤害加成
505213,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":260},+26%对游侠的伤害加成
505313,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":300},+30%对游侠的伤害加成
505413,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":340},+34%对游侠的伤害加成
505513,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":380},+38%对游侠的伤害加成
505613,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":420},+42%对游侠的伤害加成
511113,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":230},+23%对战士的伤害加成
511213,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":260},+26%对战士的伤害加成
511313,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":300},+30%对战士的伤害加成
511413,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":340},+34%对战士的伤害加成
511513,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":380},+38%对战士的伤害加成
511613,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":420},+42%对战士的伤害加成
512113,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":230},+23%对游侠的伤害加成
512213,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":260},+26%对游侠的伤害加成
512313,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":300},+30%对游侠的伤害加成
512413,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":340},+34%对游侠的伤害加成
512513,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":380},+38%对游侠的伤害加成
512613,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":420},+42%对游侠的伤害加成
513113,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":230},+23%对刺客的伤害加成
513213,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":260},+26%对刺客的伤害加成
513313,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":300},+30%对刺客的伤害加成
513413,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":340},+34%对刺客的伤害加成
513513,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":380},+38%对刺客的伤害加成
513613,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":420},+42%对刺客的伤害加成
514113,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":230},+23%对辅助的伤害加成
514213,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":260},+26%对辅助的伤害加成
514313,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":300},+30%对辅助的伤害加成
514413,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":340},+34%对辅助的伤害加成
514513,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":380},+38%对辅助的伤害加成
514613,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":420},+42%对辅助的伤害加成
515113,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":230},+23%对辅助的伤害加成
515213,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":260},+26%对辅助的伤害加成
515313,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":300},+30%对辅助的伤害加成
515413,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":340},+34%对辅助的伤害加成
515513,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":380},+38%对辅助的伤害加成
515613,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":420},+42%对辅助的伤害加成
516113,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":230},+23%对法师的伤害加成
516213,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":260},+26%对法师的伤害加成
516313,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":300},+30%对法师的伤害加成
516413,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":340},+34%对法师的伤害加成
516513,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":380},+38%对法师的伤害加成
516613,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":420},+42%对法师的伤害加成
517113,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":230},+23%对游侠的伤害加成
517213,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":260},+26%对游侠的伤害加成
517313,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":300},+30%对游侠的伤害加成
517413,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":340},+34%对游侠的伤害加成
517513,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":380},+38%对游侠的伤害加成
517613,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":420},+42%对游侠的伤害加成
518113,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":230},+23%对刺客的伤害加成
518213,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":260},+26%对刺客的伤害加成
518313,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":300},+30%对刺客的伤害加成
518413,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":340},+34%对刺客的伤害加成
518513,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":380},+38%对刺客的伤害加成
518613,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":420},+42%对刺客的伤害加成
519113,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":230},+23%对游侠的伤害加成
519213,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":260},+26%对游侠的伤害加成
519313,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":300},+30%对游侠的伤害加成
519413,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":340},+34%对游侠的伤害加成
519513,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":380},+38%对游侠的伤害加成
519613,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":420},+42%对游侠的伤害加成
520113,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":230},+23%对战士的伤害加成
520213,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":260},+26%对战士的伤害加成
520313,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":300},+30%对战士的伤害加成
520413,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":340},+34%对战士的伤害加成
520513,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":380},+38%对战士的伤害加成
520613,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":420},+42%对战士的伤害加成
521113,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":230},+23%对法师的伤害加成
521213,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":260},+26%对法师的伤害加成
521313,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":300},+30%对法师的伤害加成
521413,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":340},+34%对法师的伤害加成
521513,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":380},+38%对法师的伤害加成
521613,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":420},+42%对法师的伤害加成
601113,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":400},+40%对战士的伤害加成
601213,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":500},+50%对战士的伤害加成
601313,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":600},+60%对战士的伤害加成
601413,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":700},+70%对战士的伤害加成
601513,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":800},+80%对战士的伤害加成
601613,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":900},+90%对战士的伤害加成
602113,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":400},+40%对法师的伤害加成
602213,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":500},+50%对法师的伤害加成
602313,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":600},+60%对法师的伤害加成
602413,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":700},+70%对法师的伤害加成
602513,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":800},+80%对法师的伤害加成
602613,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":900},+90%对法师的伤害加成
603113,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":400},+40%对辅助的伤害加成
603213,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":500},+50%对辅助的伤害加成
603313,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":600},+60%对辅助的伤害加成
603413,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":700},+70%对辅助的伤害加成
603513,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":800},+80%对辅助的伤害加成
603613,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":900},+90%对辅助的伤害加成
604113,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":400},+40%对刺客的伤害加成
604213,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":500},+50%对刺客的伤害加成
604313,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":600},+60%对刺客的伤害加成
604413,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":700},+70%对刺客的伤害加成
604513,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":800},+80%对刺客的伤害加成
604613,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":900},+90%对刺客的伤害加成
605113,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":400},+40%对游侠的伤害加成
605213,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":500},+50%对游侠的伤害加成
605313,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":600},+60%对游侠的伤害加成
605413,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":700},+70%对游侠的伤害加成
605513,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":800},+80%对游侠的伤害加成
605613,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":900},+90%对游侠的伤害加成
615113,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":400},+40%对游侠的伤害加成
615213,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":500},+50%对游侠的伤害加成
615313,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":600},+60%对游侠的伤害加成
615413,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":700},+70%对游侠的伤害加成
615513,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":800},+80%对游侠的伤害加成
615613,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":900},+90%对游侠的伤害加成
616113,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":400},+40%对刺客的伤害加成
616213,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":500},+50%对刺客的伤害加成
616313,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":600},+60%对刺客的伤害加成
616413,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":700},+70%对刺客的伤害加成
616513,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":800},+80%对刺客的伤害加成
616613,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":900},+90%对刺客的伤害加成
617113,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":400},+40%对战士的伤害加成
617213,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":500},+50%对战士的伤害加成
617313,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":600},+60%对战士的伤害加成
617413,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":700},+70%对战士的伤害加成
617513,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":800},+80%对战士的伤害加成
617613,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":900},+90%对战士的伤害加成
618113,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":400},+40%对游侠的伤害加成
618213,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":500},+50%对游侠的伤害加成
618313,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":600},+60%对游侠的伤害加成
618413,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":700},+70%对游侠的伤害加成
618513,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":800},+80%对游侠的伤害加成
618613,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":900},+90%对游侠的伤害加成
619113,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":400},+40%对法师的伤害加成
619213,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":500},+50%对法师的伤害加成
619313,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":600},+60%对法师的伤害加成
619413,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":700},+70%对法师的伤害加成
619513,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":800},+80%对法师的伤害加成
619613,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":900},+90%对法师的伤害加成
620113,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":400},+40%对辅助的伤害加成
620213,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":500},+50%对辅助的伤害加成
620313,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":600},+60%对辅助的伤害加成
620413,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":700},+70%对辅助的伤害加成
620513,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":800},+80%对辅助的伤害加成
620613,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":900},+90%对辅助的伤害加成
621113,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":400},+40%对辅助的伤害加成
621213,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":500},+50%对辅助的伤害加成
621313,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":600},+60%对辅助的伤害加成
621413,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":700},+70%对辅助的伤害加成
621513,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":800},+80%对辅助的伤害加成
621613,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":900},+90%对辅助的伤害加成
622113,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":400},+40%对游侠的伤害加成
622213,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":500},+50%对游侠的伤害加成
622313,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":600},+60%对游侠的伤害加成
622413,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":700},+70%对游侠的伤害加成
622513,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":800},+80%对游侠的伤害加成
622613,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":900},+90%对游侠的伤害加成
623113,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":400},+40%对刺客的伤害加成
623213,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":500},+50%对刺客的伤害加成
623313,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":600},+60%对刺客的伤害加成
623413,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":700},+70%对刺客的伤害加成
