NPC编号,NPC头像,位置,NPC等级,英雄ID,阶位,属性,放大系数
34,24013,1,30,24013,1,"""atk"":1.032,""hp"":1.032",1
34,24013,2,30,25033,1,"""atk"":1.032,""hp"":1.032",1
34,24013,3,30,22012,1,"""atk"":1.032,""hp"":1.032",1
34,24013,4,30,25023,1,"""atk"":1.032,""hp"":1.032",1
34,24013,5,30,22012,1,"""atk"":1.032,""hp"":1.032",1
34,24013,6,30,23023,1,"""atk"":1.032,""hp"":1.032",1
35,31033,1,31,31033,1,"""atk"":1.035,""hp"":1.086",1
35,31033,2,31,31023,1,"""atk"":1.035,""hp"":1.086",1
35,31033,3,31,32023,1,"""atk"":1.035,""hp"":1.086",1
35,31033,4,31,31012,1,"""atk"":1.035,""hp"":1.086",1
35,31033,5,31,35013,1,"""atk"":1.035,""hp"":1.086",1
35,31033,6,31,35023,1,"""atk"":1.035,""hp"":1.086",1
36,41023,1,32,41023,2,"""atk"":1.037,""hp"":1.037",1
36,41023,2,32,41023,1,"""atk"":1.037,""hp"":1.037",1
36,41023,3,32,45013,1,"""atk"":1.037,""hp"":1.037",1
36,41023,4,32,43023,1,"""atk"":1.037,""hp"":1.037",1
36,41023,5,32,43023,1,"""atk"":1.037,""hp"":1.037",1
36,41023,6,32,45023,1,"""atk"":1.037,""hp"":1.037",1
37,11023,1,33,11023,2,"""atk"":1.04,""hp"":1.04",1
37,11023,2,33,11023,2,"""atk"":1.04,""hp"":1.04",1
37,11023,3,33,13012,1,"""atk"":1.04,""hp"":1.04",1
37,11023,4,33,13023,1,"""atk"":1.04,""hp"":1.04",1
37,11023,5,33,13012,1,"""atk"":1.04,""hp"":1.04",1
37,11023,6,33,13023,1,"""atk"":1.04,""hp"":1.04",1
38,25033,1,34,25033,2,"""atk"":1.042,""hp"":1.042",1
38,25033,2,34,25033,2,"""atk"":1.042,""hp"":1.042",1
38,25033,3,34,25023,2,"""atk"":1.042,""hp"":1.042",1
38,25033,4,34,22012,1,"""atk"":1.042,""hp"":1.042",1
38,25033,5,34,25023,1,"""atk"":1.042,""hp"":1.042",1
38,25033,6,34,23023,1,"""atk"":1.042,""hp"":1.042",1
39,31033,1,35,31033,2,"""atk"":1.045,""hp"":1.045",1
39,31033,2,35,31033,2,"""atk"":1.045,""hp"":1.045",1
39,31033,3,35,35013,2,"""atk"":1.045,""hp"":1.045",1
39,31033,4,35,35023,2,"""atk"":1.045,""hp"":1.045",1
39,31033,5,35,31012,1,"""atk"":1.045,""hp"":1.045",1
39,31033,6,35,31012,1,"""atk"":1.045,""hp"":1.045",1
40,41023,1,36,41023,2,"""atk"":1.309,""hp"":4.022",1.4
40,41023,3,36,45023,2,"""atk"":1.309,""hp"":4.022",1.4
40,41023,6,36,43023,1,"""atk"":1.309,""hp"":4.022",1.4
41,11023,1,37,11023,2,"""atk"":1.05,""hp"":1.05",1
41,11023,2,37,11023,2,"""atk"":1.05,""hp"":1.05",1
41,11023,3,37,12013,2,"""atk"":1.05,""hp"":1.05",1
41,11023,4,37,12013,2,"""atk"":1.05,""hp"":1.05",1
41,11023,5,37,12013,2,"""atk"":1.05,""hp"":1.05",1
41,11023,6,37,14013,2,"""atk"":1.05,""hp"":1.05",1
42,24013,1,38,24013,2,"""atk"":1.052,""hp"":1.052",1
42,24013,2,38,25033,2,"""atk"":1.052,""hp"":1.052",1
42,24013,3,38,22012,2,"""atk"":1.052,""hp"":1.052",1
42,24013,4,38,23023,2,"""atk"":1.052,""hp"":1.052",1
42,24013,5,38,22012,2,"""atk"":1.052,""hp"":1.052",1
42,24013,6,38,23023,2,"""atk"":1.052,""hp"":1.052",1
43,31033,1,39,31033,2,"""atk"":1.055,""hp"":1.055",1
43,31033,2,39,31033,2,"""atk"":1.055,""hp"":1.055",1
43,31033,3,39,32023,2,"""atk"":1.055,""hp"":1.055",1
43,31033,4,39,35013,2,"""atk"":1.055,""hp"":1.055",1
43,31033,5,39,31012,2,"""atk"":1.055,""hp"":1.055",1
43,31033,6,39,31012,2,"""atk"":1.055,""hp"":1.055",1
44,43012,1,40,43012,2,"""atk"":1.057,""hp"":1.057",1
44,43012,2,40,41023,2,"""atk"":1.057,""hp"":1.057",1
44,43012,3,40,43023,2,"""atk"":1.057,""hp"":1.057",1
44,43012,4,40,45013,2,"""atk"":1.057,""hp"":1.057",1
44,43012,5,40,45023,2,"""atk"":1.057,""hp"":1.057",1
44,43012,6,40,43023,2,"""atk"":1.057,""hp"":1.057",1
45,11023,1,41,11023,2,"""atk"":1.06,""hp"":1.113",1
45,11023,2,41,11023,2,"""atk"":1.06,""hp"":1.113",1
45,11023,3,41,13023,2,"""atk"":1.06,""hp"":1.113",1
45,11023,4,41,14013,2,"""atk"":1.06,""hp"":1.113",1
45,11023,5,41,12013,2,"""atk"":1.06,""hp"":1.113",1
45,11023,6,41,13012,2,"""atk"":1.06,""hp"":1.113",1
46,21034,1,42,21034,3,"""atk"":1.062,""hp"":1.062",1
46,21034,2,42,21024,2,"""atk"":1.062,""hp"":1.062",1
46,21034,3,42,22034,2,"""atk"":1.062,""hp"":1.062",1
46,21034,4,42,24013,2,"""atk"":1.062,""hp"":1.062",1
46,21034,5,42,25033,2,"""atk"":1.062,""hp"":1.062",1
46,21034,6,42,25033,2,"""atk"":1.062,""hp"":1.062",1
47,33024,1,43,33024,3,"""atk"":1.065,""hp"":1.065",1
47,33024,2,43,31044,3,"""atk"":1.065,""hp"":1.065",1
47,33024,3,43,33014,2,"""atk"":1.065,""hp"":1.065",1
47,33024,4,43,35023,2,"""atk"":1.065,""hp"":1.065",1
47,33024,5,43,32034,2,"""atk"":1.065,""hp"":1.065",1
47,33024,6,43,32044,2,"""atk"":1.065,""hp"":1.065",1
48,41044,1,44,41044,3,"""atk"":1.067,""hp"":1.067",1
48,41044,2,44,41044,3,"""atk"":1.067,""hp"":1.067",1
48,41044,3,44,43023,3,"""atk"":1.067,""hp"":1.067",1
48,41044,4,44,43044,2,"""atk"":1.067,""hp"":1.067",1
48,41044,5,44,41013,2,"""atk"":1.067,""hp"":1.067",1
48,41044,6,44,43054,2,"""atk"":1.067,""hp"":1.067",1
49,52024,1,45,52024,3,"""atk"":1.07,""hp"":1.07",1
49,52024,2,45,53014,3,"""atk"":1.07,""hp"":1.07",1
49,52024,3,45,52034,3,"""atk"":1.07,""hp"":1.07",1
49,52024,4,45,52034,3,"""atk"":1.07,""hp"":1.07",1
49,52024,5,45,52034,2,"""atk"":1.07,""hp"":1.07",1
49,52024,6,45,52034,2,"""atk"":1.07,""hp"":1.07",1
50,62014,1,46,62014,3,"""atk"":1.34,""hp"":4.118",1.4
50,62014,3,46,64013,3,"""atk"":1.34,""hp"":4.118",1.4
50,62014,6,46,63014,2,"""atk"":1.34,""hp"":4.118",1.4
51,61014,1,47,61014,3,"""atk"":1.075,""hp"":1.075",1
51,61014,2,47,52024,3,"""atk"":1.075,""hp"":1.075",1
51,61014,3,47,23023,3,"""atk"":1.075,""hp"":1.075",1
51,61014,4,47,32034,3,"""atk"":1.075,""hp"":1.075",1
51,61014,5,47,44024,3,"""atk"":1.075,""hp"":1.075",1
51,61014,6,47,14013,3,"""atk"":1.075,""hp"":1.075",1
52,11054,1,48,11054,3,"""atk"":1.077,""hp"":1.077",1
52,11054,2,48,11064,3,"""atk"":1.077,""hp"":1.077",1
52,11054,3,48,12024,3,"""atk"":1.077,""hp"":1.077",1
52,11054,4,48,13023,3,"""atk"":1.077,""hp"":1.077",1
52,11054,5,48,14013,3,"""atk"":1.077,""hp"":1.077",1
52,11054,6,48,14024,3,"""atk"":1.077,""hp"":1.077",1
53,21014,1,49,21014,3,"""atk"":1.08,""hp"":1.08",1
53,21014,2,49,25054,3,"""atk"":1.08,""hp"":1.08",1
53,21014,3,49,25033,3,"""atk"":1.08,""hp"":1.08",1
53,21014,4,49,25033,3,"""atk"":1.08,""hp"":1.08",1
53,21014,5,49,24013,3,"""atk"":1.08,""hp"":1.08",1
53,21014,6,49,23013,3,"""atk"":1.08,""hp"":1.08",1
54,31023,1,50,31023,3,"""atk"":1.082,""hp"":1.082",1
54,31023,2,50,31044,3,"""atk"":1.082,""hp"":1.082",1
54,31023,3,50,32023,3,"""atk"":1.082,""hp"":1.082",1
54,31023,4,50,32034,3,"""atk"":1.082,""hp"":1.082",1
54,31023,5,50,31033,3,"""atk"":1.082,""hp"":1.082",1
54,31023,6,50,33014,3,"""atk"":1.082,""hp"":1.082",1
55,43034,1,51,43034,3,"""atk"":1.085,""hp"":1.139",1
55,43034,2,51,41034,3,"""atk"":1.085,""hp"":1.139",1
55,43034,3,51,43054,3,"""atk"":1.085,""hp"":1.139",1
55,43034,4,51,43023,3,"""atk"":1.085,""hp"":1.139",1
55,43034,5,51,43023,3,"""atk"":1.085,""hp"":1.139",1
55,43034,6,51,43044,3,"""atk"":1.085,""hp"":1.139",1
56,52024,1,52,52024,4,"""atk"":1.087,""hp"":1.087",1
56,52024,2,52,52024,3,"""atk"":1.087,""hp"":1.087",1
56,52024,3,52,52034,3,"""atk"":1.087,""hp"":1.087",1
56,52024,4,52,52013,3,"""atk"":1.087,""hp"":1.087",1
56,52024,5,52,52034,3,"""atk"":1.087,""hp"":1.087",1
56,52024,6,52,52034,3,"""atk"":1.087,""hp"":1.087",1
57,61014,1,53,61014,4,"""atk"":1.09,""hp"":1.09",1
57,61014,2,53,62014,4,"""atk"":1.09,""hp"":1.09",1
57,61014,3,53,63014,3,"""atk"":1.09,""hp"":1.09",1
57,61014,4,53,63014,3,"""atk"":1.09,""hp"":1.09",1
57,61014,5,53,64013,3,"""atk"":1.09,""hp"":1.09",1
57,61014,6,53,64013,3,"""atk"":1.09,""hp"":1.09",1
58,11054,1,54,11054,4,"""atk"":1.092,""hp"":1.092",1
58,11054,2,54,25054,4,"""atk"":1.092,""hp"":1.092",1
58,11054,3,54,64013,4,"""atk"":1.092,""hp"":1.092",1
58,11054,4,54,52013,3,"""atk"":1.092,""hp"":1.092",1
58,11054,5,54,34014,3,"""atk"":1.092,""hp"":1.092",1
58,11054,6,54,45013,3,"""atk"":1.092,""hp"":1.092",1
59,15024,1,55,15024,4,"""atk"":1.095,""hp"":1.095",1
59,15024,2,55,15014,4,"""atk"":1.095,""hp"":1.095",1
59,15024,3,55,14013,4,"""atk"":1.095,""hp"":1.095",1
59,15024,4,55,13023,4,"""atk"":1.095,""hp"":1.095",1
59,15024,5,55,14013,3,"""atk"":1.095,""hp"":1.095",1
59,15024,6,55,14013,3,"""atk"":1.095,""hp"":1.095",1
60,21014,1,56,21014,4,"""atk"":1.371,""hp"":4.214",1.4
60,21014,3,56,23013,4,"""atk"":1.371,""hp"":4.214",1.4
60,21014,6,56,22024,3,"""atk"":1.371,""hp"":4.214",1.4
61,31023,1,57,31023,4,"""atk"":1.1,""hp"":1.1",1
61,31023,2,57,31023,4,"""atk"":1.1,""hp"":1.1",1
61,31023,3,57,32023,4,"""atk"":1.1,""hp"":1.1",1
61,31023,4,57,35023,4,"""atk"":1.1,""hp"":1.1",1
61,31023,5,57,34014,4,"""atk"":1.1,""hp"":1.1",1
61,31023,6,57,34014,4,"""atk"":1.1,""hp"":1.1",1
62,41044,1,58,41044,4,"""atk"":1.102,""hp"":1.102",1
62,41044,2,58,41023,4,"""atk"":1.102,""hp"":1.102",1
62,41044,3,58,41013,4,"""atk"":1.102,""hp"":1.102",1
62,41044,4,58,44034,4,"""atk"":1.102,""hp"":1.102",1
62,41044,5,58,45013,4,"""atk"":1.102,""hp"":1.102",1
62,41044,6,58,41013,4,"""atk"":1.102,""hp"":1.102",1
63,52024,1,59,52024,4,"""atk"":1.105,""hp"":1.105",1
63,52024,2,59,53014,4,"""atk"":1.105,""hp"":1.105",1
63,52024,3,59,52034,4,"""atk"":1.105,""hp"":1.105",1
63,52024,4,59,52013,4,"""atk"":1.105,""hp"":1.105",1
63,52024,5,59,52013,4,"""atk"":1.105,""hp"":1.105",1
63,52024,6,59,52013,4,"""atk"":1.105,""hp"":1.105",1
64,61014,1,60,61014,4,"""atk"":1.107,""hp"":1.107",1
64,61014,2,60,62014,4,"""atk"":1.107,""hp"":1.107",1
64,61014,3,60,63014,4,"""atk"":1.107,""hp"":1.107",1
64,61014,4,60,63014,4,"""atk"":1.107,""hp"":1.107",1
64,61014,5,60,64013,4,"""atk"":1.107,""hp"":1.107",1
64,61014,6,60,64013,4,"""atk"":1.107,""hp"":1.107",1
65,52024,1,61,52024,4,"""atk"":1.11,""hp"":1.165",1
65,52024,2,61,41023,4,"""atk"":1.11,""hp"":1.165",1
65,52024,3,61,64013,4,"""atk"":1.11,""hp"":1.165",1
65,52024,4,61,14013,4,"""atk"":1.11,""hp"":1.165",1
65,52024,5,61,25023,4,"""atk"":1.11,""hp"":1.165",1
65,52024,6,61,31033,4,"""atk"":1.11,""hp"":1.165",1
66,11075,1,62,11075,5,"""atk"":1.112,""hp"":1.112",1
66,11075,2,62,11085,4,"""atk"":1.112,""hp"":1.112",1
66,11075,3,62,12025,4,"""atk"":1.112,""hp"":1.112",1
66,11075,4,62,15015,4,"""atk"":1.112,""hp"":1.112",1
66,11075,5,62,14025,4,"""atk"":1.112,""hp"":1.112",1
66,11075,6,62,15025,4,"""atk"":1.112,""hp"":1.112",1
67,22055,1,63,22055,5,"""atk"":1.115,""hp"":1.115",1
67,22055,2,63,21045,5,"""atk"":1.115,""hp"":1.115",1
67,22055,3,63,25075,4,"""atk"":1.115,""hp"":1.115",1
67,22055,4,63,24025,4,"""atk"":1.115,""hp"":1.115",1
67,22055,5,63,24025,4,"""atk"":1.115,""hp"":1.115",1
67,22055,6,63,25075,4,"""atk"":1.115,""hp"":1.115",1
68,35035,1,64,35035,5,"""atk"":1.117,""hp"":1.117",1
68,35035,2,64,35045,5,"""atk"":1.117,""hp"":1.117",1
68,35035,3,64,34015,5,"""atk"":1.117,""hp"":1.117",1
68,35035,4,64,33015,4,"""atk"":1.117,""hp"":1.117",1
68,35035,5,64,31085,4,"""atk"":1.117,""hp"":1.117",1
68,35035,6,64,33015,4,"""atk"":1.117,""hp"":1.117",1
69,45055,1,65,45055,5,"""atk"":1.12,""hp"":1.12",1
69,45055,2,65,41035,5,"""atk"":1.12,""hp"":1.12",1
69,45055,3,65,43035,5,"""atk"":1.12,""hp"":1.12",1
69,45055,4,65,44035,5,"""atk"":1.12,""hp"":1.12",1
69,45055,5,65,43045,4,"""atk"":1.12,""hp"":1.12",1
69,45055,6,65,44025,4,"""atk"":1.12,""hp"":1.12",1
70,53015,1,66,53015,5,"""atk"":1.403,""hp"":4.31",1.4
70,53015,3,66,52025,5,"""atk"":1.403,""hp"":4.31",1.4
70,53015,6,66,52025,4,"""atk"":1.403,""hp"":4.31",1.4
71,61025,1,67,61025,5,"""atk"":1.125,""hp"":1.125",1
71,61025,2,67,63025,5,"""atk"":1.125,""hp"":1.125",1
71,61025,3,67,61015,5,"""atk"":1.125,""hp"":1.125",1
71,61025,4,67,63015,5,"""atk"":1.125,""hp"":1.125",1
71,61025,5,67,63015,5,"""atk"":1.125,""hp"":1.125",1
71,61025,6,67,63015,5,"""atk"":1.125,""hp"":1.125",1
72,63025,1,68,63025,5,"""atk"":1.127,""hp"":1.127",1
72,63025,2,68,52045,5,"""atk"":1.127,""hp"":1.127",1
72,63025,3,68,31085,5,"""atk"":1.127,""hp"":1.127",1
72,63025,4,68,44045,5,"""atk"":1.127,""hp"":1.127",1
72,63025,5,68,23035,5,"""atk"":1.127,""hp"":1.127",1
72,63025,6,68,14025,5,"""atk"":1.127,""hp"":1.127",1
73,11045,1,69,11045,5,"""atk"":1.13,""hp"":1.13",1
73,11045,2,69,14035,5,"""atk"":1.13,""hp"":1.13",1
73,11045,3,69,13035,5,"""atk"":1.13,""hp"":1.13",1
73,11045,4,69,11065,5,"""atk"":1.13,""hp"":1.13",1
73,11045,5,69,15025,5,"""atk"":1.13,""hp"":1.13",1
73,11045,6,69,13035,5,"""atk"":1.13,""hp"":1.13",1
74,22055,1,70,22055,5,"""atk"":1.132,""hp"":1.132",1
74,22055,2,70,25065,5,"""atk"":1.132,""hp"":1.132",1
74,22055,3,70,25055,5,"""atk"":1.132,""hp"":1.132",1
74,22055,4,70,21015,5,"""atk"":1.132,""hp"":1.132",1
74,22055,5,70,25075,5,"""atk"":1.132,""hp"":1.132",1
74,22055,6,70,23035,5,"""atk"":1.132,""hp"":1.132",1
75,31055,1,71,31055,5,"""atk"":1.135,""hp"":1.191",1
