关卡编号,守关BOSS,展示模型,关卡奖励,战斗地图
50,10050,41044,"{""a"":""attr"",""t"":""jinbi"",""n"":27500},{""a"":""attr"",""t"":""useexp"",""n"":10800},{""a"":""item"",""t"":""2004"",""n"":30}",zhandou_10.jpg
51,10051,25023,"{""a"":""attr"",""t"":""jinbi"",""n"":28000},{""a"":""attr"",""t"":""useexp"",""n"":11000},{""a"":""item"",""t"":""2004"",""n"":31}",zhandou_10.jpg
52,10052,25054,"{""a"":""attr"",""t"":""jinbi"",""n"":28500},{""a"":""attr"",""t"":""useexp"",""n"":11200},{""a"":""item"",""t"":""2004"",""n"":31}",zhandou_10.jpg
53,10053,11023,"{""a"":""attr"",""t"":""jinbi"",""n"":29000},{""a"":""attr"",""t"":""useexp"",""n"":11400},{""a"":""item"",""t"":""2004"",""n"":32}",zhandou_10.jpg
54,10054,64013,"{""a"":""attr"",""t"":""jinbi"",""n"":29500},{""a"":""attr"",""t"":""useexp"",""n"":11600},{""a"":""item"",""t"":""2004"",""n"":32}",zhandou_10.jpg
55,10055,11054,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""attr"",""t"":""useexp"",""n"":11800},{""a"":""item"",""t"":""2004"",""n"":33}",zhandou_10.jpg
56,10056,31044,"{""a"":""attr"",""t"":""jinbi"",""n"":30500},{""a"":""attr"",""t"":""useexp"",""n"":12000},{""a"":""item"",""t"":""2004"",""n"":33}",zhandou_10.jpg
57,10057,31033,"{""a"":""attr"",""t"":""jinbi"",""n"":31000},{""a"":""attr"",""t"":""useexp"",""n"":12200},{""a"":""item"",""t"":""2004"",""n"":34}",zhandou_10.jpg
58,10058,41023,"{""a"":""attr"",""t"":""jinbi"",""n"":31500},{""a"":""attr"",""t"":""useexp"",""n"":12400},{""a"":""item"",""t"":""2004"",""n"":34}",zhandou_10.jpg
59,10059,52013,"{""a"":""attr"",""t"":""jinbi"",""n"":32000},{""a"":""attr"",""t"":""useexp"",""n"":12600},{""a"":""item"",""t"":""2004"",""n"":35}",zhandou_10.jpg
60,10060,25054,"{""a"":""attr"",""t"":""jinbi"",""n"":32500},{""a"":""attr"",""t"":""useexp"",""n"":12800},{""a"":""item"",""t"":""2004"",""n"":35}",zhandou_10.jpg
61,10061,41034,"{""a"":""attr"",""t"":""jinbi"",""n"":33000},{""a"":""attr"",""t"":""useexp"",""n"":13000},{""a"":""item"",""t"":""2004"",""n"":36}",zhandou_10.jpg
62,10062,41044,"{""a"":""attr"",""t"":""jinbi"",""n"":33500},{""a"":""attr"",""t"":""useexp"",""n"":13200},{""a"":""item"",""t"":""2004"",""n"":36}",zhandou_10.jpg
63,10063,21014,"{""a"":""attr"",""t"":""jinbi"",""n"":34000},{""a"":""attr"",""t"":""useexp"",""n"":13400},{""a"":""item"",""t"":""2004"",""n"":37}",zhandou_10.jpg
64,10064,61014,"{""a"":""attr"",""t"":""jinbi"",""n"":34500},{""a"":""attr"",""t"":""useexp"",""n"":13600},{""a"":""item"",""t"":""2004"",""n"":37}",zhandou_10.jpg
65,10065,31044,"{""a"":""attr"",""t"":""jinbi"",""n"":35000},{""a"":""attr"",""t"":""useexp"",""n"":13800},{""a"":""item"",""t"":""2004"",""n"":38}",zhandou_10.jpg
66,10066,11054,"{""a"":""attr"",""t"":""jinbi"",""n"":35500},{""a"":""attr"",""t"":""useexp"",""n"":14000},{""a"":""item"",""t"":""2004"",""n"":38}",zhandou_10.jpg
67,10067,11044,"{""a"":""attr"",""t"":""jinbi"",""n"":36000},{""a"":""attr"",""t"":""useexp"",""n"":14200},{""a"":""item"",""t"":""2004"",""n"":39}",zhandou_10.jpg
68,10068,41034,"{""a"":""attr"",""t"":""jinbi"",""n"":36500},{""a"":""attr"",""t"":""useexp"",""n"":14400},{""a"":""item"",""t"":""2004"",""n"":39}",zhandou_10.jpg
69,10069,52034,"{""a"":""attr"",""t"":""jinbi"",""n"":37000},{""a"":""attr"",""t"":""useexp"",""n"":14600},{""a"":""item"",""t"":""2004"",""n"":40}",zhandou_10.jpg
70,10070,61014,"{""a"":""attr"",""t"":""jinbi"",""n"":37500},{""a"":""attr"",""t"":""useexp"",""n"":14800},{""a"":""item"",""t"":""2004"",""n"":40}",zhandou_10.jpg
71,10071,31054,"{""a"":""attr"",""t"":""jinbi"",""n"":38000},{""a"":""attr"",""t"":""useexp"",""n"":15000},{""a"":""item"",""t"":""2004"",""n"":41}",zhandou_10.jpg
72,10072,31044,"{""a"":""attr"",""t"":""jinbi"",""n"":38500},{""a"":""attr"",""t"":""useexp"",""n"":15200},{""a"":""item"",""t"":""2004"",""n"":41}",zhandou_10.jpg
73,10073,21014,"{""a"":""attr"",""t"":""jinbi"",""n"":39000},{""a"":""attr"",""t"":""useexp"",""n"":15400},{""a"":""item"",""t"":""2004"",""n"":42}",zhandou_10.jpg
74,10074,25054,"{""a"":""attr"",""t"":""jinbi"",""n"":39500},{""a"":""attr"",""t"":""useexp"",""n"":15600},{""a"":""item"",""t"":""2004"",""n"":42}",zhandou_10.jpg
75,10075,31044,"{""a"":""attr"",""t"":""jinbi"",""n"":40000},{""a"":""attr"",""t"":""useexp"",""n"":15800},{""a"":""item"",""t"":""2004"",""n"":43}",zhandou_10.jpg
76,10076,11054,"{""a"":""attr"",""t"":""jinbi"",""n"":40500},{""a"":""attr"",""t"":""useexp"",""n"":16000},{""a"":""item"",""t"":""2004"",""n"":43}",zhandou_10.jpg
77,10077,11044,"{""a"":""attr"",""t"":""jinbi"",""n"":41000},{""a"":""attr"",""t"":""useexp"",""n"":16200},{""a"":""item"",""t"":""2004"",""n"":44}",zhandou_10.jpg
78,10078,41034,"{""a"":""attr"",""t"":""jinbi"",""n"":41500},{""a"":""attr"",""t"":""useexp"",""n"":16400},{""a"":""item"",""t"":""2004"",""n"":44}",zhandou_10.jpg
79,10079,52034,"{""a"":""attr"",""t"":""jinbi"",""n"":42000},{""a"":""attr"",""t"":""useexp"",""n"":16600},{""a"":""item"",""t"":""2004"",""n"":45}",zhandou_10.jpg
80,10080,61014,"{""a"":""attr"",""t"":""jinbi"",""n"":42500},{""a"":""attr"",""t"":""useexp"",""n"":16800},{""a"":""item"",""t"":""2004"",""n"":45}",zhandou_10.jpg
81,10081,31054,"{""a"":""attr"",""t"":""jinbi"",""n"":43000},{""a"":""attr"",""t"":""useexp"",""n"":17000},{""a"":""item"",""t"":""2004"",""n"":46}",zhandou_10.jpg
82,10082,31044,"{""a"":""attr"",""t"":""jinbi"",""n"":43500},{""a"":""attr"",""t"":""useexp"",""n"":17200},{""a"":""item"",""t"":""2004"",""n"":46}",zhandou_10.jpg
83,10083,41034,"{""a"":""attr"",""t"":""jinbi"",""n"":44000},{""a"":""attr"",""t"":""useexp"",""n"":17400},{""a"":""item"",""t"":""2004"",""n"":47}",zhandou_10.jpg
84,10084,25054,"{""a"":""attr"",""t"":""jinbi"",""n"":44500},{""a"":""attr"",""t"":""useexp"",""n"":17600},{""a"":""item"",""t"":""2004"",""n"":47}",zhandou_10.jpg
85,10085,31044,"{""a"":""attr"",""t"":""jinbi"",""n"":45000},{""a"":""attr"",""t"":""useexp"",""n"":17800},{""a"":""item"",""t"":""2004"",""n"":48}",zhandou_10.jpg
86,10086,11054,"{""a"":""attr"",""t"":""jinbi"",""n"":45500},{""a"":""attr"",""t"":""useexp"",""n"":18000},{""a"":""item"",""t"":""2004"",""n"":48}",zhandou_10.jpg
87,10087,52034,"{""a"":""attr"",""t"":""jinbi"",""n"":46000},{""a"":""attr"",""t"":""useexp"",""n"":18200},{""a"":""item"",""t"":""2004"",""n"":49}",zhandou_10.jpg
88,10088,61014,"{""a"":""attr"",""t"":""jinbi"",""n"":46500},{""a"":""attr"",""t"":""useexp"",""n"":18400},{""a"":""item"",""t"":""2004"",""n"":49}",zhandou_10.jpg
89,10089,31054,"{""a"":""attr"",""t"":""jinbi"",""n"":47000},{""a"":""attr"",""t"":""useexp"",""n"":18600},{""a"":""item"",""t"":""2004"",""n"":50}",zhandou_10.jpg
90,10090,41035,"{""a"":""attr"",""t"":""jinbi"",""n"":47500},{""a"":""attr"",""t"":""useexp"",""n"":18800},{""a"":""item"",""t"":""2004"",""n"":50}",zhandou_10.jpg
91,10091,21025,"{""a"":""attr"",""t"":""jinbi"",""n"":48000},{""a"":""attr"",""t"":""useexp"",""n"":19000},{""a"":""item"",""t"":""2004"",""n"":51}",zhandou_10.jpg
92,10092,31075,"{""a"":""attr"",""t"":""jinbi"",""n"":48500},{""a"":""attr"",""t"":""useexp"",""n"":19200},{""a"":""item"",""t"":""2004"",""n"":51}",zhandou_10.jpg
93,10093,25054,"{""a"":""attr"",""t"":""jinbi"",""n"":49000},{""a"":""attr"",""t"":""useexp"",""n"":19400},{""a"":""item"",""t"":""2004"",""n"":52}",zhandou_10.jpg
94,10094,52034,"{""a"":""attr"",""t"":""jinbi"",""n"":49500},{""a"":""attr"",""t"":""useexp"",""n"":19600},{""a"":""item"",""t"":""2004"",""n"":52}",zhandou_10.jpg
95,10095,61014,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""attr"",""t"":""useexp"",""n"":19800},{""a"":""item"",""t"":""2004"",""n"":53}",zhandou_10.jpg
96,10096,31054,"{""a"":""attr"",""t"":""jinbi"",""n"":50500},{""a"":""attr"",""t"":""useexp"",""n"":20000},{""a"":""item"",""t"":""2004"",""n"":53}",zhandou_10.jpg
97,10097,41035,"{""a"":""attr"",""t"":""jinbi"",""n"":51000},{""a"":""attr"",""t"":""useexp"",""n"":20200},{""a"":""item"",""t"":""2004"",""n"":54}",zhandou_10.jpg
98,10098,21025,"{""a"":""attr"",""t"":""jinbi"",""n"":51500},{""a"":""attr"",""t"":""useexp"",""n"":20400},{""a"":""item"",""t"":""2004"",""n"":54}",zhandou_10.jpg
99,10099,31075,"{""a"":""attr"",""t"":""jinbi"",""n"":52000},{""a"":""attr"",""t"":""useexp"",""n"":20600},{""a"":""item"",""t"":""2004"",""n"":55}",zhandou_10.jpg
100,10100,61014,"{""a"":""attr"",""t"":""jinbi"",""n"":52500},{""a"":""attr"",""t"":""useexp"",""n"":20800},{""a"":""item"",""t"":""2004"",""n"":55}",zhandou_10.jpg
101,10101,21014,"{""a"":""attr"",""t"":""jinbi"",""n"":53000},{""a"":""attr"",""t"":""useexp"",""n"":21000},{""a"":""item"",""t"":""2004"",""n"":56}",zhandou_10.jpg
102,10102,25054,"{""a"":""attr"",""t"":""jinbi"",""n"":53500},{""a"":""attr"",""t"":""useexp"",""n"":21200},{""a"":""item"",""t"":""2004"",""n"":56}",zhandou_10.jpg
103,10103,31085,"{""a"":""attr"",""t"":""jinbi"",""n"":54000},{""a"":""attr"",""t"":""useexp"",""n"":21400},{""a"":""item"",""t"":""2004"",""n"":57}",zhandou_10.jpg
104,10104,31075,"{""a"":""attr"",""t"":""jinbi"",""n"":54500},{""a"":""attr"",""t"":""useexp"",""n"":21600},{""a"":""item"",""t"":""2004"",""n"":57}",zhandou_10.jpg
105,10105,52034,"{""a"":""attr"",""t"":""jinbi"",""n"":55000},{""a"":""attr"",""t"":""useexp"",""n"":21800},{""a"":""item"",""t"":""2004"",""n"":58}",zhandou_10.jpg
106,10106,11075,"{""a"":""attr"",""t"":""jinbi"",""n"":55500},{""a"":""attr"",""t"":""useexp"",""n"":22000},{""a"":""item"",""t"":""2004"",""n"":58}",zhandou_10.jpg
107,10107,11085,"{""a"":""attr"",""t"":""jinbi"",""n"":56000},{""a"":""attr"",""t"":""useexp"",""n"":22200},{""a"":""item"",""t"":""2004"",""n"":59}",zhandou_10.jpg
108,10108,41065,"{""a"":""attr"",""t"":""jinbi"",""n"":56500},{""a"":""attr"",""t"":""useexp"",""n"":22400},{""a"":""item"",""t"":""2004"",""n"":59}",zhandou_10.jpg
109,10109,41055,"{""a"":""attr"",""t"":""jinbi"",""n"":57000},{""a"":""attr"",""t"":""useexp"",""n"":22600},{""a"":""item"",""t"":""2004"",""n"":60}",zhandou_10.jpg
110,10110,63025,"{""a"":""attr"",""t"":""jinbi"",""n"":57500},{""a"":""attr"",""t"":""useexp"",""n"":22800},{""a"":""item"",""t"":""2004"",""n"":60}",zhandou_10.jpg
111,10111,41065,"{""a"":""attr"",""t"":""jinbi"",""n"":58000},{""a"":""attr"",""t"":""useexp"",""n"":23000},{""a"":""item"",""t"":""2004"",""n"":61}",zhandou_10.jpg
112,10112,31085,"{""a"":""attr"",""t"":""jinbi"",""n"":58500},{""a"":""attr"",""t"":""useexp"",""n"":23200},{""a"":""item"",""t"":""2004"",""n"":61}",zhandou_10.jpg
113,10113,61014,"{""a"":""attr"",""t"":""jinbi"",""n"":59000},{""a"":""attr"",""t"":""useexp"",""n"":23400},{""a"":""item"",""t"":""2004"",""n"":62}",zhandou_10.jpg
114,10114,21045,"{""a"":""attr"",""t"":""jinbi"",""n"":59500},{""a"":""attr"",""t"":""useexp"",""n"":23600},{""a"":""item"",""t"":""2004"",""n"":62}",zhandou_10.jpg
115,10115,11044,"{""a"":""attr"",""t"":""jinbi"",""n"":60000},{""a"":""attr"",""t"":""useexp"",""n"":23800},{""a"":""item"",""t"":""2004"",""n"":63}",zhandou_10.jpg
116,10116,11075,"{""a"":""attr"",""t"":""jinbi"",""n"":60500},{""a"":""attr"",""t"":""useexp"",""n"":24000},{""a"":""item"",""t"":""2004"",""n"":63}",zhandou_10.jpg
117,10117,41065,"{""a"":""attr"",""t"":""jinbi"",""n"":61000},{""a"":""attr"",""t"":""useexp"",""n"":24200},{""a"":""item"",""t"":""2004"",""n"":64}",zhandou_10.jpg
118,10118,31085,"{""a"":""attr"",""t"":""jinbi"",""n"":61500},{""a"":""attr"",""t"":""useexp"",""n"":24400},{""a"":""item"",""t"":""2004"",""n"":64}",zhandou_10.jpg
119,10119,25054,"{""a"":""attr"",""t"":""jinbi"",""n"":62000},{""a"":""attr"",""t"":""useexp"",""n"":24600},{""a"":""item"",""t"":""2004"",""n"":65}",zhandou_10.jpg
120,10120,61014,"{""a"":""attr"",""t"":""jinbi"",""n"":62500},{""a"":""attr"",""t"":""useexp"",""n"":24800},{""a"":""item"",""t"":""2004"",""n"":65}",zhandou_10.jpg
121,10121,61014,"{""a"":""attr"",""t"":""jinbi"",""n"":63000},{""a"":""attr"",""t"":""useexp"",""n"":25000},{""a"":""item"",""t"":""2004"",""n"":66}",zhandou_10.jpg
122,10122,41035,"{""a"":""attr"",""t"":""jinbi"",""n"":63500},{""a"":""attr"",""t"":""useexp"",""n"":25200},{""a"":""item"",""t"":""2004"",""n"":66}",zhandou_10.jpg
123,10123,11045,"{""a"":""attr"",""t"":""jinbi"",""n"":64000},{""a"":""attr"",""t"":""useexp"",""n"":25400},{""a"":""item"",""t"":""2004"",""n"":67}",zhandou_10.jpg
124,10124,41055,"{""a"":""attr"",""t"":""jinbi"",""n"":64500},{""a"":""attr"",""t"":""useexp"",""n"":25600},{""a"":""item"",""t"":""2004"",""n"":67}",zhandou_10.jpg
125,10125,31075,"{""a"":""attr"",""t"":""jinbi"",""n"":65000},{""a"":""attr"",""t"":""useexp"",""n"":25800},{""a"":""item"",""t"":""2004"",""n"":68}",zhandou_10.jpg
126,10126,21045,"{""a"":""attr"",""t"":""jinbi"",""n"":65500},{""a"":""attr"",""t"":""useexp"",""n"":26000},{""a"":""item"",""t"":""2004"",""n"":68}",zhandou_10.jpg
127,10127,35045,"{""a"":""attr"",""t"":""jinbi"",""n"":66000},{""a"":""attr"",""t"":""useexp"",""n"":26200},{""a"":""item"",""t"":""2004"",""n"":69}",zhandou_10.jpg
128,10128,63025,"{""a"":""attr"",""t"":""jinbi"",""n"":66500},{""a"":""attr"",""t"":""useexp"",""n"":26400},{""a"":""item"",""t"":""2004"",""n"":69}",zhandou_10.jpg
129,10129,41065,"{""a"":""attr"",""t"":""jinbi"",""n"":67000},{""a"":""attr"",""t"":""useexp"",""n"":26600},{""a"":""item"",""t"":""2004"",""n"":70}",zhandou_10.jpg
130,10130,11075,"{""a"":""attr"",""t"":""jinbi"",""n"":67500},{""a"":""attr"",""t"":""useexp"",""n"":26800},{""a"":""item"",""t"":""2004"",""n"":70}",zhandou_10.jpg
131,10131,21045,"{""a"":""attr"",""t"":""jinbi"",""n"":68000},{""a"":""attr"",""t"":""useexp"",""n"":27000},{""a"":""item"",""t"":""2004"",""n"":71}",zhandou_10.jpg
132,10132,41065,"{""a"":""attr"",""t"":""jinbi"",""n"":68500},{""a"":""attr"",""t"":""useexp"",""n"":27200},{""a"":""item"",""t"":""2004"",""n"":71}",zhandou_10.jpg
133,10133,41035,"{""a"":""attr"",""t"":""jinbi"",""n"":69000},{""a"":""attr"",""t"":""useexp"",""n"":27400},{""a"":""item"",""t"":""2004"",""n"":72}",zhandou_10.jpg
134,10134,31085,"{""a"":""attr"",""t"":""jinbi"",""n"":69500},{""a"":""attr"",""t"":""useexp"",""n"":27600},{""a"":""item"",""t"":""2004"",""n"":72}",zhandou_10.jpg
135,10135,41055,"{""a"":""attr"",""t"":""jinbi"",""n"":70000},{""a"":""attr"",""t"":""useexp"",""n"":27800},{""a"":""item"",""t"":""2004"",""n"":73}",zhandou_10.jpg
136,10136,11054,"{""a"":""attr"",""t"":""jinbi"",""n"":70500},{""a"":""attr"",""t"":""useexp"",""n"":28000},{""a"":""item"",""t"":""2004"",""n"":73}",zhandou_10.jpg
137,10137,11075,"{""a"":""attr"",""t"":""jinbi"",""n"":71000},{""a"":""attr"",""t"":""useexp"",""n"":28200},{""a"":""item"",""t"":""2004"",""n"":74}",zhandou_10.jpg
138,10138,61014,"{""a"":""attr"",""t"":""jinbi"",""n"":71500},{""a"":""attr"",""t"":""useexp"",""n"":28400},{""a"":""item"",""t"":""2004"",""n"":74}",zhandou_10.jpg
139,10139,41035,"{""a"":""attr"",""t"":""jinbi"",""n"":72000},{""a"":""attr"",""t"":""useexp"",""n"":28600},{""a"":""item"",""t"":""2004"",""n"":75}",zhandou_10.jpg
