¹Ø¿¨±àºÅ,ÄÑ¶È,ÇøÓò,½âËøµÈ¼¶,¹Ø¿¨ÀàÐÍ,¹Ø¿¨BOSS,Î»ÖÃ,Ãû³Æ,¹Ò»ú²úÖµ,¹Ò»úµôÂä,Í¨¹Ø½±Àø,,,,,,,
16,1,2,1,1,16,"""x"":523,""y"":439",ºÚ°µÁúÑ¨(16),"""useexp"":4,""jinbi"":21,""exp"":7,""jifen"":1","""201016"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":840},{""a"":""attr"",""t"":""jinbi"",""n"":3150},{""a"":""attr"",""t"":""exp"",""n"":850}",,,,,,,
17,1,2,1,1,17,"""x"":672,""y"":445",ºÚ°µÁúÑ¨(17),"""useexp"":4,""jinbi"":21,""exp"":8,""jifen"":1","""201017"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":848},{""a"":""attr"",""t"":""jinbi"",""n"":3192},{""a"":""attr"",""t"":""exp"",""n"":860}",,,,,,,
18,1,2,1,1,18,"""x"":786,""y"":412",ºÚ°µÁúÑ¨(18),"""useexp"":4,""jinbi"":21,""exp"":8,""jifen"":1","""201018"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":856},{""a"":""attr"",""t"":""jinbi"",""n"":3234},{""a"":""attr"",""t"":""exp"",""n"":870}",,,,,,,
19,1,2,1,1,19,"""x"":756,""y"":342",ºÚ°µÁúÑ¨(19),"""useexp"":4,""jinbi"":21,""exp"":8,""jifen"":1","""201019"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":864},{""a"":""attr"",""t"":""jinbi"",""n"":3276},{""a"":""attr"",""t"":""exp"",""n"":880}",,,,,,,
20,1,2,1,3,20,"""x"":855,""y"":256",ºÚ°µÁúÑ¨(20),"""useexp"":4,""jinbi"":21,""exp"":8,""jifen"":1","""201020"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":872},{""a"":""attr"",""t"":""jinbi"",""n"":3318},{""a"":""attr"",""t"":""exp"",""n"":890}",,,,,,,
21,1,3,1,1,21,"""x"":101,""y"":254",ÊØ»¤Ö®Ëþ(21),"""useexp"":6,""jinbi"":22,""exp"":9,""jifen"":1","""201021"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":1320},{""a"":""attr"",""t"":""jinbi"",""n"":3520},{""a"":""attr"",""t"":""exp"",""n"":900}",,,,,,,
22,1,3,1,1,22,"""x"":150,""y"":329",ÊØ»¤Ö®Ëþ(22),"""useexp"":6,""jinbi"":22,""exp"":9,""jifen"":1","""201022"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":1332},{""a"":""attr"",""t"":""jinbi"",""n"":3564},{""a"":""attr"",""t"":""exp"",""n"":900}",,,,,,,
23,1,3,1,1,23,"""x"":287,""y"":362",ÊØ»¤Ö®Ëþ(23),"""useexp"":6,""jinbi"":22,""exp"":9,""jifen"":1","""201023"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":1344},{""a"":""attr"",""t"":""jinbi"",""n"":3608},{""a"":""attr"",""t"":""exp"",""n"":900}",,,,,,,
24,1,3,1,1,24,"""x"":366,""y"":289",ÊØ»¤Ö®Ëþ(24),"""useexp"":6,""jinbi"":22,""exp"":9,""jifen"":1","""201024"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":1356},{""a"":""attr"",""t"":""jinbi"",""n"":3652},{""a"":""attr"",""t"":""exp"",""n"":900}",,,,,,,
25,1,3,1,2,25,"""x"":500,""y"":311",ÊØ»¤Ö®Ëþ(25),"""useexp"":6,""jinbi"":22,""exp"":9,""jifen"":1","""201025"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":1368},{""a"":""attr"",""t"":""jinbi"",""n"":3696},{""a"":""attr"",""t"":""exp"",""n"":972}",,,,,,,
26,1,3,1,1,26,"""x"":621,""y"":379",ÊØ»¤Ö®Ëþ(26),"""useexp"":8,""jinbi"":22,""exp"":10,""jifen"":1","""201026"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":1840},{""a"":""attr"",""t"":""jinbi"",""n"":3740},{""a"":""attr"",""t"":""exp"",""n"":972}",,,,,,,
27,1,3,1,1,27,"""x"":719,""y"":362",ÊØ»¤Ö®Ëþ(27),"""useexp"":8,""jinbi"":22,""exp"":10,""jifen"":1","""201027"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":1856},{""a"":""attr"",""t"":""jinbi"",""n"":3784},{""a"":""attr"",""t"":""exp"",""n"":972}",,,,,,,
28,1,3,1,1,28,"""x"":641,""y"":260",ÊØ»¤Ö®Ëþ(28),"""useexp"":8,""jinbi"":22,""exp"":10,""jifen"":1","""201028"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":1872},{""a"":""attr"",""t"":""jinbi"",""n"":3828},{""a"":""attr"",""t"":""exp"",""n"":972}",,,,,,,
29,1,3,1,1,29,"""x"":727,""y"":234",ÊØ»¤Ö®Ëþ(29),"""useexp"":8,""jinbi"":22,""exp"":10,""jifen"":1","""201029"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":1888},{""a"":""attr"",""t"":""jinbi"",""n"":3872},{""a"":""attr"",""t"":""exp"",""n"":1160}",,,,,,,
30,1,3,1,3,30,"""x"":847,""y"":224",ÊØ»¤Ö®Ëþ(30),"""useexp"":8,""jinbi"":22,""exp"":10,""jifen"":1","""201030"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":1904},{""a"":""attr"",""t"":""jinbi"",""n"":3916},{""a"":""attr"",""t"":""exp"",""n"":1160}",,,,,,,
31,1,4,1,1,31,"""x"":210,""y"":431",¾£¼¬º£°¶(31),"""useexp"":10,""jinbi"":23,""exp"":11,""jifen"":1","""201031"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":2400},{""a"":""attr"",""t"":""jinbi"",""n"":4140},{""a"":""attr"",""t"":""exp"",""n"":1160}",,,,,,,
32,1,4,1,1,32,"""x"":128,""y"":362",¾£¼¬º£°¶(32),"""useexp"":10,""jinbi"":23,""exp"":11,""jifen"":1","""201032"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":2420},{""a"":""attr"",""t"":""jinbi"",""n"":4186},{""a"":""attr"",""t"":""exp"",""n"":1160}",,,,,,,
33,1,4,22,1,33,"""x"":242,""y"":296",¾£¼¬º£°¶(33),"""useexp"":10,""jinbi"":23,""exp"":11,""jifen"":1","""201033"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":2440},{""a"":""attr"",""t"":""jinbi"",""n"":4232},{""a"":""attr"",""t"":""exp"",""n"":1364}",,,,,,,
34,1,4,22,1,34,"""x"":340,""y"":354",¾£¼¬º£°¶(34),"""useexp"":10,""jinbi"":23,""exp"":11,""jifen"":1","""201034"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":2460},{""a"":""attr"",""t"":""jinbi"",""n"":4278},{""a"":""attr"",""t"":""exp"",""n"":1364}",,,,,,,
35,1,4,22,2,35,"""x"":424,""y"":226",¾£¼¬º£°¶(35),"""useexp"":10,""jinbi"":23,""exp"":11,""jifen"":1","""201035"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":2480},{""a"":""attr"",""t"":""jinbi"",""n"":4324},{""a"":""attr"",""t"":""exp"",""n"":1364}",,,,,,,
36,1,4,22,1,36,"""x"":625,""y"":304",¾£¼¬º£°¶(36),"""useexp"":12,""jinbi"":23,""exp"":12,""jifen"":1","""201036"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":3000},{""a"":""attr"",""t"":""jinbi"",""n"":4370},{""a"":""attr"",""t"":""exp"",""n"":1364}",,,,,,,
37,1,4,22,1,37,"""x"":601,""y"":439",¾£¼¬º£°¶(37),"""useexp"":12,""jinbi"":23,""exp"":12,""jifen"":1","""201037"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":3024},{""a"":""attr"",""t"":""jinbi"",""n"":4416},{""a"":""attr"",""t"":""exp"",""n"":1584}",,,,,,,
38,1,4,24,1,38,"""x"":726,""y"":437",¾£¼¬º£°¶(38),"""useexp"":12,""jinbi"":23,""exp"":12,""jifen"":1","""201038"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":3048},{""a"":""attr"",""t"":""jinbi"",""n"":4462},{""a"":""attr"",""t"":""exp"",""n"":1584}",,,,,,,
39,1,4,24,1,39,"""x"":803,""y"":383",¾£¼¬º£°¶(39),"""useexp"":12,""jinbi"":23,""exp"":12,""jifen"":1","""201039"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":3072},{""a"":""attr"",""t"":""jinbi"",""n"":4508},{""a"":""attr"",""t"":""exp"",""n"":1584}",,,,,,,
40,1,4,24,3,40,"""x"":749,""y"":218",¾£¼¬º£°¶(40),"""useexp"":12,""jinbi"":23,""exp"":12,""jifen"":1","""201040"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":3096},{""a"":""attr"",""t"":""jinbi"",""n"":4554},{""a"":""attr"",""t"":""exp"",""n"":1584}",,,,,,,
41,1,5,24,1,41,"""x"":103,""y"":364",ÁúÒí³²Ñ¨(41),"""useexp"":14,""jinbi"":24,""exp"":14,""jifen"":1","""201041"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":3640},{""a"":""attr"",""t"":""jinbi"",""n"":4800},{""a"":""attr"",""t"":""exp"",""n"":1960}",,,,,,,
42,1,5,24,1,42,"""x"":327,""y"":393",ÁúÒí³²Ñ¨(42),"""useexp"":14,""jinbi"":24,""exp"":14,""jifen"":1","""201042"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":3668},{""a"":""attr"",""t"":""jinbi"",""n"":4848},{""a"":""attr"",""t"":""exp"",""n"":1960}",,,,,,,
43,1,5,26,1,43,"""x"":296,""y"":262",ÁúÒí³²Ñ¨(43),"""useexp"":14,""jinbi"":24,""exp"":14,""jifen"":1","""201043"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":3696},{""a"":""attr"",""t"":""jinbi"",""n"":4896},{""a"":""attr"",""t"":""exp"",""n"":1960}",,,,,,,
44,1,5,26,1,44,"""x"":420,""y"":248",ÁúÒí³²Ñ¨(44),"""useexp"":14,""jinbi"":24,""exp"":14,""jifen"":1","""201044"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":3724},{""a"":""attr"",""t"":""jinbi"",""n"":4944},{""a"":""attr"",""t"":""exp"",""n"":1960}",,,,,,,
45,1,5,26,2,45,"""x"":498,""y"":297",ÁúÒí³²Ñ¨(45),"""useexp"":14,""jinbi"":24,""exp"":14,""jifen"":1","""201045"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":3752},{""a"":""attr"",""t"":""jinbi"",""n"":4992},{""a"":""attr"",""t"":""exp"",""n"":2072}",,,,,,,
46,1,5,26,1,46,"""x"":588,""y"":393",ÁúÒí³²Ñ¨(46),"""useexp"":16,""jinbi"":24,""exp"":16,""jifen"":1","""201046"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":4320},{""a"":""attr"",""t"":""jinbi"",""n"":5040},{""a"":""attr"",""t"":""exp"",""n"":2072}",,,,,,,
47,1,5,26,1,47,"""x"":715,""y"":447",ÁúÒí³²Ñ¨(47),"""useexp"":16,""jinbi"":24,""exp"":16,""jifen"":1","""201047"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":4352},{""a"":""attr"",""t"":""jinbi"",""n"":5088},{""a"":""attr"",""t"":""exp"",""n"":2072}",,,,,,,
48,1,5,28,1,48,"""x"":785,""y"":385",ÁúÒí³²Ñ¨(48),"""useexp"":16,""jinbi"":24,""exp"":16,""jifen"":1","""201048"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":4384},{""a"":""attr"",""t"":""jinbi"",""n"":5136},{""a"":""attr"",""t"":""exp"",""n"":2072}",,,,,,,
49,1,5,28,1,49,"""x"":749,""y"":256",ÁúÒí³²Ñ¨(49),"""useexp"":16,""jinbi"":24,""exp"":16,""jifen"":1","""201049"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":4416},{""a"":""attr"",""t"":""jinbi"",""n"":5184},{""a"":""attr"",""t"":""exp"",""n"":2496}",,,,,,,
50,1,5,28,3,50,"""x"":866,""y"":319",ÁúÒí³²Ñ¨(50),"""useexp"":16,""jinbi"":24,""exp"":16,""jifen"":1","""201050"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":4448},{""a"":""attr"",""t"":""jinbi"",""n"":5232},{""a"":""attr"",""t"":""exp"",""n"":2496}",,,,,,,
51,1,6,28,1,51,"""x"":99,""y"":213",ÒÅÍü¹ÅµØ(51),"""useexp"":18,""jinbi"":25,""exp"":20,""jifen"":1","""201051"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":5040},{""a"":""attr"",""t"":""jinbi"",""n"":5500},{""a"":""attr"",""t"":""exp"",""n"":2496}",,,,,,,
52,1,6,28,1,52,"""x"":111,""y"":323",ÒÅÍü¹ÅµØ(52),"""useexp"":18,""jinbi"":25,""exp"":20,""jifen"":1","""201052"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":5076},{""a"":""attr"",""t"":""jinbi"",""n"":5550},{""a"":""attr"",""t"":""exp"",""n"":2496}",,,,,,,
53,1,6,30,1,53,"""x"":242,""y"":384",ÒÅÍü¹ÅµØ(53),"""useexp"":18,""jinbi"":25,""exp"":20,""jifen"":1","""201053"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":5112},{""a"":""attr"",""t"":""jinbi"",""n"":5600},{""a"":""attr"",""t"":""exp"",""n"":3280}",,,,,,,
54,1,6,30,1,54,"""x"":305,""y"":283",ÒÅÍü¹ÅµØ(54),"""useexp"":18,""jinbi"":25,""exp"":20,""jifen"":1","""201054"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":5148},{""a"":""attr"",""t"":""jinbi"",""n"":5650},{""a"":""attr"",""t"":""exp"",""n"":3280}",,,,,,,
55,1,6,30,2,55,"""x"":379,""y"":212",ÒÅÍü¹ÅµØ(55),"""useexp"":18,""jinbi"":25,""exp"":20,""jifen"":1","""201055"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":5184},{""a"":""attr"",""t"":""jinbi"",""n"":5700},{""a"":""attr"",""t"":""exp"",""n"":3280}",,,,,,,
56,1,6,30,1,56,"""x"":533,""y"":223",ÒÅÍü¹ÅµØ(56),"""useexp"":20,""jinbi"":25,""exp"":23,""jifen"":1","""201056"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":5800},{""a"":""attr"",""t"":""jinbi"",""n"":5750},{""a"":""attr"",""t"":""exp"",""n"":3280}",,,,,,,
57,1,6,30,1,57,"""x"":611,""y"":268",ÒÅÍü¹ÅµØ(57),"""useexp"":20,""jinbi"":25,""exp"":23,""jifen"":1","""201057"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":5840},{""a"":""attr"",""t"":""jinbi"",""n"":5800},{""a"":""attr"",""t"":""exp"",""n"":3956}",,,,,,,
58,1,6,32,1,58,"""x"":579,""y"":362",ÒÅÍü¹ÅµØ(58),"""useexp"":20,""jinbi"":25,""exp"":23,""jifen"":1","""201058"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":5880},{""a"":""attr"",""t"":""jinbi"",""n"":5850},{""a"":""attr"",""t"":""exp"",""n"":3956}",,,,,,,
59,1,6,32,1,59,"""x"":713,""y"":473",ÒÅÍü¹ÅµØ(59),"""useexp"":20,""jinbi"":25,""exp"":23,""jifen"":1","""201059"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":5920},{""a"":""attr"",""t"":""jinbi"",""n"":5900},{""a"":""attr"",""t"":""exp"",""n"":3956}",,,,,,,
60,1,6,32,3,60,"""x"":865,""y"":436",ÒÅÍü¹ÅµØ(60),"""useexp"":20,""jinbi"":25,""exp"":23,""jifen"":1","""201060"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":5960},{""a"":""attr"",""t"":""jinbi"",""n"":5950},{""a"":""attr"",""t"":""exp"",""n"":3956}",,,,,,,
61,1,7,32,1,61,"""x"":78,""y"":347",×Ï¾§É­ÁÖ(61),"""useexp"":22,""jinbi"":26,""exp"":26,""jifen"":1","""201061"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":6600},{""a"":""attr"",""t"":""jinbi"",""n"":6240},{""a"":""attr"",""t"":""exp"",""n"":4680}",,,,,,,
62,1,7,32,1,62,"""x"":199,""y"":394",×Ï¾§É­ÁÖ(62),"""useexp"":22,""jinbi"":26,""exp"":26,""jifen"":1","""201062"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":6644},{""a"":""attr"",""t"":""jinbi"",""n"":6292},{""a"":""attr"",""t"":""exp"",""n"":4680}",,,,,,,
63,1,7,34,1,63,"""x"":184,""y"":244",×Ï¾§É­ÁÖ(63),"""useexp"":22,""jinbi"":26,""exp"":26,""jifen"":1","""201063"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":6688},{""a"":""attr"",""t"":""jinbi"",""n"":6344},{""a"":""attr"",""t"":""exp"",""n"":4680}",,,,,,,
64,1,7,34,1,64,"""x"":268,""y"":213",×Ï¾§É­ÁÖ(64),"""useexp"":22,""jinbi"":26,""exp"":26,""jifen"":1","""201064"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":6732},{""a"":""attr"",""t"":""jinbi"",""n"":6396},{""a"":""attr"",""t"":""exp"",""n"":4680}",,,,,,,
65,1,7,34,2,65,"""x"":397,""y"":238",×Ï¾§É­ÁÖ(65),"""useexp"":22,""jinbi"":26,""exp"":26,""jifen"":1","""201065"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":6776},{""a"":""attr"",""t"":""jinbi"",""n"":6448},{""a"":""attr"",""t"":""exp"",""n"":4888}",,,,,,,
66,1,7,34,1,66,"""x"":575,""y"":240",×Ï¾§É­ÁÖ(66),"""useexp"":24,""jinbi"":26,""exp"":29,""jifen"":1","""201066"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":7440},{""a"":""attr"",""t"":""jinbi"",""n"":6500},{""a"":""attr"",""t"":""exp"",""n"":4888}",,,,,,,
67,1,7,34,1,67,"""x"":651,""y"":286",×Ï¾§É­ÁÖ(67),"""useexp"":24,""jinbi"":26,""exp"":29,""jifen"":1","""201067"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":7488},{""a"":""attr"",""t"":""jinbi"",""n"":6552},{""a"":""attr"",""t"":""exp"",""n"":4888}",,,,,,,
68,1,7,36,1,68,"""x"":593,""y"":385",×Ï¾§É­ÁÖ(68),"""useexp"":24,""jinbi"":26,""exp"":29,""jifen"":1","""201068"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":7536},{""a"":""attr"",""t"":""jinbi"",""n"":6604},{""a"":""attr"",""t"":""exp"",""n"":4888}",,,,,,,
69,1,7,36,1,69,"""x"":779,""y"":415",×Ï¾§É­ÁÖ(69),"""useexp"":24,""jinbi"":26,""exp"":29,""jifen"":1","""201069"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":7584},{""a"":""attr"",""t"":""jinbi"",""n"":6656},{""a"":""attr"",""t"":""exp"",""n"":5684}",,,,,,,
70,1,7,36,3,70,"""x"":813,""y"":252",×Ï¾§É­ÁÖ(70),"""useexp"":24,""jinbi"":26,""exp"":29,""jifen"":1","""201070"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":7632},{""a"":""attr"",""t"":""jinbi"",""n"":6708},{""a"":""attr"",""t"":""exp"",""n"":5684}",,,,,,,
71,1,8,36,1,71,"""x"":235,""y"":482",ÍöÁé±ÚÀÝ(71),"""useexp"":34,""jinbi"":35,""exp"":32,""jifen"":1","""201071"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":10880},{""a"":""attr"",""t"":""jinbi"",""n"":9100},{""a"":""attr"",""t"":""exp"",""n"":5684}",,,,,,,
72,1,8,36,1,72,"""x"":229,""y"":396",ÍöÁé±ÚÀÝ(72),"""useexp"":34,""jinbi"":35,""exp"":32,""jifen"":1","""201072"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":10948},{""a"":""attr"",""t"":""jinbi"",""n"":9170},{""a"":""attr"",""t"":""exp"",""n"":5684}",,,,,,,
73,1,8,38,1,73,"""x"":342,""y"":404",ÍöÁé±ÚÀÝ(73),"""useexp"":34,""jinbi"":35,""exp"":32,""jifen"":1","""201073"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":11016},{""a"":""attr"",""t"":""jinbi"",""n"":9240},{""a"":""attr"",""t"":""exp"",""n"":6528}",,,,,,,
74,1,8,38,1,74,"""x"":390,""y"":274",ÍöÁé±ÚÀÝ(74),"""useexp"":34,""jinbi"":35,""exp"":32,""jifen"":1","""201074"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":11084},{""a"":""attr"",""t"":""jinbi"",""n"":9310},{""a"":""attr"",""t"":""exp"",""n"":6528}",,,,,,,
75,1,8,38,2,75,"""x"":541,""y"":248",ÍöÁé±ÚÀÝ(75),"""useexp"":34,""jinbi"":35,""exp"":32,""jifen"":1","""201075"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":11152},{""a"":""attr"",""t"":""jinbi"",""n"":9380},{""a"":""attr"",""t"":""exp"",""n"":6528}",,,,,,,
76,1,8,38,1,76,"""x"":693,""y"":267",ÍöÁé±ÚÀÝ(76),"""useexp"":36,""jinbi"":35,""exp"":35,""jifen"":1","""201076"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":11880},{""a"":""attr"",""t"":""jinbi"",""n"":9450},{""a"":""attr"",""t"":""exp"",""n"":6528}",,,,,,,
77,1,8,38,1,77,"""x"":788,""y"":298",ÍöÁé±ÚÀÝ(77),"""useexp"":36,""jinbi"":35,""exp"":35,""jifen"":1","""201077"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":11952},{""a"":""attr"",""t"":""jinbi"",""n"":9520},{""a"":""attr"",""t"":""exp"",""n"":7420}",,,,,,,
78,1,8,40,1,78,"""x"":765,""y"":368",ÍöÁé±ÚÀÝ(78),"""useexp"":36,""jinbi"":35,""exp"":35,""jifen"":1","""201078"",""203031""","{""a"":""attr"",""t"":""useexp"",""n"":12024},{""a"":""attr"",""t"":""jinbi"",""n"":9590},{""a"":""attr"",""t"":""exp"",""n"":7420}",,,,,,,
