活动开启天数,所属标签,活动id,活动标题,奖励,活动最大进度,活动条件,活动类型,领奖消耗,消耗折扣,领奖vip限制
2,2,2005,巨龙神殿达到50层,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""2014"",""n"":2}",50,,13,,10,0
2,2,2006,巨龙神殿达到70层,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""2014"",""n"":4}",70,,13,,10,0
2,2,2007,巨龙神殿达到90层,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""2014"",""n"":4}",90,,13,,10,0
2,3,2008,英雄祭坛先祖招募3次,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""2005"",""n"":100}",3,,14,,10,0
2,3,2009,英雄祭坛先祖招募5次,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""2005"",""n"":100}",5,,14,,10,0
2,3,2010,英雄祭坛先祖招募10次,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""2005"",""n"":100}",10,,14,,10,0
2,3,2011,英雄祭坛先祖招募30次,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""2005"",""n"":200}",30,,14,,10,0
2,3,2012,英雄祭坛先祖招募50次,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""2005"",""n"":200}",50,,14,,10,0
2,3,2015,英雄祭坛先祖招募100次,"{""a"":""item"",""t"":""4027"",""n"":50}",100,,14,,10,0
2,4,2013,全民半价,"{""a"":""item"",""t"":""2010"",""n"":4}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":1000}",5,0
2,4,2014,VIP2半价,"{""a"":""item"",""t"":""2010"",""n"":10}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":2500}",5,2
3,1,3001,今日登录可领取,"{""a"":""attr"",""t"":""rmbmoney"",""n"":200},{""a"":""item"",""t"":""2010"",""n"":10}",1,,1,,10,0
3,1,3002,开服累计充值500元,"{""a"":""attr"",""t"":""rmbmoney"",""n"":1500},{""a"":""item"",""t"":""2008"",""n"":3}",500,,2,,10,0
3,2,6008,魔法转盘抽取40次,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""2005"",""n"":150}",40,,22,,10,0
3,2,6009,魔法转盘抽取60次,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""2005"",""n"":150}",60,,22,,10,0
3,2,6010,魔法转盘抽取80次,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""2005"",""n"":150}",80,,22,,10,0
3,2,6011,魔法转盘抽取100次,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""2005"",""n"":300}",100,,22,,10,0
3,2,6012,魔法转盘抽取120次,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""2005"",""n"":300}",120,,22,,10,0
3,3,3008,拥有6个等级60以上的英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""2014"",""n"":2}",6,60,16,,10,0
3,3,3009,拥有6个等级80以上的英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""2014"",""n"":2}",6,80,16,,10,0
3,3,3010,拥有6个等级100以上的英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""2014"",""n"":2}",6,100,16,,10,0
3,3,3011,拥有1个等级120以上的英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""2014"",""n"":4}",1,120,16,,10,0
3,3,3012,拥有3个等级120以上的英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""2014"",""n"":4}",3,120,16,,10,0
3,4,3013,全民半价,"{""a"":""item"",""t"":""2017"",""n"":2000}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":2000}",5,0
3,4,3014,VIP3半价,"{""a"":""item"",""t"":""2018"",""n"":600}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":3600}",5,3
4,1,4001,今日登录可领取,"{""a"":""attr"",""t"":""rmbmoney"",""n"":250},{""a"":""item"",""t"":""2014"",""n"":5}",1,,1,,10,0
4,1,4002,开服累计充值1000元,"{""a"":""attr"",""t"":""rmbmoney"",""n"":2500},{""a"":""item"",""t"":""2011"",""n"":3}",1000,,2,,10,0
4,2,4003,完成20个绿色品质以上悬赏任务,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""2014"",""n"":2}",20,1,17,,10,0
4,2,4004,完成30个绿色品质以上悬赏任务,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""2014"",""n"":2}",30,1,17,,10,0
4,2,4005,完成10个蓝色品质以上悬赏任务,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""2014"",""n"":2}",10,2,17,,10,0
4,2,4006,完成10个紫色品质以上悬赏任务,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""2014"",""n"":4}",10,3,17,,10,0
4,2,4007,完成10个橙色品质以上悬赏任务,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""2014"",""n"":4}",10,4,17,,10,0
4,3,4008,刷新10次悬赏任务,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""2005"",""n"":100}",10,,18,,10,0
4,3,4009,刷新20次悬赏任务,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""2005"",""n"":100}",20,,18,,10,0
4,3,4010,刷新30次悬赏任务,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""2005"",""n"":100}",30,,18,,10,0
4,3,4011,刷新50次悬赏任务,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""2005"",""n"":200}",50,,18,,10,0
4,3,4012,刷新80次悬赏任务,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""2005"",""n"":200}",80,,18,,10,0
4,4,4013,全民半价,"{""a"":""item"",""t"":""2022"",""n"":500}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":1500}",5,0
4,4,4014,VIP4半价,"{""a"":""item"",""t"":""2021"",""n"":250}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":3000}",5,4
5,1,5001,今日登录可领取,"{""a"":""attr"",""t"":""rmbmoney"",""n"":300},{""a"":""attr"",""t"":""rmbmoney"",""n"":500}",1,,1,,10,0
5,1,5002,开服累计充值2000元,"{""a"":""attr"",""t"":""rmbmoney"",""n"":5000},{""a"":""item"",""t"":""2005"",""n"":5000}",2000,,2,,10,0
5,2,5003,十字军远征通关第7关,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""4002"",""n"":10}",7,,19,,10,0
5,2,5004,十字军远征通关第9关,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""4002"",""n"":10}",9,,19,,10,0
5,2,5005,十字军远征通关第11关,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""4002"",""n"":10}",11,,19,,10,0
5,2,5006,十字军远征通关第13关,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""4002"",""n"":15}",13,,19,,10,0
5,2,5007,十字军远征通关第15关,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""4002"",""n"":15}",15,,19,,10,0
5,3,7003,融合祭坛合成1个5星英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""4002"",""n"":10}",1,5,23,,10,0
5,3,7004,融合祭坛合成2个5星英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""4002"",""n"":10}",2,5,23,,10,0
5,3,7005,融合祭坛合成3个5星英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""4002"",""n"":10}",3,5,23,,10,0
5,3,7006,融合祭坛合成4个5星英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""4002"",""n"":15}",4,5,23,,10,0
5,3,7007,融合祭坛合成5个5星英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""4002"",""n"":15}",5,5,23,,10,0
5,4,5013,全民半价,"{""a"":""item"",""t"":""2003"",""n"":3000}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":3000}",5,0
5,4,5014,全民半价,"{""a"":""item"",""t"":""2005"",""n"":3000}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":3000}",5,0
6,1,6001,今日登录可领取,"{""a"":""attr"",""t"":""rmbmoney"",""n"":350},{""a"":""item"",""t"":""2007"",""n"":12}",1,,1,,10,0
6,1,6002,开服累计充值3000元,"{""a"":""attr"",""t"":""rmbmoney"",""n"":7500},{""a"":""item"",""t"":""2012"",""n"":400}",3000,,2,,10,0
6,2,6003,6个英雄宝石达到绿色1星,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""2007"",""n"":2}",6,3,21,,10,0
6,2,6004,6个英雄宝石达到绿色2星,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""2007"",""n"":2}",6,4,21,,10,0
6,2,6005,6个英雄宝石达到蓝色1星,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""2007"",""n"":2}",6,5,21,,10,0
6,2,6006,6个英雄宝石达到蓝色3星,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""2007"",""n"":3}",6,7,21,,10,0
6,2,6007,6个英雄宝石达到紫色2星,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""2007"",""n"":3}",6,9,21,,10,0
6,3,3003,自由竞技场积分达到1100分,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""2007"",""n"":1}",1100,,15,,10,0
6,3,3004,自由竞技场积分达到1200分,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""2007"",""n"":1}",1200,,15,,10,0
6,3,3005,自由竞技场积分达到1300分,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""2007"",""n"":1}",1300,,15,,10,0
6,3,3006,自由竞技场积分达到1450分,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""2007"",""n"":2}",1450,,15,,10,0
6,3,3007,自由竞技场积分达到1650分,"{""a"":""item"",""t"":""4027"",""n"":50}",1650,,15,,10,0
6,4,6013,全民半价,"{""a"":""item"",""t"":""2007"",""n"":80}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":4000}",5,0
6,4,6014,VIP5半价,"{""a"":""item"",""t"":""3003"",""n"":50}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":7500}",5,5
7,1,7001,今日登录可领取,"{""a"":""attr"",""t"":""rmbmoney"",""n"":400},{""a"":""item"",""t"":""31115"",""n"":50}",1,,1,,10,0
7,1,7002,开服累计充值5000元,"{""a"":""attr"",""t"":""rmbmoney"",""n"":15000},{""a"":""item"",""t"":""63035"",""n"":50}",5000,,2,,10,0
7,2,5008,获得3个5星英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""4002"",""n"":10}",3,5,20,,10,0
7,2,5009,获得5个5星英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""4002"",""n"":10}",5,5,20,,10,0
7,2,5010,获得1个6星英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""4002"",""n"":10}",1,6,20,,10,0
7,2,5011,获得2个6星英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""4002"",""n"":15}",2,6,20,,10,0
7,2,5012,获得3个6星英雄,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""4002"",""n"":15}",3,6,20,,10,0
7,3,7008,玩家等级达到40级,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""2012"",""n"":15}",40,,24,,10,0
7,3,7009,玩家等级达到50级,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""2012"",""n"":15}",50,,24,,10,0
7,3,7010,玩家等级达到60级,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""2012"",""n"":15}",60,,24,,10,0
7,3,7011,玩家等级达到65级,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""2012"",""n"":20}",65,,24,,10,0
7,3,7012,玩家等级达到70级,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""2012"",""n"":20}",70,,24,,10,0
7,4,7013,全民半价,"{""a"":""item"",""t"":""63015"",""n"":50}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":5000}",5,0
7,4,7014,VIP6半价,"{""a"":""item"",""t"":""63035"",""n"":50}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":20000}",5,6
