等级,名称,爵位,阶级,颜色,消耗勋章,属性,图标,战力
43,公爵,7,8,7,1575,"""atk"":16328,""hp"":544276,""atkpro"":43,""hppro"":129,""pvpdpspro"":160,""pvpundpspro"":160",ico_juewei8,107000
44,亲王,8,0,8,1015,"""atk"":17235,""hp"":574514,""atkpro"":44,""hppro"":132,""pvpdpspro"":200,""pvpundpspro"":200",ico_juewei9,112900
45,亲王,8,1,8,1015,"""atk"":17818,""hp"":593952,""atkpro"":45,""hppro"":135,""pvpdpspro"":200,""pvpundpspro"":200",ico_juewei9,116800
46,亲王,8,2,8,1015,"""atk"":18401,""hp"":613390,""atkpro"":46,""hppro"":138,""pvpdpspro"":200,""pvpundpspro"":200",ico_juewei9,120600
47,亲王,8,3,8,1015,"""atk"":18984,""hp"":632829,""atkpro"":47,""hppro"":141,""pvpdpspro"":200,""pvpundpspro"":200",ico_juewei9,124400
48,亲王,8,4,8,1015,"""atk"":19568,""hp"":652267,""atkpro"":48,""hppro"":144,""pvpdpspro"":200,""pvpundpspro"":200",ico_juewei9,128200
49,亲王,8,5,8,1015,"""atk"":20151,""hp"":671706,""atkpro"":49,""hppro"":147,""pvpdpspro"":200,""pvpundpspro"":200",ico_juewei9,132100
50,亲王,8,6,8,1015,"""atk"":20734,""hp"":691144,""atkpro"":50,""hppro"":150,""pvpdpspro"":200,""pvpundpspro"":200",ico_juewei9,135900
51,亲王,8,7,8,1015,"""atk"":21317,""hp"":710583,""atkpro"":51,""hppro"":153,""pvpdpspro"":200,""pvpundpspro"":200",ico_juewei9,139700
52,亲王,8,8,8,1015,"""atk"":21900,""hp"":730021,""atkpro"":52,""hppro"":156,""pvpdpspro"":200,""pvpundpspro"":200",ico_juewei9,143500
53,亲王,8,9,8,2000,"""atk"":22483,""hp"":749460,""atkpro"":53,""hppro"":159,""pvpdpspro"":200,""pvpundpspro"":200",ico_juewei9,147300
54,国王,9,0,9,1250,"""atk"":23520,""hp"":784017,""atkpro"":54,""hppro"":162,""pvpdpspro"":250,""pvpundpspro"":250",ico_juewei10,154100
55,国王,9,1,9,1250,"""atk"":24168,""hp"":805615,""atkpro"":55,""hppro"":165,""pvpdpspro"":250,""pvpundpspro"":250",ico_juewei10,158400
56,国王,9,2,9,1250,"""atk"":24816,""hp"":827213,""atkpro"":56,""hppro"":168,""pvpdpspro"":250,""pvpundpspro"":250",ico_juewei10,162600
57,国王,9,3,9,1250,"""atk"":25464,""hp"":848812,""atkpro"":57,""hppro"":171,""pvpdpspro"":250,""pvpundpspro"":250",ico_juewei10,166900
58,国王,9,4,9,1250,"""atk"":26112,""hp"":870410,""atkpro"":58,""hppro"":174,""pvpdpspro"":250,""pvpundpspro"":250",ico_juewei10,171100
59,国王,9,5,9,1250,"""atk"":26760,""hp"":892008,""atkpro"":59,""hppro"":177,""pvpdpspro"":250,""pvpundpspro"":250",ico_juewei10,175400
60,国王,9,6,9,1250,"""atk"":27408,""hp"":913606,""atkpro"":60,""hppro"":180,""pvpdpspro"":250,""pvpundpspro"":250",ico_juewei10,179600
61,国王,9,7,9,1250,"""atk"":28056,""hp"":935205,""atkpro"":61,""hppro"":183,""pvpdpspro"":250,""pvpundpspro"":250",ico_juewei10,183900
62,国王,9,8,9,1250,"""atk"":28704,""hp"":956803,""atkpro"":62,""hppro"":186,""pvpdpspro"":250,""pvpundpspro"":250",ico_juewei10,188100
63,国王,9,9,9,1250,"""atk"":29352,""hp"":978401,""atkpro"":63,""hppro"":189,""pvpdpspro"":250,""pvpundpspro"":250",ico_juewei10,192400
64,国王,9,10,9,2250,"""atk"":30000,""hp"":1000000,""atkpro"":64,""hppro"":192,""pvpdpspro"":250,""pvpundpspro"":250",ico_juewei10,196600
65,国王,9,11,9,2850,"""atk"":30523,""hp"":1023528,""atkpro"":65,""hppro"":195,""pvpdpspro"":250,""pvpundpspro"":250",ico_juewei10,200866.6667
66,国王,9,12,9,3250,"""atk"":31024,""hp"":1040103,""atkpro"":66,""hppro"":198,""pvpdpspro"":250,""pvpundpspro"":250",ico_juewei10,205116
67,国王,9,13,9,3850,"""atk"":31770,""hp"":1057851,""atkpro"":67,""hppro"":201,""pvpdpspro"":250,""pvpundpspro"":250",ico_juewei10,209366
68,国王,9,14,9,4500,"""atk"":32245,""hp"":1070000,""atkpro"":68,""hppro"":204,""pvpdpspro"":250,""pvpundpspro"":250",ico_juewei10,213616
69,国王,9,15,9,5000,"""atk"":33000,""hp"":1109562,""atkpro"":69,""hppro"":207,""pvpdpspro"":250,""pvpundpspro"":250",ico_juewei10,217866
70,国王,9,16,9,6000,"""atk"":33562,""hp"":1128452,""atkpro"":70,""hppro"":210,""pvpdpspro"":250,""pvpundpspro"":250",ico_juewei10,222116
71,国王,9,17,9,7000,"""atk"":34182,""hp"":1144230,""atkpro"":71,""hppro"":213,""pvpdpspro"":250,""pvpundpspro"":250",ico_juewei10,226366
72,国王,9,18,9,8000,"""atk"":34702,""hp"":1162548,""atkpro"":72,""hppro"":216,""pvpdpspro"":250,""pvpundpspro"":250",ico_juewei10,230616
73,国王,9,19,9,9000,"""atk"":35300,""hp"":1180245,""atkpro"":73,""hppro"":219,""pvpdpspro"":250,""pvpundpspro"":250",ico_juewei10,234866
74,国王,9,20,9,0,"""atk"":36000,""hp"":1200000,""atkpro"":74,""hppro"":222,""pvpdpspro"":250,""pvpundpspro"":250",ico_juewei10,240000
