英雄ID,英雄名称,英雄星级,攻击系数,防御系数,生命系数,速度系数,雕文插槽,攻击百分比,生命百分比,最大等级,升星材料,额外材料,被动1名称,被动1,被动1描述,被动2名称,被动2,被动2描述,被动3名称,被动3,被动3描述,怒气名称,怒气,怒气描述
11086,巴德,8,2.78,1,4.84,1.6,0,0,0,185,"[{""a"":""item"",""t"":""2004"",""n"":3000}]","[{""jichuzhongzu"":1,""star"":6,""num"":1},{""jichuzhongzu"":1,""star"":5,""num"":3}]",不死亡灵3,"""1108a111"",""1108a121"",""1108a131""",被动效果：人类领主转化为的亡灵生物，身体强度大幅增加，生命增加65%，破防增加36%，攻击+25%,狂暴意志3,"""1108a214"",""1108a224""",被动效果：站得住才有输出！每次普攻提升自己17.2%破防13.6%暴击,伤痛咆哮2,"""11086314""",被动效果：普攻变为对生命最低的敌人造成120%攻击伤害，并有80%概率造成额外90%伤害,死寂重斩2,11086012,怒气技能：对敌方生命最少的目标造成自身攻击210%的伤害并恢复自身攻击150%的生命
11086,巴德,9,3.07,1,6.16,1.6,0,0,0,205,"[{""a"":""item"",""t"":""2004"",""n"":4000}]","[{""sxhero"":1,""num"":1},{""jichuzhongzu"":1,""star"":6,""num"":1},{""jichuzhongzu"":1,""star"":5,""num"":2}]",不死亡灵3,"""1108a111"",""1108a121"",""1108a131""",被动效果：人类领主转化为的亡灵生物，身体强度大幅增加，生命增加65%，破防增加36%，攻击+25%,狂暴意志3,"""1108a214"",""1108a224""",被动效果：站得住才有输出！每次普攻提升自己17.2%破防13.6%暴击,伤痛咆哮3,"""1108a314""",被动效果：普攻变为对生命最低的敌人造成150%攻击伤害，并有80%概率造成额外150%伤害,死寂重斩2,11086012,怒气技能：对敌方生命最少的目标造成自身攻击210%的伤害并恢复自身攻击150%的生命
11086,巴德,10,3.51,1,8.14,1.6,0,0,0,255,"[{""a"":""item"",""t"":""2004"",""n"":10000}]","[{""sxhero"":1,""num"":2},{""jichuzhongzu"":1,""star"":6,""num"":1},{""star"":9,""num"":1}]",不死亡灵3,"""1108a111"",""1108a121"",""1108a131""",被动效果：人类领主转化为的亡灵生物，身体强度大幅增加，生命增加65%，破防增加36%，攻击+25%,狂暴意志3,"""1108a214"",""1108a224""",被动效果：站得住才有输出！每次普攻提升自己17.2%破防13.6%暴击,伤痛咆哮3,"""1108a314""",被动效果：普攻变为对生命最低的敌人造成150%攻击伤害，并有80%概率造成额外150%伤害,死寂重斩3,1108a012,怒气技能：对敌方生命最少的目标造成自身攻击350%的伤害并恢复自身攻击300%的生命并有100%的概率造成524%攻击额外伤害
11086,巴德,11,3.51,1,8.14,1.6,1,70,100,270,"[{""a"":""item"",""t"":""2004"",""n"":10000}]","[{""sxhero"":1,""num"":1},{""star"":9,""num"":1}]",不死亡灵3,"""1108a111"",""1108a121"",""1108a131""",被动效果：人类领主转化为的亡灵生物，身体强度大幅增加，生命增加65%，破防增加36%，攻击+25%,狂暴意志3,"""1108a214"",""1108a224""",被动效果：站得住才有输出！每次普攻提升自己17.2%破防13.6%暴击,伤痛咆哮3,"""1108a314""",被动效果：普攻变为对生命最低的敌人造成150%攻击伤害，并有80%概率造成额外150%伤害,死寂重斩3,1108a012,怒气技能：对敌方生命最少的目标造成自身攻击350%的伤害并恢复自身攻击300%的生命并有100%的概率造成524%攻击额外伤害
11086,巴德,12,3.51,1,8.14,1.6,2,140,200,285,"[{""a"":""item"",""t"":""2004"",""n"":15000}]","[{""sxhero"":1,""num"":1},{""jichuzhongzu"":1,""star"":6,""num"":1},{""star"":9,""num"":1}]",不死亡灵3,"""1108a111"",""1108a121"",""1108a131""",被动效果：人类领主转化为的亡灵生物，身体强度大幅增加，生命增加65%，破防增加36%，攻击+25%,狂暴意志3,"""1108a214"",""1108a224""",被动效果：站得住才有输出！每次普攻提升自己17.2%破防13.6%暴击,伤痛咆哮3,"""1108a314""",被动效果：普攻变为对生命最低的敌人造成150%攻击伤害，并有80%概率造成额外150%伤害,死寂重斩3,1108a012,怒气技能：对敌方生命最少的目标造成自身攻击350%的伤害并恢复自身攻击300%的生命并有100%的概率造成524%攻击额外伤害
11086,巴德,13,3.51,1,8.14,1.6,3,210,300,300,"[{""a"":""item"",""t"":""2004"",""n"":20000},{""a"":""item"",""t"":""2039"",""n"":10}]","[{""sxhero"":1,""num"":2},{""jichuzhongzu"":1,""star"":6,""num"":1},{""star"":10,""num"":1}]",不死亡灵3,"""1108a111"",""1108a121"",""1108a131""",被动效果：人类领主转化为的亡灵生物，身体强度大幅增加，生命增加65%，破防增加36%，攻击+25%,狂暴意志3,"""1108a214"",""1108a224""",被动效果：站得住才有输出！每次普攻提升自己17.2%破防13.6%暴击,伤痛咆哮3,"""1108a314""",被动效果：普攻变为对生命最低的敌人造成150%攻击伤害，并有80%概率造成额外150%伤害,死寂重斩3,1108a012,怒气技能：对敌方生命最少的目标造成自身攻击350%的伤害并恢复自身攻击300%的生命并有100%的概率造成524%攻击额外伤害
11086,巴德,14,3.51,1,8.14,1.6,4,330,500,300,"[{""a"":""item"",""t"":""2004"",""n"":25000},{""a"":""item"",""t"":""2039"",""n"":20}]","[{""sxhero"":1,""num"":2},{""star"":9,""num"":1},{""star"":10,""num"":1}]",不死亡灵3,"""1108a111"",""1108a121"",""1108a131""",被动效果：人类领主转化为的亡灵生物，身体强度大幅增加，生命增加65%，破防增加36%，攻击+25%,狂暴意志3,"""1108a214"",""1108a224""",被动效果：站得住才有输出！每次普攻提升自己17.2%破防13.6%暴击,伤痛咆哮3,"""1108a314""",被动效果：普攻变为对生命最低的敌人造成150%攻击伤害，并有80%概率造成额外150%伤害,死寂重斩3,1108a012,怒气技能：对敌方生命最少的目标造成自身攻击350%的伤害并恢复自身攻击300%的生命并有100%的概率造成524%攻击额外伤害
11086,巴德,15,3.51,1,8.14,1.6,5,450,700,300,"[{""a"":""item"",""t"":""2004"",""n"":30000},{""a"":""item"",""t"":""2039"",""n"":30}]","[{""sxhero"":1,""num"":2},{""star"":9,""num"":1},{""star"":10,""num"":1}]",不死亡灵3,"""1108a111"",""1108a121"",""1108a131""",被动效果：人类领主转化为的亡灵生物，身体强度大幅增加，生命增加65%，破防增加36%，攻击+25%,狂暴意志3,"""1108a214"",""1108a224""",被动效果：站得住才有输出！每次普攻提升自己17.2%破防13.6%暴击,伤痛咆哮3,"""1108a314""",被动效果：普攻变为对生命最低的敌人造成150%攻击伤害，并有80%概率造成额外150%伤害,死寂重斩3,1108a012,怒气技能：对敌方生命最少的目标造成自身攻击350%的伤害并恢复自身攻击300%的生命并有100%的概率造成524%攻击额外伤害
11096,尸妖,7,2.49,1,3.52,1.6,0,0,0,165,"[{""a"":""item"",""t"":""2004"",""n"":2000}]","[{""jichuzhongzu"":1,""star"":5,""num"":4}]",冰霜护甲3,"""1109a104""",被动效果：受到攻击有23%几率使攻击者冰冻2回合,冷血天性2,"""11096201"",""11096211"",""11096204""",被动效果：格挡增加25%，生命增加30%，免疫冰冻,不死亡灵2,"""11096304""",被动效果：当生命低于50%，恢复自身340%攻击等量生命，持续3回合（只触发一次）,永冻之镰2,11096012,怒气技能：对前排敌人造成155%攻击伤害并有55%几率使目标冰冻2回合，同时恢复自身生命上限15%等量生命
11096,尸妖,8,2.78,1,4.84,1.6,0,0,0,185,"[{""a"":""item"",""t"":""2004"",""n"":3000}]","[{""jichuzhongzu"":1,""star"":6,""num"":1},{""jichuzhongzu"":1,""star"":5,""num"":3}]",冰霜护甲3,"""1109a104""",被动效果：受到攻击有23%几率使攻击者冰冻2回合,冷血天性3,"""1109a201"",""1109a211"",""1109a204""",被动效果：格挡增加35%，生命增加40%，免疫冰冻,不死亡灵2,"""11096304""",被动效果：当生命低于50%，恢复自身340%攻击等量生命，持续3回合（只触发一次）,永冻之镰2,11096012,怒气技能：对前排敌人造成155%攻击伤害并有55%几率使目标冰冻2回合，同时恢复自身生命上限15%等量生命
11096,尸妖,9,3.07,1,6.16,1.6,0,0,0,205,"[{""a"":""item"",""t"":""2004"",""n"":4000}]","[{""sxhero"":1,""num"":1},{""jichuzhongzu"":1,""star"":6,""num"":1},{""jichuzhongzu"":1,""star"":5,""num"":2}]",冰霜护甲3,"""1109a104""",被动效果：受到攻击有23%几率使攻击者冰冻2回合,冷血天性3,"""1109a201"",""1109a211"",""1109a204""",被动效果：格挡增加35%，生命增加40%，免疫冰冻,不死亡灵3,"""1109a304""",被动效果：当生命低于50%，恢复自身生命上限20%等量生命，持续3回合（只触发一次）,永冻之镰2,11096012,怒气技能：对前排敌人造成155%攻击伤害并有55%几率使目标冰冻2回合，同时恢复自身生命上限15%等量生命
11096,尸妖,10,3.51,1,8.14,1.6,0,0,0,255,"[{""a"":""item"",""t"":""2004"",""n"":10000}]","[{""sxhero"":1,""num"":2},{""jichuzhongzu"":1,""star"":6,""num"":1},{""star"":9,""num"":1}]",冰霜护甲3,"""1109a104""",被动效果：受到攻击有23%几率使攻击者冰冻2回合,冷血天性3,"""1109a201"",""1109a211"",""1109a204""",被动效果：格挡增加35%，生命增加40%，免疫冰冻,不死亡灵3,"""1109a304""",被动效果：当生命低于50%，恢复自身生命上限20%等量生命，持续3回合（只触发一次）,永冻之镰3,1109a012,怒气技能：对前排敌人造成184%攻击伤害并有70%几率使目标冰冻2回合，同时恢复自身生命上限26%等量生命
11096,尸妖,11,3.51,1,8.14,1.6,1,70,100,270,"[{""a"":""item"",""t"":""2004"",""n"":10000}]","[{""sxhero"":1,""num"":1},{""star"":9,""num"":1}]",冰霜护甲3,"""1109a104""",被动效果：受到攻击有23%几率使攻击者冰冻2回合,冷血天性3,"""1109a201"",""1109a211"",""1109a204""",被动效果：格挡增加35%，生命增加40%，免疫冰冻,不死亡灵3,"""1109a304""",被动效果：当生命低于50%，恢复自身生命上限20%等量生命，持续3回合（只触发一次）,永冻之镰3,1109a012,怒气技能：对前排敌人造成184%攻击伤害并有70%几率使目标冰冻2回合，同时恢复自身生命上限26%等量生命
11096,尸妖,12,3.51,1,8.14,1.6,2,140,200,285,"[{""a"":""item"",""t"":""2004"",""n"":15000}]","[{""sxhero"":1,""num"":1},{""jichuzhongzu"":1,""star"":6,""num"":1},{""star"":9,""num"":1}]",冰霜护甲3,"""1109a104""",被动效果：受到攻击有23%几率使攻击者冰冻2回合,冷血天性3,"""1109a201"",""1109a211"",""1109a204""",被动效果：格挡增加35%，生命增加40%，免疫冰冻,不死亡灵3,"""1109a304""",被动效果：当生命低于50%，恢复自身生命上限20%等量生命，持续3回合（只触发一次）,永冻之镰3,1109a012,怒气技能：对前排敌人造成184%攻击伤害并有70%几率使目标冰冻2回合，同时恢复自身生命上限26%等量生命
11096,尸妖,13,3.51,1,8.14,1.6,3,210,300,300,"[{""a"":""item"",""t"":""2004"",""n"":20000},{""a"":""item"",""t"":""2039"",""n"":10}]","[{""sxhero"":1,""num"":2},{""jichuzhongzu"":1,""star"":6,""num"":1},{""star"":10,""num"":1}]",冰霜护甲3,"""1109a104""",被动效果：受到攻击有23%几率使攻击者冰冻2回合,冷血天性3,"""1109a201"",""1109a211"",""1109a204""",被动效果：格挡增加35%，生命增加40%，免疫冰冻,不死亡灵3,"""1109a304""",被动效果：当生命低于50%，恢复自身生命上限20%等量生命，持续3回合（只触发一次）,永冻之镰3,1109a012,怒气技能：对前排敌人造成184%攻击伤害并有70%几率使目标冰冻2回合，同时恢复自身生命上限26%等量生命
11096,尸妖,14,3.51,1,8.14,1.6,4,330,500,300,"[{""a"":""item"",""t"":""2004"",""n"":25000},{""a"":""item"",""t"":""2039"",""n"":20}]","[{""sxhero"":1,""num"":2},{""star"":9,""num"":1},{""star"":10,""num"":1}]",冰霜护甲3,"""1109a104""",被动效果：受到攻击有23%几率使攻击者冰冻2回合,冷血天性3,"""1109a201"",""1109a211"",""1109a204""",被动效果：格挡增加35%，生命增加40%，免疫冰冻,不死亡灵3,"""1109a304""",被动效果：当生命低于50%，恢复自身生命上限20%等量生命，持续3回合（只触发一次）,永冻之镰3,1109a012,怒气技能：对前排敌人造成184%攻击伤害并有70%几率使目标冰冻2回合，同时恢复自身生命上限26%等量生命
11096,尸妖,15,3.51,1,8.14,1.6,5,450,700,300,"[{""a"":""item"",""t"":""2004"",""n"":30000},{""a"":""item"",""t"":""2039"",""n"":30}]","[{""sxhero"":1,""num"":2},{""star"":9,""num"":1},{""star"":10,""num"":1}]",冰霜护甲3,"""1109a104""",被动效果：受到攻击有23%几率使攻击者冰冻2回合,冷血天性3,"""1109a201"",""1109a211"",""1109a204""",被动效果：格挡增加35%，生命增加40%，免疫冰冻,不死亡灵3,"""1109a304""",被动效果：当生命低于50%，恢复自身生命上限20%等量生命，持续3回合（只触发一次）,永冻之镰3,1109a012,怒气技能：对前排敌人造成184%攻击伤害并有70%几率使目标冰冻2回合，同时恢复自身生命上限26%等量生命
11106,复仇战鬼,7,2.49,1,4.23,1.6,0,0,0,165,"[{""a"":""item"",""t"":""2004"",""n"":2000}]","[{""jichuzhongzu"":1,""star"":5,""num"":4}]",行尸走肉3,"""1110a101"",""1110a111"",""1110a121"",""1110a131""",被动效果：生命增加40%，攻击增加30%，破甲增加40%，格挡增加60%,冥人降临2,"""11106204"",""11106214""",被动效果：场上有英雄释放技能时，自身伤害增加2%，暴伤增加0.8%,战鬼反击2,"""11106304""",被动效果：每格挡3次，解除自身所有控制并对随机3名敌人造成生命上限15%伤害（最高不超过自身攻击的2500%），并回复自身该伤害20%的生命值,杀意巨斧2,11106012,怒气技能：对随机3名敌人造成168%攻击伤害，每回合额外造成75%流血伤害，持续3回合；若目标为前排，则额外造成目标生命上限12%伤害（不超过攻击力的1500%），目标为后排时，则额外造成必定暴击的78%攻击伤害
11106,复仇战鬼,8,2.78,1,5.94,1.6,0,0,0,185,"[{""a"":""item"",""t"":""2004"",""n"":3000}]","[{""jichuzhongzu"":1,""star"":6,""num"":1},{""jichuzhongzu"":1,""star"":5,""num"":3}]",行尸走肉3,"""1110a101"",""1110a111"",""1110a121"",""1110a131""",被动效果：生命增加40%，攻击增加30%，破甲增加40%，格挡增加60%,冥人降临3,"""1110a204"",""1110a214""",被动效果：场上有英雄释放技能时，自身伤害增加5%，暴伤增加2%,战鬼反击2,"""11106304""",被动效果：每格挡3次，解除自身所有控制并对随机3名敌人造成生命上限15%伤害（最高不超过自身攻击的2500%），并回复自身该伤害20%的生命值,杀意巨斧2,11106012,怒气技能：对随机3名敌人造成168%攻击伤害，每回合额外造成75%流血伤害，持续3回合；若目标为前排，则额外造成目标生命上限12%伤害（不超过攻击力的1500%），目标为后排时，则额外造成必定暴击的78%攻击伤害
11106,复仇战鬼,9,3.07,1,7.82,1.6,0,0,0,205,"[{""a"":""item"",""t"":""2004"",""n"":4000}]","[{""sxhero"":1,""num"":1},{""jichuzhongzu"":1,""star"":6,""num"":1},{""jichuzhongzu"":1,""star"":5,""num"":2}]",行尸走肉3,"""1110a101"",""1110a111"",""1110a121"",""1110a131""",被动效果：生命增加40%，攻击增加30%，破甲增加40%，格挡增加60%,冥人降临3,"""1110a204"",""1110a214""",被动效果：场上有英雄释放技能时，自身伤害增加5%，暴伤增加2%,战鬼反击3,"""1110a304""",被动效果：每格挡3次，解除自身所有控制并对随机3名敌人造成生命上限20%伤害（最高不超过自身攻击的2500%），并回复自身该伤害40%的生命值,杀意巨斧2,11106012,怒气技能：对随机3名敌人造成168%攻击伤害，每回合额外造成75%流血伤害，持续3回合；若目标为前排，则额外造成目标生命上限12%伤害（不超过攻击力的1500%），目标为后排时，则额外造成必定暴击的78%攻击伤害
11106,复仇战鬼,10,3.51,1,9.21,1.6,0,0,0,255,"[{""a"":""item"",""t"":""2004"",""n"":10000}]","[{""sxhero"":1,""num"":2},{""jichuzhongzu"":1,""star"":6,""num"":1},{""star"":9,""num"":1}]",行尸走肉3,"""1110a101"",""1110a111"",""1110a121"",""1110a131""",被动效果：生命增加40%，攻击增加30%，破甲增加40%，格挡增加60%,冥人降临3,"""1110a204"",""1110a214""",被动效果：场上有英雄释放技能时，自身伤害增加5%，暴伤增加2%,战鬼反击3,"""1110a304""",被动效果：每格挡3次，解除自身所有控制并对随机3名敌人造成生命上限20%伤害（最高不超过自身攻击的2500%），并回复自身该伤害40%的生命值,杀意巨斧3,1110a012,怒气技能：对随机3名敌人造成206%攻击伤害，每回合额外造成100%流血伤害，持续3回合；若目标为前排，则额外造成目标生命上限15%伤害（不超过攻击力的1500%），目标为后排时，则额外造成必定暴击的108%攻击伤害
11106,复仇战鬼,11,3.51,1,9.21,1.6,1,70,100,270,"[{""a"":""item"",""t"":""2004"",""n"":10000}]","[{""sxhero"":1,""num"":1},{""star"":9,""num"":1}]",行尸走肉3,"""1110a101"",""1110a111"",""1110a121"",""1110a131""",被动效果：生命增加40%，攻击增加30%，破甲增加40%，格挡增加60%,冥人降临3,"""1110a204"",""1110a214""",被动效果：场上有英雄释放技能时，自身伤害增加5%，暴伤增加2%,战鬼反击3,"""1110a304""",被动效果：每格挡3次，解除自身所有控制并对随机3名敌人造成生命上限20%伤害（最高不超过自身攻击的2500%），并回复自身该伤害40%的生命值,杀意巨斧3,1110a012,怒气技能：对随机3名敌人造成206%攻击伤害，每回合额外造成100%流血伤害，持续3回合；若目标为前排，则额外造成目标生命上限15%伤害（不超过攻击力的1500%），目标为后排时，则额外造成必定暴击的108%攻击伤害
11106,复仇战鬼,12,3.51,1,9.21,1.6,2,140,200,285,"[{""a"":""item"",""t"":""2004"",""n"":15000}]","[{""sxhero"":1,""num"":1},{""jichuzhongzu"":1,""star"":6,""num"":1},{""star"":9,""num"":1}]",行尸走肉3,"""1110a101"",""1110a111"",""1110a121"",""1110a131""",被动效果：生命增加40%，攻击增加30%，破甲增加40%，格挡增加60%,冥人降临3,"""1110a204"",""1110a214""",被动效果：场上有英雄释放技能时，自身伤害增加5%，暴伤增加2%,战鬼反击3,"""1110a304""",被动效果：每格挡3次，解除自身所有控制并对随机3名敌人造成生命上限20%伤害（最高不超过自身攻击的2500%），并回复自身该伤害40%的生命值,杀意巨斧3,1110a012,怒气技能：对随机3名敌人造成206%攻击伤害，每回合额外造成100%流血伤害，持续3回合；若目标为前排，则额外造成目标生命上限15%伤害（不超过攻击力的1500%），目标为后排时，则额外造成必定暴击的108%攻击伤害
11106,复仇战鬼,13,3.51,1,9.21,1.6,3,210,300,300,"[{""a"":""item"",""t"":""2004"",""n"":20000},{""a"":""item"",""t"":""2039"",""n"":10}]","[{""sxhero"":1,""num"":2},{""jichuzhongzu"":1,""star"":6,""num"":1},{""star"":10,""num"":1}]",行尸走肉3,"""1110a101"",""1110a111"",""1110a121"",""1110a131""",被动效果：生命增加40%，攻击增加30%，破甲增加40%，格挡增加60%,冥人降临3,"""1110a204"",""1110a214""",被动效果：场上有英雄释放技能时，自身伤害增加5%，暴伤增加2%,战鬼反击3,"""1110a304""",被动效果：每格挡3次，解除自身所有控制并对随机3名敌人造成生命上限20%伤害（最高不超过自身攻击的2500%），并回复自身该伤害40%的生命值,杀意巨斧3,1110a012,怒气技能：对随机3名敌人造成206%攻击伤害，每回合额外造成100%流血伤害，持续3回合；若目标为前排，则额外造成目标生命上限15%伤害（不超过攻击力的1500%），目标为后排时，则额外造成必定暴击的108%攻击伤害
