关卡id,守关BOSS,展示模型,关卡奖励,战斗地图,镜像属性系数,镜像奖励,护卫BOSS,护卫奖励
81,50081,61026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.88,""hp"":0.88","{""a"":""item"",""t"":""2026"",""n"":10}",10249,"{""a"":""item"",""t"":""2026"",""n"":1}"
82,50082,21046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.88,""hp"":0.88","{""a"":""item"",""t"":""2026"",""n"":10}",10249,"{""a"":""item"",""t"":""2026"",""n"":1}"
83,50083,41066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.88,""hp"":0.88","{""a"":""item"",""t"":""2026"",""n"":10}",10249,"{""a"":""item"",""t"":""2026"",""n"":1}"
84,50084,41035,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.88,""hp"":0.88","{""a"":""item"",""t"":""2026"",""n"":10}",10249,"{""a"":""item"",""t"":""2026"",""n"":1}"
85,50085,31086,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.88,""hp"":0.88","{""a"":""item"",""t"":""2026"",""n"":10}",10250,"{""a"":""item"",""t"":""2026"",""n"":1}"
86,50086,41056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.88,""hp"":0.88","{""a"":""item"",""t"":""2026"",""n"":10}",10250,"{""a"":""item"",""t"":""2026"",""n"":1}"
87,50087,11055,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.88,""hp"":0.88","{""a"":""item"",""t"":""2026"",""n"":10}",10250,"{""a"":""item"",""t"":""2026"",""n"":1}"
88,50088,11076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.88,""hp"":0.88","{""a"":""item"",""t"":""2026"",""n"":10}",10250,"{""a"":""item"",""t"":""2026"",""n"":1}"
89,50089,41035,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.88,""hp"":0.88","{""a"":""item"",""t"":""2026"",""n"":10}",10251,"{""a"":""item"",""t"":""2026"",""n"":1}"
90,50090,21046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.88,""hp"":0.88","{""a"":""item"",""t"":""2026"",""n"":10}",10251,"{""a"":""item"",""t"":""2026"",""n"":1}"
91,50091,21046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.89,""hp"":0.89","{""a"":""item"",""t"":""2026"",""n"":10}",10251,"{""a"":""item"",""t"":""2026"",""n"":1}"
92,50092,35046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.89,""hp"":0.89","{""a"":""item"",""t"":""2026"",""n"":10}",10251,"{""a"":""item"",""t"":""2026"",""n"":1}"
93,50093,11076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.89,""hp"":0.89","{""a"":""item"",""t"":""2026"",""n"":10}",10252,"{""a"":""item"",""t"":""2026"",""n"":1}"
94,50094,31076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.89,""hp"":0.89","{""a"":""item"",""t"":""2026"",""n"":10}",10252,"{""a"":""item"",""t"":""2026"",""n"":1}"
95,50095,52025,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.89,""hp"":0.89","{""a"":""item"",""t"":""2026"",""n"":10}",10252,"{""a"":""item"",""t"":""2026"",""n"":1}"
96,50096,63026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.89,""hp"":0.89","{""a"":""item"",""t"":""2026"",""n"":10}",10252,"{""a"":""item"",""t"":""2026"",""n"":1}"
97,50097,11086,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.89,""hp"":0.89","{""a"":""item"",""t"":""2026"",""n"":10}",10253,"{""a"":""item"",""t"":""2026"",""n"":1}"
98,50098,41066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.89,""hp"":0.89","{""a"":""item"",""t"":""2026"",""n"":10}",10253,"{""a"":""item"",""t"":""2026"",""n"":1}"
99,50099,31076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.89,""hp"":0.89","{""a"":""item"",""t"":""2026"",""n"":10}",10253,"{""a"":""item"",""t"":""2026"",""n"":1}"
100,50100,21046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.89,""hp"":0.89","{""a"":""item"",""t"":""2026"",""n"":10}",10253,"{""a"":""item"",""t"":""2026"",""n"":1}"
101,50101,41056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.9,""hp"":0.9","{""a"":""item"",""t"":""2026"",""n"":10}",10254,"{""a"":""item"",""t"":""2026"",""n"":1}"
102,50102,25076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.9,""hp"":0.9","{""a"":""item"",""t"":""2026"",""n"":10}",10254,"{""a"":""item"",""t"":""2026"",""n"":1}"
103,50103,41066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.9,""hp"":0.9","{""a"":""item"",""t"":""2026"",""n"":10}",10254,"{""a"":""item"",""t"":""2026"",""n"":1}"
104,50104,15036,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.9,""hp"":0.9","{""a"":""item"",""t"":""2026"",""n"":10}",10254,"{""a"":""item"",""t"":""2026"",""n"":1}"
105,50105,31076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.9,""hp"":0.9","{""a"":""item"",""t"":""2026"",""n"":10}",10255,"{""a"":""item"",""t"":""2026"",""n"":1}"
106,50106,63026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.9,""hp"":0.9","{""a"":""item"",""t"":""2026"",""n"":10}",10255,"{""a"":""item"",""t"":""2026"",""n"":1}"
107,50107,21046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.9,""hp"":0.9","{""a"":""item"",""t"":""2026"",""n"":10}",10255,"{""a"":""item"",""t"":""2026"",""n"":1}"
108,50108,31076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.9,""hp"":0.9","{""a"":""item"",""t"":""2026"",""n"":10}",10255,"{""a"":""item"",""t"":""2026"",""n"":1}"
109,50109,51016,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.9,""hp"":0.9","{""a"":""item"",""t"":""2026"",""n"":10}",10256,"{""a"":""item"",""t"":""2026"",""n"":1}"
110,50110,21046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.9,""hp"":0.9","{""a"":""item"",""t"":""2026"",""n"":10}",10256,"{""a"":""item"",""t"":""2026"",""n"":1}"
111,50111,61026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.91,""hp"":0.91","{""a"":""item"",""t"":""2026"",""n"":10}",10256,"{""a"":""item"",""t"":""2026"",""n"":1}"
112,50112,25066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.91,""hp"":0.91","{""a"":""item"",""t"":""2026"",""n"":10}",10256,"{""a"":""item"",""t"":""2026"",""n"":1}"
113,50113,43056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.91,""hp"":0.91","{""a"":""item"",""t"":""2026"",""n"":10}",10257,"{""a"":""item"",""t"":""2026"",""n"":1}"
114,50114,12036,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.91,""hp"":0.91","{""a"":""item"",""t"":""2026"",""n"":10}",10257,"{""a"":""item"",""t"":""2026"",""n"":1}"
115,50115,32056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.91,""hp"":0.91","{""a"":""item"",""t"":""2026"",""n"":10}",10257,"{""a"":""item"",""t"":""2026"",""n"":1}"
116,50116,52046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.91,""hp"":0.91","{""a"":""item"",""t"":""2026"",""n"":10}",10257,"{""a"":""item"",""t"":""2026"",""n"":1}"
