技能id,技能类型,攻击动作,选敌类型,是否存活,位置,排序条件,选敌数量,释放概率,数据,检测条件,额外数据,描述,,
1133,3,buff,-2,,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""undpspro"",""round"":3,""pro"":250}}",{},{},被动技能：血量低于80%时，增加20%减伤，持续3回合（仅触发一次）,,
1143,3,buff,1,1,0,,,325,"{""act"":""buff"",""v"":{""buffid"":""bingdong"",""round"":2}}",{},{},被动技能：死亡后，对全体敌方有30%的几率冰冻，持续2回合（仅触发一次）,,
1153,3,buff,-1,1,0,,,1000,"{""act"":""buff"",""v"":{""buffid"":""baojidrop"",""round"":3,""pro"":260}}",{},{},被动技能：普通攻击使敌方降低24%暴击率，持续3回合,,
1163,3,buff,2,,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""zhuoshao"",""round"":2,""pro"":69150,""realinjury"":1}}",{},{},被动技能：受到攻击时，对攻击者造成69000点燃烧伤害，持续2回合,,
1173,3,hpvalue,-2,,,,,1000,"{""value"":119980}",{},{},被动技能：受到暴击时，恢复120000点生命,,
1183,3,buff,1,1,0,,,1000,"{""act"":""buff"",""v"":{""buffid"":""zhongdu"",""round"":3,""pro"":105200,""realinjury"":1}}",{},{},被动技能：死亡后，对全体敌方造成105000点中毒伤害，持续3回合（仅触发一次）,,
1193,3,buff,2,,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""baojidrop"",""round"":3,""pro"":125}}",{},{},被动技能：受到攻击使攻击者降低12%暴击率，持续3回合,,
1203,3,buff,0,1,0,,,1000,"{""act"":""buff"",""v"":{""buffid"":""undpspro"",""round"":5,""pro"":103}}",{},{},被动技能：血量低于50%时，对全体友方增加10%减伤，持续5回合（仅触发一次）,,
1213,3,hpvalue,0,1,0,,,1000,"{""value"":299975} ",{},{},被动技能：死亡后，对全体友方恢复300000点生命（仅触发一次）,,
1223,3,buff,0,1,0,,,1000,"{""act"":""buff"",""v"":{""buffid"":""baojipro"",""round"":3,""pro"":155}}",{},{},死亡后，增加15%暴击率，持续3回合（仅触发一次）,,
1233,3,buff,-2,,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""skilldpspro"",""round"":99,""pro"":240}}",{},{},被动技能：普通攻击时，增加25%技能伤害,,
1243,3,buff,-2,,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""miankongpro"",""round"":99,""pro"":95}}",{},{},被动技能：回合结束时，增加10%免控,,
1253,3,buff,0,1,0,,,1000,"{""act"":""buff"",""v"":{""buffid"":""hpback"",""round"":3,""pro"":151200,""realinjury"":1}}",{},{},被动技能：死亡后，对全体友方恢复150000点生命，持续3回合（仅触发一次）,,
1263,3,buff,-2,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""hudun2"",""round"":2,""pro"":1}}",{},{},被动技能：每场战斗第二回合开始时触发，为自己抵挡下一次非dot类型伤害，持续1回合（受控触发）,,
1273,3,addnuqi,-2,1,,,,1000,"{""value"":50}",{},{},被动技能：每场战斗首次释放怒气技能后，下一回合开始恢复50点怒气,,
10003,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":133,""realinjury"":1}}",{},{},每回合造成133点流血伤害，持续3回合,,
10103,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":1072,""realinjury"":1}}",{},{},,,
10203,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":1842,""realinjury"":1}}",{},{},,,
10303,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":2612,""realinjury"":1}}",{},{},,,
10403,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":3382,""realinjury"":1}}",{},{},,,
10503,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":4152,""realinjury"":1}}",{},{},,,
10603,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":4922,""realinjury"":1}}",{},{},,,
10703,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":7842,""realinjury"":1}}",{},{},,,
10803,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":10762,""realinjury"":1}}",{},{},,,
10903,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":13682,""realinjury"":1}}",{},{},,,
11003,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":16602,""realinjury"":1}}",{},{},,,
11103,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":19522,""realinjury"":1}}",{},{},,,
11203,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":22442,""realinjury"":1}}",{},{},,,
11303,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":35862,""realinjury"":1}}",{},{},,,
11403,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":49282,""realinjury"":1}}",{},{},,,
11503,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":62702,""realinjury"":1}}",{},{},,,
11603,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":76122,""realinjury"":1}}",{},{},,,
11703,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":89542,""realinjury"":1}}",{},{},,,
11803,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":102962,""realinjury"":1}}",{},{},,,
11903,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":126882,""realinjury"":1}}",{},{},,,
12003,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":150802,""realinjury"":1}}",{},{},,,
12103,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":174722,""realinjury"":1}}",{},{},,,
12203,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":198642,""realinjury"":1}}",{},{},,,
12303,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":222562,""realinjury"":1}}",{},{},,,
12403,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":246500,""realinjury"":1}}",{},{},,,
12503,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":15111,""realinjury"":1}}",{},{},,,
12603,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":30222,""realinjury"":1}}",{},{},,,
12703,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":45333,""realinjury"":1}}",{},{},,,
12803,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":60444,""realinjury"":1}}",{},{},,,
12903,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":75555,""realinjury"":1}}",{},{},,,
13003,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":90666,""realinjury"":1}}",{},{},,,
13103,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":105777,""realinjury"":1}}",{},{},,,
13203,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":3,""pro"":120888,""realinjury"":1}}",{},{},,,
11313,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxuedpspro"",""round"":2,""pro"":100}}",{},{},,,
11413,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxuedpspro"",""round"":2,""pro"":150}}",{},{},,,
11513,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxuedpspro"",""round"":2,""pro"":200}}",{},{},,,
11613,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxuedpspro"",""round"":2,""pro"":250}}",{},{},,,
11713,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxuedpspro"",""round"":2,""pro"":300}}",{},{},,,
11813,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxuedpspro"",""round"":2,""pro"":350}}",{},{},,,
11913,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxuedpspro"",""round"":2,""pro"":400}}",{},{},,,
12013,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxuedpspro"",""round"":2,""pro"":450}}",{},{},,,
12113,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxuedpspro"",""round"":2,""pro"":500}}",{},{},,,
12213,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxuedpspro"",""round"":2,""pro"":550}}",{},{},,,
12313,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxuedpspro"",""round"":2,""pro"":600}}",{},{},,,
12413,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxuedpspro"",""round"":2,""pro"":650}}",{},{},,,
12513,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxuedpspro"",""round"":2,""pro"":700}}",{},{},,,
12613,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxuedpspro"",""round"":2,""pro"":750}}",{},{},,,
12713,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxuedpspro"",""round"":2,""pro"":800}}",{},{},,,
12813,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxuedpspro"",""round"":2,""pro"":850}}",{},{},,,
12913,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxuedpspro"",""round"":2,""pro"":900}}",{},{},,,
13013,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxuedpspro"",""round"":2,""pro"":950}}",{},{},,,
13113,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxuedpspro"",""round"":2,""pro"":1000}}",{},{},,,
13213,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxuedpspro"",""round"":2,""pro"":1050}}",{},{},,,
20703,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":20}}",{},{},,,
20803,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":40}}",{},{},,,
20903,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":50}}",{},{},,,
21003,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":70}}",{},{},,,
21103,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":90}}",{},{},,,
21203,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":100}}",{},{},,,
21303,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":120}}",{},{},,,
21403,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":140}}",{},{},,,
21503,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":150}}",{},{},,,
21603,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":170}}",{},{},,,
21703,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":190}}",{},{},,,
21803,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":200}}",{},{},,,
21903,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":220}}",{},{},,,
22003,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":240}}",{},{},,,
22103,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":250}}",{},{},,,
22203,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":270}}",{},{},,,
22303,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":290}}",{},{},,,
22403,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":300}}",{},{},,,
22503,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":320}}",{},{},,,
22603,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":340}}",{},{},,,
22703,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":360}}",{},{},,,
22803,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":380}}",{},{},,,
22903,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":400}}",{},{},,,
23003,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":420}}",{},{},,,
23103,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":440}}",{},{},,,
23203,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defdrop"",""round"":3,""pro"":460}}",{},{},,,
21313,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""atkpro"",""round"":2,""pro"":70}}",{},{},,,
21413,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""atkpro"",""round"":2,""pro"":90}}",{},{},,,
21513,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""atkpro"",""round"":2,""pro"":100}}",{},{},,,
21613,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""atkpro"",""round"":2,""pro"":120}}",{},{},,,
21713,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""atkpro"",""round"":2,""pro"":140}}",{},{},,,
21813,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""atkpro"",""round"":2,""pro"":150}}",{},{},,,
21913,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""atkpro"",""round"":2,""pro"":170}}",{},{},,,
22013,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""atkpro"",""round"":2,""pro"":190}}",{},{},,,
22113,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""atkpro"",""round"":2,""pro"":200}}",{},{},,,
22213,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""atkpro"",""round"":2,""pro"":220}}",{},{},,,
22313,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""atkpro"",""round"":2,""pro"":240}}",{},{},,,
22413,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""atkpro"",""round"":2,""pro"":250}}",{},{},,,
22513,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""atkpro"",""round"":2,""pro"":260}}",{},{},,,
22613,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""atkpro"",""round"":2,""pro"":270}}",{},{},,,
22713,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""atkpro"",""round"":2,""pro"":280}}",{},{},,,
22813,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""atkpro"",""round"":2,""pro"":290}}",{},{},,,
22913,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""atkpro"",""round"":2,""pro"":300}}",{},{},,,
23013,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""atkpro"",""round"":2,""pro"":310}}",{},{},,,
23113,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""atkpro"",""round"":2,""pro"":320}}",{},{},,,
23213,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""atkpro"",""round"":2,""pro"":330}}",{},{},,,
21923,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""speeddrop"",""round"":3,""pro"":10}}",{},{},,,
22023,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""speeddrop"",""round"":3,""pro"":14}}",{},{},,,
22123,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""speeddrop"",""round"":3,""pro"":18}}",{},{},,,
22223,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""speeddrop"",""round"":3,""pro"":22}}",{},{},,,
22323,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""speeddrop"",""round"":3,""pro"":26}}",{},{},,,
22423,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""speeddrop"",""round"":3,""pro"":30}}",{},{},,,
22523,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""speeddrop"",""round"":3,""pro"":34}}",{},{},,,
22623,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""speeddrop"",""round"":3,""pro"":38}}",{},{},,,
22723,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""speeddrop"",""round"":3,""pro"":42}}",{},{},,,
22823,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""speeddrop"",""round"":3,""pro"":46}}",{},{},,,
22923,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""speeddrop"",""round"":3,""pro"":50}}",{},{},,,
23023,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""speeddrop"",""round"":3,""pro"":54}}",{},{},,,
23123,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""speeddrop"",""round"":3,""pro"":58}}",{},{},,,
23223,3,buff,-1,1,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""speeddrop"",""round"":3,""pro"":62}}",{},{},,,
30003,3,addhp,0,1,0,rand,3,1000,"{""pro"":50}",{},{},,,
30103,3,addhp,0,1,0,rand,3,1000,"{""pro"":50}",{},{},,,
30203,3,addhp,0,1,0,rand,3,1000,"{""pro"":50}",{},{},,,
30303,3,addhp,0,1,0,rand,3,1000,"{""pro"":60}",{},{},,,
30403,3,addhp,0,1,0,rand,3,1000,"{""pro"":60}",{},{},,,
30503,3,addhp,0,1,0,rand,3,1000,"{""pro"":70}",{},{},,,
30603,3,addhp,0,1,0,rand,3,1000,"{""pro"":70}",{},{},,,
30703,3,addhp,0,1,0,rand,3,1000,"{""pro"":80}",{},{},,,
30803,3,addhp,0,1,0,rand,3,1000,"{""pro"":80}",{},{},,,
30903,3,addhp,0,1,0,rand,3,1000,"{""pro"":90}",{},{},,,
31003,3,addhp,0,1,0,rand,3,1000,"{""pro"":90}",{},{},,,
31103,3,addhp,0,1,0,rand,3,1000,"{""pro"":100}",{},{},,,
31203,3,addhp,0,1,0,rand,3,1000,"{""pro"":100}",{},{},,,
31303,3,addhp,0,1,0,rand,4,1000,"{""pro"":110}",{},{},,,
31403,3,addhp,0,1,0,rand,4,1000,"{""pro"":110}",{},{},,,
31503,3,addhp,0,1,0,rand,4,1000,"{""pro"":120}",{},{},,,
31603,3,addhp,0,1,0,rand,4,1000,"{""pro"":120}",{},{},,,
31703,3,addhp,0,1,0,rand,4,1000,"{""pro"":130}",{},{},,,
31803,3,addhp,0,1,0,rand,4,1000,"{""pro"":140}",{},{},,,
31903,3,addhp,0,1,0,rand,4,1000,"{""pro"":150}",{},{},,,
32003,3,addhp,0,1,0,rand,4,1000,"{""pro"":160}",{},{},,,
32103,3,addhp,0,1,0,rand,4,1000,"{""pro"":170}",{},{},,,
32203,3,addhp,0,1,0,rand,4,1000,"{""pro"":180}",{},{},,,
32303,3,addhp,0,1,0,rand,4,1000,"{""pro"":190}",{},{},,,
32403,3,addhp,0,1,0,rand,4,1000,"{""pro"":200}",{},{},,,
32503,3,addhp,0,1,0,rand,4,1000,"{""pro"":210}",{},{},,,
32603,3,addhp,0,1,0,rand,4,1000,"{""pro"":220}",{},{},,,
32703,3,addhp,0,1,0,rand,4,1000,"{""pro"":230}",{},{},,,
32803,3,addhp,0,1,0,rand,4,1000,"{""pro"":240}",{},{},,,
32903,3,addhp,0,1,0,rand,4,1000,"{""pro"":250}",{},{},,,
33003,3,addhp,0,1,0,rand,4,1000,"{""pro"":260}",{},{},,,
33103,3,addhp,0,1,0,rand,4,1000,"{""pro"":270}",{},{},,,
33203,3,addhp,0,1,0,rand,4,1000,"{""pro"":280}",{},{},,,
30713,3,buff,0,1,0,rand,3,1000,"{""act"":""buff"",""v"":{""buffid"":""defpro"",""round"":2,""pro"":20}}",{},{},,,
30813,3,buff,0,1,0,rand,3,1000,"{""act"":""buff"",""v"":{""buffid"":""defpro"",""round"":2,""pro"":40}}",{},{},,,
30913,3,buff,0,1,0,rand,3,1000,"{""act"":""buff"",""v"":{""buffid"":""defpro"",""round"":2,""pro"":50}}",{},{},,,
31013,3,buff,0,1,0,rand,3,1000,"{""act"":""buff"",""v"":{""buffid"":""defpro"",""round"":2,""pro"":70}}",{},{},,,
31113,3,buff,0,1,0,rand,3,1000,"{""act"":""buff"",""v"":{""buffid"":""defpro"",""round"":2,""pro"":90}}",{},{},,,
31213,3,buff,0,1,0,rand,3,1000,"{""act"":""buff"",""v"":{""buffid"":""defpro"",""round"":2,""pro"":100}}",{},{},,,
31313,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""defpro"",""round"":2,""pro"":120}}",{},{},,,
31413,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""defpro"",""round"":2,""pro"":140}}",{},{},,,
31513,3,buff,0,1,0,rand,4,1000,"{""act"":""buff"",""v"":{""buffid"":""defpro"",""round"":2,""pro"":150}}",{},{},,,
