ID,Y轴,X轴,事件id,事件名称,地块 ,,,,,
297,18,8,24,不能走的草地路,,,,,,
298,18,9,14,新树,,,,,,
299,18,10,24,不能走的草地路,,,,,,
300,18,11,24,不能走的草地路,,,,,,
301,18,12,9,石板3,,,,,,
302,18,13,17,石块,,,,,,
303,18,14,0,,,,,,,
304,18,15,0,,,,,,,
305,19,0,0,,,,,,,
306,19,1,0,,,,,,,
307,19,2,0,,,,,,,
308,19,3,2,草地路,,,,,,
309,19,4,2,草地路,,,,,,
310,19,5,24,不能走的草地路,,,,,,
311,19,6,20,草块,,,,,,
312,19,7,6,石板2,,,,,,
313,19,8,17,石块,,,,,,
314,19,9,24,不能走的草地路,,,,,,
315,19,10,24,不能走的草地路,,,,,,
316,19,11,9,石板3,,,,,,
317,19,12,17,石块,,,,,,
318,19,13,0,,,,,,,
319,19,14,0,,,,,,,
320,19,15,0,,,,,,,
321,20,0,0,,,,,,,
322,20,1,0,,,,,,,
323,20,2,0,,,,,,,
324,20,3,0,,,,,,,
325,20,4,13,老树,,,,,,
326,20,5,2,草地路,,,,,,
327,20,6,17,石块,,,,,,
328,20,7,6,石板2,,,,,,
329,20,8,9,石板3,,,,,,
330,20,9,24,不能走的草地路,,,,,,
331,20,10,2,草地路,,,,,,
332,20,11,9,石板3,,,,,,
333,20,12,17,石块,,,,,,
334,20,13,0,,,,,,,
335,20,14,0,,,,,,,
336,20,15,0,,,,,,,
337,21,0,0,,,,,,,
338,21,1,0,,,,,,,
339,21,2,0,,,,,,,
340,21,3,0,,,,,,,
341,21,4,24,不能走的草地路,,,,,,
342,21,5,2,草地路,,,,,,
343,21,6,6,石板2,,,,,,
344,21,7,9,石板3,,,,,,
345,21,8,9,石板3,,,,,,
346,21,9,2,草地路,,,,,,
347,21,10,9,石板3,,,,,,
348,21,11,14,新树,,,,,,
349,21,12,0,,,,,,,
350,21,13,0,,,,,,,
351,21,14,0,,,,,,,
352,21,15,0,,,,,,,
353,22,0,0,,,,,,,
354,22,1,0,,,,,,,
355,22,2,0,,,,,,,
356,22,3,0,,,,,,,
357,22,4,0,,,,,,,
358,22,5,13,老树,,,,,,
359,22,6,6,石板2,,,,,,
360,22,7,16,水坑,,,,,,
361,22,8,9,石板3,,,,,,
362,22,9,9,石板3,,,,,,
363,22,10,9,石板3,,,,,,
364,22,11,20,草块,,,,,,
365,22,12,0,,,,,,,
366,22,13,0,,,,,,,
367,22,14,0,,,,,,,
368,22,15,0,,,,,,,
369,23,0,0,,,,,,,
370,23,1,0,,,,,,,
371,23,2,0,,,,,,,
372,23,3,0,,,,,,,
373,23,4,0,,,,,,,
374,23,5,6,石板2,,,,,,
375,23,6,24,不能走的草地路,,,,,,
376,23,7,24,不能走的草地路,,,,,,
377,23,8,9,石板3,,,,,,
378,23,9,9,石板3,,,,,,
379,23,10,20,草块,,,,,,
380,23,11,0,,,,,,,
381,23,12,0,,,,,,,
382,23,13,0,,,,,,,
383,23,14,0,,,,,,,
384,23,15,0,,,,,,,
385,24,0,0,,,,,,,
386,24,1,0,,,,,,,
387,24,2,0,,,,,,,
388,24,3,0,,,,,,,
389,24,4,0,,,,,,,
390,24,5,0,,,,,,,
391,24,6,20,草块,,,,,,
392,24,7,24,不能走的草地路,,,,,,
393,24,8,9,石板3,,,,,,
394,24,9,2,草地路,,,,,,
395,24,10,20,草块,,,,,,
396,24,11,0,,,,,,,
397,24,12,0,,,,,,,
398,24,13,0,,,,,,,
399,24,14,0,,,,,,,
400,24,15,0,,,,,,,
401,25,0,0,,,,,,,
402,25,1,0,,,,,,,
403,25,2,0,,,,,,,
404,25,3,0,,,,,,,
405,25,4,0,,,,,,,
406,25,5,0,,,,,,,
407,25,6,14,新树,,,,,,
408,25,7,17,石块,,,,,,
409,25,8,9,石板3,,,,,,
410,25,9,2,草地路,,,,,,
411,25,10,0,,,,,,,
412,25,11,0,,,,,,,
413,25,12,0,,,,,,,
414,25,13,0,,,,,,,
415,25,14,0,,,,,,,
416,25,15,0,,,,,,,
417,26,0,0,,,,,,,
418,26,1,0,,,,,,,
419,26,2,0,,,,,,,
420,26,3,0,,,,,,,
421,26,4,0,,,,,,,
422,26,5,0,,,,,,,
423,26,6,0,,,,,,,
424,26,7,24,不能走的草地路,,,,,,
425,26,8,17,石块,,,,,,
426,26,9,9,石板3,,,,,,
427,26,10,0,,,,,,,
428,26,11,0,,,,,,,
429,26,12,0,,,,,,,
430,26,13,0,,,,,,,
431,26,14,0,,,,,,,
432,26,15,0,,,,,,,
433,27,0,0,,,,,,,
434,27,1,0,,,,,,,
435,27,2,0,,,,,,,
436,27,3,0,,,,,,,
437,27,4,0,,,,,,,
438,27,5,0,,,,,,,
439,27,6,0,,,,,,,
440,27,7,13,老树,,,,,,
441,27,8,2,草地路,,,,,,
442,27,9,0,,,,,,,
443,27,10,0,,,,,,,
444,27,11,0,,,,,,,
445,27,12,0,,,,,,,
446,27,13,0,,,,,,,
447,27,14,0,,,,,,,
448,27,15,0,,,,,,,
449,28,0,0,,,,,,,
450,28,1,0,,,,,,,
451,28,2,0,,,,,,,
452,28,3,0,,,,,,,
453,28,4,0,,,,,,,
454,28,5,0,,,,,,,
455,28,6,0,,,,,,,
456,28,7,0,,,,,,,
457,28,8,20,草块,,,,,,
458,28,9,0,,,,,,,
459,28,10,0,,,,,,,
460,28,11,0,,,,,,,
461,28,12,0,,,,,,,
462,28,13,0,,,,,,,
463,28,14,0,,,,,,,
464,28,15,0,,,,,,,
465,29,0,0,,,,,,,
466,29,1,0,,,,,,,
467,29,2,0,,,,,,,
468,29,3,0,,,,,,,
469,29,4,0,,,,,,,
470,29,5,0,,,,,,,
471,29,6,0,,,,,,,
472,29,7,0,,,,,,,
473,29,8,0,,,,,,,
474,29,9,0,,,,,,,
475,29,10,0,,,,,,,
476,29,11,0,,,,,,,
477,29,12,0,,,,,,,
478,29,13,0,,,,,,,
479,29,14,0,,,,,,,
480,29,15,0,,,,,,,
