道具ID,是否叠加,道具名称,道具类型,描述类型,背包分类,道具品质,品质等级,途径,道具图标,小图标,道具星级,种族,道具描述,特殊字段,掉落组,使用等级,合成数量,合成指定英雄ID,稀有,使用跳转,活动类型
1025,1,五星自然自选箱,9,1,2,4,0,,item_1103,,,4,使用后可以从所有五星自然英雄选择并获得50个指定的五星自然英雄碎片,"{""a"":""item"",""t"":""41035"",""n"":50},{""a"":""item"",""t"":""41045"",""n"":50},{""a"":""item"",""t"":""41055"",""n"":50},{""a"":""item"",""t"":""41065"",""n"":50},{""a"":""item"",""t"":""42015"",""n"":50},{""a"":""item"",""t"":""43035"",""n"":50},{""a"":""item"",""t"":""43045"",""n"":50},{""a"":""item"",""t"":""43055"",""n"":50},{""a"":""item"",""t"":""43065"",""n"":50},{""a"":""item"",""t"":""43075"",""n"":50},{""a"":""item"",""t"":""44025"",""n"":50},{""a"":""item"",""t"":""44035"",""n"":50},{""a"":""item"",""t"":""44045"",""n"":50},{""a"":""item"",""t"":""44055"",""n"":50},{""a"":""item"",""t"":""45035"",""n"":50},{""a"":""item"",""t"":""45045"",""n"":50},{""a"":""item"",""t"":""45055"",""n"":50},{""a"":""item"",""t"":""45065"",""n"":50}",,,,,0,,
1026,1,五星黑暗自选箱,9,1,2,4,0,,item_1026,,,5,使用后可以从所有五星黑暗英雄选择并获得50个指定的五星黑暗英雄碎片（乌鸦之神除外）,"{""a"":""item"",""t"":""51015"",""n"":50},{""a"":""item"",""t"":""52025"",""n"":50},{""a"":""item"",""t"":""52035"",""n"":50},{""a"":""item"",""t"":""52045"",""n"":50},{""a"":""item"",""t"":""53015"",""n"":50},{""a"":""item"",""t"":""55015"",""n"":50},{""a"":""item"",""t"":""55025"",""n"":50}",,,,,0,,
1027,1,五星光明自选箱,9,1,2,4,0,,item_1027,,,6,使用后可以从所有五星光明英雄选择并获得50个指定的五星光明英雄碎片(时空守卫除外),"{""a"":""item"",""t"":""61015"",""n"":50},{""a"":""item"",""t"":""61025"",""n"":50},{""a"":""item"",""t"":""62015"",""n"":50},{""a"":""item"",""t"":""63015"",""n"":50},{""a"":""item"",""t"":""63025"",""n"":50},{""a"":""item"",""t"":""65015"",""n"":50}",,,,,0,,
1028,1,怒气饰品自选箱,9,1,2,5,0,,item_1028,,,,使用后可以选择并获得指定的饰品，可选饰品：奥术秘法圣物，狂怒之圣器,"{""a"":""shipin"",""t"":""6121"",""n"":1},{""a"":""shipin"",""t"":""6071"",""n"":1}",,,,,0,,
1029,1,暴虐饰品自选箱,9,1,2,5,0,,item_1029,,,,使用后可以选择并获得指定的饰品，可选饰品：无尽之深渊，水晶巨人之心，巨龙之翼，烈焰毁灭秘法,"{""a"":""shipin"",""t"":""6061"",""n"":1},{""a"":""shipin"",""t"":""6131"",""n"":1},{""a"":""shipin"",""t"":""6471"",""n"":1},{""a"":""shipin"",""t"":""6251"",""n"":1}",,,,,0,,
1030,1,光暗饰品自选箱,9,1,2,5,0,,item_1030,,,,使用后可以选择并获得指定的饰品，可选饰品：拉斐尔手套，光明圣手镯，加百列的遗物，乌列的秘法书,"{""a"":""shipin"",""t"":""6281"",""n"":1},{""a"":""shipin"",""t"":""6291"",""n"":1},{""a"":""shipin"",""t"":""6271"",""n"":1},{""a"":""shipin"",""t"":""6301"",""n"":1}",,,,,0,,
1031,1,传说饰品自选箱,9,1,2,5,0,,item_1031,,,,使用后可以选择并获得指定的饰品，可选饰品：金猪吊坠，神圣结界之心,"{""a"":""shipin"",""t"":""6461"",""n"":1},{""a"":""shipin"",""t"":""6481"",""n"":1}",,,,,1,,
1032,1,经典饰品自选箱,9,1,2,5,0,,item_1032,,,,使用后可以选择并获得指定的饰品，可选饰品：光辉之守护，灵巧怀表，勇气之徽章，自然生命之书，魔能精通之书,"{""a"":""shipin"",""t"":""6091"",""n"":1},{""a"":""shipin"",""t"":""6141"",""n"":1},{""a"":""shipin"",""t"":""6081"",""n"":1},{""a"":""shipin"",""t"":""6111"",""n"":1},{""a"":""shipin"",""t"":""6101"",""n"":1}",,,,,1,,
1033,1,堕天大圣头像框,6,1,2,5,0,,item_1033,,,,使用后永久获得《堕天大圣》头像框,"""headborder"",""4"",0",,,,,0,,
1034,1,战旗先锋头像框,6,1,2,5,0,,item_1034,,,,使用后可获得《战旗先锋》头像框使用权60天,"""headborder"",""5"",5184000",,,,,0,,
1035,1,幸运新手礼包,1,1,2,5,0,,item_1000,,,,使用后有几率获得以下奖励中的一个：先祖印记*3，先祖印记*5，召唤卷*1,,"""1035""",,,,0,,
1036,1,时空守卫头像框,6,1,2,5,0,,item_1036,,,,使用后永久获得《时空守卫》头像框,"""headborder"",""6"",0",,,,,0,,
1037,1,邪龙霸主头像框,6,1,2,5,0,,item_1037,,,,使用后永久获得《邪龙霸主》头像框,"""headborder"",""7"",0",,,,,0,,
1038,1,死亡之主头像框,6,1,2,5,0,,item_1038,,,,使用后永久获得《死亡之主》头像框,"""headborder"",""8"",0",,,,,0,,
1039,1,一周年头像框,6,1,2,5,0,,item_1039,,,,使用后永久获得《一周年派对》头像框,"""headborder"",""9"",0",,,,,0,,
1040,1,虚空女王头像框,6,1,2,5,0,,item_1040,,,,使用后永久获得《虚空女王》头像框,"""headborder"",""10"",0",,,,,0,,
1041,1,不忘初心头像框,6,1,2,5,0,,item_1041,,,,使用后永久获得《不忘初心》头像框,"""headborder"",""11"",0",,,,,0,,
1042,1,至尊情圣头像框,6,1,2,5,0,,item_1042,,,,使用后永久获得《至尊情圣》头像框,"""headborder"",""12"",0",,,,,0,,
1043,1,称号<星辰勇者>,6,1,2,3,0,,item_1043,,,,使用后永久获得《星辰勇者》称号,"""chenghao"",""1"",0",,,,,0,,
1044,1,称号<最强王者>7日,6,1,2,4,0,,item_1044,,,,使用后可获得《最强王者》称号7天的使用权,"""chenghao"",""2"",604800",,,,,1,,
1045,1,变羊术,13,1,2,4,0,,item_2035,,,,使用后可获得变羊术7天的使用权,604800,,,,,0,,
1046,1,称号<日耀领主>30日,6,1,2,3,0,,item_1046,,,,使用后可获得《日耀领主》称号30天的使用权,"""chenghao"",""3"",2592000",,,,,0,,
1047,1,英雄之巅头像框,6,1,2,5,0,,item_1047,,,,使用后永久获得《英雄之巅》头像框,"""headborder"",""13"",0",,,,,0,,
1048,1,融魂之巅头像框,6,1,2,5,0,,item_1048,,,,使用后永久获得《融魂之巅》头像框,"""headborder"",""14"",0",,,,,0,,
1049,1,神器之巅头像框,6,1,2,5,0,,item_1049,,,,使用后永久获得《神器之巅》头像框,"""headborder"",""15"",0",,,,,0,,
1050,1,爵位之巅头像框,6,1,2,5,0,,item_1050,,,,使用后永久获得《爵位之巅》头像框,"""headborder"",""16"",0",,,,,0,,
1051,1,新秀光暗自选箱,9,1,2,4,0,,item_1051,,,,使用后可以从以下光暗英雄中选择并获得50个指定的五星英雄碎片：帕米尔隆，食人魔领袖，堕天大圣，暗夜主宰，圣光先知，光之大领主，审判之刃,"{""a"":""item"",""t"":""52045"",""n"":50},{""a"":""item"",""t"":""51015"",""n"":50},{""a"":""item"",""t"":""55015"",""n"":50},{""a"":""item"",""t"":""55025"",""n"":50},{""a"":""item"",""t"":""61025"",""n"":50},{""a"":""item"",""t"":""63025"",""n"":50},{""a"":""item"",""t"":""65015"",""n"":50}",,,,,1,,
1052,1,黄金王者头像框,6,1,2,5,0,,item_1052,,,,使用后永久获得《黄金王者》头像框,"""headborder"",""17"",0",,,,,0,,
1053,1,称号<日耀领主>,6,1,2,4,0,,item_1046,,,,使用后永久获得《日耀领主》称号,"""chenghao"",""3"",0",,,,,0,,
1054,1,勇者的奖励宝箱1,9,1,2,3,0,,item_1054,,,,使用后可选择并获得一样奖励物品,"{""a"":""item"",""t"":""2004"",""n"":100},{""a"":""item"",""t"":""2005"",""n"":100},{""a"":""item"",""t"":""2017"",""n"":60},{""a"":""item"",""t"":""2018"",""n"":10}",,,,,0,,
1055,1,勇者的奖励宝箱2,9,1,2,3,0,,item_1054,,,,使用后可选择并获得一样奖励物品,"{""a"":""item"",""t"":""2022"",""n"":45},{""a"":""item"",""t"":""2021"",""n"":15},{""a"":""item"",""t"":""2004"",""n"":100},{""a"":""item"",""t"":""2005"",""n"":100}",,,,,0,,
1056,1,勇者的奖励宝箱3,9,1,2,3,0,,item_1054,,,,使用后可选择并获得一样奖励物品,"{""a"":""item"",""t"":""2004"",""n"":100},{""a"":""item"",""t"":""2005"",""n"":100},{""a"":""item"",""t"":""2053"",""n"":1}",,,,,0,,
1057,1,勇者的奖励宝箱4,9,1,2,4,0,,item_1057,,,,使用后可选择并获得一样奖励物品,"{""a"":""item"",""t"":""2022"",""n"":45},{""a"":""item"",""t"":""2021"",""n"":15},{""a"":""item"",""t"":""2004"",""n"":100},{""a"":""item"",""t"":""2005"",""n"":100},{""a"":""item"",""t"":""2017"",""n"":60},{""a"":""item"",""t"":""2018"",""n"":10},{""a"":""item"",""t"":""2003"",""n"":100},{""a"":""item"",""t"":""2053"",""n"":1}",,,,,0,,
1058,1,森林圣女头像框,6,1,2,5,0,,item_1058,,,,使用后永久获得《森林圣女》头像框,"""headborder"",""18"",0",,,,,0,,
1059,1,巅峰礼包,9,1,2,4,0,,item_1059,,,,使用后可选择并获得一样奖励物品,"{""a"":""item"",""t"":""1009"",""n"":1},{""a"":""item"",""t"":""2059"",""n"":1}",,,,,0,,
1060,1,王者礼包,9,1,2,5,0,,item_1060,,,,使用后可选择并获得一样奖励物品,"{""a"":""item"",""t"":""1009"",""n"":2},{""a"":""item"",""t"":""2059"",""n"":1}",,,,,1,,
1061,1,欧皇,6,1,2,4,0,,item_1061,,,,完成进阶历练后可获得,"""chenghao"",""4"",0",,,,,0,,
1062,1,赌神,6,1,2,4,0,,item_1062,,,,完成进阶历练后可获得,"""chenghao"",""5"",0",,,,,0,,
1063,1,预言家,6,1,2,4,0,,item_1063,,,,完成进阶历练后可获得,"""chenghao"",""6"",0",,,,,0,,
1064,1,大预言家,6,1,2,4,0,,item_1064,,,,完成进阶历练后可获得,"""chenghao"",""7"",0",,,,,0,,
1065,1,淘金者,6,1,2,4,0,,item_1065,,,,完成进阶历练后可获得,"""chenghao"",""8"",0",,,,,0,,
1066,1,滴水穿石,6,1,2,4,0,,item_1066,,,,完成进阶历练后可获得,"""chenghao"",""9"",0",,,,,0,,
1067,1,幸运选手,6,1,2,4,0,,item_1067,,,,完成进阶历练后可获得,"""chenghao"",""10"",0",,,,,0,,
1068,1,悬赏大师,6,1,2,4,0,,item_1068,,,,完成进阶历练后可获得,"""chenghao"",""11"",0",,,,,0,,
1069,1,终极非酋,6,1,2,4,0,,item_1069,,,,完成进阶历练后可获得,"""chenghao"",""12"",0",,,,,0,,
1070,1,祭品,6,1,2,4,0,,item_1070,,,,完成进阶历练后可获得,"""chenghao"",""13"",0",,,,,0,,
1071,1,毒牙,6,1,2,4,0,,item_1071,,,,完成进阶历练后可获得,"""chenghao"",""14"",0",,,,,0,,
1072,1,完胜,6,1,2,4,0,,item_1072,,,,完成进阶历练后可获得,"""chenghao"",""15"",0",,,,,0,,
1073,1,外域霸者,6,1,2,4,0,,item_1073,,,,完成进阶历练后可获得,"""chenghao"",""16"",0",,,,,0,,
1074,1,连胜王者,6,1,2,4,0,,item_1074,,,,完成进阶历练后可获得,"""chenghao"",""17"",0",,,,,0,,
1075,1,绝对王者,6,1,2,4,0,,item_1075,,,,完成进阶历练后可获得,"""chenghao"",""18"",0",,,,,0,,
1076,1,沉默羔羊,6,1,2,4,0,,item_1076,,,,完成进阶历练后可获得,"""chenghao"",""19"",0",,,,,0,,
1077,1,假面舞会,6,1,2,4,0,,item_1077,,,,完成进阶历练后可获得,"""chenghao"",""20"",0",,,,,0,,
1078,1,时空奇遇,6,1,2,4,0,,item_1078,,,,完成进阶历练后可获得,"""chenghao"",""21"",0",,,,,0,,
1079,1,乌鸦神教,6,1,2,4,0,,item_1079,,,,完成进阶历练后可获得,"""chenghao"",""22"",0",,,,,0,,
1080,1,非酋之书,6,1,2,4,0,,item_1080,,,,完成进阶历练后可获得,"""chenghao"",""23"",0",,,,,0,,
1081,1,<贴吧大神>30日,6,1,2,4,0,,item_1081,,,,参加贴吧活动有机会获得,"""chenghao"",""24"",2592000",,,,,0,,
1082,1,嗜血剑圣头像框,6,1,2,5,0,,item_1082,,,,使用后永久获得《嗜血剑圣》头像框,"""headborder"",""19"",0",,,,,0,,
1083,1,超级VIP,6,1,2,4,0,,item_1083,,,,使用后可获得《超级VIP》称号30天的使用权,"""chenghao"",""25"",2592000",,,,,0,,
1084,1,至尊VIP,6,1,2,4,0,,item_1084,,,,使用后可获得《至尊VIP》称号30天的使用权,"""chenghao"",""26"",2592000",,,,,0,,
1085,1,电音女王头像框,6,1,2,5,0,,item_1085,,,,使用后永久获得《电音女王》头像框,"""headborder"",""20"",0",,,,,0,,
1086,1,永恒领主,6,1,2,4,0,,item_1086,,,,使用后永久获得《永恒领主》称号,"""chenghao"",""27"",0",,,,,0,,
1087,1,战神,6,1,2,5,0,,item_1087,,,,使用后可获得《战神》称号7天的使用权,"""chenghao"",""28"",604800",,,,,1,,
1088,1,五军统领,6,1,2,4,0,,item_1088,,,,使用后可获得《五军将领》称号7天的使用权,"""chenghao"",""29"",604800",,,,,0,,
1089,1,五军将领,6,1,2,3,0,,item_1089,,,,使用后可获得《五军将领》称号7天的使用权,"""chenghao"",""30"",604800",,,,,0,,
1090,1,怒火修罗头像框,6,1,2,5,0,,item_1090,,,,使用后永久获得《怒火修罗》头像框,"""headborder"",""21"",0",,,,,0,,
1091,1,终结杀手头像框,6,1,2,5,0,,item_1091,,,,使用后永久获得《终结杀手》头像框,"""headborder"",""22"",0",,,,,0,,
1092,1,新年福袋,1,1,2,3,0,,item_1019,,,,新年福袋，有概率开出88、288勇气徽章；188888、288888、388888金币；先祖印记*1，变羊术*7天；还有概率开出888钻石和专属饰品《瑞鼠运财》,,"""1092""",,,,0,,
1093,1,先古守卫头像框,6,1,2,5,0,,item_1093,,,,使用后永久获得《先古守卫》头像框,"""headborder"",""23"",0",,,,,0,,
1094,1,无畏勇士头像框,6,1,2,5,0,,item_1094,,,,使用后永久获得《无畏勇士》头像框,"""headborder"",""25"",0",,,,,0,,
1095,1,虚空剑圣头像框,6,1,2,5,0,,item_1095,,,,使用后永久获得《虚空剑圣》头像框,"""headborder"",""24"",0",,,,,0,,
1096,1,永恒+雕文宝箱,1,1,2,5,1,,item_1096,,,,使用后必定获得红色+品质雕文,,"""1096""",,,,0,,
1097,1,秘密兵器头像框,6,1,2,5,0,,item_1097,,,,使用后永久获得《秘密兵器》头像框,"""headborder"",""26"",0",,,,,0,,
1098,1,5星种族碎片自选箱,9,1,2,4,0,,box4,,,,使用后可在亡灵、奥术、邪能、自然5星种族碎片中选择并获得1个,"{""a"":""item"",""t"":""4010"",""n"":1},{""a"":""item"",""t"":""4011"",""n"":1},{""a"":""item"",""t"":""4012"",""n"":1},{""a"":""item"",""t"":""4013"",""n"":1}",,,,,0,,
1099,1,皮肤礼盒,1,1,2,5,0,,box5,,,,使用后可随机获得一个永久皮肤,,"""1099""",,,,0,,
1100,1,堕落天使头像框,6,1,2,5,0,,item_1100,,,,使用后永久获得《堕落天使》头像框,"""headborder"",""27"",0",,,,,0,,
1101,1,讨魔勇者头像框45天,6,1,2,5,0,,item_1101,,,,使用后获得《讨魔勇者》头像框使用权45天,"""headborder"",""28"",3888000",,,,,0,,
1102,1,白袍法师头像框,6,1,2,5,0,,item_1102,,,,使用后永久获得《白袍法师》头像框,"""headborder"",""29"",0",,,,,0,,
1103,1,四系养成自选箱,15,1,2,4,0,,item_1103,,,,使用后可在四系英雄养成材料中选择一个并获得,"{""name"": ""亡灵升星"",""prize"": [{""a"":""item"",""t"":""11065"",""n"":50},{""a"":""item"",""t"":""11055"",""n"":50},{""a"":""item"",""t"":""13035"",""n"":50},{""a"":""item"",""t"":""12025"",""n"":50},{""a"":""item"",""t"":""15015"",""n"":50},{""a"":""item"",""t"":""14025"",""n"":50},{""a"":""item"",""t"":""15025"",""n"":50}]},{""name"": ""奥术升星"",""prize"": [{""a"":""item"",""t"":""21025"",""n"":50},{""a"":""item"",""t"":""21015"",""n"":50},{""a"":""item"",""t"":""21035"",""n"":50},{""a"":""item"",""t"":""25045"",""n"":50},{""a"":""item"",""t"":""25055"",""n"":50},{""a"":""item"",""t"":""22035"",""n"":50},{""a"":""item"",""t"":""22025"",""n"":50},{""a"":""item"",""t"":""24025"",""n"":50}]},{""name"": ""邪能升星"",""prize"": [{""a"":""item"",""t"":""31055"",""n"":50},{""a"":""item"",""t"":""31045"",""n"":50},{""a"":""item"",""t"":""33015"",""n"":50},{""a"":""item"",""t"":""34015"",""n"":50},{""a"":""item"",""t"":""33025"",""n"":50},{""a"":""item"",""t"":""32045"",""n"":50}]},{""name"": ""自然升星"",""prize"": [{""a"":""item"",""t"":""41045"",""n"":50},{""a"":""item"",""t"":""43035"",""n"":50},{""a"":""item"",""t"":""43045"",""n"":50},{""a"":""item"",""t"":""43055"",""n"":50},{""a"":""item"",""t"":""44025"",""n"":50},{""a"":""item"",""t"":""45035"",""n"":50}]}",,,,,0,,
1104,1,光暗养成自选箱,15,1,2,4,0,,item_1104,,,,使用后可在光暗英雄养成材料中选择一个并获得,"{""name"": ""黑暗升星"",""prize"": [{""a"":""item"",""t"":""52035"",""n"":50},{""a"":""item"",""t"":""52025"",""n"":50},{""a"":""item"",""t"":""53015"",""n"":50}]},{""name"": ""光明升星"",""prize"": [{""a"":""item"",""t"":""61015"",""n"":50},{""a"":""item"",""t"":""62015"",""n"":50},{""a"":""item"",""t"":""63015"",""n"":50}]}",,,,,0,,
1105,1,尖峰王者头像框7天,6,1,2,5,0,,item_1105,,,,使用后获得《尖峰王者》头像框使用权7天,"""headborder"",""30"",604800",,,,,0,,
1106,1,暗夜轮舞头像框,6,1,2,5,0,,item_1106,,,,使用后永久获得《暗夜轮舞》头像框,"""headborder"",""31"",0",,,,,0,,
1107,1,光暗超顶级自选箱,9,1,2,5,0,,item_1107,,,,使用后选择并获得以下光暗英雄中的一个：时空守卫、乌鸦之神、安德鲁斯、颤栗之翼、堕天大圣、暗夜主宰、审判之刃,"{""a"":""item"",""t"":""51025"",""n"":50},{""a"":""item"",""t"":""52055"",""n"":50},{""a"":""item"",""t"":""63035"",""n"":50},{""a"":""item"",""t"":""64025"",""n"":50},{""a"":""item"",""t"":""55015"",""n"":50},{""a"":""item"",""t"":""55025"",""n"":50},{""a"":""item"",""t"":""65015"",""n"":50}",,,,,1,,
1108,1,星魂礼包,1,1,2,5,0,29,item_1108,,,,使用后可随机1个获得以下道具：星魂*1、星魂*2、星魂*3或5星英雄碎片*5,,"""1108""",,,,1,,
1109,1,阵营核心自选箱,9,1,2,5,0,,item_1103,,,,使用后可在四系核心英雄中选择并获得一个,"{""a"":""item"",""t"":""31115"",""n"":50},{""a"":""item"",""t"":""12045"",""n"":50},{""a"":""item"",""t"":""25085"",""n"":50},{""a"":""item"",""t"":""24045"",""n"":50},{""a"":""item"",""t"":""35055"",""n"":50},{""a"":""item"",""t"":""33035"",""n"":50},{""a"":""item"",""t"":""42025"",""n"":50},{""a"":""item"",""t"":""43075"",""n"":50}",,,,,1,,
1110,1,光暗顶级自选箱,9,1,2,5,0,,item_1104,,,,使用后选择并获得以下光暗英雄中的一个：时空守卫、乌鸦之神、安德鲁斯、堕天大圣、暗夜主宰、审判之刃,"{""a"":""item"",""t"":""52055"",""n"":50},{""a"":""item"",""t"":""63035"",""n"":50},{""a"":""item"",""t"":""64025"",""n"":50},{""a"":""item"",""t"":""55015"",""n"":50},{""a"":""item"",""t"":""55025"",""n"":50},{""a"":""item"",""t"":""65015"",""n"":50}",,,,,1,,
1111,1,野性王者头像框,6,1,2,5,0,,item_1111,,,,使用后永久获得《野性王者》头像框,"""headborder"",""32"",0",,,,,0,,
1112,1,究极饰品自选箱,9,1,2,5,0,,item_1112,,,,使用后可以在以下饰品中选择一个并获得:烈焰毁灭秘法、探究之渴望、聚能荣耀勋章、甘美的死亡圣水,"{""a"":""shipin"",""t"":""6251"",""n"":1},{""a"":""shipin"",""t"":""6541"",""n"":1},{""a"":""shipin"",""t"":""6511"",""n"":1},{""a"":""shipin"",""t"":""6531"",""n"":1}",,,,,1,,
1113,1,圣物饰品自选箱,9,1,2,5,0,,item_1113,,,,使用后可以在以下饰品中选择一个并获得:奥术秘法圣物、狂怒之圣器、无尽之深渊、巨龙之翼、水晶巨人之心,"{""a"":""shipin"",""t"":""6121"",""n"":1},{""a"":""shipin"",""t"":""6071"",""n"":1},{""a"":""shipin"",""t"":""6061"",""n"":1},{""a"":""shipin"",""t"":""6471"",""n"":1},{""a"":""shipin"",""t"":""6131"",""n"":1}",,,,,1,,
