挑战id,名称,参数
17,免控,"{""stype"":""6"",""skill"": [],""color"":3,""intro"":""免控"",""buff"":{""miankongpro"":200}}"
18,免控,"{""stype"":""6"",""skill"": [],""color"":4,""intro"":""免控"",""buff"":{""miankongpro"":300}}"
19,狂战,"{""stype"":""7"",""skill"": [],""color"":2,""intro"":""战士增伤"",""buff"":{""dpspro"":300},""job"":1}"
20,狂战,"{""stype"":""7"",""skill"": [],""color"":3,""intro"":""战士增伤"",""buff"":{""dpspro"":600},""job"":1}"
21,狂战,"{""stype"":""7"",""skill"": [],""color"":4,""intro"":""战士增伤"",""buff"":{""dpspro"":900},""job"":1}"
22,防御,"{""stype"":""8"",""skill"": [],""color"":2,""intro"":""战士减伤"",""buff"":{""undpspro"":300},""job"":1}"
23,防御,"{""stype"":""8"",""skill"": [],""color"":3,""intro"":""战士减伤"",""buff"":{""undpspro"":600},""job"":1}"
24,防御,"{""stype"":""8"",""skill"": [],""color"":4,""intro"":""战士减伤"",""buff"":{""undpspro"":900},""job"":1}"
25,法伤,"{""stype"":""9"",""skill"": [],""color"":2,""intro"":""法师增伤"",""buff"":{""dpspro"":300},""job"":2}"
26,法伤,"{""stype"":""9"",""skill"": [],""color"":3,""intro"":""法师增伤"",""buff"":{""dpspro"":600},""job"":2}"
27,法伤,"{""stype"":""9"",""skill"": [],""color"":4,""intro"":""法师增伤"",""buff"":{""dpspro"":900},""job"":2}"
28,魔盾,"{""stype"":""10"",""skill"": [],""color"":2,""intro"":""法师减伤"",""buff"":{""undpspro"":300},""job"":2}"
29,魔盾,"{""stype"":""10"",""skill"": [],""color"":3,""intro"":""法师减伤"",""buff"":{""undpspro"":600},""job"":2}"
30,魔盾,"{""stype"":""10"",""skill"": [],""color"":4,""intro"":""法师减伤"",""buff"":{""undpspro"":900},""job"":2}"
31,清风,"{""stype"":""11"",""skill"": [],""color"":2,""intro"":""辅助增伤"",""buff"":{""dpspro"":300},""job"":3}"
32,清风,"{""stype"":""11"",""skill"": [],""color"":3,""intro"":""辅助增伤"",""buff"":{""dpspro"":600},""job"":3}"
33,清风,"{""stype"":""11"",""skill"": [],""color"":4,""intro"":""辅助增伤"",""buff"":{""dpspro"":900},""job"":3}"
34,御风,"{""stype"":""12"",""skill"": [],""color"":2,""intro"":""辅助减伤"",""buff"":{""undpspro"":300},""job"":3}"
35,御风,"{""stype"":""12"",""skill"": [],""color"":3,""intro"":""辅助减伤"",""buff"":{""undpspro"":600},""job"":3}"
36,御风,"{""stype"":""12"",""skill"": [],""color"":4,""intro"":""辅助减伤"",""buff"":{""undpspro"":900},""job"":3}"
37,背刺,"{""stype"":""13"",""skill"": [],""color"":2,""intro"":""刺客增伤"",""buff"":{""dpspro"":300},""job"":4}"
38,背刺,"{""stype"":""13"",""skill"": [],""color"":3,""intro"":""刺客增伤"",""buff"":{""dpspro"":600},""job"":4}"
39,背刺,"{""stype"":""13"",""skill"": [],""color"":4,""intro"":""刺客增伤"",""buff"":{""dpspro"":900},""job"":4}"
40,隐遁,"{""stype"":""14"",""skill"": [],""color"":2,""intro"":""刺客减伤"",""buff"":{""undpspro"":300},""job"":4}"
41,隐遁,"{""stype"":""14"",""skill"": [],""color"":3,""intro"":""刺客减伤"",""buff"":{""undpspro"":600},""job"":4}"
42,隐遁,"{""stype"":""14"",""skill"": [],""color"":4,""intro"":""刺客减伤"",""buff"":{""undpspro"":900},""job"":4}"
43,弓术,"{""stype"":""15"",""skill"": [],""color"":2,""intro"":""游侠增伤"",""buff"":{""dpspro"":300},""job"":5}"
44,弓术,"{""stype"":""15"",""skill"": [],""color"":3,""intro"":""游侠增伤"",""buff"":{""dpspro"":600},""job"":5}"
45,弓术,"{""stype"":""15"",""skill"": [],""color"":4,""intro"":""游侠增伤"",""buff"":{""dpspro"":900},""job"":5}"
46,御术,"{""stype"":""16"",""skill"": [],""color"":2,""intro"":""游侠减伤"",""buff"":{""undpspro"":300},""job"":5}"
47,御术,"{""stype"":""16"",""skill"": [],""color"":3,""intro"":""游侠减伤"",""buff"":{""undpspro"":600},""job"":5}"
48,御术,"{""stype"":""16"",""skill"": [],""color"":4,""intro"":""游侠减伤"",""buff"":{""undpspro"":900},""job"":5}"
