英雄ID,英雄名称,放置名称,评论ID,英雄种族,品质星级,圣器,卷轴类型,职业,品质,定位,模型,头像,十星模型,十星头像,升星材料,成长编号,被动开启等级,普攻,怒气,怒气名称,怒气描述,被动1,被动1名称,被动1描述,被动2,被动2名称,被动2描述,被动3,被动3名称,被动3描述,怒气图标,被动1图标,被动2图标,被动3图标,配音,是否有独立的施法动画,攻击频率,塔防攻击
11096,冷血督军,尸妖,1109,1,6,11096,0,1,5,,11096,11096,1109a,1109a,11095,11096,"[2,4,6]",11096002,11096012,永冻之镰2,怒气技能：对前排敌人造成155%攻击伤害并有55%几率使目标冰冻2回合，同时恢复自身生命上限15%等量生命,"""11096104""",冰霜护甲2,被动效果：受到攻击有17%几率使攻击者冰冻2回合,"""11096201"",""11096211"",""11096204""",冷血天性2,被动效果：格挡增加25%，生命增加30%，免疫冰冻,"""11096304""",不死亡灵2,被动效果：当生命低于50%，恢复自身340%攻击等量生命，持续3回合（只触发一次）,skillico_1109_1,skillico_1109_2,skillico_1109_3,skillico_1109_4,"""11095"",""11096"",""1109a""",1,500,120
11105,复仇战鬼,荷鲁斯,1110,1,5,,4,1,4,qtsc,11105,11105,,,,11105,"[2,3,5]",11105002,11105012,杀意巨斧,怒气技能：对随机3名敌人造成124%攻击伤害，每回合额外造成50%流血伤害，持续3回合；若目标为前排，则额外造成目标生命上限9%伤害（不超过攻击力的1500%），目标为后排时，则额外造成必定暴击的56%攻击伤害,"""11105101"",""11105111"",""11105121"",""11105131""",行尸走肉,被动效果：生命增加20%，攻击增加10%，破甲增加20%，格挡增加30%,"""11105204"",""11105214""",冥人降临,被动效果：场上有英雄释放技能时，自身伤害增加1%，暴伤增加0.5%,"""11105304""",战鬼反击,被动效果：每格挡3次，解除自身所有控制并对随机3名敌人造成生命上限10%伤害（最高不超过自身攻击的2500%），并回复自身该伤害10%的生命值,skillico_1110_1,skillico_1110_2,skillico_1110_3,skillico_1110_4,"""11105"",""11106"",""1110a""",1,500,105
11106,复仇战鬼,荷鲁斯,1110,1,6,11106,0,1,5,qtsc,11106,11106,1110a,1110a,11105,11106,"[2,4,6]",11106002,11106012,杀意巨斧2,怒气技能：对随机3名敌人造成168%攻击伤害，每回合额外造成75%流血伤害，持续3回合；若目标为前排，则额外造成目标生命上限12%伤害（不超过攻击力的1500%），目标为后排时，则额外造成必定暴击的78%攻击伤害,"""11106101"",""11106111"",""11106121"",""11106131""",行尸走肉2,被动效果：生命增加30%，攻击增加20%，破甲增加30%，格挡增加45%,"""11106204"",""11106214""",冥人降临2,被动效果：场上有英雄释放技能时，自身伤害增加2%，暴伤增加0.8%,"""11106304""",战鬼反击2,被动效果：每格挡3次，解除自身所有控制并对随机3名敌人造成生命上限15%伤害（最高不超过自身攻击的2500%），并回复自身该伤害20%的生命值,skillico_1110_1,skillico_1110_2,skillico_1110_3,skillico_1110_4,"""11105"",""11106"",""1110a""",1,500,120
12013,噩梦女妖,雪莉,1201,1,3,,0,2,2,,12013,12013,,,,12013,[2],7,12013012,尖叫冲击,怒气技能：对后排敌人造成100%攻击的伤害,"""12013111"",""12013121""",巫妖转换,被动效果：巫妖转换后的身体，使得攻击提升18%，血量提升15%,,,,,,,skillico_009,skillico_001,,,"""12013""",0,500,45
12024,幽暗大法师,死誓,1202,1,4,,0,2,3,,12024,12024,,,,12024,"[2,4]",7,12024012,死亡尖叫,怒气技能：对敌方随机2名目标造成自身攻击145%的伤害，每回合额外造成自身攻击10%的伤害，直至目标死亡,"""12024114""",死亡火焰,被动效果：普攻有100%概率施放点燃灵魂的火焰，使目标燃烧，每回合造成8%攻击的伤害，直至敌方英雄死亡,"""12024214""",火焰护罩,被动效果：穿有用冥火制造的斗篷，受到攻击时100%概率使目标燃烧，每回合造成11%攻击的伤害，直至敌方英雄死亡,,,,skillico_009,skillico_216,skillico_217,,"""12024"",""12025"",""12026""",0,500,70
12025,幽暗大法师,死誓,1202,1,5,,2,2,4,hpsc,12025,12025,,,,12025,"[3,5]",7,12025012,死亡尖叫,怒气技能：对敌方随机3名目标造成120%攻击伤害，每回合额外造成20%攻击的伤害，直至敌方英雄死亡,"""12025114""",死亡火焰,被动效果：普攻有100%概率施放点燃灵魂的火焰，使目标燃烧，每回合造成16%攻击的伤害，直至敌方英雄死亡,"""12025214""",火焰护罩,被动效果：穿有用冥火制造的斗篷，受到攻击时100%概率使目标燃烧，每回合造成13%攻击的伤害，直至敌方英雄死亡,,,,skillico_009,skillico_216,skillico_217,,"""12024"",""12025"",""12026""",0,500,90
12026,幽暗大法师,死誓,1202,1,6,12026,0,2,5,,12026,12026,,,12025,12026,"[2,4,6]",7,12026012,死亡尖叫2,怒气技能：对敌方随机4名目标造成100%攻击伤害，每回合额外造成30%攻击的伤害，直至敌方英雄死亡,"""12026114""",死亡火焰2,被动效果：普攻有100%概率施放点燃灵魂的火焰，使目标燃烧，每回合造成22%攻击的伤害，直至敌方英雄死亡,"""12026214""",火焰护罩2,被动效果：穿有用冥火制造的斗篷，受到攻击时100%概率使目标燃烧，每回合造成15%攻击的伤害，直至敌方英雄死亡,"""12026314""",无烬燃烧2,被动效果：英雄死亡时创造出不会熄灭的火焰，可使所有敌人燃烧，每回合造成25%攻击伤害，直至敌方英雄死亡,skillico_009,skillico_216,skillico_217,skillico_218,"""12024"",""12025"",""12026""",0,500,105
12035,血衣骨法,艾丹,1203,1,5,,3,2,4,qtsc,12035,12035,,,,12035,"[3,5]",6,12035012,暗影射线,怒气技能：对敌方全体造成77%攻击的伤害并有78%概率使战士目标沉默2回合,"""12035114"",""12035124""",亡灵意志,被动效果：我方英雄死亡时，产生亡灵的意志，提升自己15.7%破防和10.2%攻击,"""12035211"",""12035221"",""12035231""",狂暴之心,被动效果：拥有狂暴之心，破防增加32%，生命增加24%，攻击增加24%,,,,skillico_1203_1,skillico_1203_2,skillico_1203_3,,"""12035"",""12036"",""1203a""",0,500,100
12036,血衣骨法,艾丹,1203,1,6,12036,0,2,5,,12036,12036,1203a,1203a,12035,12036,"[2,4,6]",6,12036012,暗影射线2,怒气技能：对敌方全体造成92%攻击的伤害并有78%概率使战士目标沉默2回合,"""12036114"",""12035124""",亡灵意志2,被动效果：我方英雄死亡时，产生亡灵的意志，提升自己19.5%破防和15%攻击,"""12036211"",""12036221"",""12036231""",狂暴之心2,被动效果：拥有狂暴之心，破防增加32%，生命增加24%，攻击增加24%,"""12036314""",死亡波动2,被动效果：英雄死亡时，血衣骨法发出死亡波动，使全体敌方每回合受到28%攻击燃烧伤害，持续3回合,skillico_1203_1,skillico_1203_2,skillico_1203_3,skillico_1203_4,"""12035"",""12036"",""1203a""",0,500,115
12045,凯尔文,杰赫拉,1204,1,5,,3,2,4,qtkz,12045,12045,,,,12045,"[2,3,5]",12045002,12045012,三色法球,怒气技能：对随机4名敌人造成125%攻击伤害，每回合额外造成75%中毒伤害，持续3回合，同时有12%几率冰冻目标2回合，12%几率石化目标2回合,"""12045104""",不死者秘法,被动效果：普攻变成对前排敌人造成95%攻击伤害，并有100%几率偷取目标10%攻击3回合,"""12045201"",""12045211"",""12045221"",""12045231"",""12045204"",""12045214""",亡灵术士,被动效果：攻击增加10%，暴击增加15%，生命增加15%，速度增加15，对石化和冰冻敌人造成的伤害提高20%,"""12045304"",""12045314""",追击诅咒,被动效果：当有敌方英雄被石化时，提高自身5%攻击3回合并恢复自身150%攻击等量生命，当有敌方英雄被冰冻时，提高自身5%攻击3回合并恢复自身10点怒气,skillico_1204_1,skillico_1204_2,skillico_1204_3,skillico_1204_4,"""12045"",""12046"",""1204a""",1,500,100
12046,凯尔文,杰赫拉,1204,1,6,12046,0,2,5,qtkz,12046,12046,1204a,1204a,12045,12046,"[2,4,6]",12046002,12046012,三色法球2,怒气技能：对随机4名敌人造成165%攻击伤害，每回合额外造成100%中毒伤害，持续3回合，同时有15%几率冰冻目标2回合，15%几率石化目标2回合,"""12046104""",不死者秘法2,被动效果：普攻变成对前排敌人造成105%攻击伤害，并有100%几率偷取目标12%攻击3回合,"""12046201"",""12046211"",""12046221"",""12046231"",""12046204"",""12046214""",亡灵术士2,被动效果：攻击增加15%，暴击增加20%，生命增加20%，速度增加25，对石化和冰冻敌人造成的伤害提高40%,"""12046304"",""12046314""",追击诅咒2,被动效果：当有敌方英雄被石化时，提高自身7%攻击3回合并恢复自身200%攻击等量生命，当有敌方英雄被冰冻时，提高自身7%攻击3回合并恢复自身15点怒气,skillico_1204_1,skillico_1204_2,skillico_1204_3,skillico_1204_4,"""12045"",""12046"",""1204a""",1,500,115
13012,亡灵侍卫,马克娜,1301,1,2,,0,3,1,,13012,13012,,,,13012,[2],5,13012012,邪恶火焰,怒气技能：对所有敌人造成40%伤害,"""13012114""",献祭仪式,被动效果：释放怒气技能时摄取敌人生命之力，使我方所有英雄恢复35%攻击的生命,,,,,,,skillico_005,skillico_221,,,"""13012""",0,500,30
13023,堕落牧师,暗黑牧师,1302,1,3,,0,3,2,,13023,13023,,,,13023,[2],6,13023012,神秘能量,怒气技能：对敌方前排造成120%攻击伤害，并回复我方前排英雄55%攻击的血量,"""13023114""",黑暗震击,被动效果：普攻有15%概率释放出黑暗震击，使目标眩晕，持续1回合,,,,,,,skillico_010,skillico_201,,,"""13023""",0,500,45
13034,凋零法师,格伦,1303,1,4,,0,3,3,,13034,13034,,,,13034,"[2,4]",6,13034012,凋零冲击,怒气技能：对敌方前排造成125%攻击伤害并有32%的概率冰冻2回合，使生命最少的友军恢复100%攻击的等量生命,"""13034111"",""13034121""",不死亡灵,被动效果：使用了自己调制的混合药剂，使生命增加18%，命中增加15%,"""13034214""",神秘解放,被动效果：自身生命低于30%时，解放神秘的力量，提升自己攻击55%，持续3回合（只能触发一次）,,,,skillico_011,skillico_209,skillico_213,,"""13034"",""13035"",""13036""",0,500,70
13035,凋零法师,格伦,1303,1,5,,2,3,4,hpkz,13035,13035,,,,13035,"[3,5]",6,13035012,凋零冲击,怒气技能：对敌方前排造成136%攻击伤害并有36%的概率冰冻2回合，使生命最少的友军恢复140%攻击的等量生命,"""13035111"",""13035121""",不死亡灵,被动效果：使用了自己调制的混合药剂，使生命增加24%，命中增加20%,"""13035214""",神秘解放,被动效果：自身生命低于30%时，解放神秘的力量，提升自己攻击66%，持续3回合（只能触发一次）,,,,skillico_011,skillico_209,skillico_213,,"""13034"",""13035"",""13036""",0,500,90
13036,凋零法师,格伦,1303,1,6,13036,0,3,5,,13036,13036,,,13035,13036,"[2,4,6]",6,13036012,凋零冲击2,怒气技能：对敌方前排造成147%攻击伤害并有40%的概率冰冻2回合，使生命最少的友军恢复180%攻击的等量生命,"""13036111"",""13036121""",不死亡灵2,被动效果：使用了自己调制的混合药剂，使生命增加32%，命中增加30%,"""13036214""",神秘解放2,被动效果：自身生命低于30%时，解放神秘的力量，提升自己攻击88%，持续3回合（只能触发一次）,"""13036314""",恢复2,被动效果：凋零法师领悟到了魔法的真谛，普攻有100%概率使随机1名友军恢复88%自身攻击的等量生命,skillico_011,skillico_209,skillico_213,skillico_223,"""13034"",""13035"",""13036""",0,500,105
13045,亡魂医者,卡尔玛,1304,1,5,,3,3,4,hpkz,13045,13045,,,,13045,"[2,3,5]",2,13045012,石化能量,怒气技能：对敌方后排造成115%攻击伤害并有20%概率使目标石化2回合,"""13045114""",集中之力,被动效果：就算是亡魂，也有不喜欢杀戮的存在，医者将普通攻击变为攻击前排敌人，效果为88%的攻击伤害，并减少目标12%格挡3回合,"""13045211"",""13045221""",命中打击,被动效果：身为医者，能准确的激发自身的潜力，使得自身命中增加25%，攻击增加24%,"""13045314""",伤痛咆哮,完全激发了自身的潜力，自身生命低于50%，提升自己攻击61.1%，持续3回合（只触发一次）,skillico_012,skillico_224,skillico_225,skillico_213,"""13045"",""13046"",""1304a""",0,500,100
13046,亡魂医者,卡尔玛,1304,1,6,13046,0,3,5,,13046,13046,1304a,1304a,13045,13046,"[2,4,6]",2,13046012,石化能量2,怒气技能：对敌方后排造成140%攻击伤害并有35%概率使目标石化2回合,"""13046114""",集中之力2,被动效果：就算是亡魂，也有不喜欢杀戮的存在，医者将普通攻击变为攻击前排敌人，效果为99%的攻击伤害，并减少目标18%格挡3回合,"""13046211"",""13046221""",命中打击2,被动效果：身为医者，能准确的激发自身的潜力，使得自身命中增加35%，攻击增加36%,"""13046314""",伤痛咆哮2,完全激发了自身的潜力，自身生命低于50%，提升自己攻击78.8%，持续3回合（只触发一次）,skillico_012,skillico_224,skillico_225,skillico_213,"""13045"",""13046"",""1304a""",0,500,115
13055,萨基尔,古斯丁,1305,1,5,,4,3,4,qtzy,13055,13055,,,,13055,"[2,3,5]",13055002,13055012,灵魂提灯,怒气技能：对随机2个目标造成100%攻击伤害，并放置一个灵魂提灯（我方英雄受到技能或普攻后，有30%概率清除被攻击者身上的2种负面效果，每回合最多触发2次；回合结束时，恢复我方生命值最低的英雄生命上限10%的生命），持续3回合，有40%概率清除目标身上1个增益效果,"""13055101"",""13055111"",""13055121"",""13055131""",幽火石像鬼,被动效果：生命增加10%，免控率增加10%，速度增加10，受治疗量增加10%,"""13055204""",虚空沼泽,被动效果：回合结束时，50%概率减少随机2名目标10点怒气,"""13055304""",替身诅咒,被动效果：战斗开始时，对1个随机目标释放替身诅咒（当自身受到伤害时，被诅咒的目标也会受到伤害量20%的伤害；当被诅咒的目标死亡后，下回合开始时将重新随机诅咒另一个目标）,skillico_1305_1,skillico_1305_2,skillico_1305_3,skillico_1305_4,"""13055"",""13056"",""1305a""",1,500,105
13056,萨基尔,古斯丁,1305,1,6,13056,0,3,5,qtzy,13056,13056,1305a,1305a,13055,13056,"[2,4,6]",13056002,13056012,灵魂提灯2,怒气技能：对随机2个目标造成150%攻击伤害，并放置一个灵魂提灯（我方英雄受到技能或普攻后，有50%概率清除被攻击者身上的2种负面效果，每回合最多触发3次；回合结束时，恢复我方生命值最低的英雄生命上限15%的生命），持续3回合，有50%概率清除目标身上1个增益效果,"""13056101"",""13056111"",""13056121"",""13056131""",幽火石像鬼2,被动效果：生命增加15%，免控率增加20%，速度增加20，受治疗量增加20%,"""13056204""",虚空沼泽2,被动效果：回合结束时，50%概率减少随机2名目标20点怒气,"""13056304""",替身诅咒2,被动效果：战斗开始时，对1个随机目标释放替身诅咒（当自身受到伤害时，被诅咒的目标也会受到伤害量40%的伤害；当被诅咒的目标死亡后，下回合开始时将重新随机诅咒另一个目标）,skillico_1305_1,skillico_1305_2,skillico_1305_3,skillico_1305_4,"""13055"",""13056"",""1305a""",1,500,120
14013,食尸鬼,毒舌,1401,1,3,,0,4,2,,14013,14013,,,,14013,[2],1,14013012,腐蚀重击,怒气技能：对敌方单体造成160%攻击伤害，并使敌人流血3回合，每回合造成45%攻击伤害,"""14013111""",啃噬,被动效果：生活在阴暗世界的食尸鬼，啃噬生命精华，攻击永久增加25%,,,,,,,skillico_013,skillico_213,,,"""14013""",0,500,45
14024,暗影收割者,敛骨者,1402,1,4,,0,4,3,,14024,14024,,,,14024,"[2,4]",7,14024012,黑暗之袭,怒气技能：对敌方随机1名后排目标造成202%攻击伤害并增加自身12%破防2回合,"""14024111""",穿透,被动效果：手中武器极其锋利，提升收割者40%的破防,"""14024214""",死亡献祭,被动效果：敌方的死亡使得自己变得狂暴，提升自己暴击12%,,,,skillico_014,skillico_205,skillico_212,,"""14024"",""14025"",""14026""",0,500,60
14025,暗影收割者,敛骨者,1402,1,5,,2,4,4,hpzy,14025,14025,,,,14025,"[3,5]",7,14025012,黑暗之袭,怒气技能：对敌方随机2名后排目标造成156%攻击伤害并增加自身24%破防2回合,"""14025111""",穿透,被动效果：手中武器极其锋利，提升收割者64%的破防,"""14025214""",死亡献祭,被动效果：敌方的死亡使得自己变得狂暴，提升自己暴击18%,,,,skillico_014,skillico_205,skillico_212,,"""14024"",""14025"",""14026""",0,500,90
14026,暗影收割者,敛骨者,1402,1,6,14026,0,4,5,,14026,14026,,,14025,14026,"[2,4,6]",7,14026012,黑暗之袭2,怒气技能：对敌方随机2名后排目标造成195%攻击伤害并增加自身24%破防2回合,"""14026111"",""14026121""",穿透2,被动效果：手中武器极其锋利，提升收割者64%的破防，及12%的生命,"""14026214""",死亡献祭2,被动效果：敌方的死亡使得自己变得狂暴，提升自己暴击24%,"""14026314""",越战越勇2,被动效果：对于力量掌握到了极致，每次普攻提升自己22.2%暴击伤害,skillico_014,skillico_205,skillico_212,skillico_226,"""14024"",""14025"",""14026""",0,500,105
14035,死亡刺客,鲁特兹,1403,1,5,,3,4,4,hpsc,14035,14035,,,,14035,"[3,5]",7,14035012,疾影突袭,怒气技能：对敌方随机3名目标造成120%攻击伤害，对法师类目标有75%概率眩晕2回合,"""14035111"",""14035121""",刺客之心,被动效果：拥有刺客之心，抛弃一切恐惧，破防增加32%，攻击增加24%,"""14035214""",集中击杀,被动效果：追杀弱小的猎物，普通攻击变成攻击敌方生命最少的英雄，伤害为101%攻击效果，并减少目标12%防御,,,,skillico_014,skillico_227,skillico_228,,"""14035"",""14036"",""1403a""",0,500,100
14036,死亡刺客,鲁特兹,1403,1,6,14036,0,4,5,,14036,14036,1403a,1403a,14035,14036,"[2,4,6]",7,14036012,疾影突袭2,怒气技能：对敌方随机4名目标造成136%攻击伤害，对法师类目标有75%概率眩晕2回合,"""14036111"",""14036121"",""14036131""",刺客之心2,被动效果：拥有刺客之心，抛弃一切恐惧，破防增加36%，攻击增加24%，生命增加22%,"""14036214""",集中击杀2,被动效果：追杀弱小的猎物，普通攻击变成攻击敌方生命最少的英雄，伤害为111%攻击效果，并减少目标16%防御,"""14036314"",""14036324""",血腥狂舞2,被动效果：行走在死亡的边缘，自身生命低于80%，提升自己破防33%，并持续回复自己303%攻击的等量生命5回合（只触发一次）,skillico_014,skillico_227,skillico_228,skillico_229,"""14035"",""14036"",""1403a""",0,500,115
14045,幽冥狼王,沃尔特,1404,1,5,,3,4,4,hpsc,14045,14045,,,,14045,"[2,3,5]",9,14045012,狼牙天冲,怒气技能：对随机1名后排敌人造成181%攻击伤害，每回合额外造成35%中毒伤害，持续6回合，并有35%概率眩晕目标2回合。,"""14045111"",""14045121"",""14045131"",""14045114""",毒刃锁定,被动效果：天生拥有狼之敏锐，破防增加11%，攻击增加19%，生命增加14%，对中毒目标伤害增加10.5%,"""14045214""",野性咆哮,被动效果：体内携带特殊的病毒，普攻有25%概率眩晕目标2回合并100%概率使目标中毒，每回合持续造成32.5%攻击伤害持续6回合。,"""14045314""",隐秘之毒,被动效果：损失的鲜血，要用敌人的鲜血偿还，当生命低于60%时，使敌方后排随机2名目标中毒，每回合造成80%的攻击伤害，持续4回合。（只触发1次）,skillico_060,skillico_304,skillico_305,skillico_306,"""14045"",""14046"",""1404a""",0,500,100
14046,幽冥狼王,沃尔特,1404,1,6,14046,0,4,5,,14046,14046,1404a,1404a,14045,14046,"[2,4,6]",9,14046012,狼牙天冲2,怒气技能：对随机2名后排敌人造成192%攻击伤害，每回合额外造成45%中毒伤害，持续6回合，并有42.5%概率眩晕目标2回合。,"""14046111"",""14046121"",""14046131"",""14046114""",毒刃锁定2,被动效果：天生拥有狼之敏锐，破防增加16%，攻击增加29%，生命增加18%，对中毒目标伤害增加15.5%,"""14046214""",野性咆哮2,被动效果：体内携带特殊的病毒，普攻有40%概率眩晕目标2回合并100%概率使目标中毒，每回合持续造成42.5%攻击伤害持续6回合。,"""14046314""",隐秘之毒2,被动效果：损失的鲜血，要用敌人的鲜血偿还，当生命低于60%时，使敌方后排随机2名目标中毒，每回合造成130%的攻击伤害，持续4回合。（只触发1次）,skillico_060,skillico_304,skillico_305,skillico_306,"""14045"",""14046"",""1404a""",0,500,115
