饰品ID,饰品名称,饰品品质,饰品星级,饰品图标,战力,分数,升星饰品ID,突破饰品ID,升星经验,分解经验,分解碎片数量,饰品属性,饰品技能,技能描述,专属种族,专属属性,出售,突破需求,突破数量需求,突破属性,回退消耗,回退奖励
2053,精灵之眼,1,3,shipin_205,1200,11030,2054,,180,400,,"""atk"":372","""205314""",+13.2%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":3370}",,0,,,
2054,精灵之眼,1,4,shipin_205,1500,11040,,,180,580,,"""atk"":456","""205414""",+16%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":4175}",,0,,,
2061,奥术之书,1,1,shipin_201,800,11010,2062,,180,40,,"""hp"":1625","""201114""",+9.3%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":1752}",,0,,,
2062,奥术之书,1,2,shipin_201,1000,11020,2063,,180,220,,"""hp"":2002","""201214""",+11.2%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":2543}",,0,,,
2063,奥术之书,1,3,shipin_201,1200,11030,2064,,180,400,,"""hp"":2418","""201314""",+13.2%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":3361}",,0,,,
2064,奥术之书,1,4,shipin_201,1500,11040,,,180,580,,"""hp"":2964","""201414""",+16%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":4107}",,0,,,
2071,魔能之石,1,1,shipin_202,800,11010,2072,,180,40,,"""hp"":1625","""202114""",+9.3%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":1700}",,0,,,
2072,魔能之石,1,2,shipin_202,1000,11020,2073,,180,220,,"""hp"":2002","""202214""",+11.2%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":2506}",,0,,,
2073,魔能之石,1,3,shipin_202,1200,11030,2074,,180,400,,"""hp"":2418","""202314""",+13.2%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":3362}",,0,,,
2074,魔能之石,1,4,shipin_202,1500,11040,,,180,580,,"""hp"":2964","""202414""",+16%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":4143}",,0,,,
2081,邪能雕像,1,1,shipin_203,800,11010,2082,,180,40,,"""hp"":1625","""203114""",+9.3%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":1723}",,0,,,
2082,邪能雕像,1,2,shipin_203,1000,11020,2083,,180,220,,"""hp"":2002","""203214""",+11.2%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":2560}",,0,,,
2083,邪能雕像,1,3,shipin_203,1200,11030,2084,,180,400,,"""hp"":2418","""203314""",+13.2%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":3371}",,0,,,
2084,邪能雕像,1,4,shipin_203,1500,11040,,,180,580,,"""hp"":2964","""203414""",+16%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":4151}",,0,,,
2091,秘法水晶,1,1,shipin_204,800,11010,2092,,180,40,,"""hp"":1625","""204114""",+9.3%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":1732}",,0,,,
2092,秘法水晶,1,2,shipin_204,1000,11020,2093,,180,220,,"""hp"":2002","""204214""",+11.2%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":2550}",,0,,,
2093,秘法水晶,1,3,shipin_204,1200,11030,2094,,180,400,,"""hp"":2418","""204314""",+13.2%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":3305}",,0,,,
2094,秘法水晶,1,4,shipin_204,1500,11040,,,180,580,,"""hp"":2964","""204414""",+16%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":4162}",,0,,,
2101,精灵之眼,1,1,shipin_205,800,11010,2102,,180,40,,"""hp"":1625","""205114""",+9.3%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":1715}",,0,,,
2102,精灵之眼,1,2,shipin_205,1000,11020,2103,,180,220,,"""hp"":2002","""205214""",+11.2%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":2584}",,0,,,
2103,精灵之眼,1,3,shipin_205,1200,11030,2104,,180,400,,"""hp"":2418","""205314""",+13.2%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":3370}",,0,,,
2104,精灵之眼,1,4,shipin_205,1500,11040,,,180,580,,"""hp"":2964","""205414""",+16%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":4175}",,0,,,
3011,奥术之泉水,2,1,shipin_301,1200,12010,3012,,560,150,,"""atk"":380","""301114""",+13.5%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":31457}",,0,,,
3012,奥术之泉水,2,2,shipin_301,1400,12020,3013,,560,710,,"""atk"":430","""301214""",+15.7%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":41608}",,0,,,
3013,奥术之泉水,2,3,shipin_301,1600,12030,3014,,560,1270,,"""atk"":486","""301314""",+17.8%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":51012}",,0,,,
3014,奥术之泉水,2,4,shipin_301,1800,12040,3015,,560,1830,,"""atk"":548","""301414""",+19.6%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":61160}",,0,,,
3015,奥术之泉水,2,5,shipin_301,2000,12050,,,560,2390,,"""atk"":606","""301514""",+21.6%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":71775}",,0,,,
3021,亡灵精华,2,1,shipin_302,1200,12010,3022,,560,150,,"""atk"":380","""302114""",+13.5%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":31489}",,0,,,
3022,亡灵精华,2,2,shipin_302,1400,12020,3023,,560,710,,"""atk"":430","""302214""",+15.7%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":41407}",,0,,,
3023,亡灵精华,2,3,shipin_302,1600,12030,3024,,560,1270,,"""atk"":486","""302314""",+17.8%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":51465}",,0,,,
3024,亡灵精华,2,4,shipin_302,1800,12040,3025,,560,1830,,"""atk"":548","""302414""",+19.6%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":61522}",,0,,,
3025,亡灵精华,2,5,shipin_302,2000,12050,,,560,2390,,"""atk"":606","""302514""",+21.6%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":71798}",,0,,,
3031,自然圣盾,2,1,shipin_303,1200,12010,3032,,560,150,,"""atk"":380","""303114""",+13.5%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":31621}",,0,,,
3032,自然圣盾,2,2,shipin_303,1400,12020,3033,,560,710,,"""atk"":430","""303214""",+15.7%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":41897}",,0,,,
3033,自然圣盾,2,3,shipin_303,1600,12030,3034,,560,1270,,"""atk"":486","""303314""",+17.8%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":51252}",,0,,,
3034,自然圣盾,2,4,shipin_303,1800,12040,3035,,560,1830,,"""atk"":548","""303414""",+19.6%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":61077}",,0,,,
3035,自然圣盾,2,5,shipin_303,2000,12050,,,560,2390,,"""atk"":606","""303514""",+21.6%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":71865}",,0,,,
3041,亡灵魔法书,2,1,shipin_304,1200,12010,3042,,560,150,,"""atk"":380","""304114""",+13.5%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":31009}",,0,,,
3042,亡灵魔法书,2,2,shipin_304,1400,12020,3043,,560,710,,"""atk"":430","""304214""",+15.7%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":41452}",,0,,,
3043,亡灵魔法书,2,3,shipin_304,1600,12030,3044,,560,1270,,"""atk"":486","""304314""",+17.8%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":51183}",,0,,,
3044,亡灵魔法书,2,4,shipin_304,1800,12040,3045,,560,1830,,"""atk"":548","""304414""",+19.6%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":61863}",,0,,,
3045,亡灵魔法书,2,5,shipin_304,2000,12050,,,560,2390,,"""atk"":606","""304514""",+21.6%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":71558}",,0,,,
3051,恶魔之种,2,1,shipin_305,1200,12010,3052,,560,150,,"""atk"":380","""305114""",+13.5%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":31793}",,0,,,
3052,恶魔之种,2,2,shipin_305,1400,12020,3053,,560,710,,"""atk"":430","""305214""",+15.7%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":41735}",,0,,,
3053,恶魔之种,2,3,shipin_305,1600,12030,3054,,560,1270,,"""atk"":486","""305314""",+17.8%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":51729}",,0,,,
3054,恶魔之种,2,4,shipin_305,1800,12040,3055,,560,1830,,"""atk"":548","""305414""",+19.6%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":61660}",,0,,,
3055,恶魔之种,2,5,shipin_305,2000,12050,,,560,2390,,"""atk"":606","""305514""",+21.6%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":71821}",,0,,,
3061,奥术之泉水,2,1,shipin_301,1200,12010,3062,,560,150,,"""hp"":2470","""301114""",+13.5%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":31457}",,0,,,
3062,奥术之泉水,2,2,shipin_301,1400,12020,3063,,560,710,,"""hp"":2795","""301214""",+15.7%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":41608}",,0,,,
3063,奥术之泉水,2,3,shipin_301,1600,12030,3064,,560,1270,,"""hp"":3159","""301314""",+17.8%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":51012}",,0,,,
3064,奥术之泉水,2,4,shipin_301,1800,12040,3065,,560,1830,,"""hp"":3562","""301414""",+19.6%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":61160}",,0,,,
3065,奥术之泉水,2,5,shipin_301,2000,12050,,,560,2390,,"""hp"":3939","""301514""",+21.6%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":71775}",,0,,,
3071,亡灵精华,2,1,shipin_302,1200,12010,3072,,560,150,,"""hp"":2470","""302114""",+13.5%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":31489}",,0,,,
3072,亡灵精华,2,2,shipin_302,1400,12020,3073,,560,710,,"""hp"":2795","""302214""",+15.7%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":41407}",,0,,,
3073,亡灵精华,2,3,shipin_302,1600,12030,3074,,560,1270,,"""hp"":3159","""302314""",+17.8%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":51465}",,0,,,
3074,亡灵精华,2,4,shipin_302,1800,12040,3075,,560,1830,,"""hp"":3562","""302414""",+19.6%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":61522}",,0,,,
3075,亡灵精华,2,5,shipin_302,2000,12050,,,560,2390,,"""hp"":3939","""302514""",+21.6%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":71798}",,0,,,
3081,自然圣盾,2,1,shipin_303,1200,12010,3082,,560,150,,"""hp"":2470","""303114""",+13.5%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":31621}",,0,,,
3082,自然圣盾,2,2,shipin_303,1400,12020,3083,,560,710,,"""hp"":2795","""303214""",+15.7%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":41897}",,0,,,
3083,自然圣盾,2,3,shipin_303,1600,12030,3084,,560,1270,,"""hp"":3159","""303314""",+17.8%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":51252}",,0,,,
3084,自然圣盾,2,4,shipin_303,1800,12040,3085,,560,1830,,"""hp"":3562","""303414""",+19.6%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":61077}",,0,,,
3085,自然圣盾,2,5,shipin_303,2000,12050,,,560,2390,,"""hp"":3939","""303514""",+21.6%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":71865}",,0,,,
3091,亡灵魔法书,2,1,shipin_304,1200,12010,3092,,560,150,,"""hp"":2470","""304114""",+13.5%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":31009}",,0,,,
3092,亡灵魔法书,2,2,shipin_304,1400,12020,3093,,560,710,,"""hp"":2795","""304214""",+15.7%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":41452}",,0,,,
3093,亡灵魔法书,2,3,shipin_304,1600,12030,3094,,560,1270,,"""hp"":3159","""304314""",+17.8%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":51183}",,0,,,
3094,亡灵魔法书,2,4,shipin_304,1800,12040,3095,,560,1830,,"""hp"":3562","""304414""",+19.6%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":61863}",,0,,,
3095,亡灵魔法书,2,5,shipin_304,2000,12050,,,560,2390,,"""hp"":3939","""304514""",+21.6%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":71558}",,0,,,
3101,恶魔之种,2,1,shipin_305,1200,12010,3102,,560,150,,"""hp"":2470","""305114""",+13.5%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":31793}",,0,,,
3102,恶魔之种,2,2,shipin_305,1400,12020,3103,,560,710,,"""hp"":2795","""305214""",+15.7%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":41735}",,0,,,
3103,恶魔之种,2,3,shipin_305,1600,12030,3104,,560,1270,,"""hp"":3159","""305314""",+17.8%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":51729}",,0,,,
3104,恶魔之种,2,4,shipin_305,1800,12040,3105,,560,1830,,"""hp"":3562","""305414""",+19.6%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":61660}",,0,,,
3105,恶魔之种,2,5,shipin_305,2000,12050,,,560,2390,,"""hp"":3939","""305514""",+21.6%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":71821}",,0,,,
4011,魔能星饰,3,1,shipin_401,1700,13010,4012,,1420,650,,"""atk"":525","""401114""",+19.1%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":124773}",,0,,,
4012,魔能星饰,3,2,shipin_401,1900,13020,4013,,1420,2070,,"""atk"":582","""401214""",+21.2%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":182655}",,0,,,
4013,魔能星饰,3,3,shipin_401,2200,13030,4014,,1420,3490,,"""atk"":635","""401314""",+24.4%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":242056}",,0,,,
4014,魔能星饰,3,4,shipin_401,2500,13040,4015,,1420,4910,,"""atk"":713","""401414""",+27.3%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":302523}",,0,,,
