层数,关卡,地图,boss战斗,boss奖励,小怪战斗,小怪奖励,名字,解密id,解密名字,随机事件,类型,手动挑战,扫荡获得
11,json/syzc/syzcmap11.json,symap11,71011,"[{""a"": ""item"", ""t"": ""2093"", ""n"":170},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":85000}]","[""72011"",""72011"",""72011"",""72011""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":28},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 2800}]",第11层,3,噬魂共振,"{""4"": 15,""7"": 0,""16"": 0,""17"": 0,""18"": 0,""19"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1767}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1590}]"
12,json/syzc/syzcmap12.json,symap12,71012,"[{""a"": ""item"", ""t"": ""2093"", ""n"":171},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":85500}]","[""72012"",""72012"",""72012"",""72012""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":28},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 2800}]",第12层,4,追踪领主,"{""4"": 15,""7"": 0,""21"": 0,""22"": 0,""23"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1768}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1591}]"
13,json/syzc/syzcmap1.json,symap1,71013,"[{""a"": ""item"", ""t"": ""2093"", ""n"":172},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":86000}]","[""72013"",""72013"",""72013"",""72013""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":28},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 2800}]",第13层,1,截断情报,"{""4"": 15,""7"": 0,""12"": 0,""13"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1769}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1592}]"
14,json/syzc/syzcmap2.json,symap2,71014,"[{""a"": ""item"", ""t"": ""2093"", ""n"":173},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":86500}]","[""72014"",""72014"",""72014"",""72014""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":28},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 2800}]",第14层,2,运送物资,"{""4"": 15,""7"": 0,""14"": 0,""15"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1770}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1593}]"
15,json/syzc/syzcmap3.json,symap3,71015,"[{""a"": ""item"", ""t"": ""2093"", ""n"":174},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":87000}]","[""72015"",""72015"",""72015"",""72015""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":28},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 2800}]",第15层,3,噬魂共振,{"4": 15},1,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1771}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1593}]"
16,json/syzc/syzcmap4.json,symap4,71016,"[{""a"": ""item"", ""t"": ""2093"", ""n"":175},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":87500}]","[""72016"",""72016"",""72016"",""72016""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":29},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 2900}]",第16层,4,追踪领主,"{""4"": 15,""7"": 0,""21"": 0,""22"": 0,""23"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1776}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1598}]"
17,json/syzc/syzcmap5.json,symap5,71017,"[{""a"": ""item"", ""t"": ""2093"", ""n"":176},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":88000}]","[""72017"",""72017"",""72017"",""72017""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":29},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 2900}]",第17层,1,截断情报,"{""4"": 15,""7"": 0,""12"": 0,""13"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1777}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1599}]"
18,json/syzc/syzcmap6.json,symap6,71018,"[{""a"": ""item"", ""t"": ""2093"", ""n"":177},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":88500}]","[""72018"",""72018"",""72018"",""72018""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":29},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 2900}]",第18层,2,运送物资,"{""4"": 15,""7"": 0,""14"": 0,""15"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1778}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1600}]"
19,json/syzc/syzcmap7.json,symap7,71019,"[{""a"": ""item"", ""t"": ""2093"", ""n"":178},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":89000}]","[""72019"",""72019"",""72019"",""72019""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":29},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 2900}]",第19层,3,噬魂共振,"{""4"": 15,""7"": 0,""16"": 0,""17"": 0,""18"": 0,""19"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1779}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1601}]"
20,json/syzc/syzcmap8.json,symap8,71020,"[{""a"": ""item"", ""t"": ""2093"", ""n"":179},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":89500}]","[""72020"",""72020"",""72020"",""72020""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":29},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 2900}]",第20层,4,追踪领主,{"4": 15},1,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1780}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1602}]"
21,json/syzc/syzcmap9.json,symap9,71021,"[{""a"": ""item"", ""t"": ""2093"", ""n"":180},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":90000}]","[""72021"",""72021"",""72021"",""72021""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":30},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3000}]",第21层,1,截断情报,"{""4"": 15,""7"": 0,""12"": 0,""13"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1785}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1606}]"
22,json/syzc/syzcmap10.json,symap10,71022,"[{""a"": ""item"", ""t"": ""2093"", ""n"":181},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":90500}]","[""72022"",""72022"",""72022"",""72022""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":30},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3000}]",第22层,2,运送物资,"{""4"": 15,""7"": 0,""14"": 0,""15"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1786}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1607}]"
23,json/syzc/syzcmap11.json,symap11,71023,"[{""a"": ""item"", ""t"": ""2093"", ""n"":182},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":91000}]","[""72023"",""72023"",""72023"",""72023""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":30},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3000}]",第23层,3,噬魂共振,"{""4"": 15,""7"": 0,""16"": 0,""17"": 0,""18"": 0,""19"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1787}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1608}]"
24,json/syzc/syzcmap12.json,symap12,71024,"[{""a"": ""item"", ""t"": ""2093"", ""n"":183},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":91500}]","[""72024"",""72024"",""72024"",""72024""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":30},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3000}]",第24层,4,追踪领主,"{""4"": 15,""7"": 0,""21"": 0,""22"": 0,""23"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1788}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1609}]"
25,json/syzc/syzcmap1.json,symap1,71025,"[{""a"": ""item"", ""t"": ""2093"", ""n"":184},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":92000}]","[""72025"",""72025"",""72025"",""72025""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":30},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3000}]",第25层,1,截断情报,{"4": 15},1,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1789}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1610}]"
26,json/syzc/syzcmap2.json,symap2,71026,"[{""a"": ""item"", ""t"": ""2093"", ""n"":185},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":92500}]","[""72026"",""72026"",""72026"",""72026""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":31},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3100}]",第26层,2,运送物资,"{""4"": 15,""7"": 0,""14"": 0,""15"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1794}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1614}]"
27,json/syzc/syzcmap3.json,symap3,71027,"[{""a"": ""item"", ""t"": ""2093"", ""n"":186},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":93000}]","[""72027"",""72027"",""72027"",""72027""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":31},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3100}]",第27层,3,噬魂共振,"{""4"": 15,""7"": 0,""16"": 0,""17"": 0,""18"": 0,""19"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1795}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1615}]"
28,json/syzc/syzcmap4.json,symap4,71028,"[{""a"": ""item"", ""t"": ""2093"", ""n"":187},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":93500}]","[""72028"",""72028"",""72028"",""72028""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":31},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3100}]",第28层,4,追踪领主,"{""4"": 15,""7"": 0,""21"": 0,""22"": 0,""23"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1796}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1616}]"
29,json/syzc/syzcmap5.json,symap5,71029,"[{""a"": ""item"", ""t"": ""2093"", ""n"":188},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":94000}]","[""72029"",""72029"",""72029"",""72029""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":31},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3100}]",第29层,1,截断情报,"{""4"": 15,""7"": 0,""12"": 0,""13"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1797}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1617}]"
30,json/syzc/syzcmap6.json,symap6,71030,"[{""a"": ""item"", ""t"": ""2093"", ""n"":189},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":94500}]","[""72030"",""72030"",""72030"",""72030""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":31},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3100}]",第30层,2,运送物资,{"4": 15},1,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1798}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1618}]"
31,json/syzc/syzcmap7.json,symap7,71031,"[{""a"": ""item"", ""t"": ""2093"", ""n"":190},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":95000}]","[""72031"",""72031"",""72031"",""72031""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":32},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3200}]",第31层,3,噬魂共振,"{""4"": 15,""7"": 0,""16"": 0,""17"": 0,""18"": 0,""19"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1803}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1622}]"
32,json/syzc/syzcmap8.json,symap8,71032,"[{""a"": ""item"", ""t"": ""2093"", ""n"":191},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":95500}]","[""72032"",""72032"",""72032"",""72032""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":32},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3200}]",第32层,4,追踪领主,"{""4"": 15,""7"": 0,""21"": 0,""22"": 0,""23"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1804}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1623}]"
33,json/syzc/syzcmap9.json,symap9,71033,"[{""a"": ""item"", ""t"": ""2093"", ""n"":192},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":96000}]","[""72033"",""72033"",""72033"",""72033""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":32},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3200}]",第33层,1,截断情报,"{""4"": 15,""7"": 0,""12"": 0,""13"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1805}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1624}]"
34,json/syzc/syzcmap10.json,symap10,71034,"[{""a"": ""item"", ""t"": ""2093"", ""n"":193},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":96500}]","[""72034"",""72034"",""72034"",""72034""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":32},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3200}]",第34层,2,运送物资,"{""4"": 15,""7"": 0,""14"": 0,""15"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1806}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1625}]"
35,json/syzc/syzcmap11.json,symap11,71035,"[{""a"": ""item"", ""t"": ""2093"", ""n"":194},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":97000}]","[""72035"",""72035"",""72035"",""72035""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":32},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3200}]",第35层,3,噬魂共振,{"4": 15},1,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1807}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1626}]"
36,json/syzc/syzcmap12.json,symap12,71036,"[{""a"": ""item"", ""t"": ""2093"", ""n"":195},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":97500}]","[""72036"",""72036"",""72036"",""72036""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":33},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3300}]",第36层,4,追踪领主,"{""4"": 15,""7"": 0,""21"": 0,""22"": 0,""23"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1812}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1630}]"
37,json/syzc/syzcmap1.json,symap1,71037,"[{""a"": ""item"", ""t"": ""2093"", ""n"":196},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":98000}]","[""72037"",""72037"",""72037"",""72037""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":33},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3300}]",第37层,1,截断情报,"{""4"": 15,""7"": 0,""12"": 0,""13"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1813}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1631}]"
38,json/syzc/syzcmap2.json,symap2,71038,"[{""a"": ""item"", ""t"": ""2093"", ""n"":197},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":98500}]","[""72038"",""72038"",""72038"",""72038""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":33},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3300}]",第38层,2,运送物资,"{""4"": 15,""7"": 0,""14"": 0,""15"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1814}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1632}]"
39,json/syzc/syzcmap3.json,symap3,71039,"[{""a"": ""item"", ""t"": ""2093"", ""n"":198},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":99000}]","[""72039"",""72039"",""72039"",""72039""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":33},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3300}]",第39层,3,噬魂共振,"{""4"": 15,""7"": 0,""16"": 0,""17"": 0,""18"": 0,""19"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1815}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1633}]"
40,json/syzc/syzcmap4.json,symap4,71040,"[{""a"": ""item"", ""t"": ""2093"", ""n"":199},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":99500}]","[""72040"",""72040"",""72040"",""72040""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":33},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3300}]",第40层,4,追踪领主,{"4": 15},1,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1816}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1634}]"
41,json/syzc/syzcmap5.json,symap5,71041,"[{""a"": ""item"", ""t"": ""2093"", ""n"":200},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":100000}]","[""72041"",""72041"",""72041"",""72041""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":34},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3400}]",第41层,1,截断情报,"{""4"": 15,""7"": 0,""12"": 0,""13"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1821}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1638}]"
42,json/syzc/syzcmap6.json,symap6,71042,"[{""a"": ""item"", ""t"": ""2093"", ""n"":201},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":100500}]","[""72042"",""72042"",""72042"",""72042""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":34},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3400}]",第42层,2,运送物资,"{""4"": 15,""7"": 0,""14"": 0,""15"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1822}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1639}]"
43,json/syzc/syzcmap7.json,symap7,71043,"[{""a"": ""item"", ""t"": ""2093"", ""n"":202},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":101000}]","[""72043"",""72043"",""72043"",""72043""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":34},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3400}]",第43层,3,噬魂共振,"{""4"": 15,""7"": 0,""16"": 0,""17"": 0,""18"": 0,""19"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1823}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1640}]"
44,json/syzc/syzcmap8.json,symap8,71044,"[{""a"": ""item"", ""t"": ""2093"", ""n"":203},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":101500}]","[""72044"",""72044"",""72044"",""72044""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":34},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3400}]",第44层,4,追踪领主,"{""4"": 15,""7"": 0,""21"": 0,""22"": 0,""23"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1824}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1641}]"
45,json/syzc/syzcmap9.json,symap9,71045,"[{""a"": ""item"", ""t"": ""2093"", ""n"":204},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":102000}]","[""72045"",""72045"",""72045"",""72045""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":34},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3400}]",第45层,1,截断情报,{"4": 15},1,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1825}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1642}]"
46,json/syzc/syzcmap10.json,symap10,71046,"[{""a"": ""item"", ""t"": ""2093"", ""n"":205},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":102500}]","[""72046"",""72046"",""72046"",""72046""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":35},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3500}]",第46层,2,运送物资,"{""4"": 15,""7"": 0,""14"": 0,""15"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1830}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1647}]"
47,json/syzc/syzcmap11.json,symap11,71047,"[{""a"": ""item"", ""t"": ""2093"", ""n"":206},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":103000}]","[""72047"",""72047"",""72047"",""72047""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":35},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3500}]",第47层,3,噬魂共振,"{""4"": 15,""7"": 0,""16"": 0,""17"": 0,""18"": 0,""19"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1831}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1647}]"
