Îä»êid,Îä»êµÈ¼¶,ÑÕÉ«,ÖÖ×å,Îä»êÃû³Æ,Îä»êÍ¼±ê,×¨ÊôÓ¢ÐÛ,Îä»êÊôÐÔ,¶îÍâÊôÐÔ1,ÉËº¦Ôö¼Ó,¶îÍâÊôÐÔ,¶îÍâ¼¼ÄÜ,ÏÔÊ¾ÊôÐÔ,¼¼ÄÜÃèÊö
11076,26,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":70200,""atk"":1950","""atk"":300,""hp"":5000,""undpspro"":50",",""dpspro"":50","""atk"":300,""hp"":5000,""undpspro"":50,""dpspro"":50","""1107601004""",,
11076,27,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":73800,""atk"":2050","""atk"":300,""hp"":5000,""undpspro"":50",",""dpspro"":50","""atk"":300,""hp"":5000,""undpspro"":50,""dpspro"":50","""1107601004""",,
11076,28,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":77400,""atk"":2150","""atk"":300,""hp"":5000,""undpspro"":50",",""dpspro"":50","""atk"":300,""hp"":5000,""undpspro"":50,""dpspro"":50","""1107601004""",,
11076,29,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":81000,""atk"":2250","""atk"":300,""hp"":5000,""undpspro"":50",",""dpspro"":50","""atk"":300,""hp"":5000,""undpspro"":50,""dpspro"":50","""1107601004""",,
11076,30,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":84600,""atk"":2350","""atk"":300,""hp"":5000,""undpspro"":100",",""dpspro"":50","""atk"":300,""hp"":5000,""undpspro"":100,""dpspro"":50","""1107601004""","""undpspro"":50",
11076,31,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":89100,""atk"":2475","""atk"":300,""hp"":5000,""undpspro"":100",",""dpspro"":50","""atk"":300,""hp"":5000,""undpspro"":100,""dpspro"":50","""1107601004""",,
11076,32,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":93600,""atk"":2600","""atk"":300,""hp"":5000,""undpspro"":100",",""dpspro"":50","""atk"":300,""hp"":5000,""undpspro"":100,""dpspro"":50","""1107601004""",,
11076,33,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":98100,""atk"":2725","""atk"":300,""hp"":5000,""undpspro"":100",",""dpspro"":50","""atk"":300,""hp"":5000,""undpspro"":100,""dpspro"":50","""1107601004""",,
11076,34,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":102600,""atk"":2850","""atk"":300,""hp"":5000,""undpspro"":100",",""dpspro"":50","""atk"":300,""hp"":5000,""undpspro"":100,""dpspro"":50","""1107601004""",,
11076,35,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":107100,""atk"":2975","""atk"":300,""hp"":5000,""undpspro"":100",",""dpspro"":100","""atk"":300,""hp"":5000,""undpspro"":100,""dpspro"":100","""1107601004""","""dpspro"":50",
11076,36,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":111600,""atk"":3100","""atk"":300,""hp"":5000,""undpspro"":100",",""dpspro"":100","""atk"":300,""hp"":5000,""undpspro"":100,""dpspro"":100","""1107601004""",,
11076,37,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":116100,""atk"":3225","""atk"":300,""hp"":5000,""undpspro"":100",",""dpspro"":100","""atk"":300,""hp"":5000,""undpspro"":100,""dpspro"":100","""1107601004""",,
11076,38,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":120600,""atk"":3350","""atk"":300,""hp"":5000,""undpspro"":100",",""dpspro"":100","""atk"":300,""hp"":5000,""undpspro"":100,""dpspro"":100","""1107601004""",,
11076,39,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":125100,""atk"":3475","""atk"":300,""hp"":5000,""undpspro"":100",",""dpspro"":100","""atk"":300,""hp"":5000,""undpspro"":100,""dpspro"":100","""1107601004""",,
11076,40,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":129600,""atk"":3600","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50",",""dpspro"":100","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50,""dpspro"":100","""1107601004""","""pvpdpspro"":50",
11076,41,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":135000,""atk"":3750","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50",",""dpspro"":100","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50,""dpspro"":100","""1107601004""",,
11076,42,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":140400,""atk"":3900","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50",",""dpspro"":100","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50,""dpspro"":100","""1107601004""",,
11076,43,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":145800,""atk"":4050","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50",",""dpspro"":100","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50,""dpspro"":100","""1107601004""",,
11076,44,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":151200,""atk"":4200","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50",",""dpspro"":100","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50,""dpspro"":100","""1107601004""",,
11076,45,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":156600,""atk"":4350","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50,""pvpundpspro"":50",",""dpspro"":100","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50,""pvpundpspro"":50,""dpspro"":100","""1107601004""","""pvpundpspro"":50",
11076,46,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":162000,""atk"":4500","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50,""pvpundpspro"":50",",""dpspro"":100","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50,""pvpundpspro"":50,""dpspro"":100","""1107601004""",,
11076,47,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":167400,""atk"":4650","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50,""pvpundpspro"":50",",""dpspro"":100","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50,""pvpundpspro"":50,""dpspro"":100","""1107601004""",,
11076,48,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":172800,""atk"":4800","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50,""pvpundpspro"":50",",""dpspro"":100","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50,""pvpundpspro"":50,""dpspro"":100","""1107601004""",,
11076,49,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":178200,""atk"":4950","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50,""pvpundpspro"":50",",""dpspro"":100","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50,""pvpundpspro"":50,""dpspro"":100","""1107601004""",,
11076,50,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":183600,""atk"":5100","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50,""pvpundpspro"":50",",""dpspro"":100","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50,""pvpundpspro"":50,""dpspro"":100","""1107602004""",,Ã¿´ÎÊÜµ½Ö±½Ó¹¥»÷£¬Å­Æø¶îÍâÌáÉý5µã
11076,51,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":189000,""atk"":5250","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50,""pvpundpspro"":50",",""dpspro"":100","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50,""pvpundpspro"":50,""dpspro"":100","""1107602004""",,
11076,52,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":194400,""atk"":5400","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50,""pvpundpspro"":50",",""dpspro"":100","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50,""pvpundpspro"":50,""dpspro"":100","""1107602004""",,
11076,53,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":199800,""atk"":5550","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50,""pvpundpspro"":50",",""dpspro"":100","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50,""pvpundpspro"":50,""dpspro"":100","""1107602004""",,
11076,54,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":205200,""atk"":5700","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50,""pvpundpspro"":50",",""dpspro"":100","""atk"":300,""hp"":5000,""undpspro"":100,""pvpdpspro"":50,""pvpundpspro"":50,""dpspro"":100","""1107602004""",,
11076,55,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":210600,""atk"":5850","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":50,""pvpundpspro"":50",",""dpspro"":100","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":50,""pvpundpspro"":50,""dpspro"":100","""1107602004""","""undpspro"":50",
11076,56,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":216000,""atk"":6000","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":50,""pvpundpspro"":50",",""dpspro"":100","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":50,""pvpundpspro"":50,""dpspro"":100","""1107602004""",,
11076,57,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":221400,""atk"":6150","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":50,""pvpundpspro"":50",",""dpspro"":100","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":50,""pvpundpspro"":50,""dpspro"":100","""1107602004""",,
11076,58,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":226800,""atk"":6300","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":50,""pvpundpspro"":50",",""dpspro"":100","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":50,""pvpundpspro"":50,""dpspro"":100","""1107602004""",,
11076,59,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":232200,""atk"":6450","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":50,""pvpundpspro"":50",",""dpspro"":100","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":50,""pvpundpspro"":50,""dpspro"":100","""1107602004""",,
11076,60,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":237600,""atk"":6600","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":50,""pvpundpspro"":50",",""dpspro"":150","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":50,""pvpundpspro"":50,""dpspro"":150","""1107602004""","""dpspro"":50",
11076,61,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":243000,""atk"":6750","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":50,""pvpundpspro"":50",",""dpspro"":150","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":50,""pvpundpspro"":50,""dpspro"":150","""1107602004""",,
11076,62,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":248400,""atk"":6900","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":50,""pvpundpspro"":50",",""dpspro"":150","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":50,""pvpundpspro"":50,""dpspro"":150","""1107602004""",,
11076,63,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":253800,""atk"":7050","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":50,""pvpundpspro"":50",",""dpspro"":150","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":50,""pvpundpspro"":50,""dpspro"":150","""1107602004""",,
11076,64,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":259200,""atk"":7200","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":50,""pvpundpspro"":50",",""dpspro"":150","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":50,""pvpundpspro"":50,""dpspro"":150","""1107602004""",,
11076,65,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":264600,""atk"":7350","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":50",",""dpspro"":150","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":50,""dpspro"":150","""1107602004""","""pvpdpspro"":50",
11076,66,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":270000,""atk"":7500","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":50",",""dpspro"":150","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":50,""dpspro"":150","""1107602004""",,
11076,67,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":275400,""atk"":7650","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":50",",""dpspro"":150","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":50,""dpspro"":150","""1107602004""",,
11076,68,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":280800,""atk"":7800","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":50",",""dpspro"":150","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":50,""dpspro"":150","""1107602004""",,
11076,69,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":286200,""atk"":7950","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":50",",""dpspro"":150","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":50,""dpspro"":150","""1107602004""",,
11076,70,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":291600,""atk"":8100","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":100",",""dpspro"":150","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":100,""dpspro"":150","""1107602004""","""pvpundpspro"":50",
11076,71,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":297000,""atk"":8250","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":100",",""dpspro"":150","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":100,""dpspro"":150","""1107602004""",,
11076,72,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":302400,""atk"":8400","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":100",",""dpspro"":150","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":100,""dpspro"":150","""1107602004""",,
11076,73,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":307800,""atk"":8550","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":100",",""dpspro"":150","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":100,""dpspro"":150","""1107602004""",,
11076,74,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":313200,""atk"":8700","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":100",",""dpspro"":150","""atk"":300,""hp"":5000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":100,""dpspro"":150","""1107602004""",,
11076,75,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":318600,""atk"":8850","""atk"":600,""hp"":10000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10",",""dpspro"":150","""atk"":600,""hp"":10000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10,""dpspro"":150","""1107602004""","""speed"":10,""atk"":300,""hp"":5000",
11076,76,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":324000,""atk"":9000","""atk"":600,""hp"":10000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10",",""dpspro"":150","""atk"":600,""hp"":10000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10,""dpspro"":150","""1107602004""",,
11076,77,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":329400,""atk"":9150","""atk"":600,""hp"":10000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10",",""dpspro"":150","""atk"":600,""hp"":10000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10,""dpspro"":150","""1107602004""",,
11076,78,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":334800,""atk"":9300","""atk"":600,""hp"":10000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10",",""dpspro"":150","""atk"":600,""hp"":10000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10,""dpspro"":150","""1107602004""",,
11076,79,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":340200,""atk"":9450","""atk"":600,""hp"":10000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10",",""dpspro"":150","""atk"":600,""hp"":10000,""undpspro"":150,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10,""dpspro"":150","""1107602004""",,
11076,80,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":345600,""atk"":9600","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10",",""dpspro"":150","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10,""dpspro"":150","""1107602004""","""undpspro"":50",
11076,81,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":351000,""atk"":9750","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10",",""dpspro"":150","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10,""dpspro"":150","""1107602004""",,
11076,82,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":356400,""atk"":9900","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10",",""dpspro"":150","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10,""dpspro"":150","""1107602004""",,
11076,83,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":361800,""atk"":10050","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10",",""dpspro"":150","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10,""dpspro"":150","""1107602004""",,
11076,84,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":367200,""atk"":10200","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10",",""dpspro"":150","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10,""dpspro"":150","""1107602004""",,
11076,85,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":372600,""atk"":10350","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10",",""dpspro"":200","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10,""dpspro"":200","""1107602004""","""dpspro"":50",
11076,86,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":378000,""atk"":10500","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10",",""dpspro"":200","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10,""dpspro"":200","""1107602004""",,
11076,87,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":383400,""atk"":10650","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10",",""dpspro"":200","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10,""dpspro"":200","""1107602004""",,
11076,88,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":388800,""atk"":10800","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10",",""dpspro"":200","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10,""dpspro"":200","""1107602004""",,
11076,89,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":394200,""atk"":10950","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10",",""dpspro"":200","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":100,""pvpundpspro"":100,""speed"":10,""dpspro"":200","""1107602004""",,
11076,90,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":399600,""atk"":11100","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":150,""pvpundpspro"":100,""speed"":10",",""dpspro"":200","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":150,""pvpundpspro"":100,""speed"":10,""dpspro"":200","""1107602004""","""pvpdpspro"":50",
11076,91,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":405000,""atk"":11250","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":150,""pvpundpspro"":100,""speed"":10",",""dpspro"":200","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":150,""pvpundpspro"":100,""speed"":10,""dpspro"":200","""1107602004""",,
11076,92,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":410400,""atk"":11400","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":150,""pvpundpspro"":100,""speed"":10",",""dpspro"":200","""atk"":600,""hp"":10000,""undpspro"":200,""pvpdpspro"":150,""pvpundpspro"":100,""speed"":10,""dpspro"":200","""1107602004""",,
