地图id,技能id,技能名称,技能图标,技能类型,需要经验,前置技能,技能排序,描述,经过遗迹,补给数量,指定奖励,掉落组奖励,加成百分比,
3,3007,能量小晶体,kaogu_skill_nengyuan1,3,2761,3006,5,有一种神秘力量，使考古队在{1}可以发现能量小晶体，获得{2}泰坦能源,100301,182,,,0,
3,3008,慧眼识珠,kaogu_skill_daoju2,2,3865,3003,9,你有一双发现宝物的慧眼，但不是每次都会有宝物出现，在经过{1}时，有{2}几率获得{3}个{4},100302,0,"{""a"":""item"",""t"":""2004"",""n"":780}",,200,
3,3009,能量大晶体,kaogu_skill_nengyuan2,3,4970,3008,10,有一种神秘力量，使考古队在{1}可以发现能量大晶体，获得{2}泰坦能源,100302,338,,,0,
3,3010,补给行囊,kaogu_skill_buji4,1,6626,3003,11,补给行囊增加了物品携带的上限，初始携带的补给增加{1}个单位,,120,,,0,
3,3011,精准挖掘,kaogu_skill_daoju3,2,6626,3004,8,考古队得到消息在{1}埋藏着神秘宝物，虽然你挖了但你不一定挖得到，有{2}几率获得{3}个{4},100303,0,"{""a"":""item"",""t"":""2022"",""n"":78}",,200,
3,3012,能量晶体,kaogu_skill_nengyuan3,3,8835,3010,12,有一种神秘力量，使考古队在{1}可以发现能量晶体，获得{2}泰坦能源,100303,184,,,0,
3,3013,补给车队,kaogu_skill_buji5,1,8835,3010,13,雇佣一只补给车队，他们的口号是“更多、更快、更安全！”，初始携带的补给增加{1}个单位,,120,,,0,
3,3014,天降奇宝,kaogu_skill_daoju4,2,9940,3013,15,只有被上天眷顾的考古队才能在经过{1}时，有{2}几率获得{3}个{4},100303,0,"{""a"":""item"",""t"":""2053"",""n"":20}",,40,
3,3015,探索遗迹,kaogu_skill_kaogubi,6,11044,3013,14,考古队掌握的特殊的找币技巧，在勘察{1}时有{2}概率发现{3}个{4},100303,0,"{""a"":""item"",""t"":""2070"",""n"":260}",,500,
3,3016,熟能生巧,kaogu_skill_jiasudaoju,7,11044,3013,16,每一个能走到终点的考古队一定都有自己的考古心得，达到终点后有{1}概率凝聚经验获得1个考古队秒表,100303,0,"{""a"":""item"",""t"":""2068"",""n"":1}",,520,
4,4001,小补给袋,kaogu_skill_buji1,1,761,,1,买到了额外的小补给袋，至少它不是漏的，初始携带的补给增加{1}个单位,,120,,,0,
4,4002,大补给袋,kaogu_skill_buji2,1,1523,4001,3,更换了更大的补给袋，队伍里的大胃王表示只够他们吃三分饱，初始携带的补给增加{1}个单位,,120,,,0,
4,4003,补给包,kaogu_skill_buji3,1,2285,4002,10,更换容量更大也更结实的补给包，我们再也不用担心大胃王吃光所有食物了，至少还能剩一点，初始携带的补给增加{1}个单位,,120,,,0,
4,4004,远行鞋,kaogu_skill_jiasu,5,3047,4008,9,更加舒适且轻便的远行鞋，穿上之后大幅提升赶路的效率，基础考古速度增加{1},,0,,,200,
4,4005,意外收获,kaogu_skill_daoju1,2,3809,4001,2,如果你运气还不错的话，在经过{1}时，有{2}几率获得{3}枚{4},100401,0,"{""a"":""attr"",""t"":""jinbi"",""n"":1450000}",,200,
4,4006,聚能卷轴,kaogu_skill_nengyuanup,4,5713,4001,4,自动吸收空气中游离的泰坦能量，使考古队在本地图采集泰坦能源的效率大幅提高，泰坦能源获取速度提高{1},,0,,,300,
4,4007,能量小晶体,kaogu_skill_nengyuan1,3,9523,4006,5,有一种神秘力量，使考古队在{1}可以发现能量小晶体，获得{2}泰坦能源,100401,203,,,0,
4,4008,慧眼识珠,kaogu_skill_daoju2,2,13332,4002,8,你有一双发现宝物的慧眼，但不是每次都会有宝物出现，在经过{1}时，有{2}几率获得{3}个{4},100402,0,"{""a"":""item"",""t"":""2004"",""n"":870}",,200,
4,4009,能量大晶体,kaogu_skill_nengyuan2,3,17141,4007,6,有一种神秘力量，使考古队在{1}可以发现能量大晶体，获得{2}泰坦能源,100402,377,,,0,
4,4010,补给行囊,kaogu_skill_buji4,1,22855,4003,11,补给行囊增加了物品携带的上限，初始携带的补给增加{1}个单位,,120,,,0,
4,4011,精准挖掘,kaogu_skill_daoju3,2,22855,4010,12,考古队得到消息在{1}埋藏着神秘宝物，虽然你挖了但你不一定挖得到，有{2}几率获得{3}个{4},100403,0,"{""a"":""item"",""t"":""2021"",""n"":22}",,200,
4,4012,能量晶体,kaogu_skill_nengyuan3,3,30474,4009,7,有一种神秘力量，使考古队在{1}可以发现能量晶体，获得{2}泰坦能源,100403,232,,,0,
4,4013,补给车队,kaogu_skill_buji5,1,30474,4010,14,雇佣一只补给车队，他们的口号是“更多、更快、更安全！”，初始携带的补给增加{1}个单位,,120,,,0,
4,4014,天降奇宝,kaogu_skill_daoju4,2,34283,4013,15,只有被上天眷顾的考古队才能在经过{1}时，有{2}几率获得{3}个{4},100403,0,"{""a"":""item"",""t"":""2058"",""n"":1}",,60,
4,4015,探索遗迹,kaogu_skill_kaogubi,6,38092,4010,13,考古队掌握的特殊的找币技巧，在勘察{1}时有{2}概率发现{3}个{4},100403,0,"{""a"":""item"",""t"":""2070"",""n"":290}",,500,
4,4016,熟能生巧,kaogu_skill_jiasudaoju,7,38092,4013,16,每一个能走到终点的考古队一定都有自己的考古心得，达到终点后有{1}概率凝聚经验获得1个考古队秒表,100403,0,"{""a"":""item"",""t"":""2068"",""n"":1}",,580,
5,5001,小补给袋,kaogu_skill_buji1,1,1855,,1,买到了额外的小补给袋，至少它不是漏的，初始携带的补给增加{1}个单位,,120,,,0,
5,5002,大补给袋,kaogu_skill_buji2,1,3710,5001,2,更换了更大的补给袋，队伍里的大胃王表示只够他们吃三分饱，初始携带的补给增加{1}个单位,,120,,,0,
5,5003,补给包,kaogu_skill_buji3,1,5565,5002,6,更换容量更大也更结实的补给包，我们再也不用担心大胃王吃光所有食物了，至少还能剩一点，初始携带的补给增加{1}个单位,,120,,,0,
5,5004,远行鞋,kaogu_skill_jiasu,5,7420,5003,7,更加舒适且轻便的远行鞋，穿上之后大幅提升赶路的效率，基础考古速度增加{1},,0,,,200,
5,5005,意外收获,kaogu_skill_daoju1,2,9275,5002,3,如果你运气还不错的话，在经过{1}时，有{2}几率获得{3}枚{4},100501,0,"{""a"":""attr"",""t"":""jinbi"",""n"":1600000}",,200,
5,5006,聚能卷轴,kaogu_skill_nengyuanup,4,13913,5005,4,自动吸收空气中游离的泰坦能量，使考古队在本地图采集泰坦能源的效率大幅提高，泰坦能源获取速度提高{1},,0,,,300,
5,5007,能量小晶体,kaogu_skill_nengyuan1,3,23189,5006,5,有一种神秘力量，使考古队在{1}可以发现能量小晶体，获得{2}泰坦能源,100501,224,,,0,
5,5008,慧眼识珠,kaogu_skill_daoju2,2,32464,5003,9,你有一双发现宝物的慧眼，但不是每次都会有宝物出现，在经过{1}时，有{2}几率获得{3}个{4},100502,0,"{""a"":""item"",""t"":""2004"",""n"":960}",,200,
5,5009,能量大晶体,kaogu_skill_nengyuan2,3,41740,5008,10,有一种神秘力量，使考古队在{1}可以发现能量大晶体，获得{2}泰坦能源,100502,416,,,0,
5,5010,补给行囊,kaogu_skill_buji4,1,55654,5003,11,补给行囊增加了物品携带的上限，初始携带的补给增加{1}个单位,,120,,,0,
5,5011,精准挖掘,kaogu_skill_daoju3,2,55654,5004,8,考古队得到消息在{1}埋藏着神秘宝物，虽然你挖了但你不一定挖得到，有{2}几率获得{3}个{4},100503,0,"{""a"":""item"",""t"":""2026"",""n"":96}",,200,
5,5012,能量晶体,kaogu_skill_nengyuan3,3,74205,5010,12,有一种神秘力量，使考古队在{1}可以发现能量晶体，获得{2}泰坦能源,100503,256,,,0,
5,5013,补给车队,kaogu_skill_buji5,1,74205,5010,13,雇佣一只补给车队，他们的口号是“更多、更快、更安全！”，初始携带的补给增加{1}个单位,,120,,,0,
5,5014,天降奇宝,kaogu_skill_daoju4,2,83481,5013,15,只有被上天眷顾的考古队才能在经过{1}时，有{2}几率获得{3}个{4},100503,0,"{""a"":""item"",""t"":""4009"",""n"":50}",,70,
5,5015,探索遗迹,kaogu_skill_kaogubi,6,92756,5013,14,考古队掌握的特殊的找币技巧，在勘察{1}时有{2}概率发现{3}个{4},100503,0,"{""a"":""item"",""t"":""2070"",""n"":320}",,500,
5,5016,熟能生巧,kaogu_skill_jiasudaoju,7,92756,5013,16,每一个能走到终点的考古队一定都有自己的考古心得，达到终点后有{1}概率凝聚经验获得1个考古队秒表,100503,0,"{""a"":""item"",""t"":""2068"",""n"":1}",,640,
6,6001,小补给袋,kaogu_skill_buji1,1,3734,,1,买到了额外的小补给袋，至少它不是漏的，初始携带的补给增加{1}个单位,,120,,,0,
6,6002,大补给袋,kaogu_skill_buji2,1,7469,6001,3,更换了更大的补给袋，队伍里的大胃王表示只够他们吃三分饱，初始携带的补给增加{1}个单位,,120,,,0,
6,6003,补给包,kaogu_skill_buji3,1,11203,6002,10,更换容量更大也更结实的补给包，我们再也不用担心大胃王吃光所有食物了，至少还能剩一点，初始携带的补给增加{1}个单位,,120,,,0,
6,6004,远行鞋,kaogu_skill_jiasu,5,14938,6008,9,更加舒适且轻便的远行鞋，穿上之后大幅提升赶路的效率，基础考古速度增加{1},,0,,,200,
6,6005,意外收获,kaogu_skill_daoju1,2,18672,6001,2,如果你运气还不错的话，在经过{1}时，有{2}几率获得{3}枚{4},100601,0,"{""a"":""attr"",""t"":""jinbi"",""n"":1750000}",,200,
6,6006,聚能卷轴,kaogu_skill_nengyuanup,4,28009,6001,4,自动吸收空气中游离的泰坦能量，使考古队在本地图采集泰坦能源的效率大幅提高，泰坦能源获取速度提高{1},,0,,,300,
6,6007,能量小晶体,kaogu_skill_nengyuan1,3,46682,6006,5,有一种神秘力量，使考古队在{1}可以发现能量小晶体，获得{2}泰坦能源,100601,245,,,0,
6,6008,慧眼识珠,kaogu_skill_daoju2,2,65355,6002,8,你有一双发现宝物的慧眼，但不是每次都会有宝物出现，在经过{1}时，有{2}几率获得{3}个{4},100602,0,"{""a"":""item"",""t"":""2004"",""n"":1050}",,200,
6,6009,能量大晶体,kaogu_skill_nengyuan2,3,84028,6007,6,有一种神秘力量，使考古队在{1}可以发现能量大晶体，获得{2}泰坦能源,100602,455,,,0,
6,6010,补给行囊,kaogu_skill_buji4,1,112037,6003,11,补给行囊增加了物品携带的上限，初始携带的补给增加{1}个单位,,120,,,0,
6,6011,精准挖掘,kaogu_skill_daoju3,2,112037,6010,12,考古队得到消息在{1}埋藏着神秘宝物，虽然你挖了但你不一定挖得到，有{2}几率获得{3}个{4},100603,0,"{""a"":""item"",""t"":""2022"",""n"":105}",,200,
6,6012,能量晶体,kaogu_skill_nengyuan3,3,149383,6009,7,有一种神秘力量，使考古队在{1}可以发现能量晶体，获得{2}泰坦能源,100603,280,,,0,
6,6013,补给车队,kaogu_skill_buji5,1,149383,6010,14,雇佣一只补给车队，他们的口号是“更多、更快、更安全！”，初始携带的补给增加{1}个单位,,120,,,0,
6,6014,天降奇宝,kaogu_skill_daoju4,2,168056,6013,15,只有被上天眷顾的考古队才能在经过{1}时，有{2}几率获得{3}个{4},100603,0,"{""a"":""item"",""t"":""2053"",""n"":30}",,40,
6,6015,探索遗迹,kaogu_skill_kaogubi,6,186729,6010,13,考古队掌握的特殊的找币技巧，在勘察{1}时有{2}概率发现{3}个{4},100603,0,"{""a"":""item"",""t"":""2070"",""n"":350}",,500,
6,6016,熟能生巧,kaogu_skill_jiasudaoju,7,186729,6013,16,每一个能走到终点的考古队一定都有自己的考古心得，达到终点后有{1}概率凝聚经验获得1个考古队秒表,100603,0,"{""a"":""item"",""t"":""2068"",""n"":1}",,700,
7,7001,小补给袋,kaogu_skill_buji1,1,6657,,1,买到了额外的小补给袋，至少它不是漏的，初始携带的补给增加{1}个单位,,120,,,0,
7,7002,大补给袋,kaogu_skill_buji2,1,13315,7001,2,更换了更大的补给袋，队伍里的大胃王表示只够他们吃三分饱，初始携带的补给增加{1}个单位,,120,,,0,
7,7003,补给包,kaogu_skill_buji3,1,19972,7002,6,更换容量更大也更结实的补给包，我们再也不用担心大胃王吃光所有食物了，至少还能剩一点，初始携带的补给增加{1}个单位,,120,,,0,
7,7004,远行鞋,kaogu_skill_jiasu,5,26630,7003,7,更加舒适且轻便的远行鞋，穿上之后大幅提升赶路的效率，基础考古速度增加{1},,0,,,200,
7,7005,意外收获,kaogu_skill_daoju1,2,33288,7002,3,如果你运气还不错的话，在经过{1}时，有{2}几率获得{3}枚{4},100701,0,"{""a"":""attr"",""t"":""jinbi"",""n"":1900000}",,200,
7,7006,聚能卷轴,kaogu_skill_nengyuanup,4,49932,7005,4,自动吸收空气中游离的泰坦能量，使考古队在本地图采集泰坦能源的效率大幅提高，泰坦能源获取速度提高{1},,0,,,300,
7,7007,能量小晶体,kaogu_skill_nengyuan1,3,83220,7006,5,有一种神秘力量，使考古队在{1}可以发现能量小晶体，获得{2}泰坦能源,100701,266,,,0,
7,7008,慧眼识珠,kaogu_skill_daoju2,2,116508,7003,9,你有一双发现宝物的慧眼，但不是每次都会有宝物出现，在经过{1}时，有{2}几率获得{3}个{4},100702,0,"{""a"":""item"",""t"":""2004"",""n"":1140}",,200,
7,7009,能量大晶体,kaogu_skill_nengyuan2,3,149796,7008,10,有一种神秘力量，使考古队在{1}可以发现能量大晶体，获得{2}泰坦能源,100702,494,,,0,
7,7010,补给行囊,kaogu_skill_buji4,1,199728,7003,11,补给行囊增加了物品携带的上限，初始携带的补给增加{1}个单位,,120,,,0,
7,7011,精准挖掘,kaogu_skill_daoju3,2,199728,7004,8,考古队得到消息在{1}埋藏着神秘宝物，虽然你挖了但你不一定挖得到，有{2}几率获得{3}个{4},100703,0,"{""a"":""item"",""t"":""2021"",""n"":29}",,200,
7,7012,能量晶体,kaogu_skill_nengyuan3,3,266304,7010,12,有一种神秘力量，使考古队在{1}可以发现能量晶体，获得{2}泰坦能源,100703,304,,,0,
7,7013,补给车队,kaogu_skill_buji5,1,266304,7010,13,雇佣一只补给车队，他们的口号是“更多、更快、更安全！”，初始携带的补给增加{1}个单位,,120,,,0,
7,7014,天降奇宝,kaogu_skill_daoju4,2,299592,7013,15,只有被上天眷顾的考古队才能在经过{1}时，有{2}几率获得{3}个{4},100703,0,"{""a"":""item"",""t"":""3004"",""n"":100}",,20,
7,7015,探索遗迹,kaogu_skill_kaogubi,6,332881,7013,14,考古队掌握的特殊的找币技巧，在勘察{1}时有{2}概率发现{3}个{4},100703,0,"{""a"":""item"",""t"":""2070"",""n"":380}",,500,
7,7016,熟能生巧,kaogu_skill_jiasudaoju,7,332881,7013,16,每一个能走到终点的考古队一定都有自己的考古心得，达到终点后有{1}概率凝聚经验获得1个考古队秒表,100703,0,"{""a"":""item"",""t"":""2068"",""n"":1}",,760,
8,8001,小补给袋,kaogu_skill_buji1,1,10910,,1,买到了额外的小补给袋，至少它不是漏的，初始携带的补给增加{1}个单位,,120,,,0,
8,8002,大补给袋,kaogu_skill_buji2,1,21821,8001,3,更换了更大的补给袋，队伍里的大胃王表示只够他们吃三分饱，初始携带的补给增加{1}个单位,,120,,,0,
8,8003,补给包,kaogu_skill_buji3,1,32732,8002,10,更换容量更大也更结实的补给包，我们再也不用担心大胃王吃光所有食物了，至少还能剩一点，初始携带的补给增加{1}个单位,,120,,,0,
8,8004,远行鞋,kaogu_skill_jiasu,5,43643,8008,9,更加舒适且轻便的远行鞋，穿上之后大幅提升赶路的效率，基础考古速度增加{1},,0,,,200,
8,8005,意外收获,kaogu_skill_daoju1,2,54554,8001,2,如果你运气还不错的话，在经过{1}时，有{2}几率获得{3}枚{4},100801,0,"{""a"":""attr"",""t"":""jinbi"",""n"":2050000}",,200,
8,8006,聚能卷轴,kaogu_skill_nengyuanup,4,81831,8001,4,自动吸收空气中游离的泰坦能量，使考古队在本地图采集泰坦能源的效率大幅提高，泰坦能源获取速度提高{1},,0,,,300,
8,8007,能量小晶体,kaogu_skill_nengyuan1,3,136385,8006,5,有一种神秘力量，使考古队在{1}可以发现能量小晶体，获得{2}泰坦能源,100801,287,,,0,
8,8008,慧眼识珠,kaogu_skill_daoju2,2,190939,8002,8,你有一双发现宝物的慧眼，但不是每次都会有宝物出现，在经过{1}时，有{2}几率获得{3}个{4},100802,0,"{""a"":""item"",""t"":""2004"",""n"":1230}",,200,
8,8009,能量大晶体,kaogu_skill_nengyuan2,3,245494,8007,6,有一种神秘力量，使考古队在{1}可以发现能量大晶体，获得{2}泰坦能源,100802,533,,,0,
8,8010,补给行囊,kaogu_skill_buji4,1,327325,8003,11,补给行囊增加了物品携带的上限，初始携带的补给增加{1}个单位,,120,,,0,
8,8011,精准挖掘,kaogu_skill_daoju3,2,327325,8010,12,考古队得到消息在{1}埋藏着神秘宝物，虽然你挖了但你不一定挖得到，有{2}几率获得{3}个{4},100803,0,"{""a"":""item"",""t"":""2026"",""n"":123}",,200,
8,8012,能量晶体,kaogu_skill_nengyuan3,3,436433,8009,7,有一种神秘力量，使考古队在{1}可以发现能量晶体，获得{2}泰坦能源,100803,328,,,0,
8,8013,补给车队,kaogu_skill_buji5,1,436433,8010,14,雇佣一只补给车队，他们的口号是“更多、更快、更安全！”，初始携带的补给增加{1}个单位,,120,,,0,
8,8014,天降奇宝,kaogu_skill_daoju4,2,490988,8013,15,只有被上天眷顾的考古队才能在经过{1}时，有{2}几率获得{3}个{4},100803,0,"{""a"":""item"",""t"":""1009"",""n"":1}",,10,
8,8015,探索遗迹,kaogu_skill_kaogubi,6,545542,8010,13,考古队掌握的特殊的找币技巧，在勘察{1}时有{2}概率发现{3}个{4},100803,0,"{""a"":""item"",""t"":""2070"",""n"":410}",,500,
8,8016,熟能生巧,kaogu_skill_jiasudaoju,7,545542,8013,16,每一个能走到终点的考古队一定都有自己的考古心得，达到终点后有{1}概率凝聚经验获得1个考古队秒表,100803,0,"{""a"":""item"",""t"":""2068"",""n"":1}",,820,
