英雄id,阶,攻击上限,生命上限,每次攻击,每次生命,突破属性,,,,
13055,1,1645,18109,5,50,"""speed"":0",,,,
13056,1,1645,18109,5,50,"""speed"":10",,,,
13056,2,3291,56821,5,50,"""speed"":20",,,,
13056,3,4937,103118,5,50,"""speed"":30",,,,
13056,4,6582,158568,5,50,"""speed"":40",,,,
13056,5,8228,223170,5,50,"""speed"":50",,,,
13056,6,9874,365455,5,50,"""unbaojipro"":50",,,,
13056,7,11355,420273,5,50,"""miankongpro"":50",,,,
13056,8,12836,475091,5,50,"""speed"":60",,,,
13056,9,14811,548182,5,50,"""speed"":0",,,,
14025,1,1482,13982,5,50,"""speed"":0",,,,
14026,1,1482,13982,5,50,"""speed"":10",,,,
14026,2,2965,43873,5,50,"""speed"":20",,,,
14026,3,4447,79621,5,50,"""speed"":30",,,,
14026,4,5930,122436,5,50,"""speed"":40",,,,
14026,5,7413,172318,5,50,"""speed"":0",,,,
14035,1,1482,14592,5,50,"""speed"":0",,,,
14036,1,1482,14592,5,50,"""speed"":10",,,,
14036,2,2965,45786,5,50,"""speed"":20",,,,
14036,3,4447,83093,5,50,"""speed"":30",,,,
14036,4,5930,127774,5,50,"""speed"":40",,,,
14036,5,7413,179831,5,50,"""speed"":50",,,,
14036,6,8895,294483,5,50,"""unbaojipro"":50",,,,
14036,7,10230,338656,5,50,"""miankongpro"":50",,,,
14036,8,11564,382828,5,50,"""speed"":60",,,,
14036,9,13343,441725,5,50,"""speed"":0",,,,
14045,1,1657,16411,5,50,"""speed"":0",,,,
14046,1,1657,16411,5,50,"""speed"":10",,,,
14046,2,3315,51495,5,50,"""speed"":20",,,,
14046,3,4973,93453,5,50,"""speed"":30",,,,
14046,4,6631,143704,5,50,"""speed"":40",,,,
14046,5,8289,202252,5,50,"""speed"":50",,,,
14046,6,9947,331199,5,50,"""unbaojipro"":50",,,,
14046,7,11439,380879,5,50,"""miankongpro"":50",,,,
14046,8,12931,430559,5,50,"""speed"":60",,,,
14046,9,14920,496799,5,50,"""speed"":0",,,,
14055,1,1563,15783,5,50,"""speed"":0",,,,
14056,1,1563,15783,5,50,"""speed"":10",,,,
14056,2,3126,49523,5,50,"""speed"":20",,,,
14056,3,4690,89875,5,50,"""speed"":30",,,,
14056,4,6253,138203,5,50,"""speed"":40",,,,
14056,5,7817,194508,5,50,"""speed"":50",,,,
14056,6,9380,318519,5,50,"""unbaojipro"":50",,,,
14056,7,10788,366297,5,50,"""miankongpro"":50",,,,
14056,8,12195,414075,5,50,"""speed"":60",,,,
14056,9,14071,477779,5,50,"""speed"":0",,,,
15015,1,1285,11422,5,50,"""speed"":0",,,,
15025,1,1285,14292,5,50,"""speed"":0",,,,
15035,1,1528,18240,5,50,"""speed"":0",,,,
15036,1,1528,18240,5,50,"""speed"":10",,,,
15036,2,3057,57233,5,50,"""speed"":20",,,,
15036,3,4586,103866,5,50,"""speed"":30",,,,
15036,4,6115,159717,5,50,"""speed"":40",,,,
15036,5,7644,224788,5,50,"""speed"":50",,,,
15036,6,9173,368104,5,50,"""unbaojipro"":50",,,,
15036,7,10549,423320,5,50,"""miankongpro"":50",,,,
15036,8,11925,478536,5,50,"""speed"":60",,,,
15036,9,13760,552157,5,50,"""speed"":0",,,,
15045,1,1915,17490,5,50,"""speed"":0",,,,
15046,1,1915,17490,5,50,"""speed"":10",,,,
15046,2,3830,54879,5,50,"""speed"":20",,,,
15046,3,5745,99594,5,50,"""speed"":30",,,,
15046,4,7660,153148,5,50,"""speed"":40",,,,
15046,5,9575,215543,5,50,"""speed"":50",,,,
15046,6,11490,352964,5,50,"""unbaojipro"":50",,,,
15046,7,13213,405908,5,50,"""miankongpro"":50",,,,
15046,8,14937,458853,5,50,"""speed"":60",,,,
15046,9,17235,529446,5,50,"""speed"":0",,,,
21015,1,1010,14198,5,50,"""speed"":0",,,,
21025,1,985,17368,5,50,"""speed"":0",,,,
21035,1,1415,17490,5,50,"""speed"":0",,,,
21036,1,1415,17490,5,50,"""speed"":10",,,,
21036,2,2830,54879,5,50,"""speed"":20",,,,
21036,3,4245,99594,5,50,"""speed"":30",,,,
21036,4,5660,153148,5,50,"""speed"":40",,,,
21036,5,7076,215543,5,50,"""speed"":0",,,,
21045,1,1137,19656,5,50,"""speed"":0",,,,
21046,1,1137,19656,5,50,"""speed"":10",,,,
21046,2,2274,61676,5,50,"""speed"":20",,,,
21046,3,3411,111929,5,50,"""speed"":30",,,,
21046,4,4548,172117,5,50,"""speed"":40",,,,
21046,5,5686,242240,5,50,"""speed"":50",,,,
21046,6,6823,396682,5,50,"""unbaojipro"":50",,,,
21046,7,7846,456184,5,50,"""miankongpro"":50",,,,
21046,8,8870,515687,5,50,"""speed"":60",,,,
21046,9,10235,595023,5,50,"""speed"":0",,,,
21055,1,1651,18212,5,50,"""speed"":0",,,,
21056,1,1651,18212,5,50,"""speed"":10",,,,
21056,2,3302,57145,5,50,"""speed"":20",,,,
21056,3,4953,103706,5,50,"""speed"":30",,,,
21056,4,6604,159471,5,50,"""speed"":40",,,,
21056,5,8255,224442,5,50,"""speed"":50",,,,
21056,6,9906,367537,5,50,"""unbaojipro"":50",,,,
21056,7,11392,422667,5,50,"""miankongpro"":50",,,,
21056,8,12878,477798,5,50,"""speed"":60",,,,
21056,9,14859,551305,5,50,"""speed"":0",,,,
21065,1,1651,18212,5,50,"""speed"":0",,,,
21066,1,1651,18212,5,50,"""speed"":10",,,,
21066,2,3302,57145,5,50,"""speed"":20",,,,
21066,3,4953,103706,5,50,"""speed"":30",,,,
21066,4,6604,159471,5,50,"""speed"":40",,,,
21066,5,8255,224442,5,50,"""speed"":50",,,,
21066,6,9906,367537,5,50,"""unbaojipro"":50",,,,
21066,7,11392,422667,5,50,"""miankongpro"":50",,,,
21066,8,12878,477798,5,50,"""speed"":60",,,,
21066,9,14859,551305,5,50,"""speed"":0",,,,
22025,1,1718,8346,5,50,"""speed"":0",,,,
22035,1,1726,11450,5,50,"""speed"":0",,,,
22036,1,1726,11450,5,50,"""speed"":10",,,,
22036,2,3453,35929,5,50,"""speed"":20",,,,
22036,3,5180,65203,5,50,"""speed"":30",,,,
22036,4,6907,100265,5,50,"""speed"":40",,,,
22036,5,8634,141114,5,50,"""speed"":0",,,,
22045,1,1979,11816,5,50,"""speed"":0",,,,
22046,1,1979,11816,5,50,"""speed"":10",,,,
22046,2,3959,37076,5,50,"""speed"":20",,,,
22046,3,5938,67286,5,50,"""speed"":30",,,,
22046,4,7918,103467,5,50,"""speed"":40",,,,
22046,5,9898,145621,5,50,"""speed"":50",,,,
22046,6,11877,238463,5,50,"""unbaojipro"":50",,,,
22046,7,13659,274233,5,50,"""miankongpro"":50",,,,
22046,8,15441,310002,5,50,"""speed"":60",,,,
22046,9,17816,357695,5,50,"""speed"":0",,,,
22055,1,1575,17208,5,50,"""speed"":0",,,,
22056,1,1575,17208,5,50,"""speed"":10",,,,
22056,2,3150,53996,5,50,"""speed"":20",,,,
22056,3,4725,97992,5,50,"""speed"":30",,,,
22056,4,6301,150684,5,50,"""speed"":40",,,,
22056,5,7876,212075,5,50,"""speed"":50",,,,
22056,6,9451,347286,5,50,"""unbaojipro"":50",,,,
22056,7,10869,399379,5,50,"""miankongpro"":50",,,,
22056,8,12287,451472,5,50,"""speed"":60",,,,
22056,9,14177,520929,5,50,"""speed"":0",,,,
22065,1,1760,15614,5,50,"""speed"":0",,,,
22066,1,1760,15614,5,50,"""speed"":10",,,,
22066,2,3521,48994,5,50,"""speed"":20",,,,
22066,3,5281,88913,5,50,"""speed"":30",,,,
22066,4,7042,136725,5,50,"""speed"":40",,,,
22066,5,8803,192428,5,50,"""speed"":50",,,,
22066,6,10563,315112,5,50,"""unbaojipro"":50",,,,
22066,7,12148,362379,5,50,"""miankongpro"":50",,,,
22066,8,13732,409646,5,50,"""speed"":60",,,,
22066,9,15845,472669,5,50,"""speed"":0",,,,
22075,1,2131,14704,5,50,"""speed"":0",,,,
22076,1,2131,14704,5,50,"""speed"":10",,,,
22076,2,4262,46139,5,50,"""speed"":20",,,,
22076,3,6393,83733,5,50,"""speed"":30",,,,
22076,4,8525,128759,5,50,"""speed"":40",,,,
22076,5,10656,181217,5,50,"""speed"":50",,,,
22076,6,12787,296754,5,50,"""unbaojipro"":50",,,,
22076,7,14705,341268,5,50,"""miankongpro"":50",,,,
22076,8,16623,385781,5,50,"""speed"":60",,,,
22076,9,19181,445132,5,50,"""speed"":0",,,,
23035,1,1519,12829,5,50,"""speed"":0",,,,
23036,1,1519,12829,5,50,"""speed"":10",,,,
23036,2,3039,40254,5,50,"""speed"":20",,,,
23036,3,4559,73053,5,50,"""speed"":30",,,,
23036,4,6078,112336,5,50,"""speed"":40",,,,
23036,5,7598,158103,5,50,"""speed"":50",,,,
23036,6,9118,258903,5,50,"""unbaojipro"":50",,,,
23036,7,10485,297739,5,50,"""miankongpro"":50",,,,
23036,8,11853,336574,5,50,"""speed"":60",,,,
23036,9,13677,388355,5,50,"""speed"":0",,,,
24025,1,1482,11872,5,50,"""speed"":0",,,,
24026,1,1482,11872,5,50,"""speed"":10",,,,
24026,2,2965,37253,5,50,"""speed"":20",,,,
24026,3,4447,67606,5,50,"""speed"":30",,,,
24026,4,5930,103960,5,50,"""speed"":40",,,,
24026,5,7413,146314,5,50,"""speed"":0",,,,
24035,1,1287,13870,5,50,"""speed"":0",,,,
24036,1,1287,13870,5,50,"""speed"":10",,,,
24036,2,2574,43520,5,50,"""speed"":20",,,,
24036,3,3861,78981,5,50,"""speed"":30",,,,
24036,4,5148,121451,5,50,"""speed"":40",,,,
24036,5,6435,170931,5,50,"""speed"":50",,,,
24036,6,7723,279911,5,50,"""unbaojipro"":50",,,,
24036,7,8881,321897,5,50,"""miankongpro"":50",,,,
24036,8,10040,363884,5,50,"""speed"":60",,,,
24036,9,11584,419866,5,50,"""speed"":0",,,,
24045,1,1711,14517,5,50,"""speed"":0",,,,
24046,1,1711,14517,5,50,"""speed"":10",,,,
24046,2,3423,45551,5,50,"""speed"":20",,,,
24046,3,5135,82665,5,50,"""speed"":30",,,,
24046,4,6847,127117,5,50,"""speed"":40",,,,
24046,5,8558,178906,5,50,"""speed"":50",,,,
24046,6,10270,292969,5,50,"""unbaojipro"":50",,,,
24046,7,11811,336915,5,50,"""miankongpro"":50",,,,
24046,8,13351,380860,5,50,"""speed"":60",,,,
24046,9,15405,439454,5,50,"""speed"":0",,,,
25045,1,1285,12247,5,50,"""speed"":0",,,,
25055,1,1285,12247,5,50,"""speed"":0",,,,
25065,1,1243,17780,5,50,"""speed"":0",,,,
25066,1,1243,17780,5,50,"""speed"":10",,,,
25066,2,2486,55791,5,50,"""speed"":20",,,,
25066,3,3729,101249,5,50,"""speed"":30",,,,
25066,4,4972,155694,5,50,"""speed"":40",,,,
25066,5,6216,219125,5,50,"""speed"":50",,,,
25066,6,7459,358831,5,50,"""unbaojipro"":50",,,,
25066,7,8578,412655,5,50,"""miankongpro"":50",,,,
25066,8,9697,466480,5,50,"""speed"":60",,,,
25066,9,11189,538246,5,50,"""speed"":0",,,,
25075,1,1776,14442,5,50,"""speed"":0",,,,
25076,1,1776,14442,5,50,"""speed"":10",,,,
25076,2,3552,45315,5,50,"""speed"":20",,,,
25076,3,5328,82238,5,50,"""speed"":30",,,,
25076,4,7104,126460,5,50,"""speed"":40",,,,
25076,5,8880,177981,5,50,"""speed"":50",,,,
25076,6,10656,291455,5,50,"""unbaojipro"":50",,,,
25076,7,12254,335174,5,50,"""miankongpro"":50",,,,
25076,8,13853,378892,5,50,"""speed"":60",,,,
25076,9,15984,437183,5,50,"""speed"":0",,,,
25085,1,1845,18934,5,50,"""speed"":0",,,,
25086,1,1845,18934,5,50,"""speed"":10",,,,
25086,2,3691,59410,5,50,"""speed"":20",,,,
25086,3,5536,107818,5,50,"""speed"":30",,,,
25086,4,7382,165794,5,50,"""speed"":40",,,,
25086,5,9227,233341,5,50,"""speed"":50",,,,
25086,6,11073,382109,5,50,"""unbaojipro"":50",,,,
25086,7,12734,439426,5,50,"""miankongpro"":50",,,,
25086,8,14395,496742,5,50,"""speed"":60",,,,
25086,9,16610,573164,5,50,"""speed"":0",,,,
31045,1,1086,17049,5,50,"""speed"":0",,,,
31055,1,1288,13279,5,50,"""speed"":0",,,,
31065,1,1288,13279,5,50,"""speed"":0",,,,
31075,1,1246,19309,5,50,"""speed"":0",,,,
31076,1,1246,19309,5,50,"""speed"":10",,,,
31076,2,2493,60587,5,50,"""speed"":20",,,,
31076,3,3740,109954,5,50,"""speed"":30",,,,
31076,4,4987,169079,5,50,"""speed"":40",,,,
31076,5,6233,237964,5,50,"""speed"":50",,,,
31076,6,7480,389680,5,50,"""unbaojipro"":50",,,,
31076,7,8602,448132,5,50,"""miankongpro"":50",,,,
31076,8,9724,506584,5,50,"""speed"":60",,,,
31076,9,11220,584520,5,50,"""speed"":0",,,,
31085,1,1979,12013,5,50,"""speed"":0",,,,
31086,1,1979,12013,5,50,"""speed"":10",,,,
31086,2,3959,37694,5,50,"""speed"":20",,,,
31086,3,5938,68407,5,50,"""speed"":30",,,,
31086,4,7918,105192,5,50,"""speed"":40",,,,
31086,5,9898,148048,5,50,"""speed"":50",,,,
31086,6,11877,242438,5,50,"""unbaojipro"":50",,,,
31086,7,13659,278803,5,50,"""miankongpro"":50",,,,
31086,8,15441,315169,5,50,"""speed"":60",,,,
31086,9,17816,363657,5,50,"""speed"":0",,,,
31095,1,1482,15033,5,50,"""speed"":0",,,,
31096,1,1482,15033,5,50,"""speed"":10",,,,
31096,2,2965,47169,5,50,"""speed"":20",,,,
31096,3,4447,85602,5,50,"""speed"":30",,,,
31096,4,5930,131633,5,50,"""speed"":40",,,,
31096,5,7413,185262,5,50,"""speed"":50",,,,
31096,6,8895,303378,5,50,"""unbaojipro"":50",,,,
31096,7,10230,348885,5,50,"""miankongpro"":50",,,,
31096,8,11564,394392,5,50,"""speed"":60",,,,
31096,9,13343,455068,5,50,"""speed"":0",,,,
31105,1,1448,18803,5,50,"""speed"":0",,,,
31106,1,1448,18803,5,50,"""speed"":10",,,,
31106,2,2897,58998,5,50,"""speed"":20",,,,
31106,3,4346,107070,5,50,"""speed"":30",,,,
31106,4,5795,164644,5,50,"""speed"":40",,,,
31106,5,7244,231723,5,50,"""speed"":50",,,,
31106,6,8693,379460,5,50,"""unbaojipro"":50",,,,
31106,7,9997,436379,5,50,"""miankongpro"":50",,,,
31106,8,11301,493298,5,50,"""speed"":60",,,,
31106,9,13040,569190,5,50,"""speed"":0",,,,
31115,1,1701,18868,5,50,"""speed"":0",,,,
31116,1,1701,18868,5,50,"""speed"":10",,,,
31116,2,3403,59204,5,50,"""speed"":20",,,,
31116,3,5104,107444,5,50,"""speed"":30",,,,
31116,4,6806,165219,5,50,"""speed"":40",,,,
31116,5,8508,232532,5,50,"""speed"":50",,,,
31116,6,10209,380784,5,50,"""unbaojipro"":50",,,,
31116,7,11741,437902,5,50,"""miankongpro"":50",,,,
31116,8,13272,495020,5,50,"""speed"":60",,,,
31116,9,15314,571177,5,50,"""speed"":0",,,,
32035,1,2114,11947,5,50,"""speed"":0",,,,
32036,1,2114,11947,5,50,"""speed"":10",,,,
32036,2,4228,37488,5,50,"""speed"":20",,,,
32036,3,6343,68033,5,50,"""speed"":30",,,,
32036,4,8457,104617,5,50,"""speed"":40",,,,
32036,5,10572,147239,5,50,"""speed"":0",,,,
32045,1,1769,10512,5,50,"""speed"":0",,,,
32046,1,1769,10512,5,50,"""speed"":10",,,,
32046,2,3538,32986,5,50,"""speed"":20",,,,
32046,3,5307,59863,5,50,"""speed"":30",,,,
32046,4,7076,92053,5,50,"""speed"":40",,,,
32046,5,8845,129556,5,50,"""speed"":0",,,,
32055,1,2232,11947,5,50,"""speed"":0",,,,
32056,1,2232,11947,5,50,"""speed"":10",,,,
32056,2,4464,37488,5,50,"""speed"":20",,,,
32056,3,6697,68033,5,50,"""speed"":30",,,,
32056,4,8929,104617,5,50,"""speed"":40",,,,
32056,5,11161,147239,5,50,"""speed"":50",,,,
32056,6,13394,241113,5,50,"""unbaojipro"":50",,,,
32056,7,15403,277280,5,50,"""miankongpro"":50",,,,
32056,8,17412,313447,5,50,"""speed"":60",,,,
32056,9,20091,361670,5,50,"""speed"":0",,,,
32065,1,2106,14967,5,50,"""speed"":0",,,,
32066,1,2106,14967,5,50,"""speed"":10",,,,
32066,2,4212,46963,5,50,"""speed"":20",,,,
32066,3,6318,85229,5,50,"""speed"":30",,,,
32066,4,8424,131058,5,50,"""speed"":40",,,,
32066,5,10530,184453,5,50,"""speed"":50",,,,
32066,6,12636,302054,5,50,"""unbaojipro"":50",,,,
32066,7,14531,347362,5,50,"""miankongpro"":50",,,,
32066,8,16426,392670,5,50,"""speed"":60",,,,
32066,9,18954,453081,5,50,"""speed"":0",,,,
32075,1,2106,14967,5,50,"""speed"":0",,,,
32076,1,2106,14967,5,50,"""speed"":10",,,,
32076,2,4212,46963,5,50,"""speed"":20",,,,
32076,3,6318,85229,5,50,"""speed"":30",,,,
32076,4,8424,131058,5,50,"""speed"":40",,,,
32076,5,10530,184453,5,50,"""speed"":50",,,,
32076,6,12636,302054,5,50,"""unbaojipro"":50",,,,
32076,7,14531,347362,5,50,"""miankongpro"":50",,,,
32076,8,16426,392670,5,50,"""speed"":60",,,,
32076,9,18954,453081,5,50,"""speed"":0",,,,
33015,1,1612,8421,5,50,"""speed"":0",,,,
33025,1,1630,12932,5,50,"""speed"":0",,,,
33026,1,1630,12932,5,50,"""speed"":10",,,,
33026,2,3261,40578,5,50,"""speed"":20",,,,
33026,3,4892,73640,5,50,"""speed"":30",,,,
33026,4,6523,113239,5,50,"""speed"":40",,,,
33026,5,8154,159374,5,50,"""speed"":0",,,,
33035,1,1645,15211,5,50,"""speed"":0",,,,
33036,1,1645,15211,5,50,"""speed"":10",,,,
33036,2,3291,47728,5,50,"""speed"":20",,,,
33036,3,4937,86617,5,50,"""speed"":30",,,,
33036,4,6582,133193,5,50,"""speed"":40",,,,
33036,5,8228,187458,5,50,"""speed"":50",,,,
33036,6,9874,306974,5,50,"""unbaojipro"":50",,,,
33036,7,11355,353020,5,50,"""miankongpro"":50",,,,
33036,8,12836,399067,5,50,"""speed"":60",,,,
33036,9,14811,460462,5,50,"""speed"":0",,,,
34015,1,1374,10616,5,50,"""speed"":0",,,,
34025,1,1684,12885,5,50,"""speed"":0",,,,
34026,1,1684,12885,5,50,"""speed"":10",,,,
34026,2,3369,40431,5,50,"""speed"":20",,,,
34026,3,5054,73373,5,50,"""speed"":30",,,,
34026,4,6739,112828,5,50,"""speed"":40",,,,
34026,5,8424,158796,5,50,"""speed"":50",,,,
34026,6,10108,260039,5,50,"""unbaojipro"":50",,,,
34026,7,11625,299044,5,50,"""miankongpro"":50",,,,
34026,8,13141,338050,5,50,"""speed"":60",,,,
34026,9,15163,390058,5,50,"""speed"":0",,,,
34035,1,1651,14142,5,50,"""speed"":0",,,,
34036,1,1651,14142,5,50,"""speed"":10",,,,
34036,2,3302,44374,5,50,"""speed"":20",,,,
34036,3,4953,80529,5,50,"""speed"":30",,,,
34036,4,6604,123832,5,50,"""speed"":40",,,,
34036,5,8255,174283,5,50,"""speed"":50",,,,
34036,6,9906,285399,5,50,"""unbaojipro"":50",,,,
34036,7,11392,328209,5,50,"""miankongpro"":50",,,,
34036,8,12878,371019,5,50,"""speed"":60",,,,
34036,9,14859,428099,5,50,"""speed"":0",,,,
35035,1,1583,15736,5,50,"""speed"":0",,,,
35036,1,1583,15736,5,50,"""speed"":10",,,,
35036,2,3166,49376,5,50,"""speed"":20",,,,
35036,3,4749,89608,5,50,"""speed"":30",,,,
35036,4,6332,137792,5,50,"""speed"":40",,,,
35036,5,7915,193930,5,50,"""speed"":50",,,,
35036,6,9498,317573,5,50,"""unbaojipro"":50",,,,
35036,7,10922,365209,5,50,"""miankongpro"":50",,,,
35036,8,12347,412845,5,50,"""speed"":60",,,,
35036,9,14247,476359,5,50,"""speed"":0",,,,
35045,1,1583,13926,5,50,"""speed"":0",,,,
35046,1,1583,13926,5,50,"""speed"":10",,,,
35046,2,3166,43697,5,50,"""speed"":20",,,,
35046,3,4749,79301,5,50,"""speed"":30",,,,
35046,4,6332,121943,5,50,"""speed"":40",,,,
35046,5,7915,171625,5,50,"""speed"":50",,,,
35046,6,9498,281046,5,50,"""unbaojipro"":50",,,,
35046,7,10922,323203,5,50,"""miankongpro"":50",,,,
35046,8,12347,365360,5,50,"""speed"":60",,,,
35046,9,14247,421569,5,50,"""speed"":0",,,,
35055,1,1729,16908,5,50,"""speed"":0",,,,
35056,1,1729,16908,5,50,"""speed"":10",,,,
35056,2,3459,53054,5,50,"""speed"":20",,,,
35056,3,5189,96283,5,50,"""speed"":30",,,,
35056,4,6918,148057,5,50,"""speed"":40",,,,
35056,5,8648,208377,5,50,"""speed"":50",,,,
35056,6,10378,341230,5,50,"""unbaojipro"":50",,,,
35056,7,11935,392414,5,50,"""miankongpro"":50",,,,
35056,8,13491,443599,5,50,"""speed"":60",,,,
35056,9,15567,511845,5,50,"""speed"":0",,,,
41035,1,1010,15717,5,50,"""speed"":0",,,,
41045,1,1086,15680,5,50,"""speed"":0",,,,
41055,1,1170,25621,5,50,"""speed"":0",,,,
41056,1,1170,25621,5,50,"""speed"":10",,,,
41056,2,2341,80391,5,50,"""speed"":20",,,,
41056,3,3512,145893,5,50,"""speed"":30",,,,
41056,4,4683,224343,5,50,"""speed"":40",,,,
41056,5,5854,315744,5,50,"""speed"":50",,,,
41056,6,7025,517049,5,50,"""unbaojipro"":50",,,,
41056,7,8079,594607,5,50,"""miankongpro"":50",,,,
41056,8,9133,672164,5,50,"""speed"":60",,,,
41056,9,10538,775574,5,50,"""speed"":0",,,,
41065,1,1499,17752,5,50,"""speed"":0",,,,
41066,1,1499,17752,5,50,"""speed"":10",,,,
41066,2,2998,55703,5,50,"""speed"":20",,,,
41066,3,4498,101089,5,50,"""speed"":30",,,,
41066,4,5997,155447,5,50,"""speed"":40",,,,
41066,5,7497,218779,5,50,"""speed"":50",,,,
41066,6,8996,358263,5,50,"""unbaojipro"":50",,,,
41066,7,10346,412002,5,50,"""miankongpro"":50",,,,
41066,8,11695,465742,5,50,"""speed"":60",,,,
41066,9,13495,537395,5,50,"""speed"":0",,,,
41075,1,2013,19450,5,50,"""speed"":0",,,,
41076,1,2013,19450,5,50,"""speed"":10",,,,
41076,2,4026,61029,5,50,"""speed"":20",,,,
41076,3,6040,110755,5,50,"""speed"":30",,,,
41076,4,8053,170310,5,50,"""speed"":40",,,,
41076,5,10066,239697,5,50,"""speed"":50",,,,
41076,6,12080,392518,5,50,"""unbaojipro"":50",,,,
41076,7,13892,451396,5,50,"""miankongpro"":50",,,,
41076,8,15704,510274,5,50,"""speed"":60",,,,
41076,9,18120,588778,5,50,"""speed"":0",,,,
42015,1,1853,13767,5,50,"""speed"":0",,,,
42016,1,1853,13767,5,50,"""speed"":10",,,,
42016,2,3706,43197,5,50,"""speed"":20",,,,
