掉落组,掉落类型,掉落物品,掉落数量,权重
1019,attr,useexp,188888,320
1019,attr,useexp,288888,1600
1019,attr,useexp,388888,960
1019,shipin,6461,1,1
1021,item,2027,1,1
1021,item,2028,1,1
1021,item,2029,1,1
1035,item,2010,5,50
1035,item,2011,1,50
1092,shipin,6551,1,1
1092,item,2004,88,0
1092,item,2004,288,1500
1092,attr,jinbi,188888,0
1092,attr,jinbi,288888,600
1092,attr,jinbi,388888,600
1092,item,1045,1,100
1092,item,2010,1,2200
1092,attr,rmbmoney,888,5
1092,shipin,6551,1,1
1096,glyph,16,1,500
1096,glyph,17,1,500
1099,item,6001,1,100000
1099,item,6005,1,100000
1099,item,6009,1,50000
1099,item,6013,1,1000
1099,item,6017,1,100000
1099,item,6021,1,50000
1099,item,6025,1,10000
1099,item,6029,1,50000
1099,item,6033,1,10000
1099,item,6037,1,1000
1099,item,6041,1,100000
1099,item,6045,1,100000
1099,item,6049,1,1000
1099,item,6053,1,100000
1099,item,6057,1,1000
1099,item,6061,1,10000
1099,item,6065,1,1000
1099,item,6069,1,50000
1099,item,6073,1,100000
1099,item,6077,1,100000
1108,item,2073,1,6
1108,item,2073,2,1
1108,item,2073,3,1
1108,item,4009,5,2
1119,attr,jinbi,100000,10
1119,attr,useexp,50000,10
1119,attr,rmbmoney,10,5
1119,item,2004,25,20
1120,attr,jinbi,120000,10
1120,attr,useexp,60000,10
1120,attr,rmbmoney,15,5
1120,item,2004,40,20
1121,attr,jinbi,150000,10
1121,attr,useexp,75000,10
1121,item,2004,50,5
1121,item,2010,1,2
1122,attr,jinbi,180000,10
1122,attr,useexp,90000,10
1122,item,2003,100,5
1122,item,2010,1,2
1122,item,2011,1,1
1123_1,item,5061,1,1
1123_2,shipin,6561,1,1
1123_2,item,2004,100,1000
1123_2,item,2010,1,400
1123_2,attr,useexp,100000,3000
1123_2,item,2026,100,400
1124,item,1125,1,3
1124,item,42025,50,5
1124,item,2011,1,100
1124,attr,jinbi,200000,3750
1124,item,2021,50,250
1124,item,2022,200,250
1138_1,item,5072,1,1
1138_2,shipin,6491,1,1
1138_2,item,2004,100,1000
1138_2,item,2010,1,400
1138_2,attr,useexp,100000,3000
1138_2,item,2026,100,400
1139,item,1125,1,3
1139,item,13055,50,5
1139,item,2011,1,100
1139,attr,jinbi,200000,3750
1139,item,2021,50,250
1139,item,2022,200,250
1142,attr,jinbi,50000,1
1143,attr,useexp,250000,1
1144,item,5076,1,1
1144_1,shipin,6571,1,100
1144_1,item,53025,50,300
1144_1,item,2021,200,7500
1144_1,item,2022,600,10000
1144_1,item,2053,50,1200
1144_1,item,2010,2,15000
1144_1,attr,useexp,800000,40000
1145,shipin,6571,1,10
1145,item,53025,50,30
1145,item,2071,1,1000
1145,item,2026,100,4000
1145,attr,useexp,150000,20000
1145_1,item,5077,1,1
1146,item,2005,100,1
1146,attr,jinbi,100000,5
1147,shipin,6581,1,1
1147,item,2026,20,2000
1147,item,2005,20,6000
1148,item,1158,1,1
1148,item,2021,3,1000
1148,item,2022,10,1200
1149,attr,jinbi,50000,24
1149,attr,useexp,50000,12
1149,item,2004,200,1
1150,item,5081,100,1
1151,item,5086,1,1
1152,shipin,6581,1,5
1152,item,32075,50,25
1152,item,3004,5,1200
1152,item,2026,200,2500
1152,item,2004,200,3500
1152,attr,useexp,100000,19000
1153,item,2005,100,100
1153,attr,jinbi,100000,500
1177,attr,jinbi,100000,10
1177,attr,useexp,50000,10
1177,attr,rmbmoney,10,5
1177,item,2004,25,10
1178,attr,jinbi,120000,10
1178,attr,useexp,60000,10
1178,attr,rmbmoney,15,5
1178,item,2004,40,20
1179,attr,jinbi,150000,10
1179,attr,useexp,75000,10
1179,item,2005,50,5
1179,item,2010,1,2
1180,attr,jinbi,200000,20
1180,attr,useexp,100000,20
1180,item,2004,60,10
1180,item,2017,150,2
1180,item,2018,25,1
1181,shipin,6591,1,1
1181,item,2004,100,1000
1181,item,2010,1,400
1181,attr,useexp,100000,3000
1181,item,2026,100,400
1182,item,1158,1,2
1182,item,32075,50,5
1182,item,2011,1,100
1182,attr,jinbi,200000,3750
1182,item,2021,50,250
1182,item,2022,200,250
1183,item,1158,1,2
1183,item,32075,50,5
1183,item,2011,1,100
1183,attr,jinbi,200000,3750
1183,attr,useexp,100000,3000
1183,attr,rmbmoney,15,5
1186,shipin,6591,1,1
1186,item,14065,50,2
1186,attr,rmbmoney,1000,100
1186,item,2010,10,110
1186,item,2011,10,50
1186,item,2004,100,1000
1186,attr,rmbmoney,100,2000
1186,item,2010,2,6000
1188,shipin,6591,1,1
1188,item,1183,1,2
1188,item,2059,1,3
1188,attr,rmbmoney,666,100
1188,item,2010,10,110
1188,item,2011,5,80
1188,item,2021,100,500
1188,item,2005,100,1500
1188,attr,rmbmoney,100,4500
1188,attr,useexp,50000,4500
2001,item,1205,1,60
2001,item,1206,1,60
2001,item,1207,1,60
2001,item,1216,1,100
2001,item,1213,1,175
2001,item,1215,1,100
2001,item,1214,1,50
2001,attr,jinbi,50000,395
2002,item,2093,6000,200
2002,item,2093,5000,600
2002,item,2093,4000,200
2003,item,1201,1,30
2003,item,1202,1,60
2003,item,1203,1,60
2003,item,1204,1,60
2003,item,1216,1,100
2003,item,1213,1,340
2003,item,1215,1,100
2003,item,1214,1,100
2003,attr,jinbi,50000,150
2004,item,2093,1500,50
2004,attr,jinbi,150000,50
2005,item,2093,1000,50
2005,attr,jinbi,100000,50
2006,item,2093,500,50
2006,attr,jinbi,50000,50
2007,attr,jinbi,50000,75
2007,item,2004,50,75
2007,item,2007,1,75
2007,item,2010,1,50
2007,item,2093,200,100
2007,item,2093,150,150
2007,item,2093,100,225
2007,item,1213,1,150
2007,item,1215,1,50
2007,item,1214,1,50
2008,item,2093,1000,25
2008,item,2093,800,25
2008,item,2093,600,50
2008,item,2093,450,50
2008,item,2093,300,50
2008,item,1216,1,100
2008,attr,jinbi,10000,125
2008,attr,jinbi,30000,125
2008,attr,jinbi,50000,125
2008,item,1213,1,225
2008,item,1215,1,50
2008,item,1214,1,50
2009,item,2093,6000,100
2009,item,2093,5000,100
2009,item,2093,4000,100
2009,item,2093,3000,100
2009,item,2093,2000,100
3001,shipin,3011,1,1
3001,shipin,3021,1,1
3001,shipin,3031,1,1
3001,shipin,3041,1,1
3001,shipin,3051,1,1
3001,shipin,3061,1,1
3001,shipin,3071,1,1
3001,shipin,3081,1,1
3001,shipin,3091,1,1
3001,shipin,3101,1,1
3002,shipin,4011,1,1
3002,shipin,4021,1,1
3002,shipin,4031,1,1
3002,shipin,4041,1,1
3002,shipin,4051,1,1
3002,shipin,4061,1,1
3002,shipin,4071,1,1
3002,shipin,4081,1,1
3002,shipin,4091,1,1
3002,shipin,4101,1,1
3002,shipin,4111,1,1
3002,shipin,4121,1,1
3003,shipin,5011,1,3
3003,shipin,5021,1,3
3003,shipin,5031,1,3
3003,shipin,5041,1,3
3003,shipin,5051,1,3
3003,shipin,5061,1,3
3003,shipin,5071,1,3
3003,shipin,5081,1,3
3003,shipin,5091,1,3
3003,shipin,5101,1,3
3003,shipin,5111,1,1
3003,shipin,5121,1,1
3003,shipin,5131,1,1
3003,shipin,5141,1,1
3003,shipin,5151,1,1
3003,shipin,5161,1,1
3003,shipin,5171,1,1
3003,shipin,5181,1,1
3003,shipin,5191,1,1
3003,shipin,5201,1,1
3003,shipin,5211,1,1
3003,shipin,5221,1,1
3003,shipin,5231,1,1
3003,shipin,5241,1,1
3003,shipin,5251,1,1
3003,shipin,5261,1,1
3003,shipin,5271,1,1
3003,shipin,5281,1,1
3003,shipin,5291,1,1
3003,shipin,5301,1,1
3003,shipin,5311,1,1
3003,shipin,5321,1,1
3003,shipin,5331,1,1
3003,shipin,5341,1,1
3003,shipin,5351,1,1
3003,shipin,5361,1,1
3003,shipin,5371,1,1
3003,shipin,5381,1,1
3003,shipin,5391,1,1
3003,shipin,5401,1,1
3003,shipin,5411,1,1
3003,shipin,5421,1,1
3003,shipin,5431,1,1
3004,shipin,6011,1,130
3004,shipin,6021,1,130
3004,shipin,6031,1,130
3004,shipin,6041,1,130
3004,shipin,6051,1,130
3004,shipin,6071,1,64
3004,shipin,6081,1,130
3004,shipin,6091,1,130
3004,shipin,6101,1,130
3004,shipin,6111,1,130
3004,shipin,6121,1,64
3004,shipin,6141,1,130
3004,shipin,6151,1,40
3004,shipin,6161,1,40
3004,shipin,6171,1,40
3004,shipin,6181,1,40
3004,shipin,6191,1,40
3004,shipin,6201,1,40
3004,shipin,6211,1,40
3004,shipin,6221,1,40
3004,shipin,6231,1,40
3004,shipin,6241,1,40
3004,shipin,6251,1,40
3004,shipin,6261,1,40
3004,shipin,6271,1,40
3004,shipin,6281,1,40
3004,shipin,6291,1,40
3004,shipin,6301,1,40
3004,shipin,6311,1,40
3004,shipin,6321,1,40
3004,shipin,6331,1,40
3004,shipin,6341,1,40
3004,shipin,6351,1,40
3004,shipin,6361,1,40
3004,shipin,6371,1,40
3004,shipin,6381,1,40
3004,shipin,6391,1,40
3004,shipin,6401,1,40
3004,shipin,6411,1,40
3004,shipin,6421,1,40
3004,shipin,6431,1,40
3004,shipin,6441,1,40
3004,shipin,6451,1,40
3005,shipin,5111,1,1
3005,shipin,5121,1,1
3005,shipin,5131,1,1
3005,shipin,5141,1,1
3005,shipin,5151,1,1
3005,shipin,5161,1,1
3005,shipin,5171,1,1
3005,shipin,5181,1,1
3005,shipin,5191,1,1
3005,shipin,5201,1,1
3005,shipin,5211,1,1
3005,shipin,5221,1,1
3005,shipin,5231,1,1
3005,shipin,5241,1,1
3005,shipin,5251,1,1
3005,shipin,5261,1,1
3005,shipin,5271,1,1
3005,shipin,5331,1,1
3005,shipin,5341,1,1
3005,shipin,5351,1,1
3005,shipin,5361,1,1
3005,shipin,5371,1,1
3005,shipin,5381,1,1
3005,shipin,5391,1,1
3005,shipin,5401,1,1
3005,shipin,5411,1,1
3005,shipin,5421,1,1
3005,shipin,5431,1,1
3006,shipin,6151,1,1
3006,shipin,6161,1,1
3006,shipin,6171,1,1
3006,shipin,6181,1,1
3006,shipin,6191,1,1
3006,shipin,6201,1,1
3006,shipin,6211,1,1
3006,shipin,6221,1,1
3006,shipin,6231,1,1
3006,shipin,6241,1,1
3006,shipin,6251,1,1
3006,shipin,6261,1,1
3006,shipin,6271,1,1
3006,shipin,6281,1,1
3006,shipin,6291,1,1
3006,shipin,6301,1,1
3006,shipin,6361,1,1
3006,shipin,6371,1,1
3006,shipin,6381,1,1
3006,shipin,6391,1,1
3006,shipin,6401,1,1
3006,shipin,6411,1,1
3006,shipin,6421,1,1
3006,shipin,6431,1,1
3006,shipin,6441,1,1
3006,shipin,6451,1,1
3501,item,2058,1,1
3502,item,2059,1,1
4001,hero,11023,1,1
4001,hero,11033,1,1
4001,hero,12013,1,1
4001,hero,13023,1,1
4001,hero,14013,1,1
4001,hero,23013,1,1
4001,hero,23023,1,1
4001,hero,24013,1,1
4001,hero,25023,1,1
4001,hero,25033,1,1
4001,hero,31023,1,1
4001,hero,31033,1,1
4001,hero,32023,1,1
4001,hero,35013,1,1
4001,hero,35023,1,1
4001,hero,41013,1,1
4001,hero,41023,1,1
4001,hero,43023,1,1
4001,hero,45013,1,1
4001,hero,45023,1,1
4001,hero,52013,1,1
4001,hero,64013,1,1
4002,hero,11044,1,1
4002,hero,11054,1,1
4002,hero,11064,1,1
4002,hero,12024,1,1
4002,hero,13034,1,1
4002,hero,14024,1,1
4002,hero,15014,1,1
4002,hero,15024,1,1
4002,hero,21014,1,1
4002,hero,21024,1,1
4002,hero,21034,1,1
4002,hero,22024,1,1
4002,hero,22034,1,1
4002,hero,24024,1,1
4002,hero,25044,1,1
4002,hero,25054,1,1
4002,hero,31044,1,1
4002,hero,31054,1,1
4002,hero,31064,1,1
4002,hero,32034,1,1
4002,hero,32044,1,1
4002,hero,33014,1,1
4002,hero,33024,1,1
4002,hero,34014,1,1
4002,hero,41034,1,1
4002,hero,41044,1,1
4002,hero,43034,1,1
4002,hero,43044,1,1
4002,hero,43054,1,1
4002,hero,44024,1,1
4002,hero,44034,1,1
4002,hero,45034,1,1
4002,hero,52024,1,1
4002,hero,52034,1,1
4002,hero,53014,1,1
4002,hero,61014,1,1
4002,hero,62014,1,1
4002,hero,63014,1,1
4003,hero,11044,1,1
4003,hero,11054,1,1
4003,hero,11064,1,1
4003,hero,12024,1,1
4003,hero,13034,1,1
4003,hero,14024,1,1
4003,hero,15014,1,1
4003,hero,15024,1,1
4004,hero,21014,1,1
4004,hero,21024,1,1
4004,hero,21034,1,1
4004,hero,22024,1,1
4004,hero,22034,1,1
4004,hero,24024,1,1
4004,hero,25044,1,1
4004,hero,25054,1,1
4005,hero,31044,1,1
4005,hero,31054,1,1
4005,hero,31064,1,1
4005,hero,32034,1,1
4005,hero,32044,1,1
4005,hero,33014,1,1
4005,hero,33024,1,1
4005,hero,34014,1,1
4006,hero,41034,1,1
4006,hero,41044,1,1
4006,hero,43034,1,1
4006,hero,43044,1,1
4006,hero,43054,1,1
4006,hero,44024,1,1
4006,hero,44034,1,1
4006,hero,45034,1,1
4007,hero,52024,1,1
4007,hero,52034,1,1
4007,hero,53014,1,1
4008,hero,61014,1,1
4008,hero,62014,1,1
4008,hero,63014,1,1
4009,hero,11045,1,2203
4009,hero,11055,1,2203
4009,hero,11065,1,2203
4009,hero,11075,1,547
4009,hero,11085,1,547
4009,hero,12025,1,2644
4009,hero,12035,1,547
4009,hero,13035,1,2644
4009,hero,13045,1,547
4009,hero,14025,1,2644
4009,hero,14035,1,547
4009,hero,14045,1,547
4009,hero,15015,1,2203
4009,hero,15025,1,2203
4009,hero,15035,1,547
4009,hero,21015,1,2203
4009,hero,21025,1,2203
4009,hero,21035,1,2644
4009,hero,21045,1,547
4009,hero,22025,1,2203
4009,hero,22035,1,2644
4009,hero,22045,1,547
4009,hero,22055,1,547
4009,hero,23035,1,547
4009,hero,24025,1,2644
4009,hero,24035,1,547
4009,hero,25045,1,2203
4009,hero,25055,1,2203
