id,等级,消耗,属性,战斗力
2,6,"{""a"":""attr"",""t"":""jinbi"",""n"":1100000},{""a"":""item"",""t"":""2005"",""n"":8515}","""jingzhunpro"":12,""atk"":56,""atkpro"":9",464
2,7,"{""a"":""attr"",""t"":""jinbi"",""n"":1500000},{""a"":""item"",""t"":""2005"",""n"":9659}","""jingzhunpro"":14,""atk"":56,""atkpro"":9",528
2,8,"{""a"":""attr"",""t"":""jinbi"",""n"":2000000},{""a"":""item"",""t"":""2005"",""n"":10813}","""jingzhunpro"":16,""atk"":56,""atkpro"":9",592
2,9,"{""a"":""attr"",""t"":""jinbi"",""n"":3000000},{""a"":""item"",""t"":""2005"",""n"":11567}","""jingzhunpro"":18,""atk"":56,""atkpro"":9",656
2,10,"{""a"":""attr"",""t"":""jinbi"",""n"":6000000},{""a"":""item"",""t"":""2005"",""n"":12621}","""jingzhunpro"":21,""atk"":113,""atkpro"":18",800
2,11,"{""a"":""attr"",""t"":""jinbi"",""n"":9000000},{""a"":""item"",""t"":""2005"",""n"":13475}","""jingzhunpro"":23,""atk"":113,""atkpro"":18",864
2,12,"{""a"":""attr"",""t"":""jinbi"",""n"":12000000},{""a"":""item"",""t"":""2005"",""n"":14139}","""jingzhunpro"":25,""atk"":113,""atkpro"":18",928
2,13,"{""a"":""attr"",""t"":""jinbi"",""n"":15000000},{""a"":""item"",""t"":""2005"",""n"":15183}","""jingzhunpro"":27,""atk"":113,""atkpro"":18",992
2,14,"{""a"":""attr"",""t"":""jinbi"",""n"":18000000},{""a"":""item"",""t"":""2005"",""n"":16776}","""jingzhunpro"":28,""atk"":113,""atkpro"":18",1056
2,15,"{""a"":""attr"",""t"":""jinbi"",""n"":21000000},{""a"":""item"",""t"":""2005"",""n"":17948}","""jingzhunpro"":31,""atk"":170,""atkpro"":27",1200
2,16,"{""a"":""attr"",""t"":""jinbi"",""n"":24000000},{""a"":""item"",""t"":""2005"",""n"":18560}","""jingzhunpro"":33,""atk"":170,""atkpro"":27",1264
2,17,"{""a"":""attr"",""t"":""jinbi"",""n"":27000000},{""a"":""item"",""t"":""2005"",""n"":19673}","""jingzhunpro"":35,""atk"":170,""atkpro"":27",1328
2,18,"{""a"":""attr"",""t"":""jinbi"",""n"":30000000},{""a"":""item"",""t"":""2005"",""n"":20785}","""jingzhunpro"":37,""atk"":170,""atkpro"":27",1392
2,19,"{""a"":""attr"",""t"":""jinbi"",""n"":35000000},{""a"":""item"",""t"":""2005"",""n"":21898}","""jingzhunpro"":39,""atk"":170,""atkpro"":27",1456
2,20,"{""a"":""attr"",""t"":""jinbi"",""n"":38000000},{""a"":""item"",""t"":""2005"",""n"":22910}","""jingzhunpro"":42,""atk"":227,""atkpro"":36",1600
2,21,"{""a"":""attr"",""t"":""jinbi"",""n"":40000000},{""a"":""item"",""t"":""2005"",""n"":23823}","""jingzhunpro"":44,""atk"":227,""atkpro"":36",1664
2,22,"{""a"":""attr"",""t"":""jinbi"",""n"":42000000},{""a"":""item"",""t"":""2005"",""n"":24835}","""jingzhunpro"":46,""atk"":227,""atkpro"":36",1728
2,23,"{""a"":""attr"",""t"":""jinbi"",""n"":46000000},{""a"":""item"",""t"":""2005"",""n"":25948}","""jingzhunpro"":48,""atk"":227,""atkpro"":36",1792
2,24,"{""a"":""attr"",""t"":""jinbi"",""n"":48000000},{""a"":""item"",""t"":""2005"",""n"":26460}","""jingzhunpro"":50,""atk"":227,""atkpro"":36",1856
2,25,"{""a"":""attr"",""t"":""jinbi"",""n"":51000000},{""a"":""item"",""t"":""2005"",""n"":27873}","""jingzhunpro"":53,""atk"":284,""atkpro"":45",2000
2,26,"{""a"":""attr"",""t"":""jinbi"",""n"":54000000},{""a"":""item"",""t"":""2005"",""n"":28685}","""jingzhunpro"":55,""atk"":284,""atkpro"":45",2064
2,27,"{""a"":""attr"",""t"":""jinbi"",""n"":58000000},{""a"":""item"",""t"":""2005"",""n"":29797}","""jingzhunpro"":57,""atk"":284,""atkpro"":45",2128
2,28,"{""a"":""attr"",""t"":""jinbi"",""n"":60000000},{""a"":""item"",""t"":""2005"",""n"":29910}","""jingzhunpro"":59,""atk"":284,""atkpro"":45",2192
2,29,"{""a"":""attr"",""t"":""jinbi"",""n"":64000000},{""a"":""item"",""t"":""2005"",""n"":30000}","""jingzhunpro"":60,""atk"":284,""atkpro"":45",2256
2,30,0,"""jingzhunpro"":63,""atk"":341,""atkpro"":54",2400
3,0,"{""a"":""attr"",""t"":""jinbi"",""n"":160000},{""a"":""item"",""t"":""2005"",""n"":2600}","""pojiapro"":0,""atk"":0,""atkpro"":0",0
3,1,"{""a"":""attr"",""t"":""jinbi"",""n"":320000},{""a"":""item"",""t"":""2005"",""n"":3300}","""pojiapro"":4,""atk"":11,""atkpro"":1",64
3,2,"{""a"":""attr"",""t"":""jinbi"",""n"":480000},{""a"":""item"",""t"":""2005"",""n"":4645}","""pojiapro"":8,""atk"":11,""atkpro"":1",128
3,3,"{""a"":""attr"",""t"":""jinbi"",""n"":660000},{""a"":""item"",""t"":""2005"",""n"":5755}","""pojiapro"":12,""atk"":11,""atkpro"":1",192
3,4,"{""a"":""attr"",""t"":""jinbi"",""n"":820000},{""a"":""item"",""t"":""2005"",""n"":6497}","""pojiapro"":16,""atk"":11,""atkpro"":1",256
3,5,"{""a"":""attr"",""t"":""jinbi"",""n"":940000},{""a"":""item"",""t"":""2005"",""n"":7651}","""pojiapro"":22,""atk"":56,""atkpro"":9",400
3,6,"{""a"":""attr"",""t"":""jinbi"",""n"":1100000},{""a"":""item"",""t"":""2005"",""n"":8515}","""pojiapro"":26,""atk"":56,""atkpro"":9",464
3,7,"{""a"":""attr"",""t"":""jinbi"",""n"":1500000},{""a"":""item"",""t"":""2005"",""n"":9659}","""pojiapro"":30,""atk"":56,""atkpro"":9",528
3,8,"{""a"":""attr"",""t"":""jinbi"",""n"":2000000},{""a"":""item"",""t"":""2005"",""n"":10813}","""pojiapro"":34,""atk"":56,""atkpro"":9",592
3,9,"{""a"":""attr"",""t"":""jinbi"",""n"":3000000},{""a"":""item"",""t"":""2005"",""n"":11567}","""pojiapro"":38,""atk"":56,""atkpro"":9",656
3,10,"{""a"":""attr"",""t"":""jinbi"",""n"":6000000},{""a"":""item"",""t"":""2005"",""n"":12621}","""pojiapro"":45,""atk"":113,""atkpro"":18",800
3,11,"{""a"":""attr"",""t"":""jinbi"",""n"":9000000},{""a"":""item"",""t"":""2005"",""n"":13475}","""pojiapro"":49,""atk"":113,""atkpro"":18",864
3,12,"{""a"":""attr"",""t"":""jinbi"",""n"":12000000},{""a"":""item"",""t"":""2005"",""n"":14139}","""pojiapro"":53,""atk"":113,""atkpro"":18",928
3,13,"{""a"":""attr"",""t"":""jinbi"",""n"":15000000},{""a"":""item"",""t"":""2005"",""n"":15183}","""pojiapro"":57,""atk"":113,""atkpro"":18",992
3,14,"{""a"":""attr"",""t"":""jinbi"",""n"":18000000},{""a"":""item"",""t"":""2005"",""n"":16776}","""pojiapro"":61,""atk"":113,""atkpro"":18",1056
3,15,"{""a"":""attr"",""t"":""jinbi"",""n"":21000000},{""a"":""item"",""t"":""2005"",""n"":17948}","""pojiapro"":67,""atk"":170,""atkpro"":27",1200
3,16,"{""a"":""attr"",""t"":""jinbi"",""n"":24000000},{""a"":""item"",""t"":""2005"",""n"":18560}","""pojiapro"":71,""atk"":170,""atkpro"":27",1264
3,17,"{""a"":""attr"",""t"":""jinbi"",""n"":27000000},{""a"":""item"",""t"":""2005"",""n"":19673}","""pojiapro"":75,""atk"":170,""atkpro"":27",1328
3,18,"{""a"":""attr"",""t"":""jinbi"",""n"":30000000},{""a"":""item"",""t"":""2005"",""n"":20785}","""pojiapro"":79,""atk"":170,""atkpro"":27",1392
3,19,"{""a"":""attr"",""t"":""jinbi"",""n"":35000000},{""a"":""item"",""t"":""2005"",""n"":21898}","""pojiapro"":83,""atk"":170,""atkpro"":27",1456
3,20,"{""a"":""attr"",""t"":""jinbi"",""n"":38000000},{""a"":""item"",""t"":""2005"",""n"":22910}","""pojiapro"":90,""atk"":227,""atkpro"":37",1600
3,21,"{""a"":""attr"",""t"":""jinbi"",""n"":40000000},{""a"":""item"",""t"":""2005"",""n"":23823}","""pojiapro"":94,""atk"":227,""atkpro"":37",1664
3,22,"{""a"":""attr"",""t"":""jinbi"",""n"":42000000},{""a"":""item"",""t"":""2005"",""n"":24835}","""pojiapro"":98,""atk"":227,""atkpro"":37",1728
3,23,"{""a"":""attr"",""t"":""jinbi"",""n"":46000000},{""a"":""item"",""t"":""2005"",""n"":25948}","""pojiapro"":102,""atk"":227,""atkpro"":37",1792
3,24,"{""a"":""attr"",""t"":""jinbi"",""n"":48000000},{""a"":""item"",""t"":""2005"",""n"":26460}","""pojiapro"":106,""atk"":227,""atkpro"":37",1856
3,25,"{""a"":""attr"",""t"":""jinbi"",""n"":51000000},{""a"":""item"",""t"":""2005"",""n"":27873}","""pojiapro"":112,""atk"":284,""atkpro"":46",2000
3,26,"{""a"":""attr"",""t"":""jinbi"",""n"":54000000},{""a"":""item"",""t"":""2005"",""n"":28685}","""pojiapro"":116,""atk"":284,""atkpro"":46",2064
3,27,"{""a"":""attr"",""t"":""jinbi"",""n"":58000000},{""a"":""item"",""t"":""2005"",""n"":29797}","""pojiapro"":120,""atk"":284,""atkpro"":46",2128
3,28,"{""a"":""attr"",""t"":""jinbi"",""n"":60000000},{""a"":""item"",""t"":""2005"",""n"":29910}","""pojiapro"":124,""atk"":284,""atkpro"":46",2192
3,29,"{""a"":""attr"",""t"":""jinbi"",""n"":64000000},{""a"":""item"",""t"":""2005"",""n"":30000}","""pojiapro"":128,""atk"":284,""atkpro"":46",2256
3,30,0,"""pojiapro"":135,""atk"":341,""atkpro"":55",2400
4,0,"{""a"":""attr"",""t"":""jinbi"",""n"":160000},{""a"":""item"",""t"":""2005"",""n"":2600}","""baoshangpro"":0,""baojipro"":0,""dpspro"":0",0
4,1,"{""a"":""attr"",""t"":""jinbi"",""n"":320000},{""a"":""item"",""t"":""2005"",""n"":3300}","""baoshangpro"":4,""baojipro"":2,""dpspro"":0",64
4,2,"{""a"":""attr"",""t"":""jinbi"",""n"":480000},{""a"":""item"",""t"":""2005"",""n"":4645}","""baoshangpro"":9,""baojipro"":2,""dpspro"":0",128
4,3,"{""a"":""attr"",""t"":""jinbi"",""n"":660000},{""a"":""item"",""t"":""2005"",""n"":5755}","""baoshangpro"":14,""baojipro"":2,""dpspro"":0",192
4,4,"{""a"":""attr"",""t"":""jinbi"",""n"":820000},{""a"":""item"",""t"":""2005"",""n"":6497}","""baoshangpro"":19,""baojipro"":2,""dpspro"":0",256
4,5,"{""a"":""attr"",""t"":""jinbi"",""n"":940000},{""a"":""item"",""t"":""2005"",""n"":7651}","""baoshangpro"":26,""baojipro"":10,""dpspro"":2",400
4,6,"{""a"":""attr"",""t"":""jinbi"",""n"":1100000},{""a"":""item"",""t"":""2005"",""n"":8515}","""baoshangpro"":31,""baojipro"":10,""dpspro"":2",464
4,7,"{""a"":""attr"",""t"":""jinbi"",""n"":1500000},{""a"":""item"",""t"":""2005"",""n"":9659}","""baoshangpro"":36,""baojipro"":10,""dpspro"":2",528
4,8,"{""a"":""attr"",""t"":""jinbi"",""n"":2000000},{""a"":""item"",""t"":""2005"",""n"":10813}","""baoshangpro"":40,""baojipro"":10,""dpspro"":2",592
4,9,"{""a"":""attr"",""t"":""jinbi"",""n"":3000000},{""a"":""item"",""t"":""2005"",""n"":11567}","""baoshangpro"":45,""baojipro"":10,""dpspro"":2",656
4,10,"{""a"":""attr"",""t"":""jinbi"",""n"":6000000},{""a"":""item"",""t"":""2005"",""n"":12621}","""baoshangpro"":53,""baojipro"":20,""dpspro"":4",800
4,11,"{""a"":""attr"",""t"":""jinbi"",""n"":9000000},{""a"":""item"",""t"":""2005"",""n"":13475}","""baoshangpro"":57,""baojipro"":20,""dpspro"":4",864
4,12,"{""a"":""attr"",""t"":""jinbi"",""n"":12000000},{""a"":""item"",""t"":""2005"",""n"":14139}","""baoshangpro"":62,""baojipro"":20,""dpspro"":4",928
4,13,"{""a"":""attr"",""t"":""jinbi"",""n"":15000000},{""a"":""item"",""t"":""2005"",""n"":15183}","""baoshangpro"":67,""baojipro"":20,""dpspro"":4",992
4,14,"{""a"":""attr"",""t"":""jinbi"",""n"":18000000},{""a"":""item"",""t"":""2005"",""n"":16776}","""baoshangpro"":72,""baojipro"":20,""dpspro"":4",1056
4,15,"{""a"":""attr"",""t"":""jinbi"",""n"":21000000},{""a"":""item"",""t"":""2005"",""n"":17948}","""baoshangpro"":79,""baojipro"":30,""dpspro"":6",1200
4,16,"{""a"":""attr"",""t"":""jinbi"",""n"":24000000},{""a"":""item"",""t"":""2005"",""n"":18560}","""baoshangpro"":84,""baojipro"":30,""dpspro"":6",1264
4,17,"{""a"":""attr"",""t"":""jinbi"",""n"":27000000},{""a"":""item"",""t"":""2005"",""n"":19673}","""baoshangpro"":89,""baojipro"":30,""dpspro"":6",1328
4,18,"{""a"":""attr"",""t"":""jinbi"",""n"":30000000},{""a"":""item"",""t"":""2005"",""n"":20785}","""baoshangpro"":94,""baojipro"":30,""dpspro"":6",1392
4,19,"{""a"":""attr"",""t"":""jinbi"",""n"":35000000},{""a"":""item"",""t"":""2005"",""n"":21898}","""baoshangpro"":98,""baojipro"":30,""dpspro"":6",1456
4,20,"{""a"":""attr"",""t"":""jinbi"",""n"":38000000},{""a"":""item"",""t"":""2005"",""n"":22910}","""baoshangpro"":106,""baojipro"":40,""dpspro"":8",1600
4,21,"{""a"":""attr"",""t"":""jinbi"",""n"":40000000},{""a"":""item"",""t"":""2005"",""n"":23823}","""baoshangpro"":111,""baojipro"":40,""dpspro"":8",1664
4,22,"{""a"":""attr"",""t"":""jinbi"",""n"":42000000},{""a"":""item"",""t"":""2005"",""n"":24835}","""baoshangpro"":115,""baojipro"":40,""dpspro"":8",1728
4,23,"{""a"":""attr"",""t"":""jinbi"",""n"":46000000},{""a"":""item"",""t"":""2005"",""n"":25948}","""baoshangpro"":120,""baojipro"":40,""dpspro"":8",1792
4,24,"{""a"":""attr"",""t"":""jinbi"",""n"":48000000},{""a"":""item"",""t"":""2005"",""n"":26460}","""baoshangpro"":125,""baojipro"":40,""dpspro"":8",1856
4,25,"{""a"":""attr"",""t"":""jinbi"",""n"":51000000},{""a"":""item"",""t"":""2005"",""n"":27873}","""baoshangpro"":133,""baojipro"":50,""dpspro"":10",2000
4,26,"{""a"":""attr"",""t"":""jinbi"",""n"":54000000},{""a"":""item"",""t"":""2005"",""n"":28685}","""baoshangpro"":137,""baojipro"":50,""dpspro"":10",2064
4,27,"{""a"":""attr"",""t"":""jinbi"",""n"":58000000},{""a"":""item"",""t"":""2005"",""n"":29797}","""baoshangpro"":142,""baojipro"":50,""dpspro"":10",2128
4,28,"{""a"":""attr"",""t"":""jinbi"",""n"":60000000},{""a"":""item"",""t"":""2005"",""n"":29910}","""baoshangpro"":147,""baojipro"":50,""dpspro"":10",2192
4,29,"{""a"":""attr"",""t"":""jinbi"",""n"":64000000},{""a"":""item"",""t"":""2005"",""n"":30000}","""baoshangpro"":152,""baojipro"":50,""dpspro"":10",2256
4,30,0,"""baoshangpro"":159,""baojipro"":60,""dpspro"":12",2400
5,0,"{""a"":""attr"",""t"":""jinbi"",""n"":160000},{""a"":""item"",""t"":""2005"",""n"":2600}","""skilldpspro"":0,""jingzhunpro"":0",0
5,1,"{""a"":""attr"",""t"":""jinbi"",""n"":320000},{""a"":""item"",""t"":""2005"",""n"":3300}","""skilldpspro"":4,""jingzhunpro"":2",64
5,2,"{""a"":""attr"",""t"":""jinbi"",""n"":480000},{""a"":""item"",""t"":""2005"",""n"":4645}","""skilldpspro"":9,""jingzhunpro"":2",128
5,3,"{""a"":""attr"",""t"":""jinbi"",""n"":660000},{""a"":""item"",""t"":""2005"",""n"":5755}","""skilldpspro"":13,""jingzhunpro"":2",192
5,4,"{""a"":""attr"",""t"":""jinbi"",""n"":820000},{""a"":""item"",""t"":""2005"",""n"":6497}","""skilldpspro"":18,""jingzhunpro"":2",256
5,5,"{""a"":""attr"",""t"":""jinbi"",""n"":940000},{""a"":""item"",""t"":""2005"",""n"":7651}","""skilldpspro"":25,""jingzhunpro"":10",400
5,6,"{""a"":""attr"",""t"":""jinbi"",""n"":1100000},{""a"":""item"",""t"":""2005"",""n"":8515}","""skilldpspro"":29,""jingzhunpro"":10",464
5,7,"{""a"":""attr"",""t"":""jinbi"",""n"":1500000},{""a"":""item"",""t"":""2005"",""n"":9659}","""skilldpspro"":34,""jingzhunpro"":10",528
5,8,"{""a"":""attr"",""t"":""jinbi"",""n"":2000000},{""a"":""item"",""t"":""2005"",""n"":10813}","""skilldpspro"":39,""jingzhunpro"":10",592
5,9,"{""a"":""attr"",""t"":""jinbi"",""n"":3000000},{""a"":""item"",""t"":""2005"",""n"":11567}","""skilldpspro"":43,""jingzhunpro"":10",656
5,10,"{""a"":""attr"",""t"":""jinbi"",""n"":6000000},{""a"":""item"",""t"":""2005"",""n"":12621}","""skilldpspro"":50,""jingzhunpro"":21",800
5,11,"{""a"":""attr"",""t"":""jinbi"",""n"":9000000},{""a"":""item"",""t"":""2005"",""n"":13475}","""skilldpspro"":55,""jingzhunpro"":21",864
5,12,"{""a"":""attr"",""t"":""jinbi"",""n"":12000000},{""a"":""item"",""t"":""2005"",""n"":14139}","""skilldpspro"":59,""jingzhunpro"":21",928
5,13,"{""a"":""attr"",""t"":""jinbi"",""n"":15000000},{""a"":""item"",""t"":""2005"",""n"":15183}","""skilldpspro"":64,""jingzhunpro"":21",992
5,14,"{""a"":""attr"",""t"":""jinbi"",""n"":18000000},{""a"":""item"",""t"":""2005"",""n"":16776}","""skilldpspro"":68,""jingzhunpro"":21",1056
5,15,"{""a"":""attr"",""t"":""jinbi"",""n"":21000000},{""a"":""item"",""t"":""2005"",""n"":17948}","""skilldpspro"":76,""jingzhunpro"":31",1200
5,16,"{""a"":""attr"",""t"":""jinbi"",""n"":24000000},{""a"":""item"",""t"":""2005"",""n"":18560}","""skilldpspro"":80,""jingzhunpro"":31",1264
5,17,"{""a"":""attr"",""t"":""jinbi"",""n"":27000000},{""a"":""item"",""t"":""2005"",""n"":19673}","""skilldpspro"":85,""jingzhunpro"":31",1328
5,18,"{""a"":""attr"",""t"":""jinbi"",""n"":30000000},{""a"":""item"",""t"":""2005"",""n"":20785}","""skilldpspro"":89,""jingzhunpro"":31",1392
5,19,"{""a"":""attr"",""t"":""jinbi"",""n"":35000000},{""a"":""item"",""t"":""2005"",""n"":21898}","""skilldpspro"":94,""jingzhunpro"":31",1456
5,20,"{""a"":""attr"",""t"":""jinbi"",""n"":38000000},{""a"":""item"",""t"":""2005"",""n"":22910}","""skilldpspro"":101,""jingzhunpro"":42",1600
5,21,"{""a"":""attr"",""t"":""jinbi"",""n"":40000000},{""a"":""item"",""t"":""2005"",""n"":23823}","""skilldpspro"":105,""jingzhunpro"":42",1664
5,22,"{""a"":""attr"",""t"":""jinbi"",""n"":42000000},{""a"":""item"",""t"":""2005"",""n"":24835}","""skilldpspro"":110,""jingzhunpro"":42",1728
5,23,"{""a"":""attr"",""t"":""jinbi"",""n"":46000000},{""a"":""item"",""t"":""2005"",""n"":25948}","""skilldpspro"":115,""jingzhunpro"":42",1792
5,24,"{""a"":""attr"",""t"":""jinbi"",""n"":48000000},{""a"":""item"",""t"":""2005"",""n"":26460}","""skilldpspro"":119,""jingzhunpro"":42",1856
5,25,"{""a"":""attr"",""t"":""jinbi"",""n"":51000000},{""a"":""item"",""t"":""2005"",""n"":27873}","""skilldpspro"":126,""jingzhunpro"":52",2000
5,26,"{""a"":""attr"",""t"":""jinbi"",""n"":54000000},{""a"":""item"",""t"":""2005"",""n"":28685}","""skilldpspro"":131,""jingzhunpro"":52",2064
5,27,"{""a"":""attr"",""t"":""jinbi"",""n"":58000000},{""a"":""item"",""t"":""2005"",""n"":29797}","""skilldpspro"":135,""jingzhunpro"":52",2128
5,28,"{""a"":""attr"",""t"":""jinbi"",""n"":60000000},{""a"":""item"",""t"":""2005"",""n"":29910}","""skilldpspro"":140,""jingzhunpro"":52",2192
5,29,"{""a"":""attr"",""t"":""jinbi"",""n"":64000000},{""a"":""item"",""t"":""2005"",""n"":30000}","""skilldpspro"":145,""jingzhunpro"":52",2256
5,30,0,"""skilldpspro"":152,""jingzhunpro"":63",2400
6,0,"{""a"":""attr"",""t"":""jinbi"",""n"":160000},{""a"":""item"",""t"":""2005"",""n"":2600}","""atk"":0,""dpspro"":0,""hppro"":0",0
6,1,"{""a"":""attr"",""t"":""jinbi"",""n"":320000},{""a"":""item"",""t"":""2005"",""n"":3300}","""atk"":10,""dpspro"":3,""hppro"":2",64
6,2,"{""a"":""attr"",""t"":""jinbi"",""n"":480000},{""a"":""item"",""t"":""2005"",""n"":4645}","""atk"":20,""dpspro"":3,""hppro"":2",128
6,3,"{""a"":""attr"",""t"":""jinbi"",""n"":660000},{""a"":""item"",""t"":""2005"",""n"":5755}","""atk"":30,""dpspro"":3,""hppro"":2",192
6,4,"{""a"":""attr"",""t"":""jinbi"",""n"":820000},{""a"":""item"",""t"":""2005"",""n"":6497}","""atk"":40,""dpspro"":3,""hppro"":2",256
6,5,"{""a"":""attr"",""t"":""jinbi"",""n"":940000},{""a"":""item"",""t"":""2005"",""n"":7651}","""atk"":56,""dpspro"":15,""hppro"":11",400
6,6,"{""a"":""attr"",""t"":""jinbi"",""n"":1100000},{""a"":""item"",""t"":""2005"",""n"":8515}","""atk"":66,""dpspro"":15,""hppro"":11",464
6,7,"{""a"":""attr"",""t"":""jinbi"",""n"":1500000},{""a"":""item"",""t"":""2005"",""n"":9659}","""atk"":77,""dpspro"":15,""hppro"":11",528
6,8,"{""a"":""attr"",""t"":""jinbi"",""n"":2000000},{""a"":""item"",""t"":""2005"",""n"":10813}","""atk"":87,""dpspro"":15,""hppro"":11",592
