技能id,技能类型,属性类型,技能系数,描述
42015221,1,atkpro,300,攻击增加30%
42015231,1,hppro,100,生命增加10%
42016211,1,baojipro,300,暴击增加30%
42016221,1,atkpro,350,攻击增加35%
42016231,1,hppro,150,生命增加15%
43044111,1,atkpro,300,攻击增加30%
43044121,1,baojipro,300,暴击增加30%
43045111,1,atkpro,300,攻击增加30%
43045121,1,baojipro,300,暴击增加30%
43046111,1,atkpro,300,攻击增加30%
43046121,1,baojipro,300,暴击增加30%
43056311,1,hppro,300,生命增加30%
44035311,1,jingzhunpro,100,精准增加10%
44035321,1,atkpro,150,攻击增加15%
44036311,1,jingzhunpro,150,攻击增加15%
44036321,1,atkpro,200,攻击增加20%
44045111,1,baojipro,300,暴击增加30%
44045121,1,baoshangpro,300,暴击伤害增加30%
44046111,1,baojipro,300,暴击增加30%
44046121,1,baoshangpro,400,暴击伤害增加40%
45034211,1,baoshangpro,500,暴击伤害增加50%
45035211,1,baoshangpro,600,暴击伤害增加60%
45045111,1,baojipro,300,暴击增加30%
45045121,1,baoshangpro,200,暴击伤害增加20%
45045131,1,atkpro,100,攻击增加10%
45045141,1,hppro,100,
45046111,1,baojipro,300,暴击增加30%
45046121,1,baoshangpro,250,暴击伤害增加25%
45046131,1,atkpro,200,攻击增加20%
45046141,1,hppro,200,
45055111,1,baojipro,300,暴击增加30%
45055121,1,atkpro,200,攻击增加20%
45056111,1,baojipro,300,暴击增加30%
45056121,1,atkpro,250,攻击增加25%
52045211,1,skilldpspro,625,技能伤害增加62.5%
52045221,1,hppro,200,生命增加20%
52045231,1,speed,43,速度增加40
52046211,1,skilldpspro,875,技能伤害增加87.5%
52046221,1,hppro,350,生命增加35%
52046231,1,speed,53,速度增加50
53016311,1,atkpro,200,攻击增加20%
61014121,1,atkpro,200,攻击增加20%
61015121,1,atkpro,300,攻击增加30%
61025111,1,hppro,200,生命增加20%
61025121,1,dpspro,240,伤增率增加24%
61025131,1,baojipro,200,暴击增加20%
61025141,1,undpspro,50,伤减率增加5%
61026111,1,hppro,300,生命增加30%
61026121,1,dpspro,300,伤增率增加30%
61026131,1,baojipro,220,暴击增加22%
61026141,1,undpspro,100,伤减率增加10%
62016311,1,atkpro,200,攻击增加20%
63025211,1,dpspro,360,伤增率增加36%
63025221,1,atkpro,150,攻击增加15%
63025231,1,hppro,160,生命增加15%
63025241,1,baojipro,100,暴击增加10%
63026211,1,dpspro,480,伤增率增加48%
63026221,1,atkpro,200,攻击增加20%
63026231,1,hppro,240,生命增加20%
63026241,1,baojipro,150,暴击增加15%
64013111,1,dpspro,180,伤增率增加18%
64013121,1,atkpro,200,攻击增加20%
1107a111,1,hppro,600,生命增加40%
1107a121,1,jingzhunpro,200,精准增加20%
1108a111,1,hppro,650,生命增加40%
1108a121,1,pojiapro,360,破甲增加36%
1203a211,1,pojiapro,320,破甲增加32%
1203a221,1,hppro,300,生命增加30%
1203a231,1,atkpro,300,攻击增加30%
1303a111,1,hppro,350,生命增加35%
1303a121,1,jingzhunpro,400,精准增加40%
1304a211,1,jingzhunpro,1000,精准增加45%
1304a221,1,atkpro,450,攻击增加45%
1304a231,1,hppro,1000,生命增加100%
1402a111,1,pojiapro,800,破甲增加80%
1402a121,1,hppro,150,生命增加15%
1403a111,1,pojiapro,400,破甲增加40%
1403a121,1,atkpro,250,攻击增加25%
1403a131,1,hppro,380,生命增加15%
1503a311,1,pojiapro,400,破甲增加40%
1503a321,1,atkpro,350,攻击增加35%
2103a111,1,atkpro,300,攻击增加30%
2103a121,1,hppro,350,生命增加35%
2104a111,1,defpro,480,护甲增加48%
2104a121,1,hppro,750,生命增加40%
2203a111,1,atkpro,400,攻击增加40%
2203a121,1,hppro,300,生命增加30%
2204a111,1,atkpro,250,攻击增加25%
2204a121,1,hppro,350,生命增加35%
2205a211,1,skilldpspro,950,技能伤害增加95%
2205a221,1,hppro,500,生命增加50%
2205a231,1,jingzhunpro,300,精准增30%
2303a211,1,hppro,600,生命增加35%
2303a221,1,atkpro,250,攻击增加25%
2402a111,1,gedangpro,300,格挡增加30%
2402a121,1,atkpro,400,攻击增加40%
2403a211,1,gedangpro,350,格挡增加35%
2403a221,1,atkpro,600,攻击增加40%
2403a231,1,hppro,450,生命增加40%
2506a111,1,pojiapro,320,破甲增加32%
2506a121,1,atkpro,400,攻击增加40%
2506a131,1,hppro,350,生命增加30%
2507a111,1,gedangpro,400,格挡增加40%
2507a121,1,speed,60,速度增加60
2507a131,1,hppro,600,生命增加25%
3107a211,1,defpro,400,护甲增加40%
3107a221,1,hppro,700,生命增加40%
3108a111,1,defpro,400,护甲增加40%
3108a121,1,hppro,800,生命增加40%
3203a111,1,atkpro,300,攻击增加30%
3302a311,1,atkpro,250,攻击增加25%
3302a321,1,hppro,200,生命增加20%
3402a111,1,atkpro,350,攻击增加35%
3402a121,1,baojipro,300,暴击增加30%
3402a131,1,hppro,600,生命增加20%
3503a211,1,atkpro,500,攻击增加50%
3503a221,1,baoshangpro,300,暴击伤害增加30%
3503a231,1,hppro,250,生命增加16%
3504a111,1,atkpro,350,攻击增加35%
3504a121,1,hppro,300,生命增加30%
4105a111,1,hppro,400,生命增加40%
4105a121,1,defpro,450,护甲增加45%
4106a211,1,hppro,440,生命增加44%
4106a221,1,undpspro,260,伤减率增加26%
4201a211,1,baojipro,300,暴击增加30%
4201a221,1,atkpro,450,攻击增加45%
4201a231,1,hppro,200,生命增加20%
4304a111,1,atkpro,400,攻击增加40%
4304a121,1,baojipro,400,暴击增加40%
4305a311,1,hppro,400,生命增加40%
4403a311,1,jingzhunpro,200,精准增加20%
4403a321,1,atkpro,250,攻击增加25%
4404a111,1,baojipro,300,暴击增加30%
4404a121,1,baoshangpro,500,暴击伤害增加50%
4504a111,1,baojipro,300,暴击增加30%
4504a121,1,baoshangpro,300,暴击伤害增加30%
4504a131,1,atkpro,300,攻击增加30%
4504a141,1,hppro,300,生命增加30%
4505a111,1,baojipro,400,暴击增加40%
4505a121,1,atkpro,300,攻击增加30%
5101a311,1,hppro,300,生命增加20%
5204a211,1,skilldpspro,1000,技能伤害增加100%
5204a221,1,hppro,700,生命增加40%
5204a231,1,speed,63,速度增加60
5301a311,1,atkpro,300,攻击增加30%
6102a111,1,hppro,400,生命增加40%
6102a121,1,dpspro,360,伤增率增加36%
6102a131,1,baojipro,350,暴击增加35%
6102a141,1,undpspro,300,伤害减免加25%
6201a311,1,atkpro,300,攻击增加30%
6302a211,1,dpspro,600,伤增率增加60%
6302a221,1,atkpro,250,攻击增加25%
6302a231,1,hppro,360,生命增加20%
6302a241,1,baojipro,200,暴击增加20%
31095111,1,undpspro,60,伤害减免增加6%
31096111,1,undpspro,90,伤害减免增加9%
3109a111,1,undpspro,120,伤害减免增加12%
31095211,1,atkpro,150,攻击永久增加10%
31096211,1,atkpro,200,攻击永久增加15%
3109a211,1,atkpro,250,攻击永久增加20%
31095311,1,defpro,300,防御增加15%
31096311,1,defpro,350,防御增加25%
3109a311,1,defpro,450,防御增加35%
31095321,1,hppro,300,生命增加30%
31096321,1,hppro,400,生命增加40%
3109a321,1,hppro,500,生命增加50%
12013111,1,atkpro,180,攻击提升18%
12013121,1,hppro,150,血量提升15%
14013111,1,atkpro,250,攻击增加25%
11044211,1,hppro,300,生命增加30%
11045211,1,hppro,400,生命增加40%
11054111,1,hppro,200,血量提升20%
11054121,1,atkpro,150,攻击提升15%
11055111,1,hppro,250,血量提升25%
11055121,1,atkpro,200,攻击提升20%
11064111,1,defpro,250,防御提升25%
11065111,1,defpro,350,防御提升35%
15014111,1,atkpro,200,攻击提升20%
15015111,1,atkpro,300,攻击提升30%
15024211,1,pojiapro,150,破甲提升15%
15024221,1,baojipro,150,暴击提升15%
15025211,1,pojiapro,200,破甲提升20%
15025221,1,baojipro,200,暴击提升20%
22012111,1,hppro,250,生命提升25%
24013111,1,hppro,100,血量提升10%
24013121,1,gedangpro,100,闪避提升10%
25023111,1,hppro,100,血量提升10%
25023121,1,gedangpro,100,闪避提升10%
21014111,1,undpspro,100,伤害减免增加10%
21014121,1,hppro,100,生命增加10%
21015111,1,undpspro,150,伤害减免增加15%
21015121,1,hppro,150,生命增加15%
21024111,1,defpro,350,防御提升35%
21025111,1,defpro,550,防御提升55%
22024111,1,atkpro,200,攻击增加20%
22025111,1,atkpro,300,攻击增加30%
25044111,1,gedangpro,100,格挡提升10%
25044121,1,pojiapro,100,破甲提升10%
25044211,1,baojipro,200,暴击提升20%
25045111,1,gedangpro,150,格挡提升15%
25045121,1,pojiapro,150,破甲提升15%
25045211,1,baojipro,300,暴击提升30%
25054111,1,atkpro,100,攻击提升10%
25054121,1,gedangpro,100,格挡提升10%
25055111,1,atkpro,150,攻击提升15%
25055121,1,gedangpro,150,格挡提升15%
31012111,1,hppro,250,生命提升25%
31023111,1,defpro,350,护甲提升35%
31033111,1,atkpro,200,攻击提升20%
35013111,1,hppro,100,血量提升10%
35013121,1,gedangpro,100,闪避提升10%
31044111,1,defpro,350,防御增加35%
31045111,1,defpro,450,防御增加45%
31054211,1,baojipro,100,暴击提升10%
31054221,1,atkpro,150,攻击提升15%
31055211,1,baojipro,150,暴击提升15%
31055221,1,atkpro,200,攻击提升20%
31064211,1,gedangpro,100,格挡增加10%
31064221,1,atkpro,100,攻击增加10%
31065211,1,gedangpro,150,格挡增加15%
31065221,1,atkpro,150,攻击增加15%
34014111,1,skilldpspro,250,技能伤害增加25%
34015111,1,skilldpspro,300,技能伤害增加30%
41013111,1,hppro,150,生命提升15%
41013121,1,speed,10,速度提升10点
41023111,1,hppro,200,血量提升20%
45013111,1,defpro,200,防御增加20%
41034111,1,hppro,150,血量提升15%
41034121,1,defpro,150,防御提升15%
41035111,1,hppro,200,血量提升20%
41035121,1,defpro,200,防御提升20%
41044111,1,pojiapro,200,破甲提升20%
41044121,1,hppro,200,血量提升20%
41045111,1,pojiapro,250,破甲提升25%
41045121,1,hppro,250,血量提升25%
44024111,1,pojiapro,200,破甲提升20%
44024121,1,atkpro,200,攻击提升20%
44025111,1,pojiapro,250,破甲提升25%
44025121,1,atkpro,250,攻击提升25%
45034111,1,pojiapro,350,破甲增加35%
45035111,1,pojiapro,500,破甲增加50%
52013111,1,atkpro,200,攻击增加20%
52013121,1,hppro,200,生命增加20%
52024111,1,atkpro,200,攻击提升20%
52024121,1,hppro,200,生命增加20%
52025111,1,atkpro,300,攻击提升30%
52025121,1,hppro,300,生命增加30%
52034111,1,atkpro,250,攻击提升25%
52034121,1,hppro,205,生命增加20.5%
52035111,1,atkpro,250,攻击提升25%
52035121,1,hppro,205,生命增加20.5%
61014111,1,defpro,400,护甲提升40%
61015111,1,defpro,450,护甲提升45%
63014111,1,atkpro,150,攻击提升15%，
63014121,1,dpspro,250,伤害增加25%
63014211,1,skilldpspro,200,技能伤害增加20%
63015111,1,atkpro,200,攻击提升20%
63015121,1,dpspro,300,伤害增加30%
63015211,1,skilldpspro,350,技能伤害增加35%
43065311,1,hppro,200,生命永久增加20%
43066311,1,hppro,300,生命永久增加30%
4306a311,1,hppro,400,生命永久增加40%
43065211,1,speed,10,速度增加10
43066211,1,speed,15,速度增加15
4306a211,1,speed,20,速度增加20
1001,1,hppro,122,生命增加12%
1011,1,atkpro,81,攻击增加8%
1281,1,gedangpro,200,被动效果：格挡增加20%
55015111,1,speed,20,速度增加20
55015121,1,pojiapro,200,破甲增加20%
55016111,1,speed,40,速度增加40
55016121,1,pojiapro,300,破甲增加30%
5501a111,1,speed,60,速度增加60
5501a121,1,pojiapro,400,破甲增加40%
55015311,1,hppro,200,生命永久增加20%
55016311,1,hppro,250,生命永久增加25%
5501a311,1,hppro,300,生命永久增加30%
65015211,1,atkpro,225,攻击增加17.5%
65016211,1,atkpro,305,攻击增加22.5%
6501a211,1,atkpro,420,攻击增加30.5%
65015221,1,speed,26,速度增加26
65016221,1,speed,34,速度增加34
6501a221,1,speed,42,速度增加42
65015231,1,miankongpro,100,免控增加10%
65016231,1,miankongpro,150,免控增加15%
6501a231,1,miankongpro,200,免控增加20%
22065211,1,hppro,150,生命增加20%
22066211,1,hppro,225,生命增加30%
2206a211,1,hppro,300,生命增加40%
22065221,1,atkpro,100,攻击增加10%
22066221,1,atkpro,100,攻击增加15%
2206a221,1,atkpro,150,攻击增加20%
22065231,1,baoshangpro,100,暴击伤害增加10%
22066231,1,baoshangpro,175,暴击伤害增加17.5%
2206a231,1,baoshangpro,250,暴击伤害增加25%
22065241,1,baojipro,100,暴击率增加10%
22066241,1,baojipro,150,暴击率增加20%
2206a241,1,baojipro,200,暴击率增加30%
14055211,1,hppro,100,生命增加10%
14056211,1,hppro,150,生命增加15%
1405a211,1,hppro,300,生命增加30%
14055221,1,atkpro,200,攻击增加20%
14056221,1,atkpro,250,攻击增加25%
1405a221,1,atkpro,350,攻击增加30%
14055231,1,jingzhunpro,200,精准增20%
14056231,1,jingzhunpro,350,精准增35%
1405a231,1,jingzhunpro,500,精准增50%
14055241,1,pojiapro,240,破甲提升24%
14056241,1,pojiapro,280,破甲提升28%
1405a241,1,pojiapro,320,破甲提升32%
55025111,1,skilldpspro,375,技能伤害增加37.5%
55025121,1,atkpro,200,攻击增加20%
55026111,1,skilldpspro,500,技能伤害增加50%
55026121,1,atkpro,250,攻击增加25%
5502a111,1,skilldpspro,625,技能伤害增加62.5%
5502a121,1,atkpro,300,攻击增加30%
55025131,1,hppro,200,生命永久增加20%
55026131,1,hppro,250,生命永久增加25%
5502a131,1,hppro,400,生命永久增加40%
31105211,1,hppro,200,被动技能：生命增加20%、攻击增加15%、护甲增加20%。
31106211,1,hppro,300,被动技能：生命增加30%、攻击增加25%、护甲增加32%。
3110a211,1,hppro,400,被动技能：生命增加40%、攻击增加35%、护甲增加40%。
31105221,,atkpro,150,被动技能：生命增加20%、攻击增加15%、护甲增加20%。
31106221,,atkpro,250,被动技能：生命增加30%、攻击增加25%、护甲增加32%。
3110a221,,atkpro,350,被动技能：生命增加40%、攻击增加35%、护甲增加40%。
31105231,1,dpspro,200,被动技能：生命增加20%、攻击增加15%、护甲增加20%。
31106231,1,dpspro,300,被动技能：生命增加30%、攻击增加25%、护甲增加32%。
3110a231,1,dpspro,400,被动技能：生命增加40%、攻击增加35%、护甲增加40%。
43075114,1,atkpro,150,被动技能：攻击增加15%、生命增加15%、暴击增加15%、精准增加20%
43076114,1,atkpro,200,被动技能：攻击增加20%、生命增加20%、暴击增加20%、精准增加35%
4307a114,1,atkpro,300,被动技能：攻击增加30%、生命增加25%、暴击增加35%、精准增加50%
43075124,1,hppro,150,被动技能：攻击增加15%、生命增加15%、暴击增加15%、精准增加20%
43076124,1,hppro,200,被动技能：攻击增加20%、生命增加20%、暴击增加20%、精准增加35%
4307a124,1,hppro,250,被动技能：攻击增加30%、生命增加25%、暴击增加35%、精准增加50%
43075134,1,baojipro,150,被动技能：攻击增加15%、生命增加15%、暴击增加15%、精准增加20%
43076134,1,baojipro,200,被动技能：攻击增加20%、生命增加20%、暴击增加20%、精准增加35%
4307a134,1,baojipro,350,被动技能：攻击增加30%、生命增加25%、暴击增加35%、精准增加50%
43075144,1,jingzhunpro,200,被动技能：攻击增加15%、生命增加15%、暴击增加15%、精准增加20%
43076144,1,jingzhunpro,350,被动技能：攻击增加20%、生命增加20%、暴击增加20%、精准增加35%
4307a144,1,jingzhunpro,500,被动技能：攻击增加30%、生命增加25%、暴击增加35%、精准增加50%
64025311,1,dpspro,200,被动效果：伤害增加20%，速度增加20点，暴击增加15%，免疫眩晕
64026311,1,dpspro,450,被动效果：伤害增加45%，速度增加40点，暴击增加20%，免疫眩晕
6402a311,1,dpspro,700,被动效果：伤害增加70%，速度增加60点，暴击增加30%，免疫眩晕
64025321,1,speed,20,被动效果：伤害增加20%，速度增加20点，暴击增加15%，免疫眩晕
64026321,1,speed,40,被动效果：伤害增加45%，速度增加40点，暴击增加20%，免疫眩晕
6402a321,1,speed,60,被动效果：伤害增加70%，速度增加60点，暴击增加30%，免疫眩晕
64025331,1,baojipro,150,被动效果：伤害增加20%，速度增加20点，暴击增加15%，免疫眩晕
64026331,1,baojipro,200,被动效果：伤害增加45%，速度增加40点，暴击增加20%，免疫眩晕
6402a331,1,baojipro,300,被动效果：伤害增加70%，速度增加60点，暴击增加30%，免疫眩晕
11085131,1,atkpro,100,攻击加10%
11086131,1,atkpro,150,攻击加15%
1108a131,1,atkpro,250,攻击加25%
21055211,1,defpro,300,被动效果：护甲增加24%，攻击增加10%，生命增加15%，命中增加10%
21056211,1,defpro,450,被动效果：护甲增加36%，攻击增加15%，生命增加20%，命中增加20%
2105a211,1,defpro,600,被动效果：护甲增加48%，攻击增加20%，生命增加30%，命中增加30%
21055221,1,atkpro,100,被动效果：护甲增加24%，攻击增加10%，生命增加15%，命中增加10%
21056221,1,atkpro,150,被动效果：护甲增加36%，攻击增加15%，生命增加20%，命中增加20%
2105a221,1,atkpro,200,被动效果：护甲增加48%，攻击增加20%，生命增加30%，命中增加30%
21055231,1,hppro,150,被动效果：护甲增加24%，攻击增加10%，生命增加15%，命中增加10%
21056231,1,hppro,200,被动效果：护甲增加36%，攻击增加15%，生命增加20%，命中增加20%
2105a231,1,hppro,300,被动效果：护甲增加48%，攻击增加20%，生命增加30%，命中增加30%
21055241,1,baojipro,100,被动效果：护甲增加24%，攻击增加10%，生命增加15%，命中增加10%
21056241,1,baojipro,200,被动效果：护甲增加36%，攻击增加15%，生命增加20%，命中增加20%
2105a241,1,baojipro,300,被动效果：护甲增加48%，攻击增加20%，生命增加30%，命中增加30%
21055251,1,gedangpro,100,被动效果：格挡增加10%
21056251,1,gedangpro,150,被动效果：格挡增加15%
2105a251,1,gedangpro,200,被动效果：格挡增加20%
11095201,1,gedangpro,150,被动效果：格挡增加15%，生命增加20%，护甲增加15%，免疫冰冻
11096201,1,gedangpro,250,被动效果：格挡增加25%，生命增加30%，免疫冰冻
1109a201,1,gedangpro,350,被动效果：格挡增加35%，生命增加40%，免疫冰冻
11095211,1,hppro,200,被动效果：格挡增加15%，生命增加20%，护甲增加15%，免疫冰冻
11096211,1,hppro,300,被动效果：格挡增加25%，生命增加30%，免疫冰冻
1109a211,1,hppro,400,被动效果：格挡增加35%，生命增加40%，免疫冰冻
11095221,1,defpro,150,被动效果：格挡增加15%，生命增加20%，护甲增加15%，免疫冰冻
52055201,1,hppro,200,被动效果：生命增加20%，减伤率增加10%，速度增加20点，免控率增加50%
52056201,1,hppro,300,被动效果：生命增加30%，减伤率增加20%，速度增加40点，免控率增加75%
5205a201,1,hppro,400,被动效果：生命增加40%，减伤率增加30%，速度增加60点，免控率增加100%
52055211,1,undpspro,100,被动效果：生命增加20%，减伤率增加10%，速度增加20点，免控率增加50%
52056211,1,undpspro,200,被动效果：生命增加30%，减伤率增加20%，速度增加40点，免控率增加75%
5205a211,1,undpspro,300,被动效果：生命增加40%，减伤率增加30%，速度增加60点，免控率增加100%
52055221,1,speed,20,被动效果：生命增加20%，减伤率增加10%，速度增加20点，免控率增加50%
52056221,1,speed,40,被动效果：生命增加30%，减伤率增加20%，速度增加40点，免控率增加75%
5205a221,1,speed,60,被动效果：生命增加40%，减伤率增加30%，速度增加60点，免控率增加100%
52055231,1,miankongpro,500,被动效果：生命增加20%，减伤率增加10%，速度增加20点，免控率增加50%
52056231,1,miankongpro,750,被动效果：生命增加30%，减伤率增加20%，速度增加40点，免控率增加75%
5205a231,1,miankongpro,1000,被动效果：生命增加40%，减伤率增加30%，速度增加60点，免控率增加100%
33035201,1,hppro,200,被动效果：生命增加20%，速度增加20，减伤率增加10%
33036201,1,hppro,250,被动效果：生命增加25%，速度增加40，减伤率增加15%
3303a201,1,hppro,300,被动效果：生命增加30%，速度增加60，减伤率增加20%
33035211,1,speed,20,被动效果：生命增加20%，速度增加20，减伤率增加10%
33036211,1,speed,40,被动效果：生命增加25%，速度增加40，减伤率增加15%
3303a211,1,speed,60,被动效果：生命增加30%，速度增加60，减伤率增加20%
33035221,1,undpspro,100,被动效果：生命增加20%，速度增加20，减伤率增加10%
33036221,1,undpspro,150,被动效果：生命增加25%，速度增加40，减伤率增加15%
3303a221,1,undpspro,200,被动效果：生命增加30%，速度增加60，减伤率增加20%
44055101,1,atkpro,200,被动效果：攻击增加20%，暴击增加20%，生命增加10%
44056101,1,atkpro,250,被动效果：攻击增加25%，暴击增加25%，生命增加15%
4405a101,1,atkpro,300,被动效果：攻击增加30%，暴击增加30%，生命增加20%
44055111,1,baojipro,200,被动效果：攻击增加20%，暴击增加20%，生命增加10%
44056111,1,baojipro,250,被动效果：攻击增加25%，暴击增加25%，生命增加15%
4405a111,1,baojipro,300,被动效果：攻击增加30%，暴击增加30%，生命增加20%
44055121,1,hppro,100,被动效果：攻击增加20%，暴击增加20%，生命增加10%
44056121,1,hppro,150,被动效果：攻击增加25%，暴击增加25%，生命增加15%
4405a121,1,hppro,200,被动效果：攻击增加30%，暴击增加30%，生命增加20%
31115201,1,hppro,150,被动效果：生命增加15%，攻击增加15%，免控率增加20%，对眩晕目标伤害增加30%
31116201,1,hppro,250,被动效果：生命增加25%，攻击增加25%，免控率增加25%，对眩晕目标伤害增加60%
