NPC编号,NPC头像,位置,NPC等级,英雄ID,阶位,属性,放大系数,,,,,,,,,
28,41023,1,24,41023,1,"""atk"":1.017,""hp"":1.017",1,,,,,,,,,
28,41023,2,24,41023,1,"""atk"":1.017,""hp"":1.017",1,,,,,,,,,
28,41023,3,24,43023,1,"""atk"":1.017,""hp"":1.017",1,,,,,,,,,
28,41023,4,24,41013,1,"""atk"":1.017,""hp"":1.017",1,,,,,,,,,
28,41023,5,24,41013,1,"""atk"":1.017,""hp"":1.017",1,,,,,,,,,
28,41023,6,24,45013,1,"""atk"":1.017,""hp"":1.017",1,,,,,,,,,
29,11033,1,25,11033,1,"""atk"":1.02,""hp"":1.02",1,,,,,,,,,
29,11033,2,25,11033,1,"""atk"":1.02,""hp"":1.02",1,,,,,,,,,
29,11033,3,25,12013,1,"""atk"":1.02,""hp"":1.02",1,,,,,,,,,
29,11033,4,25,13012,1,"""atk"":1.02,""hp"":1.02",1,,,,,,,,,
29,11033,5,25,13023,1,"""atk"":1.02,""hp"":1.02",1,,,,,,,,,
29,11033,6,25,12013,1,"""atk"":1.02,""hp"":1.02",1,,,,,,,,,
30,25033,1,26,25033,1,"""atk"":1.278,""hp"":3.926",1.4,,,,,,,,,
30,25033,3,26,23013,1,"""atk"":1.278,""hp"":3.926",1.4,,,,,,,,,
30,25033,6,26,25023,1,"""atk"":1.278,""hp"":3.926",1.4,,,,,,,,,
31,31033,1,27,31033,1,"""atk"":1.025,""hp"":1.025",1,,,,,,,,,
31,31033,2,27,31023,1,"""atk"":1.025,""hp"":1.025",1,,,,,,,,,
31,31033,3,27,32023,1,"""atk"":1.025,""hp"":1.025",1,,,,,,,,,
31,31033,4,27,32023,1,"""atk"":1.025,""hp"":1.025",1,,,,,,,,,
31,31033,5,27,35013,1,"""atk"":1.025,""hp"":1.025",1,,,,,,,,,
31,31033,6,27,35023,1,"""atk"":1.025,""hp"":1.025",1,,,,,,,,,
32,41023,1,28,41023,1,"""atk"":1.027,""hp"":1.027",1,,,,,,,,,
32,41023,2,28,41023,1,"""atk"":1.027,""hp"":1.027",1,,,,,,,,,
32,41023,3,28,45013,1,"""atk"":1.027,""hp"":1.027",1,,,,,,,,,
32,41023,4,28,45013,1,"""atk"":1.027,""hp"":1.027",1,,,,,,,,,
32,41023,5,28,41013,1,"""atk"":1.027,""hp"":1.027",1,,,,,,,,,
32,41023,6,28,41013,1,"""atk"":1.027,""hp"":1.027",1,,,,,,,,,
33,11023,1,29,11023,1,"""atk"":1.03,""hp"":1.03",1,,,,,,,,,
33,11023,2,29,11023,1,"""atk"":1.03,""hp"":1.03",1,,,,,,,,,
33,11023,3,29,12013,1,"""atk"":1.03,""hp"":1.03",1,,,,,,,,,
33,11023,4,29,12013,1,"""atk"":1.03,""hp"":1.03",1,,,,,,,,,
33,11023,5,29,13023,1,"""atk"":1.03,""hp"":1.03",1,,,,,,,,,
33,11023,6,29,13012,1,"""atk"":1.03,""hp"":1.03",1,,,,,,,,,
34,24013,1,30,24013,1,"""atk"":1.032,""hp"":1.032",1,,,,,,,,,
34,24013,2,30,25033,1,"""atk"":1.032,""hp"":1.032",1,,,,,,,,,
34,24013,3,30,22012,1,"""atk"":1.032,""hp"":1.032",1,,,,,,,,,
34,24013,4,30,25023,1,"""atk"":1.032,""hp"":1.032",1,,,,,,,,,
34,24013,5,30,22012,1,"""atk"":1.032,""hp"":1.032",1,,,,,,,,,
34,24013,6,30,23023,1,"""atk"":1.032,""hp"":1.032",1,,,,,,,,,
35,31033,1,31,31033,1,"""atk"":1.035,""hp"":1.086",1,,,,,,,,,
35,31033,2,31,31023,1,"""atk"":1.035,""hp"":1.086",1,,,,,,,,,
35,31033,3,31,32023,1,"""atk"":1.035,""hp"":1.086",1,,,,,,,,,
35,31033,4,31,31012,1,"""atk"":1.035,""hp"":1.086",1,,,,,,,,,
35,31033,5,31,35013,1,"""atk"":1.035,""hp"":1.086",1,,,,,,,,,
35,31033,6,31,35023,1,"""atk"":1.035,""hp"":1.086",1,,,,,,,,,
36,41023,1,32,41023,2,"""atk"":1.037,""hp"":1.037",1,,,,,,,,,
36,41023,2,32,41023,1,"""atk"":1.037,""hp"":1.037",1,,,,,,,,,
36,41023,3,32,45013,1,"""atk"":1.037,""hp"":1.037",1,,,,,,,,,
36,41023,4,32,43023,1,"""atk"":1.037,""hp"":1.037",1,,,,,,,,,
36,41023,5,32,43023,1,"""atk"":1.037,""hp"":1.037",1,,,,,,,,,
36,41023,6,32,45023,1,"""atk"":1.037,""hp"":1.037",1,,,,,,,,,
37,11023,1,33,11023,2,"""atk"":1.04,""hp"":1.04",1,,,,,,,,,
37,11023,2,33,11023,2,"""atk"":1.04,""hp"":1.04",1,,,,,,,,,
37,11023,3,33,13012,1,"""atk"":1.04,""hp"":1.04",1,,,,,,,,,
37,11023,4,33,13023,1,"""atk"":1.04,""hp"":1.04",1,,,,,,,,,
37,11023,5,33,13012,1,"""atk"":1.04,""hp"":1.04",1,,,,,,,,,
37,11023,6,33,13023,1,"""atk"":1.04,""hp"":1.04",1,,,,,,,,,
38,25033,1,34,25033,2,"""atk"":1.042,""hp"":1.042",1,,,,,,,,,
38,25033,2,34,25033,2,"""atk"":1.042,""hp"":1.042",1,,,,,,,,,
38,25033,3,34,25023,2,"""atk"":1.042,""hp"":1.042",1,,,,,,,,,
38,25033,4,34,22012,1,"""atk"":1.042,""hp"":1.042",1,,,,,,,,,
38,25033,5,34,25023,1,"""atk"":1.042,""hp"":1.042",1,,,,,,,,,
38,25033,6,34,23023,1,"""atk"":1.042,""hp"":1.042",1,,,,,,,,,
39,31033,1,35,31033,2,"""atk"":1.045,""hp"":1.045",1,,,,,,,,,
39,31033,2,35,31033,2,"""atk"":1.045,""hp"":1.045",1,,,,,,,,,
39,31033,3,35,35013,2,"""atk"":1.045,""hp"":1.045",1,,,,,,,,,
39,31033,4,35,35023,2,"""atk"":1.045,""hp"":1.045",1,,,,,,,,,
39,31033,5,35,31012,1,"""atk"":1.045,""hp"":1.045",1,,,,,,,,,
39,31033,6,35,31012,1,"""atk"":1.045,""hp"":1.045",1,,,,,,,,,
40,41023,1,36,41023,2,"""atk"":1.309,""hp"":4.022",1.4,,,,,,,,,
40,41023,3,36,45023,2,"""atk"":1.309,""hp"":4.022",1.4,,,,,,,,,
40,41023,6,36,43023,1,"""atk"":1.309,""hp"":4.022",1.4,,,,,,,,,
41,11023,1,37,11023,2,"""atk"":1.05,""hp"":1.05",1,,,,,,,,,
41,11023,2,37,11023,2,"""atk"":1.05,""hp"":1.05",1,,,,,,,,,
41,11023,3,37,12013,2,"""atk"":1.05,""hp"":1.05",1,,,,,,,,,
41,11023,4,37,12013,2,"""atk"":1.05,""hp"":1.05",1,,,,,,,,,
41,11023,5,37,12013,2,"""atk"":1.05,""hp"":1.05",1,,,,,,,,,
41,11023,6,37,14013,2,"""atk"":1.05,""hp"":1.05",1,,,,,,,,,
42,24013,1,38,24013,2,"""atk"":1.052,""hp"":1.052",1,,,,,,,,,
42,24013,2,38,25033,2,"""atk"":1.052,""hp"":1.052",1,,,,,,,,,
42,24013,3,38,22012,2,"""atk"":1.052,""hp"":1.052",1,,,,,,,,,
42,24013,4,38,23023,2,"""atk"":1.052,""hp"":1.052",1,,,,,,,,,
42,24013,5,38,22012,2,"""atk"":1.052,""hp"":1.052",1,,,,,,,,,
42,24013,6,38,23023,2,"""atk"":1.052,""hp"":1.052",1,,,,,,,,,
43,31033,1,39,31033,2,"""atk"":1.055,""hp"":1.055",1,,,,,,,,,
43,31033,2,39,31033,2,"""atk"":1.055,""hp"":1.055",1,,,,,,,,,
43,31033,3,39,32023,2,"""atk"":1.055,""hp"":1.055",1,,,,,,,,,
43,31033,4,39,35013,2,"""atk"":1.055,""hp"":1.055",1,,,,,,,,,
43,31033,5,39,31012,2,"""atk"":1.055,""hp"":1.055",1,,,,,,,,,
43,31033,6,39,31012,2,"""atk"":1.055,""hp"":1.055",1,,,,,,,,,
44,43012,1,40,43012,2,"""atk"":1.057,""hp"":1.057",1,,,,,,,,,
44,43012,2,40,41023,2,"""atk"":1.057,""hp"":1.057",1,,,,,,,,,
44,43012,3,40,43023,2,"""atk"":1.057,""hp"":1.057",1,,,,,,,,,
44,43012,4,40,45013,2,"""atk"":1.057,""hp"":1.057",1,,,,,,,,,
44,43012,5,40,45023,2,"""atk"":1.057,""hp"":1.057",1,,,,,,,,,
44,43012,6,40,43023,2,"""atk"":1.057,""hp"":1.057",1,,,,,,,,,
45,11023,1,41,11023,2,"""atk"":1.06,""hp"":1.113",1,,,,,,,,,
45,11023,2,41,11023,2,"""atk"":1.06,""hp"":1.113",1,,,,,,,,,
45,11023,3,41,13023,2,"""atk"":1.06,""hp"":1.113",1,,,,,,,,,
45,11023,4,41,14013,2,"""atk"":1.06,""hp"":1.113",1,,,,,,,,,
45,11023,5,41,12013,2,"""atk"":1.06,""hp"":1.113",1,,,,,,,,,
45,11023,6,41,13012,2,"""atk"":1.06,""hp"":1.113",1,,,,,,,,,
46,21034,1,42,21034,3,"""atk"":1.062,""hp"":1.062",1,,,,,,,,,
46,21034,2,42,21024,2,"""atk"":1.062,""hp"":1.062",1,,,,,,,,,
46,21034,3,42,22034,2,"""atk"":1.062,""hp"":1.062",1,,,,,,,,,
46,21034,4,42,24013,2,"""atk"":1.062,""hp"":1.062",1,,,,,,,,,
46,21034,5,42,25033,2,"""atk"":1.062,""hp"":1.062",1,,,,,,,,,
46,21034,6,42,25033,2,"""atk"":1.062,""hp"":1.062",1,,,,,,,,,
47,33024,1,43,33024,3,"""atk"":1.065,""hp"":1.065",1,,,,,,,,,
47,33024,2,43,31044,3,"""atk"":1.065,""hp"":1.065",1,,,,,,,,,
47,33024,3,43,33014,2,"""atk"":1.065,""hp"":1.065",1,,,,,,,,,
47,33024,4,43,35023,2,"""atk"":1.065,""hp"":1.065",1,,,,,,,,,
47,33024,5,43,32034,2,"""atk"":1.065,""hp"":1.065",1,,,,,,,,,
47,33024,6,43,32044,2,"""atk"":1.065,""hp"":1.065",1,,,,,,,,,
48,41044,1,44,41044,3,"""atk"":1.067,""hp"":1.067",1,,,,,,,,,
48,41044,2,44,41044,3,"""atk"":1.067,""hp"":1.067",1,,,,,,,,,
48,41044,3,44,43023,3,"""atk"":1.067,""hp"":1.067",1,,,,,,,,,
48,41044,4,44,43044,2,"""atk"":1.067,""hp"":1.067",1,,,,,,,,,
48,41044,5,44,41013,2,"""atk"":1.067,""hp"":1.067",1,,,,,,,,,
48,41044,6,44,43054,2,"""atk"":1.067,""hp"":1.067",1,,,,,,,,,
49,52024,1,45,52024,3,"""atk"":1.07,""hp"":1.07",1,,,,,,,,,
49,52024,2,45,53014,3,"""atk"":1.07,""hp"":1.07",1,,,,,,,,,
49,52024,3,45,52034,3,"""atk"":1.07,""hp"":1.07",1,,,,,,,,,
49,52024,4,45,52034,3,"""atk"":1.07,""hp"":1.07",1,,,,,,,,,
49,52024,5,45,52034,2,"""atk"":1.07,""hp"":1.07",1,,,,,,,,,
49,52024,6,45,52034,2,"""atk"":1.07,""hp"":1.07",1,,,,,,,,,
50,62014,1,46,62014,3,"""atk"":1.34,""hp"":4.118",1.4,,,,,,,,,
50,62014,3,46,64013,3,"""atk"":1.34,""hp"":4.118",1.4,,,,,,,,,
50,62014,6,46,63014,2,"""atk"":1.34,""hp"":4.118",1.4,,,,,,,,,
51,61014,1,47,61014,3,"""atk"":1.075,""hp"":1.075",1,,,,,,,,,
51,61014,2,47,52024,3,"""atk"":1.075,""hp"":1.075",1,,,,,,,,,
51,61014,3,47,23023,3,"""atk"":1.075,""hp"":1.075",1,,,,,,,,,
51,61014,4,47,32034,3,"""atk"":1.075,""hp"":1.075",1,,,,,,,,,
51,61014,5,47,44024,3,"""atk"":1.075,""hp"":1.075",1,,,,,,,,,
51,61014,6,47,14013,3,"""atk"":1.075,""hp"":1.075",1,,,,,,,,,
52,11054,1,48,11054,3,"""atk"":1.077,""hp"":1.077",1,,,,,,,,,
52,11054,2,48,11064,3,"""atk"":1.077,""hp"":1.077",1,,,,,,,,,
52,11054,3,48,12024,3,"""atk"":1.077,""hp"":1.077",1,,,,,,,,,
52,11054,4,48,13023,3,"""atk"":1.077,""hp"":1.077",1,,,,,,,,,
52,11054,5,48,14013,3,"""atk"":1.077,""hp"":1.077",1,,,,,,,,,
52,11054,6,48,14024,3,"""atk"":1.077,""hp"":1.077",1,,,,,,,,,
53,21014,1,49,21014,3,"""atk"":1.08,""hp"":1.08",1,,,,,,,,,
53,21014,2,49,25054,3,"""atk"":1.08,""hp"":1.08",1,,,,,,,,,
53,21014,3,49,25033,3,"""atk"":1.08,""hp"":1.08",1,,,,,,,,,
53,21014,4,49,25033,3,"""atk"":1.08,""hp"":1.08",1,,,,,,,,,
53,21014,5,49,24013,3,"""atk"":1.08,""hp"":1.08",1,,,,,,,,,
53,21014,6,49,23013,3,"""atk"":1.08,""hp"":1.08",1,,,,,,,,,
54,31023,1,50,31023,3,"""atk"":1.082,""hp"":1.082",1,,,,,,,,,
54,31023,2,50,31044,3,"""atk"":1.082,""hp"":1.082",1,,,,,,,,,
54,31023,3,50,32023,3,"""atk"":1.082,""hp"":1.082",1,,,,,,,,,
54,31023,4,50,32034,3,"""atk"":1.082,""hp"":1.082",1,,,,,,,,,
54,31023,5,50,31033,3,"""atk"":1.082,""hp"":1.082",1,,,,,,,,,
54,31023,6,50,33014,3,"""atk"":1.082,""hp"":1.082",1,,,,,,,,,
55,43034,1,51,43034,3,"""atk"":1.085,""hp"":1.139",1,,,,,,,,,
55,43034,2,51,41034,3,"""atk"":1.085,""hp"":1.139",1,,,,,,,,,
55,43034,3,51,43054,3,"""atk"":1.085,""hp"":1.139",1,,,,,,,,,
55,43034,4,51,43023,3,"""atk"":1.085,""hp"":1.139",1,,,,,,,,,
55,43034,5,51,43023,3,"""atk"":1.085,""hp"":1.139",1,,,,,,,,,
55,43034,6,51,43044,3,"""atk"":1.085,""hp"":1.139",1,,,,,,,,,
56,52024,1,52,52024,4,"""atk"":1.087,""hp"":1.087",1,,,,,,,,,
56,52024,2,52,52024,3,"""atk"":1.087,""hp"":1.087",1,,,,,,,,,
56,52024,3,52,52034,3,"""atk"":1.087,""hp"":1.087",1,,,,,,,,,
56,52024,4,52,52013,3,"""atk"":1.087,""hp"":1.087",1,,,,,,,,,
56,52024,5,52,52034,3,"""atk"":1.087,""hp"":1.087",1,,,,,,,,,
56,52024,6,52,52034,3,"""atk"":1.087,""hp"":1.087",1,,,,,,,,,
57,61014,1,53,61014,4,"""atk"":1.09,""hp"":1.09",1,,,,,,,,,
57,61014,2,53,62014,4,"""atk"":1.09,""hp"":1.09",1,,,,,,,,,
57,61014,3,53,63014,3,"""atk"":1.09,""hp"":1.09",1,,,,,,,,,
57,61014,4,53,63014,3,"""atk"":1.09,""hp"":1.09",1,,,,,,,,,
57,61014,5,53,64013,3,"""atk"":1.09,""hp"":1.09",1,,,,,,,,,
57,61014,6,53,64013,3,"""atk"":1.09,""hp"":1.09",1,,,,,,,,,
58,11054,1,54,11054,4,"""atk"":1.092,""hp"":1.092",1,,,,,,,,,
58,11054,2,54,25054,4,"""atk"":1.092,""hp"":1.092",1,,,,,,,,,
58,11054,3,54,64013,4,"""atk"":1.092,""hp"":1.092",1,,,,,,,,,
58,11054,4,54,52013,3,"""atk"":1.092,""hp"":1.092",1,,,,,,,,,
58,11054,5,54,34014,3,"""atk"":1.092,""hp"":1.092",1,,,,,,,,,
58,11054,6,54,45013,3,"""atk"":1.092,""hp"":1.092",1,,,,,,,,,
59,15024,1,55,15024,4,"""atk"":1.095,""hp"":1.095",1,,,,,,,,,
59,15024,2,55,15014,4,"""atk"":1.095,""hp"":1.095",1,,,,,,,,,
59,15024,3,55,14013,4,"""atk"":1.095,""hp"":1.095",1,,,,,,,,,
59,15024,4,55,13023,4,"""atk"":1.095,""hp"":1.095",1,,,,,,,,,
59,15024,5,55,14013,3,"""atk"":1.095,""hp"":1.095",1,,,,,,,,,
59,15024,6,55,14013,3,"""atk"":1.095,""hp"":1.095",1,,,,,,,,,
60,21014,1,56,21014,4,"""atk"":1.371,""hp"":4.214",1.4,,,,,,,,,
60,21014,3,56,23013,4,"""atk"":1.371,""hp"":4.214",1.4,,,,,,,,,
60,21014,6,56,22024,3,"""atk"":1.371,""hp"":4.214",1.4,,,,,,,,,
