道具组,物品类型,物品编号,物品数量,物品权重,购买限制,开放天数,购买费用,折扣,中奖纪录,购买vip限制,稀有度,统计识别号
508,item,24035,50,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
508,item,35045,50,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
508,item,14035,50,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
508,item,41055,50,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
601,item,2010,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
602,item,3004,20,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
603,item,2011,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
604,item,4007,30,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
604,item,4008,30,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
605,item,3005,10,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
606,attr,jinbi,1200000,40,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
606,attr,jinbi,1500000,30,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
606,attr,jinbi,1800000,20,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
606,attr,jinbi,2100000,10,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
607,item,2005,750,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
608,item,11075,50,3,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,11085,50,3,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,12035,50,3,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,13045,50,3,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,14035,50,3,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,15035,50,3,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,21045,50,3,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,22045,50,3,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,22055,50,3,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,23035,50,3,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,24035,50,3,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,25065,50,3,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,25075,50,3,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,31075,50,3,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,31085,50,3,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,32055,50,3,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,34025,50,3,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,35035,50,3,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,35045,50,3,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,41055,50,3,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,41065,50,3,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,42015,50,3,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,44045,50,3,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,45045,50,3,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,45055,50,3,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,14045,50,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,31095,50,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,43065,50,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
608,item,22065,50,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
700,item,63025,50,1,2,1,"{""a"":""item"",""t"":""2019"",""n"":75000}",10,0,0,0,0
701,item,52045,50,1,2,1,"{""a"":""item"",""t"":""2019"",""n"":65000}",10,0,0,0,0
702,item,41055,50,1,2,1,"{""a"":""item"",""t"":""2019"",""n"":50000}",10,0,0,0,0
703,item,25065,50,1,2,1,"{""a"":""item"",""t"":""2019"",""n"":46000}",10,0,0,0,0
704,item,14035,50,1,2,1,"{""a"":""item"",""t"":""2019"",""n"":42000}",10,0,0,0,0
705,item,34025,50,1,2,1,"{""a"":""item"",""t"":""2019"",""n"":48000}",10,0,0,0,0
706,equip,1051,1,1,2,1,"{""a"":""item"",""t"":""2019"",""n"":20000}",10,0,0,0,0
707,equip,2051,1,1,2,1,"{""a"":""item"",""t"":""2019"",""n"":20000}",10,0,0,0,0
708,equip,3051,1,1,2,1,"{""a"":""item"",""t"":""2019"",""n"":20000}",10,0,0,0,0
709,equip,4051,1,1,2,1,"{""a"":""item"",""t"":""2019"",""n"":20000}",10,0,0,0,0
710,equip,1041,1,1,-1,1,"{""a"":""item"",""t"":""2019"",""n"":2000}",10,0,0,0,0
711,equip,2041,1,1,-1,1,"{""a"":""item"",""t"":""2019"",""n"":2000}",10,0,0,0,0
712,equip,3041,1,1,-1,1,"{""a"":""item"",""t"":""2019"",""n"":2000}",10,0,0,0,0
713,equip,4041,1,1,-1,1,"{""a"":""item"",""t"":""2019"",""n"":2000}",10,0,0,0,0
714,item,3003,1,1,100,1,"{""a"":""item"",""t"":""2019"",""n"":500}",10,0,0,0,0
715,item,2058,1,1,1,1,"{""a"":""item"",""t"":""2019"",""n"":60000}",10,0,0,0,0
716,item,14055,50,1,1,1,"{""a"":""item"",""t"":""2019"",""n"":60000}",10,0,0,0,0
717,item,31105,50,1,1,1,"{""a"":""item"",""t"":""2019"",""n"":60000}",10,0,0,0,0
718,item,22065,50,1,1,1,"{""a"":""item"",""t"":""2019"",""n"":60000}",10,0,0,0,0
719,item,43065,50,1,1,1,"{""a"":""item"",""t"":""2019"",""n"":60000}",10,0,0,0,0
720,item,41065,50,1,1,1,"{""a"":""item"",""t"":""2019"",""n"":60000}",10,0,0,0,0
2000,item,2004,1000,300,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":600}",8,0,0,1,1
2000,item,2004,500,600,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":300}",8,0,0,1,2
2000,attr,useexp,500000,200,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1000000}",8,0,0,1,3
2000,attr,useexp,250000,400,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":500000}",8,0,0,1,4
2000,item,2010,1,800,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":250}",7,0,0,1,5
2000,item,2010,5,900,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":1250}",6,0,0,2,6
2000,item,2010,10,50,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":2500}",5,0,0,3,7
2000,item,2007,5,450,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":250}",7,0,0,1,8
2000,item,2007,5,150,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1000000}",7,0,0,1,9
2000,item,2007,10,350,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":500}",6,0,0,2,10
2000,item,2007,10,100,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":2000000}",8,0,0,2,11
2000,item,2007,20,350,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":1000}",5,0,0,3,12
2000,item,2007,20,100,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":4000000}",6,0,0,3,13
2000,item,2006,5,300,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":100}",7,0,0,1,14
2000,item,2006,5,100,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":500000}",6,0,0,1,15
2000,item,2006,10,300,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":200}",6,0,0,2,16
2000,item,2006,10,70,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1000000}",6,0,0,2,17
2000,item,2006,20,180,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":400}",5,0,0,3,18
2000,item,2006,20,50,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":2000000}",6,0,0,3,19
2000,item,2011,1,1200,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":2500}",4,0,0,2,20
2000,item,2011,5,300,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":12500}",3,0,0,3,21
2000,item,4002,30,500,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":625}",7,0,0,2,22
2000,item,4009,50,100,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":5000}",3,0,0,3,23
2000,item,4010,50,100,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":6000}",5,0,0,3,24
2000,item,4011,50,100,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":6000}",5,0,0,3,25
2000,item,4012,50,100,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":6000}",5,0,0,3,26
2000,item,4013,50,100,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":6000}",5,0,0,3,27
2000,item,2022,200,400,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":600}",8,0,0,1,28
2000,item,2021,50,400,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":600}",8,0,0,1,29
2000,item,2022,500,300,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":1500}",7,0,0,2,30
2000,item,2021,125,300,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":1500}",7,0,0,2,31
2000,item,2022,1000,300,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":3000}",6,0,0,3,32
2000,item,2021,250,300,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":3000}",6,0,0,3,33
2001,item,2010,5,250,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":1250}",6,0,0,2,0
2001,item,2010,10,50,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":2500}",5,0,0,3,0
2001,item,2007,10,350,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":500}",6,0,0,2,0
2001,item,2007,10,100,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":2000000}",8,0,0,2,0
2001,item,2007,20,350,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":1000}",5,0,0,3,0
2001,item,2007,20,100,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":4000000}",6,0,0,3,0
2001,item,2006,10,350,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":200}",6,0,0,2,0
2001,item,2006,10,100,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1000000}",6,0,0,2,0
2001,item,2006,20,350,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":400}",5,0,0,3,0
2001,item,2006,20,100,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":2000000}",6,0,0,3,0
2001,item,2011,1,700,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":2500}",4,0,0,2,0
2001,item,2011,5,300,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":12500}",3,0,0,3,0
2001,item,4002,30,500,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":625}",7,0,0,2,0
2001,item,4009,50,100,1,1,"{""a"":""attr"",""t"":""rmbmoney"",""n"":5000}",3,0,0,3,0
