文物id,文物星级,升级消耗,文物属性,显示属性
21,0,"{""a"": ""wenwu"", ""t"": ""21"", ""n"": 1}",,
21,1,"{""a"": ""wenwu"", ""t"": ""21"", ""n"": 3}","""hp"":600","""hp"":600"
21,2,"{""a"": ""wenwu"", ""t"": ""21"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
21,3,"{""a"": ""wenwu"", ""t"": ""21"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
21,4,"{""a"": ""wenwu"", ""t"": ""21"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
21,5,,"""atk"":80,""hp"":2600","""hp"":1200"
22,0,"{""a"": ""wenwu"", ""t"": ""22"", ""n"": 1}",,
22,1,"{""a"": ""wenwu"", ""t"": ""22"", ""n"": 3}","""hp"":600","""hp"":600"
22,2,"{""a"": ""wenwu"", ""t"": ""22"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
22,3,"{""a"": ""wenwu"", ""t"": ""22"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
22,4,"{""a"": ""wenwu"", ""t"": ""22"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
22,5,,"""atk"":80,""hp"":2600","""hp"":1200"
23,0,"{""a"": ""wenwu"", ""t"": ""23"", ""n"": 1}",,
23,1,"{""a"": ""wenwu"", ""t"": ""23"", ""n"": 3}","""hp"":600","""hp"":600"
23,2,"{""a"": ""wenwu"", ""t"": ""23"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
23,3,"{""a"": ""wenwu"", ""t"": ""23"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
23,4,"{""a"": ""wenwu"", ""t"": ""23"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
23,5,,"""atk"":80,""hp"":2600","""hp"":1200"
24,0,"{""a"": ""wenwu"", ""t"": ""24"", ""n"": 1}",,
24,1,"{""a"": ""wenwu"", ""t"": ""24"", ""n"": 3}","""hp"":600","""hp"":600"
24,2,"{""a"": ""wenwu"", ""t"": ""24"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
24,3,"{""a"": ""wenwu"", ""t"": ""24"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
24,4,"{""a"": ""wenwu"", ""t"": ""24"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
24,5,,"""atk"":80,""hp"":2600","""hp"":1200"
25,0,"{""a"": ""wenwu"", ""t"": ""25"", ""n"": 1}",,
25,1,"{""a"": ""wenwu"", ""t"": ""25"", ""n"": 3}","""hp"":1200","""hp"":1200"
25,2,"{""a"": ""wenwu"", ""t"": ""25"", ""n"": 5}","""atk"":60,""hp"":1200","""atk"":60"
25,3,"{""a"": ""wenwu"", ""t"": ""25"", ""n"": 7}","""atk"":60,""hp"":2800","""hp"":1600"
25,4,"{""a"": ""wenwu"", ""t"": ""25"", ""n"": 9}","""atk"":160,""hp"":2800","""atk"":100"
25,5,,"""atk"":160,""hp"":5200","""hp"":2400"
26,0,"{""a"": ""wenwu"", ""t"": ""26"", ""n"": 1}",,
26,1,"{""a"": ""wenwu"", ""t"": ""26"", ""n"": 3}","""hp"":1200","""hp"":1200"
26,2,"{""a"": ""wenwu"", ""t"": ""26"", ""n"": 5}","""atk"":60,""hp"":1200","""atk"":60"
26,3,"{""a"": ""wenwu"", ""t"": ""26"", ""n"": 7}","""atk"":60,""hp"":2800","""hp"":1600"
26,4,"{""a"": ""wenwu"", ""t"": ""26"", ""n"": 9}","""atk"":160,""hp"":2800","""atk"":100"
26,5,,"""atk"":160,""hp"":5200","""hp"":2400"
27,0,"{""a"": ""wenwu"", ""t"": ""27"", ""n"": 1}",,
27,1,"{""a"": ""wenwu"", ""t"": ""27"", ""n"": 3}","""hp"":1800","""hp"":1800"
27,2,"{""a"": ""wenwu"", ""t"": ""27"", ""n"": 5}","""atk"":90,""hp"":1800","""atk"":90"
27,3,"{""a"": ""wenwu"", ""t"": ""27"", ""n"": 7}","""atk"":90,""hp"":4200,""hppro"":10","""hp"":2400,""hppro"":10"
27,4,"{""a"": ""wenwu"", ""t"": ""27"", ""n"": 9}","""atk"":240,""hp"":4200,""hppro"":10","""atk"":150"
27,5,,"""atk"":240,""hp"":7800,""atkpro"":10,""hppro"":10","""hp"":3600,""atkpro"":10"
28,0,"{""a"": ""wenwu"", ""t"": ""28"", ""n"": 1}",,
28,1,"{""a"": ""wenwu"", ""t"": ""28"", ""n"": 3}","""hp"":1800","""hp"":1800"
28,2,"{""a"": ""wenwu"", ""t"": ""28"", ""n"": 5}","""atk"":90,""hp"":1800","""atk"":90"
28,3,"{""a"": ""wenwu"", ""t"": ""28"", ""n"": 7}","""atk"":90,""hp"":4200,""hppro"":10","""hp"":2400,""hppro"":10"
28,4,"{""a"": ""wenwu"", ""t"": ""28"", ""n"": 9}","""atk"":240,""hp"":4200,""hppro"":10","""atk"":150"
28,5,,"""atk"":240,""hp"":7800,""atkpro"":10,""hppro"":10","""hp"":3600,""atkpro"":10"
29,0,"{""a"": ""wenwu"", ""t"": ""29"", ""n"": 1}",,
29,1,"{""a"": ""wenwu"", ""t"": ""29"", ""n"": 3}","""hp"":3000","""hp"":3000"
29,2,"{""a"": ""wenwu"", ""t"": ""29"", ""n"": 5}","""atk"":150,""hp"":3000","""atk"":150"
29,3,"{""a"": ""wenwu"", ""t"": ""29"", ""n"": 7}","""atk"":150,""hp"":7000,""hppro"":15","""hp"":4000,""hppro"":15"
29,4,"{""a"": ""wenwu"", ""t"": ""29"", ""n"": 9}","""atk"":400,""hp"":7000,""hppro"":15","""atk"":250"
29,5,,"""atk"":400,""hp"":13000,""atkpro"":15,""hppro"":15","""hp"":6000,""atkpro"":15"
30,0,"{""a"": ""wenwu"", ""t"": ""30"", ""n"": 1}",,
30,1,"{""a"": ""wenwu"", ""t"": ""30"", ""n"": 3}","""hp"":4800","""hp"":4800"
30,2,"{""a"": ""wenwu"", ""t"": ""30"", ""n"": 5}","""atk"":240,""hp"":4800","""atk"":240"
30,3,"{""a"": ""wenwu"", ""t"": ""30"", ""n"": 7}","""atk"":240,""hp"":11200,""hppro"":20","""hp"":6400,""hppro"":20"
30,4,"{""a"": ""wenwu"", ""t"": ""30"", ""n"": 9}","""atk"":640,""hp"":11200,""hppro"":20","""atk"":400"
30,5,,"""atk"":640,""hp"":20800,""atkpro"":20,""hppro"":20","""hp"":9600,""atkpro"":20"
31,0,"{""a"": ""wenwu"", ""t"": ""31"", ""n"": 1}",,
31,1,"{""a"": ""wenwu"", ""t"": ""31"", ""n"": 3}","""hp"":600","""hp"":600"
31,2,"{""a"": ""wenwu"", ""t"": ""31"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
31,3,"{""a"": ""wenwu"", ""t"": ""31"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
31,4,"{""a"": ""wenwu"", ""t"": ""31"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
31,5,,"""atk"":80,""hp"":2600","""hp"":1200"
32,0,"{""a"": ""wenwu"", ""t"": ""32"", ""n"": 1}",,
32,1,"{""a"": ""wenwu"", ""t"": ""32"", ""n"": 3}","""hp"":600","""hp"":600"
32,2,"{""a"": ""wenwu"", ""t"": ""32"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
32,3,"{""a"": ""wenwu"", ""t"": ""32"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
32,4,"{""a"": ""wenwu"", ""t"": ""32"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
32,5,,"""atk"":80,""hp"":2600","""hp"":1200"
33,0,"{""a"": ""wenwu"", ""t"": ""33"", ""n"": 1}",,
33,1,"{""a"": ""wenwu"", ""t"": ""33"", ""n"": 3}","""hp"":600","""hp"":600"
33,2,"{""a"": ""wenwu"", ""t"": ""33"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
33,3,"{""a"": ""wenwu"", ""t"": ""33"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
33,4,"{""a"": ""wenwu"", ""t"": ""33"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
33,5,,"""atk"":80,""hp"":2600","""hp"":1200"
34,0,"{""a"": ""wenwu"", ""t"": ""34"", ""n"": 1}",,
34,1,"{""a"": ""wenwu"", ""t"": ""34"", ""n"": 3}","""hp"":600","""hp"":600"
34,2,"{""a"": ""wenwu"", ""t"": ""34"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
34,3,"{""a"": ""wenwu"", ""t"": ""34"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
34,4,"{""a"": ""wenwu"", ""t"": ""34"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
34,5,,"""atk"":80,""hp"":2600","""hp"":1200"
35,0,"{""a"": ""wenwu"", ""t"": ""35"", ""n"": 1}",,
35,1,"{""a"": ""wenwu"", ""t"": ""35"", ""n"": 3}","""hp"":1200","""hp"":1200"
35,2,"{""a"": ""wenwu"", ""t"": ""35"", ""n"": 5}","""atk"":60,""hp"":1200","""atk"":60"
35,3,"{""a"": ""wenwu"", ""t"": ""35"", ""n"": 7}","""atk"":60,""hp"":2800","""hp"":1600"
35,4,"{""a"": ""wenwu"", ""t"": ""35"", ""n"": 9}","""atk"":160,""hp"":2800","""atk"":100"
35,5,,"""atk"":160,""hp"":5200","""hp"":2400"
36,0,"{""a"": ""wenwu"", ""t"": ""36"", ""n"": 1}",,
36,1,"{""a"": ""wenwu"", ""t"": ""36"", ""n"": 3}","""hp"":1200","""hp"":1200"
36,2,"{""a"": ""wenwu"", ""t"": ""36"", ""n"": 5}","""atk"":60,""hp"":1200","""atk"":60"
36,3,"{""a"": ""wenwu"", ""t"": ""36"", ""n"": 7}","""atk"":60,""hp"":2800","""hp"":1600"
36,4,"{""a"": ""wenwu"", ""t"": ""36"", ""n"": 9}","""atk"":160,""hp"":2800","""atk"":100"
36,5,,"""atk"":160,""hp"":5200","""hp"":2400"
37,0,"{""a"": ""wenwu"", ""t"": ""37"", ""n"": 1}",,
37,1,"{""a"": ""wenwu"", ""t"": ""37"", ""n"": 3}","""hp"":1800","""hp"":1800"
37,2,"{""a"": ""wenwu"", ""t"": ""37"", ""n"": 5}","""atk"":90,""hp"":1800","""atk"":90"
37,3,"{""a"": ""wenwu"", ""t"": ""37"", ""n"": 7}","""atk"":90,""hp"":4200,""hppro"":10","""hp"":2400,""hppro"":10"
37,4,"{""a"": ""wenwu"", ""t"": ""37"", ""n"": 9}","""atk"":240,""hp"":4200,""hppro"":10","""atk"":150"
37,5,,"""atk"":240,""hp"":7800,""atkpro"":10,""hppro"":10","""hp"":3600,""atkpro"":10"
38,0,"{""a"": ""wenwu"", ""t"": ""38"", ""n"": 1}",,
38,1,"{""a"": ""wenwu"", ""t"": ""38"", ""n"": 3}","""hp"":1800","""hp"":1800"
38,2,"{""a"": ""wenwu"", ""t"": ""38"", ""n"": 5}","""atk"":90,""hp"":1800","""atk"":90"
38,3,"{""a"": ""wenwu"", ""t"": ""38"", ""n"": 7}","""atk"":90,""hp"":4200,""hppro"":10","""hp"":2400,""hppro"":10"
38,4,"{""a"": ""wenwu"", ""t"": ""38"", ""n"": 9}","""atk"":240,""hp"":4200,""hppro"":10","""atk"":150"
38,5,,"""atk"":240,""hp"":7800,""atkpro"":10,""hppro"":10","""hp"":3600,""atkpro"":10"
39,0,"{""a"": ""wenwu"", ""t"": ""39"", ""n"": 1}",,
39,1,"{""a"": ""wenwu"", ""t"": ""39"", ""n"": 3}","""hp"":3000","""hp"":3000"
39,2,"{""a"": ""wenwu"", ""t"": ""39"", ""n"": 5}","""atk"":150,""hp"":3000","""atk"":150"
39,3,"{""a"": ""wenwu"", ""t"": ""39"", ""n"": 7}","""atk"":150,""hp"":7000,""hppro"":15","""hp"":4000,""hppro"":15"
39,4,"{""a"": ""wenwu"", ""t"": ""39"", ""n"": 9}","""atk"":400,""hp"":7000,""hppro"":15","""atk"":250"
39,5,,"""atk"":400,""hp"":13000,""atkpro"":15,""hppro"":15","""hp"":6000,""atkpro"":15"
40,0,"{""a"": ""wenwu"", ""t"": ""40"", ""n"": 1}",,
40,1,"{""a"": ""wenwu"", ""t"": ""40"", ""n"": 3}","""hp"":4800","""hp"":4800"
40,2,"{""a"": ""wenwu"", ""t"": ""40"", ""n"": 5}","""atk"":240,""hp"":4800","""atk"":240"
40,3,"{""a"": ""wenwu"", ""t"": ""40"", ""n"": 7}","""atk"":240,""hp"":11200,""hppro"":20","""hp"":6400,""hppro"":20"
40,4,"{""a"": ""wenwu"", ""t"": ""40"", ""n"": 9}","""atk"":640,""hp"":11200,""hppro"":20","""atk"":400"
40,5,,"""atk"":640,""hp"":20800,""atkpro"":20,""hppro"":20","""hp"":9600,""atkpro"":20"
41,0,"{""a"": ""wenwu"", ""t"": ""41"", ""n"": 1}",,
41,1,"{""a"": ""wenwu"", ""t"": ""41"", ""n"": 3}","""hp"":600","""hp"":600"
41,2,"{""a"": ""wenwu"", ""t"": ""41"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
41,3,"{""a"": ""wenwu"", ""t"": ""41"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
41,4,"{""a"": ""wenwu"", ""t"": ""41"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
41,5,,"""atk"":80,""hp"":2600","""hp"":1200"
42,0,"{""a"": ""wenwu"", ""t"": ""42"", ""n"": 1}",,
42,1,"{""a"": ""wenwu"", ""t"": ""42"", ""n"": 3}","""hp"":600","""hp"":600"
42,2,"{""a"": ""wenwu"", ""t"": ""42"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
42,3,"{""a"": ""wenwu"", ""t"": ""42"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
42,4,"{""a"": ""wenwu"", ""t"": ""42"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
42,5,,"""atk"":80,""hp"":2600","""hp"":1200"
43,0,"{""a"": ""wenwu"", ""t"": ""43"", ""n"": 1}",,
43,1,"{""a"": ""wenwu"", ""t"": ""43"", ""n"": 3}","""hp"":600","""hp"":600"
43,2,"{""a"": ""wenwu"", ""t"": ""43"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
43,3,"{""a"": ""wenwu"", ""t"": ""43"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
43,4,"{""a"": ""wenwu"", ""t"": ""43"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
43,5,,"""atk"":80,""hp"":2600","""hp"":1200"
44,0,"{""a"": ""wenwu"", ""t"": ""44"", ""n"": 1}",,
44,1,"{""a"": ""wenwu"", ""t"": ""44"", ""n"": 3}","""hp"":600","""hp"":600"
44,2,"{""a"": ""wenwu"", ""t"": ""44"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
